"plh0187","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Often","2007","direct migration background","Female","169","0.163410295568113","0.141984791688223","0.184835799448003"
"Often","2007","direct migration background","Male","97","0.117075713588888","0.0969668519734873","0.137184575204289"
"Often","2007","indirect migration background","Female","71","0.188293671576898","0.150634978120111","0.225952365033685"
"Often","2007","indirect migration background","Male","34","0.135996393888812","0.101068797255623","0.170923990522001"
"Often","2007","no migration background","Female","1173","0.132263177915717","0.125346614739604","0.139179741091829"
"Often","2007","no migration background","Male","565","0.0805830254916614","0.0747728855929768","0.0863931653903459"
"Rarely","2007","direct migration background","Female","325","0.273233566833995","0.247410992587054","0.299056141080936"
"Rarely","2007","direct migration background","Male","326","0.316502196735195","0.28741182486387","0.34559256860652"
"Rarely","2007","indirect migration background","Female","106","0.244305796423862","0.202916518327397","0.285695074520326"
"Rarely","2007","indirect migration background","Male","128","0.326888240286029","0.279092359786426","0.374684120785632"
"Rarely","2007","no migration background","Female","2822","0.28227305109125","0.273083565664102","0.291462536518397"
"Rarely","2007","no migration background","Male","3133","0.359347178401751","0.349105360790543","0.369588996012959"
"Sometimes","2007","direct migration background","Female","411","0.369241062857674","0.341275614836569","0.397206510878778"
"Sometimes","2007","direct migration background","Male","272","0.301275333562578","0.272578949733616","0.329971717391541"
"Sometimes","2007","indirect migration background","Female","150","0.378995145001919","0.332263373823263","0.425726916180574"
"Sometimes","2007","indirect migration background","Male","91","0.290708631348177","0.244439800061929","0.336977462634425"
"Sometimes","2007","no migration background","Female","3238","0.367166390265039","0.357325076324955","0.377007704205123"
"Sometimes","2007","no migration background","Male","2216","0.276242885470327","0.26669844397547","0.285787326965184"
"Very often","2007","direct migration background","Female","65","0.0615519433605911","0.0476248308808218","0.0754790558403603"
"Very often","2007","direct migration background","Male","26","","",""
"Very often","2007","indirect migration background","Female","26","","",""
"Very often","2007","indirect migration background","Male","10","","",""
"Very often","2007","no migration background","Female","389","0.0482142338793312","0.0438406838789464","0.0525877838797159"
"Very often","2007","no migration background","Male","170","0.024642670624919","0.0213333845760726","0.0279519566737655"
"Very rare","2007","direct migration background","Female","174","0.132563131379628","0.112913002892259","0.152213259866996"
"Very rare","2007","direct migration background","Male","261","0.243218475433379","0.216385064069254","0.270051886797505"
"Very rare","2007","indirect migration background","Female","61","0.127463185629485","0.0953389957238566","0.159587375535114"
"Very rare","2007","indirect migration background","Male","107","0.218706295938098","0.176586618755639","0.260825973120557"
"Very rare","2007","no migration background","Female","1594","0.170083146848663","0.162412627121748","0.177753666575578"
"Very rare","2007","no migration background","Male","2347","0.259184240011341","0.249830873598318","0.268537606424365"
"Often","2008","direct migration background","Female","165","0.155998874365849","0.133774458351352","0.178223290380345"
"Often","2008","direct migration background","Male","80","0.102511804750379","0.0824827040974142","0.122540905403344"
"Often","2008","indirect migration background","Female","53","0.174379890649111","0.137195863194041","0.211563918104182"
"Often","2008","indirect migration background","Male","32","0.101804394437068","0.071075612430102","0.132533176444033"
"Often","2008","no migration background","Female","1057","0.133955979438308","0.126808691174212","0.141103267702405"
"Often","2008","no migration background","Male","581","0.0871202545145508","0.0809281285611585","0.0933123804679432"
"Rarely","2008","direct migration background","Female","306","0.268769707342503","0.241616861171647","0.29592255351336"
"Rarely","2008","direct migration background","Male","311","0.331153242383604","0.30007632339423","0.362230161372978"
"Rarely","2008","indirect migration background","Female","119","0.240904153708124","0.198996963139894","0.282811344276353"
"Rarely","2008","indirect migration background","Male","110","0.298850040642728","0.252333357782433","0.345366723503022"
"Rarely","2008","no migration background","Female","2778","0.303558223158461","0.293909859347832","0.313206586969091"
"Rarely","2008","no migration background","Male","3072","0.377090440692648","0.366448797634893","0.387732083750403"
"Sometimes","2008","direct migration background","Female","364","0.39263498117914","0.362724906654165","0.422545055704114"
"Sometimes","2008","direct migration background","Male","238","0.288352214725503","0.258439603011051","0.318264826439955"
"Sometimes","2008","indirect migration background","Female","144","0.373767161344843","0.326355345893172","0.421178976796514"
"Sometimes","2008","indirect migration background","Male","106","0.27708942459159","0.231608541833679","0.322570307349501"
"Sometimes","2008","no migration background","Female","3012","0.349682642983015","0.339675963871039","0.359689322094991"
"Sometimes","2008","no migration background","Male","2019","0.261558724578221","0.251908975608769","0.271208473547673"
"Very often","2008","direct migration background","Female","49","0.0467261457684097","0.0337994676946777","0.0596528238421418"
"Very often","2008","direct migration background","Male","36","0.0479862964868465","0.0338726136671388","0.0620999793065541"
"Very often","2008","indirect migration background","Female","25","","",""
"Very often","2008","indirect migration background","Male","7","","",""
"Very often","2008","no migration background","Female","362","0.0454514156633104","0.041080594987314","0.0498222363393068"
"Very often","2008","no migration background","Male","108","0.0163170916050397","0.0135353142533005","0.019098868956779"
"Very rare","2008","direct migration background","Female","140","0.135870291344099","0.114883316874108","0.156857265814089"
"Very rare","2008","direct migration background","Male","216","0.229996441653667","0.202207816446103","0.257785066861231"
"Very rare","2008","indirect migration background","Female","59","0.13632284715116","0.102696620578397","0.169949073723923"
"Very rare","2008","indirect migration background","Male","117","0.305253682912431","0.258456446809426","0.352050919015436"
"Very rare","2008","no migration background","Female","1515","0.167351738756905","0.159518593740439","0.175184883773371"
"Very rare","2008","no migration background","Male","2188","0.257913488609541","0.248307596043916","0.267519381175165"
"Often","2009","direct migration background","Female","126","0.126599522525489","0.104862953655662","0.148336091395316"
"Often","2009","direct migration background","Male","81","0.130567752559871","0.106613802964323","0.154521702155418"
"Often","2009","indirect migration background","Female","59","0.20207172669128","0.161156785416055","0.242986667966506"
