"plh0187","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Often","2007","West Germany","1595","0.113280515867126","0.108297327633128","0.118263704101124"
"Often","2007","East Germany","514","0.116738231308673","0.107853709997519","0.125622752619827"
"Rarely","2007","West Germany","5083","0.311568977172507","0.304287091127324","0.31885086321769"
"Rarely","2007","East Germany","1757","0.329261485997664","0.316258896502303","0.342264075493025"
"Sometimes","2007","West Germany","4747","0.324104046609119","0.316745048224982","0.331463044993256"
"Sometimes","2007","East Germany","1631","0.330492446411797","0.317477533329867","0.343507359493728"
"Very often","2007","West Germany","524","0.0377760809830221","0.0347784160863214","0.0407737458797227"
"Very often","2007","East Germany","162","0.0382160437250659","0.0329115445129759","0.043520542937156"
"Very rare","2007","West Germany","3590","0.213270379368226","0.206829953594612","0.21971080514184"
"Very rare","2007","East Germany","954","0.1852917925568","0.174541707520527","0.196041877593072"
"Often","2008","West Germany","1519","0.115452448457881","0.110266155555342","0.120638741360421"
"Often","2008","East Germany","449","0.112459503992819","0.10350699684777","0.121412011137867"
"Rarely","2008","West Germany","4953","0.326941617292538","0.319328608236435","0.334554626348641"
"Rarely","2008","East Germany","1743","0.347968017880942","0.33447041584087","0.361465619921013"
"Sometimes","2008","West Germany","4340","0.309850691201332","0.302345830466131","0.317355551936533"
"Sometimes","2008","East Germany","1543","0.323192500734269","0.309939454162082","0.336445547306455"
"Very often","2008","West Germany","444","0.0343491760083088","0.031393457346272","0.0373048946703456"
"Very often","2008","East Germany","143","0.0324576945111538","0.0274360458802724","0.0374793431420351"
"Very rare","2008","West Germany","3329","0.213406067039939","0.206756803420681","0.220055330659197"
"Very rare","2008","East Germany","906","0.183922282880817","0.172943974150283","0.194900591611351"
"Often","2009","West Germany","1386","0.108711294650383","0.103457742487087","0.113964846813679"
"Often","2009","East Germany","424","0.108436670378815","0.0993931707373538","0.117480170020277"
"Rarely","2009","West Germany","4649","0.335891204638803","0.327919972712033","0.343862436565573"
"Rarely","2009","East Germany","1651","0.344014164433072","0.330197356092728","0.357830972773416"
"Sometimes","2009","West Germany","4103","0.316550621288557","0.308700411282467","0.324400831294646"
"Sometimes","2009","East Germany","1427","0.317504362792478","0.303965034200077","0.33104369138488"
"Very often","2009","West Germany","430","0.0360869581107762","0.0329392055980653","0.0392347106234871"
"Very often","2009","East Germany","138","0.0347844547893174","0.0294550698010344","0.0401138397776003"
"Very rare","2009","West Germany","2918","0.202759921311481","0.195974260736771","0.209545581886191"
