"plh0187","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Often","2007","Employed","college entrance qualification","365","0.106028903196595","0.0965399918110225","0.115517814582168"
"Often","2007","Employed","lower secondary degree","297","0.108278387570799","0.0973541000446636","0.119202675096934"
"Often","2007","Employed","no degree/no degree yet","19","","",""
"Often","2007","Employed","Other degree","50","0.101558774919632","0.0773686426961363","0.125748907143128"
"Often","2007","Employed","secondary school degree","412","0.103257279701179","0.0942476659258047","0.112266893476554"
"Often","2007","Not Employed","college entrance qualification","133","0.100139946754016","0.0843929932036188","0.115886900304414"
"Often","2007","Not Employed","lower secondary degree","475","0.128128295225806","0.117554170677028","0.138702419774584"
"Often","2007","Not Employed","no degree/no degree yet","46","0.130856669892687","0.0988693549521592","0.162843984833214"
"Often","2007","Not Employed","Other degree","76","0.179967121975752","0.145346908701836","0.214587335249668"
"Often","2007","Not Employed","secondary school degree","173","0.112917113494272","0.0977423528196667","0.128091874168878"
"Rarely","2007","Employed","college entrance qualification","1470","0.345853745745773","0.331194008414172","0.360513483077374"
"Rarely","2007","Employed","lower secondary degree","1035","0.313474946658759","0.297165576117293","0.329784317200224"
"Rarely","2007","Employed","no degree/no degree yet","39","0.320997192863749","0.241354208116047","0.400640177611451"
"Rarely","2007","Employed","Other degree","195","0.319463622045313","0.282123901944809","0.356803342145817"
"Rarely","2007","Employed","secondary school degree","1535","0.331300036204155","0.317364031125834","0.345236041282475"
"Rarely","2007","Not Employed","college entrance qualification","457","0.339051285903207","0.314218699182818","0.363883872623596"
"Rarely","2007","Not Employed","lower secondary degree","1166","0.294569295111314","0.28014759292097","0.308990997301658"
"Rarely","2007","Not Employed","no degree/no degree yet","122","0.266684002092014","0.224739193659274","0.308628810524754"
"Rarely","2007","Not Employed","Other degree","119","0.223570951705193","0.18602387793001","0.261118025480376"
"Rarely","2007","Not Employed","secondary school degree","554","0.291688156466486","0.269894428999282","0.313481883933689"
"Sometimes","2007","Employed","college entrance qualification","1183","0.301303706922402","0.287162418682547","0.315444995162257"
"Sometimes","2007","Employed","lower secondary degree","928","0.316847684001965","0.300491136962832","0.333204231041097"
"Sometimes","2007","Employed","no degree/no degree yet","40","0.320878252739534","0.241243050658577","0.400513454820491"
"Sometimes","2007","Employed","Other degree","195","0.353210973182245","0.314934395974014","0.391487550390476"
"Sometimes","2007","Employed","secondary school degree","1386","0.324522967219291","0.310660519636342","0.33838541480224"
"Sometimes","2007","Not Employed","college entrance qualification","427","0.306726445211514","0.282536587729105","0.330916302693924"
"Sometimes","2007","Not Employed","lower secondary degree","1202","0.33382921664418","0.318909843767215","0.348748589521145"
"Sometimes","2007","Not Employed","no degree/no degree yet","144","0.312374762146928","0.268415739626233","0.356333784667622"
"Sometimes","2007","Not Employed","Other degree","172","0.411965949063151","0.367610250970982","0.456321647155319"
"Sometimes","2007","Not Employed","secondary school degree","555","0.350201243218226","0.327329032372723","0.373073454063729"
"Very often","2007","Employed","college entrance qualification","83","0.0214502153458077","0.0169849239153012","0.0259155067763142"
