"plh0187","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","Schleswig-Holstein","no migration background","184","0.267411996777967","0.230654930778469","0.304169062777466"
"Very rare","2007","Schleswig-Holstein","direct migration background","16","","",""
"Very rare","2007","Schleswig-Holstein","indirect migration background","2","","",""
"Very rare","2007","Hamburg","no migration background","63","0.208919189406093","0.15969290728433","0.258145471527856"
"Very rare","2007","Hamburg","direct migration background","5","","",""
"Very rare","2007","Hamburg","indirect migration background","2","","",""
"Very rare","2007","Lower Saxony","no migration background","362","0.204767463172776","0.185031748128236","0.224503178217316"
"Very rare","2007","Lower Saxony","direct migration background","37","0.221977426839785","0.160405949825161","0.28354890385441"
"Very rare","2007","Lower Saxony","indirect migration background","8","","",""
"Very rare","2007","Bremen","no migration background","27","","",""
"Very rare","2007","Bremen","direct migration background","1","","",""
"Very rare","2007","Bremen","indirect migration background","2","","",""
"Very rare","2007","North Rhine-Westphalia","no migration background","889","0.251285965605249","0.236755258617254","0.265816672593244"
"Very rare","2007","North Rhine-Westphalia","direct migration background","141","0.238610431937079","0.203619231845144","0.273601632029014"
"Very rare","2007","North Rhine-Westphalia","indirect migration background","58","0.223932433984717","0.168466479476159","0.279398388493274"
"Very rare","2007","Hesse","no migration background","244","0.196006508298014","0.172840294832429","0.219172721763599"
"Very rare","2007","Hesse","direct migration background","29","","",""
"Very rare","2007","Hesse","indirect migration background","14","","",""
"Very rare","2007","Rhineland-Palatinate,Saarland","no migration background","241","0.236277217393381","0.209640567279216","0.262913867507547"
"Very rare","2007","Rhineland-Palatinate,Saarland","direct migration background","31","0.192067442344213","0.129236431232303","0.254898453456123"
"Very rare","2007","Rhineland-Palatinate,Saarland","indirect migration background","9","","",""
"Very rare","2007","Baden-Württemberg","no migration background","425","0.231699706575501","0.212395218106982","0.25100419504402"
"Very rare","2007","Baden-Württemberg","direct migration background","90","0.152777859310125","0.120286603602032","0.185269115018217"
"Very rare","2007","Baden-Württemberg","indirect migration background","45","0.216231130242519","0.157540293246981","0.274921967238057"
"Very rare","2007","Bavaria","no migration background","506","0.187412516287787","0.172142759473969","0.202682273101604"
"Very rare","2007","Bavaria","direct migration background","63","0.154767858768811","0.115979335443409","0.193556382094212"
"Very rare","2007","Bavaria","indirect migration background","19","","",""
