"plh0187","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Often","2007","(Married) couple without C. ","indirect migration background","17","","","","4"
"Often","2007","Single parent ","no migration background","139","0.145924340299067","0.122847290512912","0.169001390085221","4"
"Often","2007","1-pers.-HH","direct migration background","50","0.218672036032816","0.163031222796874","0.274312849268757","4"
"Often","2007","1-pers.-HH","no migration background","416","0.145492774281765","0.132547709047278","0.158437839516252","4"
"Often","2007","(Married) couple without C. ","direct migration background","68","0.110803572096997","0.0869825216151343","0.134624622578859","4"
"Often","2007","1-pers.-HH","indirect migration background","17","","","","4"
"Often","2007","(Married) couple without C. ","no migration background","514","0.087419932993967","0.0805901621835569","0.0942497038043771","4"
"Often","2007","Single parent ","direct migration background","29","","","","4"
"Often","2007","Single parent ","indirect migration background","22","","","","4"
"Often","2007","Couple + C. LE 16 ","no migration background","258","0.0884499251143323","0.0781491467256873","0.0987507035029773","4"
"Often","2007","Couple + C. LE 16 ","direct migration background","52","0.136896025121972","0.106241012229506","0.167551038014437","4"
"Often","2007","Couple + C. LE 16 ","indirect migration background","15","","","","4"
"Often","2007","Couple + C. GT 16 ","no migration background","272","0.0897091189434321","0.0795088217710676","0.0999094161157967","4"
"Often","2007","Couple + C. GT 16 ","direct migration background","29","","","","4"
"Often","2007","Couple + C. GT 16 ","indirect migration background","20","","","","4"
"Often","2007","Couple + C. LE and GT 16","no migration background","91","0.0882599519213869","0.0709444088322447","0.105575495010529","4"
"Often","2007","Couple + C. LE and GT 16","direct migration background","27","","","","4"
"Often","2007","Couple + C. LE and GT 16","indirect migration background","10","","","","4"
"Rarely","2007","1-pers.-HH","no migration background","792","0.270656085173222","0.254344328255874","0.28696784209057","2"
"Rarely","2007","1-pers.-HH","direct migration background","40","0.189203596418244","0.13648051788805","0.241926674948439","2"
"Rarely","2007","1-pers.-HH","indirect migration background","29","","","","2"
"Rarely","2007","(Married) couple without C. ","no migration background","2330","0.340650396316878","0.329190578057055","0.352110214576701","2"
"Rarely","2007","(Married) couple without C. ","indirect migration background","46","0.33938516546796","0.258913524195968","0.419856806739953","2"
"Rarely","2007","Single parent ","no migration background","243","0.26121761878662","0.232501367630448","0.289933869942792","2"
"Rarely","2007","(Married) couple without C. ","direct migration background","206","0.334755174765422","0.298942267664316","0.370568081866528","2"
"Rarely","2007","Single parent ","direct migration background","30","0.256499791852363","0.177706155622864","0.335293428081861","2"
"Rarely","2007","Single parent ","indirect migration background","17","","","","2"
"Rarely","2007","Couple + C. LE 16 ","no migration background","1043","0.351817356302162","0.334493747308139","0.369140965296186","2"
"Rarely","2007","Couple + C. LE 16 ","direct migration background","160","0.314281855258972","0.272881220438321","0.355682490079623","2"
"Rarely","2007","Couple + C. LE 16 ","indirect migration background","57","0.31964092594833","0.251515046890115","0.387766805006545","2"
"Rarely","2007","Couple + C. GT 16 ","no migration background","1110","0.347701693981811","0.330702396991804","0.364700990971819","2"
"Rarely","2007","Couple + C. GT 16 ","direct migration background","105","0.245858507843297","0.200421724093244","0.291295291593351","2"
"Rarely","2007","Couple + C. GT 16 ","indirect migration background","48","0.232448314381659","0.169139081483335","0.295757547279984","2"
"Rarely","2007","Couple + C. LE and GT 16","no migration background","331","0.326735674253667","0.298106433055956","0.355364915451379","2"
"Rarely","2007","Couple + C. LE and GT 16","direct migration background","78","0.341488389363343","0.277804734683421","0.405172044043265","2"
"Rarely","2007","Couple + C. LE and GT 16","indirect migration background","33","0.271661583042338","0.183594061223097","0.359729104861578","2"
"Sometimes","2007","Couple + C. LE 16 ","indirect migration background","57","0.34648399275014","0.276968510330128","0.415999475170151","3"
"Sometimes","2007","Couple + C. LE 16 ","direct migration background","130","0.30591846577795","0.264824068315779","0.347012863240122","3"
"Sometimes","2007","Couple + C. GT 16 ","indirect migration background","40","0.300470159705811","0.231754798720206","0.369185520691416","3"
"Sometimes","2007","1-pers.-HH","no migration background","984","0.35570475734145","0.338129044020494","0.373280470662405","3"
"Sometimes","2007","1-pers.-HH","direct migration background","75","0.358202284210472","0.293660135512942","0.422744432908001","3"
"Sometimes","2007","1-pers.-HH","indirect migration background","32","0.333434833357721","0.242389797797211","0.424479868918232","3"
"Sometimes","2007","(Married) couple without C. ","direct migration background","237","0.348099456897218","0.311947857292749","0.384251056501688","3"
"Sometimes","2007","(Married) couple without C. ","indirect migration background","43","0.307410059445743","0.228991402915155","0.385828715976331","3"
"Sometimes","2007","(Married) couple without C. ","no migration background","1927","0.297720820606673","0.286664136383002","0.308777504830345","3"
"Sometimes","2007","Single parent ","indirect migration background","26","","","","3"
"Sometimes","2007","Couple + C. LE 16 ","no migration background","879","0.314674255602974","0.297827736703637","0.331520774502311","3"
"Sometimes","2007","Couple + C. GT 16 ","no migration background","896","0.308477767830528","0.291991610459905","0.324963925201151","3"
"Sometimes","2007","Couple + C. GT 16 ","direct migration background","121","0.393860054798472","0.342302066374572","0.445418043222371","3"
"Sometimes","2007","Single parent ","no migration background","296","0.346975082299764","0.315859189582793","0.378090975016735","3"
"Sometimes","2007","Single parent ","direct migration background","38","0.332991359441843","0.247958007381346","0.41802471150234","3"
"Sometimes","2007","Couple + C. LE and GT 16","no migration background","348","0.365317632652831","0.335925419249076","0.394709846056586","3"
"Sometimes","2007","Couple + C. LE and GT 16","direct migration background","64","0.285796102352105","0.225122811937857","0.346469392766353","3"
"Sometimes","2007","Couple + C. LE and GT 16","indirect migration background","33","0.37298013830866","0.277234597853001","0.468725678764318","3"
"Very often","2007","1-pers.-HH","no migration background","156","0.0496889790992923","0.0417110792349612","0.0576668789636235","5"
"Very often","2007","Single parent ","indirect migration background","4","","","","5"
"Very often","2007","Couple + C. LE 16 ","no migration background","55","0.0233954286528639","0.017911952951713","0.0288789043540149","5"
"Very often","2007","1-pers.-HH","direct migration background","18","","","","5"
"Very often","2007","1-pers.-HH","indirect migration background","9","","","","5"
"Very often","2007","(Married) couple without C. ","no migration background","177","0.031841808013176","0.027596224107722","0.03608739191863","5"
"Very often","2007","Single parent ","no migration background","53","0.0603573768817969","0.0447900237173035","0.0759247300462904","5"
"Very often","2007","Single parent ","direct migration background","8","","","","5"
"Very often","2007","Couple + C. GT 16 ","direct migration background","10","","","","5"
"Very often","2007","(Married) couple without C. ","direct migration background","30","0.0352288497993438","0.0212379205592509","0.0492197790394367","5"
"Very often","2007","(Married) couple without C. ","indirect migration background","4","","","","5"
"Very often","2007","Couple + C. LE 16 ","direct migration background","17","","","","5"
"Very often","2007","Couple + C. LE 16 ","indirect migration background","3","","","","5"
