"plh0187","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Often","2007","16-34 y.","Employed","400","0.124137953357231","0.113038070736445","0.135237835978017"
"Often","2007","16-34 y.","Not Employed","146","0.107093643727104","0.0904495124003357","0.123737775053872"
"Often","2007","35-65 y.","Employed","766","0.100274426082469","0.0940394105127866","0.106509441652152"
"Often","2007","35-65 y.","Not Employed","332","0.146588552237535","0.13281999706768","0.16035710740739"
"Often","2007","66 and older","Employed","20","","",""
"Often","2007","66 and older","Not Employed","445","0.117243327555808","0.107417491982978","0.127069163128637"
"Rarely","2007","16-34 y.","Employed","1145","0.329384396589132","0.313563300069667","0.345205493108598"
"Rarely","2007","16-34 y.","Not Employed","429","0.30451542100957","0.279745494005749","0.32928534801339"
"Rarely","2007","35-65 y.","Employed","3131","0.330407771254249","0.32064399662563","0.340171545882869"
"Rarely","2007","35-65 y.","Not Employed","755","0.279099669448926","0.261638377143195","0.296560961754657"
"Rarely","2007","66 and older","Employed","97","0.30510427416908","0.250484395189523","0.359724153148638"
"Rarely","2007","66 and older","Not Employed","1283","0.298256473521795","0.28428349258076","0.312229454462831"
"Sometimes","2007","16-34 y.","Employed","1026","0.317159586216259","0.301493995652388","0.33282517678013"
"Sometimes","2007","16-34 y.","Not Employed","418","0.337334952111169","0.311886930077309","0.36278297414503"
"Sometimes","2007","35-65 y.","Employed","2720","0.316951127042292","0.307292632093719","0.326609621990865"
"Sometimes","2007","35-65 y.","Not Employed","839","0.33759612348546","0.319187586796488","0.356004660174433"
"Sometimes","2007","66 and older","Employed","83","0.331557614920178","0.275713390848863","0.387401838991493"
"Sometimes","2007","66 and older","Not Employed","1292","0.336676667483901","0.32224308738276","0.351110247585041"
"Very often","2007","16-34 y.","Employed","116","0.0413213085918298","0.0346213547237071","0.0480212624599525"
"Very often","2007","16-34 y.","Not Employed","47","0.0404358823693271","0.0298336628778342","0.05103810186082"
"Very often","2007","35-65 y.","Employed","220","0.0301029410736569","0.0265559940443101","0.0336498881030038"
"Very often","2007","35-65 y.","Not Employed","142","0.0641069946319679","0.0545719019533","0.0736420873106357"
"Very often","2007","66 and older","Employed","7","","",""
"Very often","2007","66 and older","Not Employed","154","0.0348394002586205","0.0292387294437897","0.0404400710734513"
"Very rare","2007","16-34 y.","Employed","703","0.187996755245547","0.174844437238303","0.201149073252792"
"Very rare","2007","16-34 y.","Not Employed","286","0.21062010078283","0.188673398677482","0.232566802888178"
"Very rare","2007","35-65 y.","Employed","2078","0.222263734547333","0.213633196011194","0.230894273083472"
"Very rare","2007","35-65 y.","Not Employed","467","0.172608660196111","0.157897535206","0.187319785186221"
"Very rare","2007","66 and older","Employed","66","0.266421832887163","0.213980361072492","0.318863304701835"
"Very rare","2007","66 and older","Not Employed","944","0.212984131179876","0.200479517248527","0.225488745111225"
"Often","2008","16-34 y.","Employed","321","0.113305818236328","0.102273595916967","0.124338040555688"
"Often","2008","16-34 y.","Not Employed","121","0.111549394903801","0.0936929013731004","0.129405888434502"
"Often","2008","35-65 y.","Employed","758","0.102011434892945","0.0955554942641304","0.108467375521759"
"Often","2008","35-65 y.","Not Employed","280","0.154918324397424","0.139873857551298","0.169962791243551"
"Often","2008","66 and older","Employed","15","","",""
"Often","2008","66 and older","Not Employed","473","0.124416663994351","0.114252890233404","0.134580437755298"
"Rarely","2008","16-34 y.","Employed","1159","0.351006823067376","0.334394597680329","0.367619048454422"
"Rarely","2008","16-34 y.","Not Employed","409","0.33973166047517","0.312867444211196","0.366595876739144"
"Rarely","2008","35-65 y.","Employed","3038","0.34470025582762","0.334562531008475","0.354837980646765"
"Rarely","2008","35-65 y.","Not Employed","686","0.274472823729814","0.255918181652353","0.293027465807275"
"Rarely","2008","66 and older","Employed","95","0.329713146047875","0.275419334681912","0.384006957413838"
"Rarely","2008","66 and older","Not Employed","1309","0.315235136788193","0.300927924779713","0.329542348796673"
"Sometimes","2008","16-34 y.","Employed","943","0.302624045243366","0.28663453466562","0.318613555821111"
"Sometimes","2008","16-34 y.","Not Employed","364","0.310231538478739","0.283992944001831","0.336470132955646"
"Sometimes","2008","35-65 y.","Employed","2496","0.29844907235276","0.288688744305482","0.308209400400038"
"Sometimes","2008","35-65 y.","Not Employed","724","0.333919559977265","0.314310339315118","0.353528780639412"
"Sometimes","2008","66 and older","Employed","85","0.334871109986877","0.280365200091656","0.389377019882097"
"Sometimes","2008","66 and older","Not Employed","1271","0.334031611772421","0.319507567589007","0.348555655955836"
"Very often","2008","16-34 y.","Employed","86","0.0298150359270345","0.0238954012127641","0.0357346706413049"
"Very often","2008","16-34 y.","Not Employed","37","0.026756761042757","0.0176035516966853","0.0359099703888287"
"Very often","2008","35-65 y.","Employed","193","0.0283226160811715","0.024784049054154","0.0318611831081891"
"Very often","2008","35-65 y.","Not Employed","122","0.0622852096489774","0.0522366477509545","0.0723337715470003"
"Very often","2008","66 and older","Employed","4","","",""
"Very often","2008","66 and older","Not Employed","145","0.0373653047279326","0.0315250473210704","0.0432055621347947"
"Very rare","2008","16-34 y.","Employed","662","0.203248277525896","0.189241929531453","0.217254625520339"
"Very rare","2008","16-34 y.","Not Employed","263","0.211730645099533","0.188558026717352","0.234903263481715"
"Very rare","2008","35-65 y.","Employed","1958","0.226516620845504","0.217588188205934","0.235445053485074"
"Very rare","2008","35-65 y.","Not Employed","410","0.174404082246519","0.158626583467405","0.190181581025633"
"Very rare","2008","66 and older","Employed","89","0.265087348609821","0.214111529888792","0.316063167330851"
"Very rare","2008","66 and older","Not Employed","853","0.188951282717103","0.176896334128048","0.201006231306157"
"Often","2009","16-34 y.","Employed","335","0.127798763042722","0.115769271179427","0.139828254906016"
"Often","2009","16-34 y.","Not Employed","104","0.0901601016955006","0.0727027843444046","0.107617419046597"
"Often","2009","35-65 y.","Employed","739","0.0986292719743338","0.0920688879203865","0.105189656028281"
"Often","2009","35-65 y.","Not Employed","242","0.149763231368105","0.133839145187204","0.165687317549006"
"Often","2009","66 and older","Employed","16","","",""
"Often","2009","66 and older","Not Employed","374","0.102038683106475","0.0924944559150398","0.111582910297911"
"Rarely","2009","16-34 y.","Employed","1050","0.336888535937097","0.319858640054048","0.353918431820146"
"Rarely","2009","16-34 y.","Not Employed","371","0.368479866096173","0.339077092243698","0.397882639948647"
"Rarely","2009","35-65 y.","Employed","2825","0.344419167905287","0.333963990518259","0.354874345292316"
