"plh0187","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Often","2007","direct migration background","Rural Area","43","0.113428579111758","0.0821557153513972","0.144701442872119"
"Often","2007","direct migration background","Urban Area","223","0.148013857722176","0.131284972112955","0.164742743331397"
"Often","2007","indirect migration background","Rural Area","12","","",""
"Often","2007","indirect migration background","Urban Area","93","0.163810638533848","0.135828118392284","0.191793158675413"
"Often","2007","no migration background","Rural Area","645","0.110778122450367","0.103116842616791","0.118439402283943"
"Often","2007","no migration background","Urban Area","1093","0.105251669184334","0.0995683241317986","0.110935014236869"
"Rarely","2007","direct migration background","Rural Area","125","0.291946197790019","0.24710945197652","0.336782943603518"
"Rarely","2007","direct migration background","Urban Area","526","0.294208205208436","0.272741507038691","0.31567490337818"
"Rarely","2007","indirect migration background","Rural Area","43","0.366706063501932","0.277457591344151","0.455954535659713"
"Rarely","2007","indirect migration background","Urban Area","191","0.271196629006087","0.237583357432823","0.304809900579351"
"Rarely","2007","no migration background","Rural Area","2243","0.329498666200317","0.318025166478914","0.340972165921719"
"Rarely","2007","no migration background","Urban Area","3712","0.314548560903587","0.305949098992379","0.323148022814794"
"Sometimes","2007","direct migration background","Rural Area","134","0.342859659609734","0.296049857814355","0.389669461405112"
"Sometimes","2007","direct migration background","Urban Area","549","0.335583763462474","0.313339391651073","0.357828135273875"
"Sometimes","2007","indirect migration background","Rural Area","42","0.390278977766456","0.299936448803261","0.480621506729652"
"Sometimes","2007","indirect migration background","Urban Area","199","0.325189813465758","0.289771919300764","0.360607707630752"
"Sometimes","2007","no migration background","Rural Area","2060","0.326940092096868","0.315489440334202","0.338390743859533"
"Sometimes","2007","no migration background","Urban Area","3394","0.320923572710913","0.312277891529456","0.329569253892369"
"Very often","2007","direct migration background","Rural Area","16","","",""
"Very often","2007","direct migration background","Urban Area","75","0.0405451898700536","0.0312537827780954","0.0498365969620117"
"Very often","2007","indirect migration background","Rural Area","1","","",""
"Very often","2007","indirect migration background","Urban Area","35","0.0519594013249361","0.0351787431172629","0.0687400595326093"
"Very often","2007","no migration background","Rural Area","212","0.0403007585159516","0.0355001814965367","0.0451013355353664"
"Very often","2007","no migration background","Urban Area","347","0.0348993990714828","0.0315005306900821","0.0382982674528834"
"Very rare","2007","direct migration background","Rural Area","77","0.199724577347085","0.160298366665518","0.239150788028653"
"Very rare","2007","direct migration background","Urban Area","358","0.181648983736861","0.163486055945617","0.199811911528105"
"Very rare","2007","indirect migration background","Rural Area","14","","",""
"Very rare","2007","indirect migration background","Urban Area","154","0.18784351766937","0.158312295679732","0.217374739659009"
"Very rare","2007","no migration background","Rural Area","1287","0.192482360736497","0.182858690501242","0.202106030971752"
"Very rare","2007","no migration background","Urban Area","2654","0.224376798129684","0.216650820454996","0.232102775804373"
"Often","2008","direct migration background","Rural Area","39","0.14028708750982","0.103694289705734","0.176879885313907"
"Often","2008","direct migration background","Urban Area","206","0.128152679210314","0.111560283479684","0.144745074940944"
"Often","2008","indirect migration background","Rural Area","5","","",""
"Often","2008","indirect migration background","Urban Area","80","0.155117626713389","0.127498825529505","0.182736427897274"
"Often","2008","no migration background","Rural Area","572","0.109302548343402","0.101466092454291","0.117139004232513"
