"pgfamstd","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","Full Time","West Germany","200","0.0511911974466038","0.0451031436375091","0.0572792512556985","4"
"Divorced","1984","Full Time","East Germany","","","","","4"
"Divorced","1984","Part Time","West Germany","51","0.0355583247151613","0.0266765759228507","0.0444400735074718","4"
"Divorced","1984","Part Time","East Germany","","","","","4"
"Divorced","1984","Not Working","West Germany","100","0.0289338573811683","0.0237295672181968","0.0341381475441397","4"
"Divorced","1984","Not Working","East Germany","","","","","4"
"Married","1984","Full Time","West Germany","3521","0.65591363042342","0.642790164498122","0.669037096348718","1"
"Married","1984","Full Time","East Germany","","","","","1"
"Married","1984","Part Time","West Germany","1107","0.637086715269759","0.614025055370812","0.660148375168706","1"
"Married","1984","Part Time","East Germany","","","","","1"
"Married","1984","Not Working","West Germany","2481","0.564129124330304","0.548733329515138","0.57952491914547","1"
"Married","1984","Not Working","East Germany","","","","","1"
"Married, but separated","1984","Full Time","East Germany","","","","","2"
"Married, but separated","1984","Full Time","West Germany","136","0.0206475677681045","0.0167193510589715","0.0245757844772376","2"
"Married, but separated","1984","Part Time","West Germany","35","0.0190122544118629","0.0124622973174529","0.0255622115062729","2"
"Married, but separated","1984","Part Time","East Germany","","","","","2"
"Married, but separated","1984","Not Working","West Germany","35","0.00885164519419471","0.00594350553449913","0.0117597848538903","2"
"Married, but separated","1984","Not Working","East Germany","","","","","2"
"Single","1984","Full Time","East Germany","","","","","3"
"Single","1984","Full Time","West Germany","1090","0.249201037734484","0.237252129096455","0.261149946372512","3"
"Single","1984","Part Time","East Germany","","","","","3"
"Single","1984","Part Time","West Germany","429","0.265203487712286","0.244031432679781","0.286375542744792","3"
"Single","1984","Not Working","West Germany","827","0.18677582279441","0.17467543195429","0.198876213634531","3"
"Single","1984","Not Working","East Germany","","","","","3"
"Widowed","1984","Full Time","West Germany","87","0.0230465666273881","0.018901499817883","0.0271916334368932","5"
"Widowed","1984","Full Time","East Germany","","","","","5"
"Widowed","1984","Part Time","West Germany","48","0.0431392178909308","0.0333949241672531","0.0528835116146085","5"
"Widowed","1984","Not Working","West Germany","542","0.211309550299923","0.198634584913148","0.223984515686698","5"
"Widowed","1984","Part Time","East Germany","","","","","5"
"Widowed","1984","Not Working","East Germany","","","","","5"
"Divorced","1985","Full Time","West Germany","189","0.0548159937686916","0.048248175551219","0.0613838119861643","4"
"Divorced","1985","Full Time","East Germany","","","","","4"
"Divorced","1985","Part Time","West Germany","71","0.0529434682799582","0.0423826865151887","0.0635042500447277","4"
"Divorced","1985","Part Time","East Germany","","","","","4"
"Divorced","1985","Not Working","West Germany","81","0.0262744337468258","0.0212363499607284","0.0313125175329233","4"
"Divorced","1985","Not Working","East Germany","","","","","4"
"Married","1985","Full Time","West Germany","3153","0.629620817758072","0.615686936035764","0.643554699480379","1"
"Married","1985","Full Time","East Germany","","","","","1"
"Married","1985","Part Time","West Germany","1069","0.578458275699131","0.555168879701475","0.601747671696788","1"
"Married","1985","Part Time","East Germany","","","","","1"
"Married","1985","Not Working","West Germany","2320","0.533049005677674","0.51733453931243","0.548763472042917","1"
"Married","1985","Not Working","East Germany","","","","","1"
"Married, but separated","1985","Full Time","West Germany","134","0.0237421184127306","0.0193492185269504","0.0281350182985108","2"
"Married, but separated","1985","Part Time","West Germany","35","0.0210193422916785","0.0142538634658143","0.0277848211175427","2"
"Married, but separated","1985","Full Time","East Germany","","","","","2"
"Married, but separated","1985","Part Time","East Germany","","","","","2"
"Married, but separated","1985","Not Working","West Germany","41","0.00918358018075666","0.00617900534679338","0.0121881550147199","2"
"Married, but separated","1985","Not Working","East Germany","","","","","2"
"Single","1985","Full Time","West Germany","1075","0.274256772042707","0.261383780853247","0.287129763232168","3"
"Single","1985","Full Time","East Germany","","","","","3"
"Single","1985","Part Time","West Germany","514","0.314841576540207","0.292936566219223","0.33674658686119","3"
"Single","1985","Part Time","East Germany","","","","","3"
"Single","1985","Not Working","West Germany","872","0.199269357486772","0.186687524928851","0.211851190044692","3"
"Single","1985","Not Working","East Germany","","","","","3"
"Widowed","1985","Full Time","West Germany","63","0.0175642980177987","0.0137739702876858","0.0213546257479117","5"
"Widowed","1985","Full Time","East Germany","","","","","5"
"Widowed","1985","Part Time","West Germany","38","0.0327373371890255","0.0243447509999688","0.0411299233780822","5"
"Widowed","1985","Part Time","East Germany","","","","","5"
"Widowed","1985","Not Working","West Germany","558","0.232223622907972","0.218923642916624","0.245523602899321","5"
"Widowed","1985","Not Working","East Germany","","","","","5"
"Divorced","1986","Full Time","West Germany","196","0.0542202080923751","0.0478119670814318","0.0606284491033184","4"
"Divorced","1986","Full Time","East Germany","","","","","4"
"Divorced","1986","Part Time","West Germany","71","0.0486854394337137","0.0387599750069569","0.0586109038604705","4"
"Divorced","1986","Part Time","East Germany","","","","","4"
"Divorced","1986","Not Working","West Germany","86","0.0288894612044732","0.0236171110530029","0.0341618113559435","4"
"Divorced","1986","Not Working","East Germany","","","","","4"
"Married","1986","Full Time","West Germany","3225","0.622106768331056","0.608385942494784","0.635827594167328","1"
"Married","1986","Full Time","East Germany","","","","","1"
"Married","1986","Part Time","West Germany","1120","0.596549690634897","0.573923702405878","0.619175678863916","1"
"Married","1986","Part Time","East Germany","","","","","1"
"Married","1986","Not Working","West Germany","2344","0.541235536189346","0.525550402408902","0.556920669969789","1"
"Married","1986","Not Working","East Germany","","","","","1"
"Married, but separated","1986","Full Time","East Germany","","","","","2"
"Married, but separated","1986","Full Time","West Germany","154","0.025483867079038","0.0210243234823187","0.0299434106757572","2"
"Married, but separated","1986","Part Time","East Germany","","","","","2"
"Married, but separated","1986","Part Time","West Germany","42","0.0242224531127725","0.0171320048852452","0.0313129013402998","2"
"Married, but separated","1986","Not Working","West Germany","64","0.016555178106529","0.0125387303877763","0.0205716258252817","2"
"Married, but separated","1986","Not Working","East Germany","","","","","2"
"Single","1986","Full Time","West Germany","1163","0.282204890148863","0.26946851780707","0.294941262490656","3"
"Single","1986","Full Time","East Germany","","","","","3"
"Single","1986","Part Time","West Germany","540","0.304649698268004","0.283422561509418","0.32587683502659","3"
"Single","1986","Part Time","East Germany","","","","","3"
"Single","1986","Not Working","West Germany","839","0.180852829961927","0.168737261038052","0.192968398885803","3"
"Single","1986","Not Working","East Germany","","","","","3"
"Widowed","1986","Full Time","West Germany","59","0.0159842663486676","0.0124352286962802","0.0195333040010549","5"
"Widowed","1986","Full Time","East Germany","","","","","5"
"Widowed","1986","Part Time","West Germany","33","0.025892718550613","0.0185681602830136","0.0332172768182123","5"
"Widowed","1986","Part Time","East Germany","","","","","5"
"Widowed","1986","Not Working","West Germany","544","0.232466994537725","0.219170738453302","0.245763250622147","5"
"Widowed","1986","Not Working","East Germany","","","","","5"
"Divorced","1987","Full Time","East Germany","","","","","4"
"Divorced","1987","Full Time","West Germany","215","0.0579386435867601","0.0513716835978913","0.0645056035756288","4"
"Divorced","1987","Part Time","West Germany","70","0.0451686115266654","0.0355827325507063","0.0547544905026246","4"
"Divorced","1987","Part Time","East Germany","","","","","4"
"Divorced","1987","Not Working","West Germany","96","0.0335067212374896","0.0277585329411547","0.0392549095338246","4"
"Divorced","1987","Not Working","East Germany","","","","","4"
"Married","1987","Full Time","West Germany","3188","0.606527570457061","0.592795910484857","0.620259230429264","1"
"Married","1987","Full Time","East Germany","","","","","1"
"Married","1987","Part Time","West Germany","1113","0.60416185270421","0.581589038843574","0.626734666564847","1"
"Married","1987","Part Time","East Germany","","","","","1"
"Married","1987","Not Working","West Germany","2308","0.556287690453263","0.540418087383819","0.572157293522707","1"
"Married","1987","Not Working","East Germany","","","","","1"
"Married, but separated","1987","Full Time","East Germany","","","","","2"
"Married, but separated","1987","Full Time","West Germany","156","0.024729023702635","0.0203637975428428","0.0290942498624272","2"
"Married, but separated","1987","Part Time","West Germany","44","0.0279032081996341","0.0203011349071239","0.0355052814921442","2"
"Married, but separated","1987","Part Time","East Germany","","","","","2"
"Married, but separated","1987","Not Working","West Germany","36","0.0078600915819214","0.0050393333545713","0.0106808498092715","2"
"Married, but separated","1987","Not Working","East Germany","","","","","2"
"Single","1987","Full Time","West Germany","1239","0.292943125171206","0.280150506817632","0.305735743524779","3"
"Single","1987","Full Time","East Germany","","","","","3"
"Single","1987","Part Time","West Germany","537","0.29424435349516","0.273209888169861","0.315278818820459","3"
"Single","1987","Part Time","East Germany","","","","","3"
"Single","1987","Not Working","West Germany","768","0.158689308167095","0.147018051007323","0.170360565326867","3"
"Single","1987","Not Working","East Germany","","","","","3"
"Widowed","1987","Full Time","West Germany","64","0.0178616370823384","0.0141386838396784","0.0215845903249983","5"
"Widowed","1987","Full Time","East Germany","","","","","5"
"Widowed","1987","Part Time","West Germany","39","0.0285219740743301","0.020838519838482","0.0362054283101783","5"
"Widowed","1987","Not Working","West Germany","557","0.243656188560231","0.229943773423683","0.257368603696779","5"
"Widowed","1987","Part Time","East Germany","","","","","5"
"Widowed","1987","Not Working","East Germany","","","","","5"
"Divorced","1988","Full Time","East Germany","","","","","4"
"Divorced","1988","Full Time","West Germany","191","0.0569944676478392","0.0502796188116723","0.0637093164840062","4"
"Divorced","1988","Part Time","West Germany","81","0.0494198808005328","0.0395299075700812","0.0593098540309843","4"
"Divorced","1988","Part Time","East Germany","","","","","4"
"Divorced","1988","Not Working","West Germany","84","0.0314868878597017","0.025733476443124","0.0372402992762794","4"
"Divorced","1988","Not Working","East Germany","","","","","4"
"Married","1988","Full Time","West Germany","2952","0.599016677555737","0.584821351210668","0.613212003900807","1"
"Married","1988","Full Time","East Germany","","","","","1"
"Married","1988","Part Time","West Germany","1169","0.605125236965416","0.582820236955158","0.627430236975673","1"
"Married","1988","Part Time","East Germany","","","","","1"
"Married","1988","Not Working","West Germany","2188","0.548478512263004","0.532082930542969","0.564874093983039","1"
"Married","1988","Not Working","East Germany","","","","","1"
"Married, but separated","1988","Full Time","West Germany","147","0.0275834850615277","0.0228398256402515","0.032327144482804","2"
"Married, but separated","1988","Full Time","East Germany","","","","","2"
"Married, but separated","1988","Part Time","West Germany","58","0.0361687155662559","0.0276491596384851","0.0446882714940267","2"
"Married, but separated","1988","Part Time","East Germany","","","","","2"
"Married, but separated","1988","Not Working","East Germany","","","","","2"
"Married, but separated","1988","Not Working","West Germany","51","0.0157198971475548","0.0116217078692314","0.0198180864258782","2"
"Single","1988","Full Time","East Germany","","","","","3"
"Single","1988","Full Time","West Germany","1231","0.301352813166049","0.288062679417395","0.314642946914702","3"
"Single","1988","Part Time","West Germany","481","0.265314612757368","0.245168967052661","0.285460258462075","3"
"Single","1988","Part Time","East Germany","","","","","3"
"Single","1988","Not Working","East Germany","","","","","3"
"Single","1988","Not Working","West Germany","701","0.165566173344409","0.153320305563617","0.177812041125202","3"
"Widowed","1988","Full Time","West Germany","58","0.0150525565688471","0.0115258085432019","0.0185793045944922","5"
"Widowed","1988","Full Time","East Germany","","","","","5"
"Widowed","1988","Not Working","West Germany","515","0.23874852938533","0.224702866693005","0.252794192077655","5"
