"pgfamstd","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","16-34 y.","West Germany","86","0.0245194576434283","0.0197440088486586","0.0292949064381981","4"
"Divorced","1984","16-34 y.","East Germany","","","","","4"
"Divorced","1984","35-65 y.","West Germany","238","0.0532724871267968","0.0474015790013426","0.059143395252251","4"
"Divorced","1984","35-65 y.","East Germany","","","","","4"
"Divorced","1984","66 and older","West Germany","27","","","","4"
"Divorced","1984","66 and older","East Germany","","","","","4"
"Married","1984","16-34 y.","West Germany","1817","0.398958819478702","0.383838338478068","0.414079300479337","1"
"Married","1984","16-34 y.","East Germany","","","","","1"
"Married","1984","35-65 y.","West Germany","4768","0.813104714734701","0.802913787259629","0.823295642209773","1"
"Married","1984","35-65 y.","East Germany","","","","","1"
"Married","1984","66 and older","West Germany","524","0.437073749293652","0.40691290950716","0.467234589080144","1"
"Married","1984","66 and older","East Germany","","","","","1"
"Married, but separated","1984","16-34 y.","East Germany","","","","","2"
"Married, but separated","1984","16-34 y.","West Germany","66","0.0150533467004947","0.0112934809020852","0.0188132124989041","2"
"Married, but separated","1984","35-65 y.","West Germany","134","0.0186784075544124","0.015139111438651","0.0222177036701737","2"
"Married, but separated","1984","35-65 y.","East Germany","","","","","2"
"Married, but separated","1984","66 and older","West Germany","6","","","","2"
"Married, but separated","1984","66 and older","East Germany","","","","","2"
"Single","1984","16-34 y.","East Germany","","","","","3"
"Single","1984","16-34 y.","West Germany","2050","0.559554348221483","0.544225244661779","0.574883451781186","3"
"Single","1984","35-65 y.","East Germany","","","","","3"
"Single","1984","35-65 y.","West Germany","232","0.052896409798155","0.0470450993859709","0.0587477202103391","3"
"Single","1984","66 and older","West Germany","64","0.0692831104429834","0.0538425591208593","0.0847236617651074","3"
"Single","1984","66 and older","East Germany","","","","","3"
"Widowed","1984","16-34 y.","West Germany","10","","","","5"
"Widowed","1984","16-34 y.","East Germany","","","","","5"
"Widowed","1984","35-65 y.","West Germany","249","0.0620479807859351","0.0557413786120652","0.068354582959805","5"
