"pgfamstd","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","Not Employed","no migration background","88","0.0293478968318591","0.0234122554068394","0.0352835382568788","4"
"Divorced","1984","Not Employed","direct migration background","12","","","","4"
"Divorced","1984","Not Employed","indirect migration background","","","","","4"
"Divorced","1984","Employed","no migration background","199","0.0479424838782795","0.0417530704440246","0.0541318973125343","4"
"Divorced","1984","Employed","direct migration background","49","0.0373384233752819","0.0291612563274547","0.0455155904231092","4"
"Divorced","1984","Employed","indirect migration background","3","","","","4"
"Married","1984","Not Employed","no migration background","1854","0.554825899356405","0.5373479420875","0.572303856625311","1"
"Married","1984","Not Employed","direct migration background","612","0.687037095533226","0.655471982348614","0.718602208717838","1"
"Married","1984","Not Employed","indirect migration background","15","","","","1"
"Married","1984","Employed","no migration background","3066","0.645822895300513","0.631967318972506","0.65967847162852","1"
"Married","1984","Employed","direct migration background","1544","0.704233777565418","0.684549441272039","0.723918113858797","1"
"Married","1984","Employed","indirect migration background","18","","","","1"
"Married, but separated","1984","Not Employed","direct migration background","11","","","","2"
"Married, but separated","1984","Not Employed","no migration background","24","","","","2"
"Married, but separated","1984","Not Employed","indirect migration background","","","","","2"
"Married, but separated","1984","Employed","no migration background","60","0.0145267279547964","0.0110604453996425","0.0179930105099503","2"
"Married, but separated","1984","Employed","direct migration background","110","0.0648109343173386","0.0541924650514586","0.0754294035832187","2"
"Married, but separated","1984","Employed","indirect migration background","1","","","","2"
"Single","1984","Not Employed","direct migration background","161","0.153540981615782","0.129000337898975","0.178081625332589","3"
"Single","1984","Not Employed","no migration background","632","0.188094189686634","0.174350989261077","0.201837390112191","3"
"Single","1984","Employed","no migration background","1148","0.263012731283838","0.250257861968749","0.275767600598927","3"
"Single","1984","Not Employed","indirect migration background","34","0.466522092550186","0.328242715037288","0.604801470063083","3"
"Single","1984","Employed","direct migration background","331","0.166233446522285","0.150176258146764","0.182290634897806","3"
"Single","1984","Employed","indirect migration background","40","0.48292010644157","0.358534904529701","0.607305308353438","3"
"Widowed","1984","Not Employed","no migration background","508","0.220018420324731","0.205449778718994","0.234587061930467","5"
"Widowed","1984","Not Employed","direct migration background","33","0.110468667841748","0.0891298179135301","0.131807517769965","5"
"Widowed","1984","Not Employed","indirect migration background","1","","","","5"
"Widowed","1984","Employed","direct migration background","31","0.0273834182196768","0.0203445517358746","0.034422284703479","5"
"Widowed","1984","Employed","no migration background","104","0.0286951615825732","0.0238585662975","0.0335317568676465","5"
"Widowed","1984","Employed","indirect migration background","","","","","5"
"Divorced","1985","Not Employed","no migration background","72","0.0275827019827697","0.021707528909909","0.0334578750556304","4"
"Divorced","1985","Not Employed","direct migration background","9","","","","4"
"Divorced","1985","Not Employed","indirect migration background","","","","","4"
"Divorced","1985","Employed","no migration background","211","0.0557588610657904","0.048973610412967","0.0625441117186137","4"
"Divorced","1985","Employed","direct migration background","46","0.0405811040157592","0.0316545874035889","0.0495076206279295","4"
"Divorced","1985","Employed","indirect migration background","3","","","","4"
"Married","1985","Not Employed","no migration background","1706","0.522505888513265","0.504587228553959","0.540424548472572","1"
"Married","1985","Not Employed","direct migration background","600","0.672727946818233","0.640670984343623","0.704784909292844","1"
"Married","1985","Not Employed","indirect migration background","14","","","","1"
"Married","1985","Employed","no migration background","2809","0.607955587102927","0.593518783417678","0.622392390788176","1"
"Married","1985","Employed","direct migration background","1399","0.688456036037242","0.667504603088183","0.709407468986302","1"
"Married","1985","Employed","indirect migration background","14","","","","1"
"Married, but separated","1985","Not Employed","no migration background","28","","","","2"
"Married, but separated","1985","Not Employed","indirect migration background","1","","","","2"
"Married, but separated","1985","Not Employed","direct migration background","12","","","","2"
"Married, but separated","1985","Employed","no migration background","72","0.0169041344970938","0.0130920554816768","0.0207162135125108","2"
"Married, but separated","1985","Employed","direct migration background","96","0.0722851798642386","0.0605700303689659","0.0840003293595112","2"
"Married, but separated","1985","Employed","indirect migration background","1","","","","2"
"Single","1985","Not Employed","no migration background","656","0.20022684831735","0.185871276724794","0.214582419909906","3"
"Single","1985","Not Employed","direct migration background","168","0.165620676855898","0.140223396234709","0.191017957477086","3"
"Single","1985","Not Employed","indirect migration background","48","0.510781824221167","0.388312558670316","0.633251089772018","3"
"Single","1985","Employed","no migration background","1226","0.297728113374184","0.284206452061506","0.311249774686862","3"
"Single","1985","Employed","direct migration background","310","0.17337448764716","0.156248211101556","0.190500764192763","3"
"Single","1985","Employed","indirect migration background","53","0.602101648752886","0.488249850466037","0.715953447039735","3"
"Widowed","1985","Not Employed","no migration background","523","0.241746566215955","0.226387554447302","0.257105577984609","5"
"Widowed","1985","Not Employed","direct migration background","34","0.129914819559337","0.10694495647685","0.152884682641824","5"
"Widowed","1985","Not Employed","indirect migration background","1","","","","5"
"Widowed","1985","Employed","no migration background","75","0.0216533039600047","0.017349267249342","0.0259573406706675","5"
"Widowed","1985","Employed","direct migration background","26","","","","5"
"Widowed","1985","Employed","indirect migration background","","","","","5"
"Divorced","1986","Not Employed","no migration background","72","0.0292513317849611","0.0232052376416954","0.0352974259282268","4"
"Divorced","1986","Not Employed","direct migration background","14","","","","4"
"Divorced","1986","Not Employed","indirect migration background","","","","","4"
"Divorced","1986","Employed","no migration background","216","0.0536475890052613","0.0471084645090033","0.0601867135015193","4"
"Divorced","1986","Employed","direct migration background","48","0.043467658542361","0.0344173426507265","0.0525179744339955","4"
"Divorced","1986","Employed","indirect migration background","3","","","","4"
"Married","1986","Not Employed","no migration background","1741","0.533774774129476","0.51587590517647","0.551673643082483","1"
"Married","1986","Not Employed","direct migration background","589","0.643366898669026","0.610779535075514","0.675954262262538","1"
"Married","1986","Not Employed","indirect migration background","14","","","","1"
"Married","1986","Employed","no migration background","2925","0.609282051120064","0.595122192136143","0.623441910103986","1"
"Married","1986","Employed","direct migration background","1403","0.675841767248617","0.655067207586383","0.696616326910852","1"
"Married","1986","Employed","indirect migration background","17","","","","1"
"Married, but separated","1986","Not Employed","direct migration background","19","","","","2"
"Married, but separated","1986","Not Employed","no migration background","45","0.0157443740352941","0.0112778946499652","0.020210853420623","2"
"Married, but separated","1986","Employed","no migration background","75","0.0176811908012535","0.0138564673368812","0.0215059142656257","2"
"Married, but separated","1986","Not Employed","indirect migration background","","","","","2"
"Married, but separated","1986","Employed","direct migration background","119","0.0810669616666416","0.06895276370118","0.0931811596321033","2"
"Married, but separated","1986","Employed","indirect migration background","2","","","","2"
"Single","1986","Not Employed","no migration background","621","0.180196536372877","0.166406139161759","0.193986933583995","3"
"Single","1986","Not Employed","direct migration background","170","0.158120030920626","0.133298556334805","0.182941505506447","3"
"Single","1986","Not Employed","indirect migration background","48","0.597053032669075","0.475935164975667","0.718170900362482","3"
"Single","1986","Employed","no migration background","1276","0.30090176448761","0.28759110648233","0.31421242249289","3"
"Single","1986","Employed","direct migration background","357","0.177272330452646","0.160321955319824","0.194222705585468","3"
"Single","1986","Employed","indirect migration background","70","0.542074834919811","0.440267034203346","0.643882635636276","3"
"Widowed","1986","Not Employed","no migration background","505","0.241032983677391","0.225686871402598","0.256379095952184","5"
"Widowed","1986","Not Employed","direct migration background","38","0.144823485746654","0.120881706305813","0.168765265187496","5"
"Widowed","1986","Not Employed","indirect migration background","1","","","","5"
"Widowed","1986","Employed","no migration background","69","0.0184874045858108","0.0145780598773134","0.0223967492943083","5"
"Widowed","1986","Employed","direct migration background","23","","","","5"
"Widowed","1986","Employed","indirect migration background","","","","","5"
"Divorced","1987","Not Employed","direct migration background","14","","","","4"
"Divorced","1987","Not Employed","no migration background","81","0.0335056243511893","0.0268908020143213","0.0401204466880572","4"
"Divorced","1987","Not Employed","indirect migration background","1","","","","4"
"Divorced","1987","Employed","no migration background","223","0.0549879777614828","0.0484083235401511","0.0615676319828145","4"
"Divorced","1987","Employed","direct migration background","59","0.0483144115816847","0.0388043777248464","0.057824445438523","4"
"Divorced","1987","Employed","indirect migration background","3","","","","4"
"Married","1987","Not Employed","no migration background","1682","0.546127931835442","0.527826983960839","0.564428879710046","1"
"Married","1987","Not Employed","direct migration background","610","0.674685568222363","0.643134885511609","0.706236250933117","1"
"Married","1987","Not Employed","indirect migration background","16","","","","1"
"Married","1987","Employed","no migration background","2872","0.597931614902915","0.583779340159325","0.612083889646505","1"
"Married","1987","Employed","direct migration background","1406","0.687214324446749","0.666652270275851","0.707776378617648","1"
"Married","1987","Employed","indirect migration background","23","","","","1"
"Married, but separated","1987","Not Employed","direct migration background","10","","","","2"
"Married, but separated","1987","Not Employed","no migration background","26","","","","2"
"Married, but separated","1987","Not Employed","indirect migration background","","","","","2"
"Married, but separated","1987","Employed","no migration background","80","0.0196161359403548","0.0156134147671217","0.023618857113588","2"
"Married, but separated","1987","Employed","direct migration background","117","0.0687454301988882","0.0575238738434864","0.07996698655429","2"
"Married, but separated","1987","Employed","indirect migration background","3","","","","2"
"Single","1987","Not Employed","no migration background","539","0.157517803608104","0.144127055183911","0.170908552032298","3"
"Single","1987","Not Employed","direct migration background","172","0.145314616135282","0.121580985789485","0.169048246481079","3"
"Single","1987","Not Employed","indirect migration background","57","0.542161965641982","0.429406418398904","0.654917512885059","3"
"Single","1987","Employed","no migration background","1358","0.307155634337354","0.293840436676688","0.32047083199802","3"
"Single","1987","Employed","direct migration background","346","0.169141854146959","0.152515923906022","0.185767784387897","3"
"Single","1987","Employed","indirect migration background","72","0.559594613507427","0.462777868413813","0.65641135860104","3"
"Widowed","1987","Not Employed","no migration background","515","0.254885581983495","0.238866272951858","0.270904891015131","5"
"Widowed","1987","Not Employed","direct migration background","41","0.137377195056085","0.114193952669594","0.160560437442577","5"
"Widowed","1987","Not Employed","indirect migration background","1","","","","5"
"Widowed","1987","Employed","direct migration background","25","","","","5"
"Widowed","1987","Employed","no migration background","78","0.0203086370578938","0.0162373140578214","0.0243799600579661","5"
"Widowed","1987","Employed","indirect migration background","","","","","5"
"Divorced","1988","Not Employed","direct migration background","16","","","","4"
"Divorced","1988","Not Employed","no migration background","67","0.0307761701605712","0.0241817424743584","0.0373705978467839","4"
"Divorced","1988","Not Employed","indirect migration background","1","","","","4"
"Divorced","1988","Employed","no migration background","210","0.0543687515019762","0.0476955096236689","0.0610419933802835","4"
"Divorced","1988","Employed","direct migration background","57","0.0560345679707249","0.0455938300043635","0.0664753059370864","4"
"Divorced","1988","Employed","indirect migration background","5","","","","4"
"Married","1988","Not Employed","no migration background","1554","0.537512308334633","0.518475151946893","0.556549464722373","1"
"Married","1988","Not Employed","direct migration background","614","0.688730536994252","0.656765626113772","0.720695447874733","1"
"Married","1988","Not Employed","indirect migration background","20","","","","1"
"Married","1988","Employed","no migration background","2759","0.593642991551472","0.579188000450552","0.608097982652393","1"
"Married","1988","Employed","direct migration background","1337","0.679394146473912","0.658207034538959","0.700581258408864","1"
"Married","1988","Employed","indirect migration background","25","","","","1"
"Married, but separated","1988","Not Employed","no migration background","39","0.0164712226336984","0.0116114691950366","0.0213309760723602","2"
"Married, but separated","1988","Not Employed","direct migration background","12","","","","2"
"Married, but separated","1988","Not Employed","indirect migration background","","","","","2"
"Married, but separated","1988","Employed","no migration background","103","0.0262393895288797","0.0215349895018896","0.0309437895558698","2"
"Married, but separated","1988","Employed","indirect migration background","3","","","","2"
"Married, but separated","1988","Employed","direct migration background","99","0.059657874089266","0.048905559318072","0.0704101888604601","2"
"Single","1988","Not Employed","direct migration background","125","0.129725688731191","0.106529232347644","0.152922145114738","3"
"Single","1988","Not Employed","no migration background","500","0.164678395684456","0.150517101269792","0.17883969009912","3"
"Single","1988","Not Employed","indirect migration background","76","0.667949917668775","0.574708514686037","0.761191320651512","3"
