"pgfamstd","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","middle vocational","Male","88","0.0365291021493797","0.0295641456854661","0.0434940586132933","4"
"Divorced","1984","middle vocational","Female","108","0.0553638816334949","0.0459748356162396","0.0647529276507502","4"
"Divorced","1984","vocational + Abi","Male","3","","","","4"
"Divorced","1984","vocational + Abi","Female","5","","","","4"
"Divorced","1984","higher vocational","Male","8","","","","4"
"Divorced","1984","higher vocational","Female","9","","","","4"
"Divorced","1984","higher education","Male","10","","","","4"
"Divorced","1984","higher education","Female","16","","","","4"
"Divorced","1984","in school","Male","","","","","4"
"Divorced","1984","in school","Female","","","","","4"
"Divorced","1984","inadequately","Male","7","","","","4"
"Divorced","1984","inadequately","Female","16","","","","4"
"Divorced","1984","general elemantary","Male","18","","","","4"
"Divorced","1984","general elemantary","Female","63","0.0331761223373549","0.0252614597179856","0.0410907849567241","4"
"Married","1984","in school","Male","","","","","1"
"Married","1984","in school","Female","","","","","1"
"Married","1984","inadequately","Male","262","0.489177086680723","0.437177229309426","0.541176944052019","1"
"Married","1984","inadequately","Female","395","0.668113617256543","0.626334615534925","0.70989261897816","1"
"Married","1984","general elemantary","Male","545","0.498517681251297","0.467589859732798","0.529445502769795","1"
"Married","1984","general elemantary","Female","1240","0.549752407294944","0.527765953842663","0.571738860747226","1"
"Married","1984","middle vocational","Male","1942","0.684788700205955","0.667539904110385","0.702037496301525","1"
"Married","1984","middle vocational","Female","1538","0.61879658921589","0.598856446012796","0.638736732418983","1"
"Married","1984","vocational + Abi","Male","112","0.579912627279597","0.50460183520059","0.655223419358604","1"
"Married","1984","vocational + Abi","Female","54","0.420819533040645","0.324538153891673","0.517100912189616","1"
"Married","1984","higher vocational","Male","284","0.809161152244454","0.767635183315409","0.850687121173499","1"
"Married","1984","higher vocational","Female","158","0.576479724616041","0.51460772234506","0.638351726887022","1"
"Married","1984","higher education","Male","394","0.775628798743093","0.739063122610156","0.81219447487603","1"
"Married","1984","higher education","Female","140","0.540056451216938","0.475785615647186","0.604327286786689","1"
"Married, but separated","1984","middle vocational","Male","54","0.0122474225327723","0.00816398380798879","0.0163308612575557","2"
"Married, but separated","1984","middle vocational","Female","31","0.0141569944902644","0.00930673091697773","0.0190072580635511","2"
"Married, but separated","1984","in school","Female","","","","","2"
"Married, but separated","1984","inadequately","Male","28","","","","2"
"Married, but separated","1984","inadequately","Female","11","","","","2"
"Married, but separated","1984","general elemantary","Male","26","","","","2"
"Married, but separated","1984","general elemantary","Female","18","","","","2"
