"pgfamstd","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"1","1984","Full Time","Male","2696","0.730880011755111","0.716364278850052","0.745395744660171"
"1","1984","Full Time","Female","825","0.470635372578788","0.444926469219296","0.49634427593828"
"1","1984","Part Time","Male","276","0.468914064842177","0.427655989655806","0.510172140028547"
"1","1984","Part Time","Female","831","0.720602611928716","0.694182339119962","0.747022884737471"
"1","1984","Not Working","Male","588","0.556166783670812","0.527069563229751","0.585264004111873"
"1","1984","Not Working","Female","1893","0.567341918441322","0.549200108015462","0.585483728867182"
"2","1984","Full Time","Male","41","0.0123786806920154","0.00875979090614367","0.0159975704778871"
"2","1984","Full Time","Female","23","","",""
"2","1984","Part Time","Male","8","","",""
"2","1984","Part Time","Female","16","","",""
"2","1984","Not Working","Male","12","","",""
"2","1984","Not Working","Female","17","","",""
"3","1984","Full Time","Male","652","0.20028162864328","0.187182812631675","0.213380444654885"
"3","1984","Full Time","Female","438","0.370104604509362","0.345235492919908","0.394973716098815"
"3","1984","Part Time","Male","252","0.465520248210757","0.424280609713947","0.506759886707566"
"3","1984","Part Time","Female","177","0.165724566340042","0.143830502295523","0.18761863038456"
"3","1984","Not Working","Male","425","0.310813142495832","0.283707652638278","0.337918632353386"
"3","1984","Not Working","Female","402","0.136726925450612","0.124146744161816","0.149307106739408"
"4","1984","Full Time","Male","98","0.0354728913788503","0.0294188071056618","0.0415269756520388"
"4","1984","Full Time","Female","102","0.0900387490126408","0.075295609141259","0.104781888884023"
"4","1984","Part Time","Male","13","","",""
"4","1984","Part Time","Female","38","0.0362490442420774","0.0252435664484452","0.0472545220357096"
"4","1984","Not Working","Male","23","","",""
"4","1984","Not Working","Female","77","0.0312826266937346","0.0249082763652183","0.0376569770222509"
"5","1984","Full Time","Male","34","0.0137636285460604","0.00995033772986725","0.0175769193622536"
"5","1984","Full Time","Female","53","0.045989205245332","0.0352005228871308","0.0567778876035332"
"5","1984","Part Time","Male","5","","",""
"5","1984","Part Time","Female","43","0.0584713006684624","0.0446558082322263","0.0722867931046985"
"5","1984","Not Working","Male","70","0.0966556646699159","0.0793503540791222","0.11396097526071"
"5","1984","Not Working","Female","472","0.25757224418735","0.241559623771595","0.273584864603105"
"6","1984","Full Time","Male","65","0.00722315898468276","0.0044515474875492","0.00999477048181633"
"6","1984","Full Time","Female","7","","",""
"6","1984","Part Time","Male","8","","",""
"6","1984","Part Time","Female","3","","",""
"6","1984","Not Working","Male","2","","",""
"6","1984","Not Working","Female","4","","",""
"7","1984","Full Time","Male","","","",""
"7","1984","Full Time","Female","","","",""
"7","1984","Part Time","Male","","","",""
"7","1984","Part Time","Female","","","",""
"7","1984","Not Working","Male","","","",""
"7","1984","Not Working","Female","","","",""
"8","1984","Full Time","Male","","","",""
"8","1984","Full Time","Female","","","",""
"8","1984","Part Time","Male","","","",""
"8","1984","Part Time","Female","","","",""
"8","1984","Not Working","Male","","","",""
"8","1984","Not Working","Female","","","",""
"1","1985","Full Time","Male","2413","0.702968243894476","0.687342176295223","0.718594311493729"
"1","1985","Full Time","Female","740","0.450971258081235","0.424219176959913","0.477723339202558"
"1","1985","Part Time","Male","292","0.420046003656484","0.381382062096449","0.458709945216519"
