"pgfamstd","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"4","1984","Couple + C. GT 16 ","East Germany","","","",""
"4","1984","Couple + C. LE and GT 16","West Germany","8","","",""
"4","1984","Couple + C. LE and GT 16","East Germany","","","",""
"5","1984","1-pers.-HH","West Germany","418","0.483883672739261","0.454418347769506","0.513348997709016"
"5","1984","1-pers.-HH","East Germany","","","",""
"5","1984","(Married) couple without C. ","West Germany","24","","",""
"5","1984","(Married) couple without C. ","East Germany","","","",""
"5","1984","Single parent ","West Germany","114","0.254209271561145","0.215498293924908","0.292920249197381"
"5","1984","Single parent ","East Germany","","","",""
"5","1984","Couple + C. LE 16 ","West Germany","8","","",""
"5","1984","Couple + C. LE 16 ","East Germany","","","",""
"5","1984","Couple + C. GT 16 ","West Germany","","","",""
"5","1984","Couple + C. GT 16 ","East Germany","","","",""
"5","1984","Couple + C. LE and GT 16","West Germany","6","","",""
"5","1984","Couple + C. LE and GT 16","East Germany","","","",""
"6","1984","1-pers.-HH","West Germany","56","0.0153180602218044","0.00807675548123169","0.022559364962377"
"6","1984","1-pers.-HH","East Germany","","","",""
"6","1984","(Married) couple without C. ","West Germany","3","","",""
"6","1984","(Married) couple without C. ","East Germany","","","",""
"6","1984","Single parent ","West Germany","13","","",""
"6","1984","Single parent ","East Germany","","","",""
"6","1984","Couple + C. LE 16 ","West Germany","1","","",""
"6","1984","Couple + C. LE 16 ","East Germany","","","",""
"6","1984","Couple + C. GT 16 ","West Germany","3","","",""
"6","1984","Couple + C. GT 16 ","East Germany","","","",""
"6","1984","Couple + C. LE and GT 16","West Germany","7","","",""
"6","1984","Couple + C. LE and GT 16","East Germany","","","",""
"7","1984","1-pers.-HH","West Germany","","","",""
"7","1984","1-pers.-HH","East Germany","","","",""
"7","1984","(Married) couple without C. ","West Germany","","","",""
"7","1984","(Married) couple without C. ","East Germany","","","",""
"7","1984","Single parent ","West Germany","","","",""
"7","1984","Single parent ","East Germany","","","",""
"7","1984","Couple + C. LE 16 ","West Germany","","","",""
"7","1984","Couple + C. LE 16 ","East Germany","","","",""
"7","1984","Couple + C. GT 16 ","West Germany","","","",""
"7","1984","Couple + C. GT 16 ","East Germany","","","",""
"7","1984","Couple + C. LE and GT 16","West Germany","","","",""
"7","1984","Couple + C. LE and GT 16","East Germany","","","",""
"8","1984","1-pers.-HH","West Germany","","","",""
"8","1984","1-pers.-HH","East Germany","","","",""
"8","1984","(Married) couple without C. ","West Germany","","","",""
"8","1984","(Married) couple without C. ","East Germany","","","",""
"8","1984","Single parent ","West Germany","","","",""
"8","1984","Single parent ","East Germany","","","",""
"8","1984","Couple + C. LE 16 ","West Germany","","","",""
"8","1984","Couple + C. LE 16 ","East Germany","","","",""
"8","1984","Couple + C. GT 16 ","West Germany","","","",""
"8","1984","Couple + C. GT 16 ","East Germany","","","",""
"8","1984","Couple + C. LE and GT 16","West Germany","","","",""
"8","1984","Couple + C. LE and GT 16","East Germany","","","",""
"1","1985","1-pers.-HH","West Germany","11","","",""
"1","1985","1-pers.-HH","East Germany","","","",""
"1","1985","(Married) couple without C. ","West Germany","1922","0.891604503037848","0.878578349909133","0.904630656166563"
"1","1985","(Married) couple without C. ","East Germany","","","",""
"1","1985","Single parent ","West Germany","11","","",""
"1","1985","Single parent ","East Germany","","","",""
"1","1985","Couple + C. LE 16 ","West Germany","2407","0.964765421444422","0.957526573114004","0.97200426977484"
"1","1985","Couple + C. LE 16 ","East Germany","","","",""
"1","1985","Couple + C. GT 16 ","West Germany","1079","0.559700167386904","0.537402132142718","0.581998202631089"
"1","1985","Couple + C. GT 16 ","East Germany","","","",""
"1","1985","Couple + C. LE and GT 16","West Germany","833","0.557542460703526","0.53167276990495","0.583412151502102"
"1","1985","Couple + C. LE and GT 16","East Germany","","","",""
