"pgfamstd","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","West Germany","Female","217","0.045716120802768","0.0401560302216725","0.0512762113838636","4"
"Divorced","1984","West Germany","Male","134","0.0321231095413072","0.0273616065940764","0.0368846124885381","4"
"Divorced","1984","East Germany","Male","","","","","4"
"Divorced","1984","East Germany","Female","","","","","4"
"Married","1984","West Germany","Male","3560","0.657263848979038","0.644447183819116","0.67008051413896","1"
"Married","1984","West Germany","Female","3549","0.57498900061885","0.56182953539508","0.58814846584262","1"
"Married","1984","East Germany","Male","","","","","1"
"Married","1984","East Germany","Female","","","","","1"
"Married, but separated","1984","West Germany","Female","70","0.0130895444550843","0.0100639582694046","0.0161151306407639","2"
"Married, but separated","1984","East Germany","Male","","","","","2"
"Married, but separated","1984","East Germany","Female","","","","","2"
"Married, but separated","1984","West Germany","Male","136","0.0179025389772829","0.0143219059272148","0.021483172027351","2"
"Single","1984","West Germany","Male","1329","0.25758762335106","0.245778699949178","0.269396546752943","3"
"Single","1984","East Germany","Female","","","","","3"
"Single","1984","East Germany","Male","","","","","3"
"Single","1984","West Germany","Female","1017","0.195859835990004","0.185295384391606","0.206424287588401","3"
"Widowed","1984","West Germany","Male","109","0.0351228791513122","0.0301517360299123","0.040094022272712","5"
"Widowed","1984","West Germany","Female","568","0.170345498133294","0.160338072886217","0.180352923380371","5"
"Widowed","1984","East Germany","Male","","","","","5"
"Widowed","1984","East Germany","Female","","","","","5"
"Divorced","1985","East Germany","Male","","","","","4"
"Divorced","1985","West Germany","Female","211","0.0486017397220257","0.0427413578396696","0.0544621216043817","4"
"Divorced","1985","East Germany","Female","","","","","4"
"Divorced","1985","West Germany","Male","130","0.0348750741038937","0.0298105449218182","0.0399396032859692","4"
"Married","1985","West Germany","Male","3266","0.621542858493139","0.608154305709806","0.634931411276472","1"
"Married","1985","West Germany","Female","3276","0.541697557957332","0.528118383826731","0.555276732087933","1"
"Married","1985","East Germany","Male","","","","","1"
"Married","1985","East Germany","Female","","","","","1"
"Married, but separated","1985","West Germany","Male","136","0.0201038341060799","0.0162293024155358","0.023978365796624","2"
"Married, but separated","1985","East Germany","Male","","","","","2"
"Married, but separated","1985","West Germany","Female","74","0.0141892428364957","0.010965983717435","0.0174125019555564","2"
"Married, but separated","1985","East Germany","Female","","","","","2"
"Single","1985","East Germany","Female","","","","","3"
"Single","1985","West Germany","Male","1404","0.28622138836115","0.273744032850093","0.298698743872208","3"
"Single","1985","West Germany","Female","1057","0.214456575772055","0.203270606671371","0.225642544872739","3"
"Single","1985","East Germany","Male","","","","","3"
"Widowed","1985","West Germany","Male","105","0.0372568449357368","0.0320286954191387","0.0424849944523349","5"
"Widowed","1985","West Germany","Female","554","0.181054883712091","0.17056063498027","0.191549132443913","5"
"Widowed","1985","East Germany","Male","","","","","5"
"Widowed","1985","East Germany","Female","","","","","5"
"Divorced","1986","West Germany","Male","140","0.0361097625995792","0.0310424183436644","0.0411771068554941","4"
"Divorced","1986","East Germany","Male","","","","","4"
"Divorced","1986","West Germany","Female","213","0.0481878896544524","0.0424074113959808","0.0539683679129241","4"
"Divorced","1986","East Germany","Female","","","","","4"
"Married","1986","West Germany","Male","3342","0.624001375799975","0.610844880839733","0.637157870760218","1"
"Married","1986","East Germany","Female","","","","","1"
"Married","1986","West Germany","Female","3347","0.546347701807872","0.532910299393744","0.559785104222","1"
"Married","1986","East Germany","Male","","","","","1"
"Married, but separated","1986","East Germany","Female","","","","","2"
"Married, but separated","1986","West Germany","Male","164","0.0252092260641552","0.0209513818873309","0.0294670702409795","2"
"Married, but separated","1986","West Germany","Female","96","0.0180411365484649","0.0144486280893186","0.0216336450076112","2"
"Married, but separated","1986","East Germany","Male","","","","","2"
"Single","1986","East Germany","Female","","","","","3"
"Single","1986","East Germany","Male","","","","","3"
"Single","1986","West Germany","Female","1084","0.210918164231253","0.199906899098468","0.221929429364038","3"
"Single","1986","West Germany","Male","1458","0.277094958182745","0.264938438967102","0.289251477398389","3"
"Widowed","1986","West Germany","Male","103","0.0375846773535449","0.0324188370085461","0.0427505176985437","5"
"Widowed","1986","West Germany","Female","533","0.176505107757958","0.166214801529957","0.186795413985959","5"
"Widowed","1986","East Germany","Male","","","","","5"
"Widowed","1986","East Germany","Female","","","","","5"
"Divorced","1987","West Germany","Female","231","0.0518803516887639","0.0458798963599819","0.057880807017546","4"
"Divorced","1987","West Germany","Male","150","0.0388544490187297","0.0335928912376439","0.0441160067998155","4"
"Divorced","1987","East Germany","Male","","","","","4"
"Divorced","1987","East Germany","Female","","","","","4"
"Married","1987","West Germany","Male","3306","0.626702015650985","0.613532865332728","0.639871165969243","1"
