"pgfamstd","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"1","1984","Full Time","no migration background","2247","0.649268455129866","0.633082458444461","0.665454451815271"
"1","1984","Full Time","direct migration background","1260","0.71843183704529","0.696717126438691","0.740146547651889"
"1","1984","Full Time","indirect migration background","14","","",""
"1","1984","Part Time","no migration background","819","0.636489954984671","0.60969569580906","0.663284214160282"
"1","1984","Part Time","direct migration background","284","0.662742053685305","0.617365299889664","0.708118807480946"
"1","1984","Part Time","indirect migration background","4","","",""
"1","1984","Not Working","no migration background","1854","0.554825899356405","0.5373479420875","0.572303856625311"
"1","1984","Not Working","direct migration background","612","0.687037095533226","0.655471982348614","0.718602208717838"
"1","1984","Not Working","indirect migration background","15","","",""
"2","1984","Full Time","no migration background","46","0.0148569552146338","0.0107534552278848","0.0189604552013827"
"2","1984","Full Time","direct migration background","18","","",""
"2","1984","Full Time","indirect migration background","","","",""
"2","1984","Part Time","no migration background","14","","",""
"2","1984","Part Time","direct migration background","9","","",""
"2","1984","Part Time","indirect migration background","1","","",""
"2","1984","Not Working","no migration background","24","","",""
"2","1984","Not Working","direct migration background","5","","",""
"2","1984","Not Working","indirect migration background","","","",""
"3","1984","Full Time","no migration background","830","0.261209835849331","0.246309529518016","0.276110142180647"
"3","1984","Full Time","direct migration background","230","0.144825890546933","0.127834854423331","0.161816926670535"
"3","1984","Full Time","indirect migration background","30","0.439615372452806","0.297716578625455","0.581514166280158"
"3","1984","Part Time","no migration background","318","0.267896209243677","0.243226877761164","0.29256554072619"
"3","1984","Part Time","direct migration background","101","0.228793855058152","0.188476922496634","0.26911078761967"
"3","1984","Part Time","indirect migration background","10","","",""
"3","1984","Not Working","no migration background","632","0.188094189686634","0.174350989261077","0.201837390112191"
"3","1984","Not Working","direct migration background","161","0.153540981615782","0.129000337898975","0.178081625332589"
"3","1984","Not Working","indirect migration background","34","0.466522092550186","0.328242715037288","0.604801470063083"
"4","1984","Full Time","no migration background","154","0.051723732660912","0.0442117902220791","0.0592356750997448"
"4","1984","Full Time","direct migration background","43","0.0438638588074512","0.0339764436009809","0.0537512740139215"
"4","1984","Full Time","indirect migration background","3","","",""
"4","1984","Part Time","no migration background","45","0.0377002675315994","0.0270902728244556","0.0483102622387431"
"4","1984","Part Time","direct migration background","6","","",""
"4","1984","Part Time","indirect migration background","","","",""
"4","1984","Not Working","no migration background","88","0.0293478968318591","0.0234122554068394","0.0352835382568788"
"4","1984","Not Working","direct migration background","12","","",""
"4","1984","Not Working","indirect migration background","","","",""
"5","1984","Full Time","no migration background","62","0.022941021145257","0.0178628580597588","0.0280191842307551"
"5","1984","Full Time","direct migration background","25","","",""
"5","1984","Full Time","indirect migration background","","","",""
"5","1984","Part Time","no migration background","42","0.0442813223025095","0.0328218901938598","0.0557407544111591"
"5","1984","Part Time","direct migration background","6","","",""
"5","1984","Part Time","indirect migration background","","","",""
"5","1984","Not Working","no migration background","508","0.220018420324731","0.205449778718994","0.234587061930467"
"5","1984","Not Working","direct migration background","33","0.110468667841748","0.0891298179135301","0.131807517769965"
"5","1984","Not Working","indirect migration background","1","","",""
"6","1984","Full Time","no migration background","","","",""
"6","1984","Full Time","direct migration background","72","0.0510355816550807","0.0404105315653974","0.0616606317447639"
"6","1984","Full Time","indirect migration background","","","",""
"6","1984","Part Time","no migration background","","","",""
"6","1984","Part Time","direct migration background","11","","",""
"6","1984","Part Time","indirect migration background","","","",""
"6","1984","Not Working","no migration background","","","",""
"6","1984","Not Working","direct migration background","6","","",""
"6","1984","Not Working","indirect migration background","","","",""
"7","1984","Full Time","no migration background","","","",""
"7","1984","Full Time","direct migration background","","","",""
"7","1984","Full Time","indirect migration background","","","",""
"7","1984","Part Time","no migration background","","","",""
"7","1984","Part Time","direct migration background","","","",""
"7","1984","Part Time","indirect migration background","","","",""
"7","1984","Not Working","no migration background","","","",""
"7","1984","Not Working","direct migration background","","","",""
"7","1984","Not Working","indirect migration background","","","",""
"8","1984","Full Time","no migration background","","","",""
"8","1984","Full Time","direct migration background","","","",""
"8","1984","Full Time","indirect migration background","","","",""
"8","1984","Part Time","no migration background","","","",""
