"pgfamstd","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1985","Rural Area","57","0.0325245041322617","0.024950227680874","0.0400987805836494","4"
"Divorced","1985","Urban Area","284","0.0450427293576706","0.0405278192234011","0.0495576394919402","4"
"Married","1985","Urban Area","5180","0.573366170773506","0.562599325583226","0.584133015963786","1"
"Married","1985","Rural Area","1362","0.599145428287896","0.578219951188684","0.620070905387109","1"
"Married, but separated","1985","Rural Area","36","0.0126108091253908","0.00784615386147479","0.0173754643893069","2"
"Married, but separated","1985","Urban Area","174","0.0183088219744802","0.0153903035700796","0.0212273403788807","2"
"Single","1985","Rural Area","493","0.242107539244212","0.223817115233343","0.260397963255081","3"
"Single","1985","Urban Area","1968","0.25021192382598","0.240782871253982","0.259640976397978","3"
"Widowed","1985","Urban Area","500","0.113070354068363","0.106176473533662","0.119964234603064","5"
"Widowed","1985","Rural Area","159","0.113611719210239","0.100061716195192","0.127161722225286","5"
"Divorced","1986","Rural Area","62","0.0371259961718922","0.0291470266340439","0.0451049657097405","4"
"Divorced","1986","Urban Area","291","0.0440746536554961","0.0396648973859321","0.04848440992506","4"
"Married","1986","Urban Area","5293","0.5773143889124","0.566701757850292","0.587927019974509","1"
"Married","1986","Rural Area","1396","0.602660380450522","0.582009419047965","0.62331134185308","1"
"Married, but separated","1986","Rural Area","33","0.0131156472842195","0.00831443382976033","0.0179168607386786","2"
"Married, but separated","1986","Urban Area","227","0.0239909499912117","0.0207035027726219","0.0272783972098014","2"
"Single","1986","Rural Area","514","0.239908285203873","0.221887295395635","0.257929275012111","3"
"Single","1986","Urban Area","2028","0.243109838633619","0.233894191416653","0.252325485850585","3"
"Widowed","1986","Urban Area","484","0.111510168807273","0.104747912756654","0.118272424857892","5"
"Widowed","1986","Rural Area","152","0.107189690889493","0.0941346232616346","0.120244758517352","5"
"Divorced","1987","Rural Area","62","0.0379201492569538","0.0298389872974797","0.0460013112164279","4"
"Divorced","1987","Urban Area","319","0.0480123056595285","0.0434084680719808","0.0526161432470762","4"
"Married","1987","Rural Area","1387","0.612397441866633","0.5917843455055","0.633010538227766","1"
"Married","1987","Urban Area","5222","0.577157899742092","0.566519789691905","0.58779600979228","1"
"Married, but separated","1987","Urban Area","204","0.0201952839049678","0.0171661198821656","0.0232244479277701","2"
"Married, but separated","1987","Rural Area","32","0.011775268707732","0.00721125957738621","0.0163392778380777","2"
"Single","1987","Rural Area","513","0.230850792395417","0.213022727122026","0.248678857668808","3"
"Single","1987","Urban Area","2031","0.239414597450451","0.230225404893729","0.248603790007173","3"
"Widowed","1987","Urban Area","508","0.11521991324296","0.108344330898986","0.122095495586935","5"
"Widowed","1987","Rural Area","152","0.107056347773264","0.0939750307441735","0.120137664802355","5"
"Divorced","1988","Rural Area","55","0.0359449239153811","0.0278250433978564","0.0440648044329057","4"
"Divorced","1988","Urban Area","301","0.0479264351316478","0.0432291027706451","0.0526237674926505","4"
"Married","1988","Rural Area","1299","0.604474403578281","0.583146106255576","0.625802700900985","1"
"Married","1988","Urban Area","5010","0.571883531902389","0.561002671573305","0.582764392231472","1"
"Married, but separated","1988","Urban Area","215","0.0259401553227341","0.0224446692232937","0.0294356414221746","2"
"Married, but separated","1988","Rural Area","41","0.0183184034212714","0.0124690337924532","0.0241677730500895","2"
"Single","1988","Rural Area","485","0.235870410388838","0.217352150637861","0.254388670139816","3"
"Single","1988","Urban Area","1928","0.24029398081278","0.230898420104313","0.249689541521248","3"
"Widowed","1988","Urban Area","490","0.113955896830449","0.106968353005295","0.120943440655603","5"
"Widowed","1988","Rural Area","139","0.105391858696228","0.0919981796863198","0.118785537706137","5"
"Divorced","1989","Urban Area","319","0.0529923097623128","0.0480000047704487","0.0579846147541769","4"
"Divorced","1989","Rural Area","58","0.0402526031287043","0.031458611238924","0.0490465950184847","4"
"Married","1989","Urban Area","4817","0.567664998497108","0.556624868453492","0.578705128540725","1"
"Married","1989","Rural Area","1240","0.603544527057634","0.581658724825616","0.625430329289652","1"
"Married, but separated","1989","Urban Area","191","0.0243550914193969","0.0209198385954147","0.0277903442433792","2"
"Married, but separated","1989","Rural Area","34","0.0172961139309855","0.0114630570823676","0.0231291707796034","2"
"Single","1989","Urban Area","1921","0.242122673326558","0.232576372421499","0.251668974231617","3"
"Single","1989","Rural Area","456","0.23438510096704","0.215431977461465","0.253338224472615","3"
"Widowed","1989","Urban Area","487","0.112864926994624","0.105813251652626","0.119916602336622","5"
"Widowed","1989","Rural Area","131","0.104521654915636","0.0908336142637095","0.118209695567563","5"
"Divorced","1990","Urban Area","428","0.0597920987690106","0.0549187404705137","0.0646654570675075","4"
"Divorced","1990","Rural Area","220","0.0551446281715668","0.0486395608530728","0.0616496954900608","4"
"Married","1990","Rural Area","3207","0.616799472707067","0.602944599153821","0.630654346260313","1"
"Married","1990","Urban Area","5759","0.570303582725912","0.560128723442017","0.580478442009807","1"
"Married, but separated","1990","Urban Area","195","0.0208590670183307","0.017921657224719","0.0237964768119424","2"
"Married, but separated","1990","Rural Area","51","0.0123954551818046","0.00924233662639959","0.0155485737372096","2"
"Single","1990","Rural Area","952","0.214933211878273","0.203226832688637","0.226639591067909","3"
"Single","1990","Urban Area","2124","0.239570561681956","0.230797712128678","0.248343411235235","3"
"Widowed","1990","Rural Area","300","0.100727232061289","0.09215020675042","0.109304257372157","5"
"Widowed","1990","Urban Area","587","0.10947468980479","0.103057062523938","0.115892317085642","5"
"Divorced","1991","Urban Area","432","0.0638741511163557","0.0587879239585895","0.068960378274122","4"
"Divorced","1991","Rural Area","211","0.0577014109128492","0.0509957325516411","0.0644070892740574","4"
"Married","1991","Rural Area","3117","0.608188528896299","0.594150280665938","0.62222677712666","1"
"Married","1991","Urban Area","5657","0.571451565892666","0.5611582397666","0.581744892018733","1"
"Married, but separated","1991","Urban Area","183","0.0204897338642706","0.0175430149017503","0.023436452826791","2"
"Married, but separated","1991","Rural Area","48","0.0128249050571911","0.00958912192829979","0.0160606881860825","2"
"Single","1991","Rural Area","972","0.219282108024177","0.207383287968127","0.231180928080228","3"
"Single","1991","Urban Area","2054","0.232475674342767","0.223689478174519","0.241261870511015","3"
"Widowed","1991","Rural Area","297","0.102003047109483","0.0932994408445482","0.110706653374418","5"
"Widowed","1991","Urban Area","553","0.11170887478394","0.10515666847984","0.11826108108804","5"
"Divorced","1992","Urban Area","433","0.0641459700303395","0.0590227708885275","0.0692691691721515","4"
"Divorced","1992","Rural Area","197","0.0555765941501987","0.0488347042245125","0.0623184840758849","4"
"Married","1992","Rural Area","2946","0.606903855367059","0.592530384182002","0.621277326552117","1"
"Married","1992","Urban Area","5597","0.577228124673872","0.566898625210267","0.587557624137478","1"
"Married, but separated","1992","Rural Area","52","0.0126340278531204","0.00934731082190987","0.0159207448843309","2"
"Married, but separated","1992","Urban Area","187","0.0215825695972263","0.0185440212068902","0.0246211179875624","2"
"Single","1992","Urban Area","2040","0.228829849050857","0.220046018801739","0.237613679299975","3"
"Single","1992","Rural Area","951","0.221025253625379","0.208814711104156","0.233235796146601","3"
"Widowed","1992","Rural Area","290","0.103860269004243","0.0948825726999105","0.112837965308576","5"
"Widowed","1992","Urban Area","529","0.108213486647705","0.101717821382057","0.114709151913353","5"
"Divorced","1993","Urban Area","422","0.0627106617834423","0.0576241139439746","0.0677972096229101","4"
"Divorced","1993","Rural Area","204","0.0606699482274412","0.0536090119352406","0.0677308845196417","4"
"Married","1993","Rural Area","2855","0.598076265911732","0.5835746471757","0.612577884647765","1"
"Married","1993","Urban Area","5535","0.579566428841618","0.569209859746471","0.589922997936765","1"
"Married, but separated","1993","Rural Area","72","0.0170291047382124","0.0132023325384541","0.0208558769379708","2"
"Married, but separated","1993","Urban Area","207","0.0245094526006203","0.0212653547769851","0.0277535504242555","2"
"Single","1993","Urban Area","2044","0.2287553021586","0.219942839631931","0.237567764685269","3"
"Single","1993","Rural Area","956","0.213128303262412","0.201015660790608","0.225240945734215","3"
"Widowed","1993","Rural Area","304","0.111096377860202","0.101801500579136","0.120391255141268","5"
"Widowed","1993","Urban Area","519","0.10445815461572","0.0980411888926396","0.1108751203388","5"
"Divorced","1994","Urban Area","420","0.0626779292372989","0.0575477472888511","0.0678081111857467","4"
"Divorced","1994","Rural Area","205","0.0623244187795093","0.0551056078796117","0.069543229679407","4"
"Married","1994","Rural Area","2795","0.601331717569743","0.586710850048076","0.615952585091411","1"
"Married","1994","Urban Area","5397","0.577546787671487","0.567092031190568","0.588001544152406","1"
"Married, but separated","1994","Rural Area","73","0.0175410780170133","0.0136209921121607","0.0214611639218658","2"
"Married, but separated","1994","Urban Area","212","0.0265413367544154","0.0231392045964266","0.0299434689124041","2"
"Single","1994","Urban Area","2022","0.22739475960353","0.218523197901554","0.236266321305507","3"
"Single","1994","Rural Area","944","0.20914373488136","0.196999184158063","0.221288285604656","3"
"Widowed","1994","Rural Area","291","0.109659050752374","0.100328427395415","0.118989674109333","5"
"Widowed","1994","Urban Area","524","0.105839186733269","0.0993279709206635","0.112350402545874","5"
"Divorced","1995","Rural Area","238","0.065791072222634","0.0585200709531726","0.0730620734920954","4"
"Divorced","1995","Urban Area","452","0.0669704712002118","0.0617595881031825","0.0721813542972411","4"
"Married","1995","Urban Area","5573","0.578357720898565","0.5680635279676","0.588651913829529","1"
"Married","1995","Rural Area","2890","0.60549489377164","0.5911607984376","0.619828989105681","1"
"Married, but separated","1995","Rural Area","56","0.0153445962180924","0.0117395685819949","0.0189496238541899","2"
"Married, but separated","1995","Urban Area","197","0.0213592757099163","0.0183453894300901","0.0243731619897424","2"
"Single","1995","Urban Area","2089","0.227258960643368","0.218523225557439","0.235994695729296","3"
"Single","1995","Rural Area","989","0.202907904035699","0.191113052861992","0.214702755209406","3"
"Widowed","1995","Rural Area","293","0.110461533751934","0.101268123670662","0.119654943833206","5"
"Widowed","1995","Urban Area","529","0.106053571547939","0.0996349709136935","0.112472172182185","5"
"Divorced","1996","Rural Area","245","0.0681080475582593","0.0606851502996294","0.0755309448168892","4"
"Divorced","1996","Urban Area","435","0.0674065765426965","0.0621231917159608","0.0726899613694321","4"
"Married","1996","Urban Area","5406","0.575861930348878","0.565447686388091","0.586276174309665","1"
"Married","1996","Rural Area","2800","0.586997690828565","0.57249041428443","0.601504967372699","1"
"Married, but separated","1996","Rural Area","63","0.0163037473802919","0.0125724000176945","0.0200350947428893","2"
"Married, but separated","1996","Urban Area","227","0.0265624908923069","0.0231740230170182","0.0299509587675955","2"
"Single","1996","Urban Area","2076","0.228900035514939","0.220046979611899","0.237753091417979","3"
"Single","1996","Rural Area","1020","0.213016373425909","0.200952666020545","0.225080080831273","3"
"Widowed","1996","Rural Area","297","0.115574140806975","0.106154106025262","0.124994175588688","5"
"Widowed","1996","Urban Area","507","0.10126896670118","0.0949117356872068","0.107626197715153","5"
"Divorced","1997","Rural Area","250","0.071559674415335","0.0639034429578372","0.0792159058728328","4"
"Divorced","1997","Urban Area","448","0.0696768960156561","0.0642640524321081","0.0750897395992042","4"
"Married","1997","Urban Area","5240","0.567421713661339","0.556888776097187","0.577954651225492","1"
"Married","1997","Rural Area","2740","0.585223282771636","0.570588985874128","0.599857579669145","1"
"Married, but separated","1997","Rural Area","74","0.018085076327344","0.0141268467285318","0.0220433059261561","2"
"Married, but separated","1997","Urban Area","224","0.0273760451618649","0.0239069036837958","0.030845186639934","2"
