"pgfamstd","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","16-34 y.","86","0.0245194576434283","0.0197440088486586","0.0292949064381981","4"
"Divorced","1984","35-65 y.","238","0.0532724871267968","0.0474015790013426","0.059143395252251","4"
"Divorced","1984","66 and older","27","","","","4"
"Married","1984","16-34 y.","1817","0.398958819478702","0.383838338478068","0.414079300479337","1"
"Married","1984","35-65 y.","4768","0.813104714734701","0.802913787259629","0.823295642209773","1"
"Married","1984","66 and older","524","0.437073749293652","0.40691290950716","0.467234589080144","1"
"Married, but separated","1984","16-34 y.","66","0.0150533467004947","0.0112934809020852","0.0188132124989041","2"
"Married, but separated","1984","66 and older","6","","","","2"
"Married, but separated","1984","35-65 y.","134","0.0186784075544124","0.015139111438651","0.0222177036701737","2"
"Single","1984","16-34 y.","2050","0.559554348221483","0.544225244661779","0.574883451781186","3"
"Single","1984","35-65 y.","232","0.052896409798155","0.0470450993859709","0.0587477202103391","3"
"Single","1984","66 and older","64","0.0692831104429834","0.0538425591208593","0.0847236617651074","3"
"Widowed","1984","16-34 y.","10","","","","5"
"Widowed","1984","35-65 y.","249","0.0620479807859351","0.0557413786120652","0.068354582959805","5"
"Widowed","1984","66 and older","418","0.461722914363625","0.431409561319594","0.492036267407656","5"
"Divorced","1985","16-34 y.","79","0.0241780884154667","0.0193635353712852","0.0289926414596483","4"
"Divorced","1985","35-65 y.","236","0.059547603302062","0.0531843569808798","0.0659108496232443","4"
"Divorced","1985","66 and older","26","","","","4"
"Married","1985","35-65 y.","4480","0.796036896550868","0.785202104318062","0.806871688783673","1"
"Married","1985","16-34 y.","1582","0.352104736101486","0.337133831314134","0.367075640888838","1"
"Married","1985","66 and older","480","0.414880691199282","0.384189459336232","0.445571923062333","1"
"Married, but separated","1985","16-34 y.","67","0.0158228656806012","0.011911405455178","0.0197343259060244","2"
"Married, but separated","1985","35-65 y.","138","0.0222369420390531","0.0182720393996291","0.0262018446784771","2"
"Married, but separated","1985","66 and older","5","","","","2"
"Single","1985","35-65 y.","225","0.0590197051286654","0.0526829494132112","0.0653564608441196","3"
"Single","1985","16-34 y.","2175","0.606589817640415","0.591277882938108","0.621901752342721","3"
