"pgfamstd","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","Employed","Female","140","0.0653452943320683","0.0557645241224578","0.0749260645416787","4"
"Divorced","1984","Employed","Male","111","0.0352827067215427","0.0296682246888126","0.0408971887542729","4"
"Divorced","1984","Not Employed","Female","77","0.0312826266937346","0.0249082763652183","0.0376569770222509","4"
"Divorced","1984","Not Employed","Male","23","","","","4"
"Married","1984","Employed","Male","2972","0.692715210409177","0.678674903189263","0.706755517629091","1"
"Married","1984","Not Employed","Female","1893","0.567341918441322","0.549200108015462","0.585483728867182","1"
"Married","1984","Not Employed","Male","588","0.556166783670812","0.527069563229751","0.585264004111873","1"
"Married","1984","Employed","Female","1656","0.585388831867028","0.566289842773323","0.604487820960732","1"
"Married, but separated","1984","Employed","Female","49","0.0212674193323275","0.0156742613530794","0.0268605773115756","2"
"Married, but separated","1984","Not Employed","Male","14","","","","2"
"Married, but separated","1984","Not Employed","Female","21","","","","2"
"Married, but separated","1984","Employed","Male","122","0.0195334817844003","0.0153219999486841","0.0237449636201165","2"
"Single","1984","Employed","Male","904","0.238923212957392","0.225946277984869","0.251900147929916","3"
"Single","1984","Employed","Female","615","0.276279043806346","0.258943909428086","0.293614178184606","3"
"Single","1984","Not Employed","Female","402","0.136726925450612","0.124146744161816","0.149307106739408","3"
"Single","1984","Not Employed","Male","425","0.310813142495832","0.283707652638278","0.337918632353386","3"
"Widowed","1984","Employed","Female","96","0.0517194106622305","0.0431339642764664","0.0603048570479946","5"
"Widowed","1984","Employed","Male","39","0.0135453881274872","0.0100276541157952","0.0170631221391792","5"
"Widowed","1984","Not Employed","Female","472","0.25757224418735","0.241559623771595","0.273584864603105","5"
"Widowed","1984","Not Employed","Male","70","0.0966556646699159","0.0793503540791222","0.11396097526071","5"
"Divorced","1985","Employed","Female","146","0.0750958874960331","0.0646173327537589","0.0855744422383073","4"
"Divorced","1985","Employed","Male","114","0.0406439196267901","0.0344553270620639","0.0468325121915163","4"
"Divorced","1985","Not Employed","Female","65","0.029089428487456","0.0227991253500559","0.0353797316248562","4"
"Divorced","1985","Not Employed","Male","16","","","","4"
"Married","1985","Employed","Female","1517","0.551435729829526","0.53166126475174","0.571210194907313","1"
"Married","1985","Not Employed","Female","1759","0.534525625421635","0.515855530778349","0.55319572006492","1"
"Married","1985","Employed","Male","2705","0.65645857008048","0.641575332866314","0.671341807294646","1"
"Married","1985","Not Employed","Male","561","0.529591246967749","0.500489640363008","0.558692853572489","1"
"Married, but separated","1985","Not Employed","Male","15","","","","2"
"Married, but separated","1985","Employed","Female","48","0.0229612653521187","0.0170060324100225","0.028916498294215","2"
"Married, but separated","1985","Employed","Male","121","0.0229569496023003","0.0182632193902103","0.0276506798143904","2"
"Married, but separated","1985","Not Employed","Female","26","","","","2"
"Single","1985","Not Employed","Female","409","0.143107108333484","0.129999959255369","0.156214257411599","3"
"Single","1985","Employed","Male","941","0.269300562691018","0.255398085221655","0.283203040160382","3"
"Single","1985","Not Employed","Male","463","0.33078290860446","0.303350501820025","0.358215315388896","3"
"Single","1985","Employed","Female","648","0.311336095127258","0.292925689735633","0.329746500518883","3"
"Widowed","1985","Employed","Female","71","0.0391710221950639","0.031457540504931","0.0468845038851968","5"
"Widowed","1985","Employed","Male","30","0.0106399979994114","0.00742447122209357","0.0138555247767293","5"
"Widowed","1985","Not Employed","Female","483","0.285548981378403","0.268642979873125","0.302454982883681","5"
"Widowed","1985","Not Employed","Male","75","0.107353138502532","0.0893040163854185","0.125402260619645","5"
"Divorced","1986","Employed","Female","146","0.06991802268884","0.060053176004092","0.0797828693735879","4"
"Divorced","1986","Not Employed","Male","19","","","","4"
"Divorced","1986","Employed","Male","121","0.0412213233671883","0.0350880452185552","0.0473546015158214","4"
"Divorced","1986","Not Employed","Female","67","0.031601199206291","0.025010020327517","0.038192378085065","4"
"Married","1986","Not Employed","Male","581","0.534426561646965","0.505856724912023","0.562996398381907","1"
"Married","1986","Employed","Female","1584","0.549104660454431","0.529855996314669","0.568353324594193","1"
"Married","1986","Employed","Male","2761","0.6582751172893","0.643642752039574","0.672907482539026","1"
"Married","1986","Not Employed","Female","1763","0.54424330513545","0.525478361205619","0.563008249065282","1"
"Married, but separated","1986","Not Employed","Male","28","","","","2"
"Married, but separated","1986","Not Employed","Female","36","0.0122568120632329","0.00811113966540979","0.016402484461056","2"
"Married, but separated","1986","Employed","Male","136","0.0247972994885185","0.0199997202825662","0.0295948786944708","2"
"Married, but separated","1986","Employed","Female","60","0.0256191486281495","0.0195071693438402","0.0317311279124587","2"
"Single","1986","Employed","Female","710","0.321523127292193","0.303455181056309","0.339591073528076","3"
"Single","1986","Not Employed","Female","374","0.126492989225699","0.113968771173921","0.139017207277477","3"
"Single","1986","Employed","Male","993","0.266833878806472","0.253188229957506","0.280479527655439","3"
"Single","1986","Not Employed","Male","465","0.303912406123911","0.277568764798269","0.330256047449554","3"
"Widowed","1986","Employed","Female","67","0.033835040936387","0.0268407426296285","0.0408293392431456","5"
"Widowed","1986","Employed","Male","25","","","","5"
"Widowed","1986","Not Employed","Female","466","0.285405694369327","0.268390171957658","0.302421216780995","5"
"Widowed","1986","Not Employed","Male","78","0.112624591108796","0.0945178641882054","0.130731318029386","5"
"Divorced","1987","Employed","Female","158","0.0720554501772332","0.0621484844564809","0.0819624158979856","4"
"Divorced","1987","Not Employed","Male","23","","","","4"
"Divorced","1987","Employed","Male","127","0.0423084036595415","0.0361075140920936","0.0485092932269893","4"
"Divorced","1987","Not Employed","Female","73","0.0353303497643811","0.0282760982014668","0.0423846013272954","4"
"Married","1987","Employed","Male","2705","0.645110211006321","0.630370412420409","0.659850009592234","1"
"Married","1987","Not Employed","Male","601","0.576149275782361","0.5473875104413","0.604911041123421","1"
"Married","1987","Employed","Female","1596","0.54794097479591","0.528872731225212","0.567009218366608","1"
"Married","1987","Not Employed","Female","1707","0.54753368333673","0.52851474743475","0.56655261923871","1"
"Married, but separated","1987","Not Employed","Male","11","","","","2"
