"pgfamstd","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","no migration background","Male","109","0.0322099887964555","0.0264908046377585","0.0379291729551525","4"
"Divorced","1984","no migration background","Female","178","0.0465791210405649","0.0400663616829642","0.0530918803981656","4"
"Divorced","1984","direct migration background","Male","23","","","","4"
"Divorced","1984","direct migration background","Female","38","0.0357055791675192","0.025770563419117","0.0456405949159214","4"
"Divorced","1984","indirect migration background","Male","2","","","","4"
"Divorced","1984","indirect migration background","Female","1","","","","4"
"Married","1984","no migration background","Male","2450","0.656926251655895","0.641548236699377","0.672304266612412","1"
"Married","1984","no migration background","Female","2470","0.561417080140768","0.546081658340542","0.576752501940995","1"
"Married","1984","direct migration background","Male","1102","0.672970867930265","0.649646282307578","0.696295453552951","1"
"Married","1984","direct migration background","Female","1054","0.724968586476874","0.701060410897512","0.748876762056237","1"
"Married","1984","indirect migration background","Male","8","","","","1"
"Married","1984","indirect migration background","Female","25","","","","1"
"Married, but separated","1984","no migration background","Female","46","0.0117676520444462","0.00843491153887729","0.0151003925500152","2"
"Married, but separated","1984","no migration background","Male","38","0.0113229546601413","0.00789562928618811","0.0147502800340945","2"
"Married, but separated","1984","direct migration background","Male","98","0.0762804880491174","0.0630827539549241","0.0894782221433106","2"
"Married, but separated","1984","direct migration background","Female","23","","","","2"
"Married, but separated","1984","indirect migration background","Male","","","","","2"
"Married, but separated","1984","indirect migration background","Female","1","","","","2"
"Single","1984","no migration background","Female","814","0.201652774212321","0.189252677605051","0.21405287081959","3"
"Single","1984","no migration background","Male","966","0.262938386263359","0.248678136896721","0.277198635629996","3"
"Single","1984","direct migration background","Female","172","0.125986818807089","0.108219690524794","0.143753947089384","3"
"Single","1984","direct migration background","Male","320","0.196216467419638","0.17647134356352","0.215961591275756","3"
"Single","1984","indirect migration background","Male","43","0.651260558604186","0.522957184157142","0.779563933051231","3"
"Single","1984","indirect migration background","Female","31","0.360089100362022","0.237602994688897","0.482575206035148","3"
"Widowed","1984","no migration background","Male","98","0.0366024186241498","0.0305195856111094","0.0426852516371901","5"
"Widowed","1984","no migration background","Female","514","0.1785833725619","0.166746708746434","0.190420036377366","5"
"Widowed","1984","direct migration background","Male","11","","","","5"
"Widowed","1984","indirect migration background","Male","","","","","5"
"Widowed","1984","direct migration background","Female","53","0.0894856370925642","0.0742023856055054","0.104768888579623","5"
"Widowed","1984","indirect migration background","Female","1","","","","5"
"Divorced","1985","no migration background","Male","107","0.0358888675660228","0.0297569429350367","0.0420207921970089","4"
"Divorced","1985","no migration background","Female","176","0.0498394763381211","0.0429593228732519","0.0567196298029902","4"
"Divorced","1985","direct migration background","Male","21","","","","4"
