"pgfamstd","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","16-34 y.","Not Employed","19","","","","4"
"Divorced","1984","16-34 y.","Employed","67","0.027161355069248","0.0210648159552191","0.0332578941832769","4"
"Divorced","1984","35-65 y.","Not Employed","56","0.0386372247776205","0.0294917724385192","0.0477826771167218","4"
"Divorced","1984","35-65 y.","Employed","182","0.0606711967355416","0.0531932510167805","0.0681491424543027","4"
"Divorced","1984","66 and older","Not Employed","25","","","","4"
"Divorced","1984","66 and older","Employed","2","","","","4"
"Married","1984","16-34 y.","Not Employed","530","0.349290646296802","0.323354959826289","0.375226332767314","1"
"Married","1984","16-34 y.","Employed","1287","0.421406713315202","0.402887409304294","0.439926017326111","1"
"Married","1984","35-65 y.","Not Employed","1465","0.816761892668311","0.798404364229393","0.835119421107229","1"
"Married","1984","35-65 y.","Employed","3303","0.811255865231855","0.798998479167248","0.823513251296463","1"
"Married","1984","66 and older","Not Employed","486","0.431120032296977","0.400129930032057","0.462110134561898","1"
"Married","1984","66 and older","Employed","38","0.54897505892783","0.420915889579317","0.677034228276343","1"
"Married, but separated","1984","16-34 y.","Employed","50","0.0158861091308655","0.011196693866573","0.020575524395158","2"
"Married, but separated","1984","16-34 y.","Not Employed","16","","","","2"
"Married, but separated","1984","35-65 y.","Not Employed","14","","","","2"
"Married, but separated","1984","35-65 y.","Employed","120","0.0231031632330968","0.0183972676912191","0.0278090587749745","2"
"Married, but separated","1984","66 and older","Not Employed","5","","","","2"
"Married, but separated","1984","66 and older","Employed","1","","","","2"
"Single","1984","16-34 y.","Employed","1319","0.532854618730526","0.514142729501539","0.551566507959514","3"
"Single","1984","16-34 y.","Not Employed","731","0.61863012601719","0.592206070742311","0.645054181292069","3"
"Single","1984","35-65 y.","Employed","194","0.0642304555787687","0.056550881000419","0.0719100301571184","3"
"Single","1984","35-65 y.","Not Employed","38","0.0304767255222915","0.022319887295443","0.03863356374914","3"
"Single","1984","66 and older","Not Employed","58","0.0660052427294715","0.0504679616387358","0.0815425238202073","3"
"Single","1984","66 and older","Employed","6","","","","3"
"Widowed","1984","16-34 y.","Not Employed","2","","","","5"
"Widowed","1984","16-34 y.","Employed","8","","","","5"
"Widowed","1984","35-65 y.","Not Employed","133","0.104198283853361","0.0897007274936641","0.118695840213059","5"
"Widowed","1984","66 and older","Not Employed","407","0.47298104569868","0.441738344639455","0.504223746757905","5"
"Widowed","1984","35-65 y.","Employed","116","0.0407393192207377","0.0345469418731796","0.0469316965682958","5"
"Widowed","1984","66 and older","Employed","11","","","","5"
