"pgfamstd","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","35-65 y.","in school","","","","","4"
"Divorced","1984","35-65 y.","inadequately","14","","","","4"
"Divorced","1984","66 and older","in school","","","","","4"
"Divorced","1984","16-34 y.","in school","","","","","4"
"Divorced","1984","16-34 y.","inadequately","8","","","","4"
"Divorced","1984","16-34 y.","general elemantary","20","","","","4"
"Divorced","1984","16-34 y.","middle vocational","43","0.0249845511244465","0.0180357044549804","0.0319333977939127","4"
"Divorced","1984","16-34 y.","vocational + Abi","4","","","","4"
"Divorced","1984","16-34 y.","higher vocational","4","","","","4"
"Divorced","1984","35-65 y.","general elemantary","54","0.0404896988504119","0.0304137369242293","0.0505656607765945","4"
"Divorced","1984","35-65 y.","middle vocational","136","0.0613645870135845","0.0522148863749218","0.0705142876522472","4"
"Divorced","1984","35-65 y.","vocational + Abi","4","","","","4"
"Divorced","1984","35-65 y.","higher vocational","12","","","","4"
"Divorced","1984","66 and older","inadequately","1","","","","4"
"Divorced","1984","66 and older","general elemantary","7","","","","4"
"Divorced","1984","66 and older","middle vocational","17","","","","4"
"Divorced","1984","66 and older","higher vocational","1","","","","4"
"Divorced","1984","66 and older","higher education","1","","","","4"
"Divorced","1984","16-34 y.","higher education","7","","","","4"
"Divorced","1984","35-65 y.","higher education","18","","","","4"
"Divorced","1984","66 and older","vocational + Abi","","","","","4"
"Married","1984","16-34 y.","in school","","","","","1"
"Married","1984","16-34 y.","inadequately","150","0.415165670701941","0.354327665314526","0.476003676089356","1"
"Married","1984","16-34 y.","general elemantary","409","0.275640270585759","0.249246410252676","0.302034130918841","1"
"Married","1984","16-34 y.","middle vocational","951","0.460152896302193","0.437962877384925","0.482342915219462","1"
"Married","1984","16-34 y.","vocational + Abi","64","0.377492195201483","0.297193135076779","0.457791255326187","1"
"Married","1984","16-34 y.","higher vocational","113","0.564986262316339","0.493547708057939","0.636424816574739","1"
"Married","1984","16-34 y.","higher education","119","0.512834582242468","0.447955074654685","0.577714089830251","1"
"Married","1984","35-65 y.","in school","","","","","1"
"Married","1984","35-65 y.","inadequately","504","0.773066925882237","0.738950285795683","0.80718356596879","1"
"Married","1984","35-65 y.","general elemantary","1230","0.80037904442929","0.779945658229268","0.820812430629312","1"
"Married","1984","35-65 y.","middle vocational","2246","0.823680625087479","0.809151851581714","0.838209398593244","1"
"Married","1984","35-65 y.","vocational + Abi","92","0.771226729220491","0.692007631717877","0.850445826723105","1"
"Married","1984","35-65 y.","higher vocational","279","0.80501273433424","0.762459705854593","0.847565762813887","1"
"Married","1984","35-65 y.","higher education","383","0.812939835246112","0.776950014886588","0.848929655605637","1"
