"pgfamstd","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1995","higher vocational","35","0.0579860315578307","0.0414133884906575","0.0745586746250039","4"
"Divorced","1995","higher education","127","0.0876391816175289","0.0744285303928485","0.100849832842209","4"
"Married","1995","in school","1","","","","1"
"Married","1995","inadequately","416","0.649901828512742","0.609368611344713","0.690435045680772","1"
"Married","1995","general elemantary","1378","0.483373696555832","0.463761346762274","0.50298604634939","1"
"Married","1995","middle vocational","4366","0.60971372741299","0.598055721152945","0.621371733673035","1"
"Married","1995","vocational + Abi","286","0.520145649972317","0.475358714586992","0.564932585357642","1"
"Married","1995","higher vocational","581","0.715455864955748","0.683461930183959","0.747449799727536","1"
"Married","1995","higher education","1283","0.66105775528281","0.63894339859928","0.683172111966339","1"
"Married, but separated","1995","in school","","","","","2"
"Married, but separated","1995","inadequately","18","","","","2"
"Married, but separated","1995","general elemantary","52","0.018951245998385","0.0135998874997721","0.0243026044969979","2"
"Married, but separated","1995","middle vocational","129","0.018935422785792","0.0156781362785016","0.0221927092930824","2"
"Married, but separated","1995","vocational + Abi","12","","","","2"
"Married, but separated","1995","higher vocational","11","","","","2"
"Married, but separated","1995","higher education","27","","","","2"
"Single","1995","in school","286","0.994121297943352","0.985276914626611","1.00296568126009","3"
"Single","1995","inadequately","56","0.186400906108851","0.153309020639244","0.219492791578458","3"
"Single","1995","middle vocational","1464","0.199707221767144","0.190153095129001","0.209261348405286","3"
"Single","1995","vocational + Abi","159","0.394101596423616","0.350295137975352","0.43790805487188","3"
"Single","1995","higher vocational","108","0.147005698017204","0.121895995873801","0.172115400160607","3"
"Single","1995","higher education","277","0.199747705329572","0.181069027964971","0.218426382694173","3"
"Single","1995","general elemantary","636","0.20778673685074","0.191863555828882","0.223709917872598","3"
"Widowed","1995","in school","","","","","5"
"Widowed","1995","inadequately","27","","","","5"
"Widowed","1995","general elemantary","323","0.233496055576996","0.216892662959005","0.250099448194986","5"
"Widowed","1995","middle vocational","386","0.0996005276591312","0.0924437406081015","0.106757314710161","5"
"Widowed","1995","vocational + Abi","7","","","","5"
"Widowed","1995","higher vocational","29","","","","5"
"Widowed","1995","higher education","46","0.0310238549428278","0.0229236467676491","0.0391240631180064","5"
"Divorced","1996","vocational + Abi","14","","","","4"
"Divorced","1996","inadequately","17","","","","4"
"Divorced","1996","in school","","","","","4"
"Divorced","1996","general elemantary","106","0.057269337160173","0.0479597239729856","0.0665789503473604","4"
"Divorced","1996","higher vocational","29","","","","4"
"Divorced","1996","higher education","114","0.0825354853283041","0.0697085781122438","0.0953623925443644","4"
"Divorced","1996","middle vocational","387","0.075071484138802","0.0687253054116605","0.0814176628659435","4"
"Married","1996","in school","2","","","","1"
"Married","1996","inadequately","374","0.643097592193159","0.600850405170536","0.685344779215782","1"
"Married","1996","general elemantary","1330","0.486530887832773","0.466505122989822","0.506556652675724","1"
"Married","1996","middle vocational","4237","0.602865562525568","0.591081372802673","0.614649752248462","1"
"Married","1996","vocational + Abi","277","0.498421947809623","0.453598838039929","0.543245057579317","1"
"Married","1996","higher vocational","570","0.694053412850635","0.661441996389325","0.726664829311945","1"
"Married","1996","higher education","1273","0.655146201377116","0.632990087869611","0.677302314884621","1"
"Married, but separated","1996","in school","","","","","2"
"Married, but separated","1996","inadequately","20","","","","2"
"Married, but separated","1996","general elemantary","48","0.0192265380272458","0.0137246513572162","0.0247284246972754","2"
"Married, but separated","1996","middle vocational","160","0.0258670865994687","0.0220440929142977","0.0296900802846397","2"
"Married, but separated","1996","vocational + Abi","8","","","","2"
"Married, but separated","1996","higher vocational","17","","","","2"
"Married, but separated","1996","higher education","32","0.0208599094892052","0.0141982015737078","0.0275216174047026","2"
"Single","1996","in school","292","0.997134580801254","0.991024521884578","1.00324463971793","3"
"Single","1996","inadequately","56","0.1865827680205","0.152228787371682","0.220936748669318","3"
"Single","1996","general elemantary","605","0.205227017364391","0.189045637393034","0.221408397335747","3"
"Single","1996","middle vocational","1453","0.197105610217433","0.187524862198513","0.206686358236352","3"
"Single","1996","vocational + Abi","172","0.42769669142295","0.383344486380877","0.472048896465024","3"
"Single","1996","higher vocational","121","0.160511928017655","0.134533592016624","0.186490264018686","3"
"Single","1996","higher education","302","0.212911366877397","0.193829616730111","0.231993117024682","3"
"Widowed","1996","in school","","","","","5"
"Widowed","1996","inadequately","27","","","","5"
"Widowed","1996","general elemantary","304","0.231746219615417","0.214840431408213","0.248652007822622","5"
"Widowed","1996","middle vocational","386","0.099090256518729","0.0918944938363678","0.10628601920109","5"
"Widowed","1996","vocational + Abi","7","","","","5"
"Widowed","1996","higher vocational","30","0.0718619872810991","0.0535849288375618","0.0901390457246363","5"
"Widowed","1996","higher education","47","0.0285470369279778","0.0207845949363196","0.0363094789196361","5"
"Divorced","1997","vocational + Abi","13","","","","4"
"Divorced","1997","higher vocational","35","0.0559526281907244","0.0396127643187425","0.0722924920627062","4"
"Divorced","1997","higher education","116","0.0795383424586977","0.0669366194401489","0.0921400654772466","4"
"Divorced","1997","in school","","","","","4"
"Divorced","1997","inadequately","19","","","","4"
"Divorced","1997","general elemantary","105","0.0622632692366404","0.0524582794524648","0.0720682590208161","4"
"Divorced","1997","middle vocational","395","0.0776591725258149","0.071144356198044","0.0841739888535858","4"
"Married","1997","inadequately","353","0.652757962443115","0.609485276616915","0.696030648269316","1"
"Married","1997","general elemantary","1266","0.465795591001749","0.445554116657417","0.486037065346081","1"
"Married","1997","in school","2","","","","1"
"Married","1997","middle vocational","4146","0.600792570619069","0.588871324218223","0.612713817019916","1"
"Married","1997","vocational + Abi","270","0.515108593462843","0.469337952596399","0.560879234329287","1"
"Married","1997","higher vocational","564","0.698214954843202","0.665579871546406","0.730850038139998","1"
"Married","1997","higher education","1246","0.64070189064731","0.618356174425517","0.663047606869102","1"
"Married, but separated","1997","in school","","","","","2"
"Married, but separated","1997","inadequately","20","","","","2"
"Married, but separated","1997","general elemantary","43","0.0170698434742786","0.011813704727992","0.0223259822205652","2"
"Married, but separated","1997","higher vocational","15","","","","2"
"Married, but separated","1997","middle vocational","166","0.0279554192729877","0.0239427240311218","0.0319681145148536","2"
"Married, but separated","1997","vocational + Abi","8","","","","2"
"Married, but separated","1997","higher education","42","0.0254782892510252","0.0181395796644665","0.032816998837584","2"
"Single","1997","in school","314","0.997542544766118","0.992083545059559","1.00300154447268","3"
"Single","1997","inadequately","46","0.147220702047484","0.115015622128402","0.179425781966566","3"
"Single","1997","general elemantary","621","0.218343023799747","0.20157937761466","0.235106669984835","3"
"Single","1997","middle vocational","1393","0.195801545091544","0.186142153901223","0.205460936281865","3"
"Single","1997","higher vocational","118","0.159247607264348","0.133233327365257","0.185261887163438","3"
"Single","1997","higher education","319","0.222257364721514","0.202893820823962","0.241620908619067","3"
"Single","1997","vocational + Abi","160","0.398430763751856","0.353593965417341","0.44326756208637","3"
"Widowed","1997","in school","","","","","5"
"Widowed","1997","inadequately","27","","","","5"
"Widowed","1997","general elemantary","298","0.236528272487584","0.219284641074657","0.253771903900512","5"
"Widowed","1997","middle vocational","383","0.0977912924905842","0.090560869907344","0.105021715073824","5"
"Widowed","1997","vocational + Abi","7","","","","5"
"Widowed","1997","higher vocational","28","","","","5"
"Widowed","1997","higher education","48","0.0320241129214532","0.0238241925672033","0.0402240332757032","5"
"Divorced","1998","in school","","","","","4"
"Divorced","1998","vocational + Abi","15","","","","4"
"Divorced","1998","higher vocational","37","0.0544632340468161","0.0389688110295601","0.069957657064072","4"
"Divorced","1998","higher education","150","0.0902657846255124","0.0776308364141224","0.102900732836902","4"
"Divorced","1998","general elemantary","122","0.0597443271823395","0.0505343011867427","0.0689543531779364","4"
"Divorced","1998","middle vocational","433","0.0761581529790475","0.0699549947928437","0.0823613111652513","4"
"Divorced","1998","inadequately","20","","","","4"
"Married","1998","inadequately","330","0.655003693956047","0.610836767034383","0.699170620877712","1"
"Married","1998","general elemantary","1361","0.468348032776606","0.448957595620827","0.487738469932384","1"
"Married","1998","higher education","1357","0.637505126953078","0.616309444909087","0.65870080899707","1"
"Married","1998","in school","3","","","","1"
"Married","1998","middle vocational","4493","0.604885533069168","0.59345269890104","0.616318367237296","1"
"Married","1998","vocational + Abi","303","0.54013140527357","0.496961638615568","0.583301171931572","1"
"Married","1998","higher vocational","614","0.701540292579866","0.670297226353509","0.732783358806223","1"
"Married, but separated","1998","general elemantary","46","0.019083864083935","0.0137672071912102","0.0244005209766597","2"
"Married, but separated","1998","middle vocational","185","0.030205021779663","0.0262024845367572","0.0342075590225687","2"
"Married, but separated","1998","vocational + Abi","6","","","","2"
"Married, but separated","1998","higher vocational","13","","","","2"
"Married, but separated","1998","higher education","42","0.0233845067953486","0.0167213423289664","0.0300476712617308","2"
"Married, but separated","1998","in school","2","","","","2"
"Married, but separated","1998","inadequately","18","","","","2"
"Single","1998","in school","329","0.986809561223763","0.97457407723037","0.999045045217156","3"
"Single","1998","inadequately","48","0.139388844678638","0.107208878720839","0.171568810636437","3"
"Single","1998","general elemantary","671","0.22282386171054","0.206653113503448","0.238994609917632","3"
"Single","1998","middle vocational","1516","0.199930170825803","0.190576998095362","0.209283343556245","3"
"Single","1998","vocational + Abi","177","0.368160423543943","0.326383632912093","0.409937214175793","3"
"Single","1998","higher vocational","132","0.166001362814724","0.140596141510626","0.191406584118821","3"
"Single","1998","higher education","374","0.214775553692031","0.196668660052213","0.232882447331849","3"
"Widowed","1998","in school","","","","","5"
"Widowed","1998","inadequately","29","","","","5"
"Widowed","1998","general elemantary","344","0.22999991424658","0.213646864369729","0.246352964123431","5"
"Widowed","1998","middle vocational","397","0.0888211213463177","0.0821681479392424","0.0954740947533929","5"
"Widowed","1998","vocational + Abi","11","","","","5"
"Widowed","1998","higher vocational","28","","","","5"
"Widowed","1998","higher education","53","0.0340690279340292","0.0260705465578225","0.042067509310236","5"
"Divorced","1999","in school","","","","","4"
"Divorced","1999","inadequately","18","","","","4"
"Divorced","1999","general elemantary","125","0.0592434023332566","0.0498819120704401","0.0686048925960731","4"
"Divorced","1999","middle vocational","473","0.0837906524621096","0.0772719148411392","0.09030939008308","4"
"Divorced","1999","vocational + Abi","18","","","","4"
"Divorced","1999","higher vocational","41","0.0646919426148394","0.0478557611136012","0.0815281241160776","4"
"Divorced","1999","higher education","150","0.0946740507925989","0.0817196731421199","0.107628428443078","4"
"Married","1999","inadequately","317","0.65102943285318","0.605713769969053","0.696345095737307","1"
"Married","1999","general elemantary","1273","0.457339032925855","0.437584362695254","0.477093703156456","1"
"Married","1999","higher education","1347","0.636194048722836","0.614906370832728","0.657481726612944","1"
"Married","1999","in school","4","","","","1"
"Married","1999","middle vocational","4373","0.594763058352399","0.583212715829983","0.606313400874814","1"
"Married","1999","vocational + Abi","295","0.540042140826202","0.496787187269714","0.583297094382689","1"
"Married","1999","higher vocational","596","0.67052359463173","0.638352906047608","0.702694283215852","1"
"Married, but separated","1999","higher education","36","0.0201323460029808","0.0139175125729615","0.0263471794330001","2"
"Married, but separated","1999","higher vocational","16","","","","2"
"Married, but separated","1999","inadequately","16","","","","2"
"Married, but separated","1999","general elemantary","55","0.0226602237692763","0.0167590114311314","0.0285614361074213","2"
"Married, but separated","1999","middle vocational","170","0.0272399350812545","0.0234101512929399","0.031069718869569","2"
"Married, but separated","1999","vocational + Abi","7","","","","2"
"Married, but separated","1999","in school","1","","","","2"
"Single","1999","inadequately","47","0.138175892734005","0.105367943469686","0.170983841998325","3"
"Single","1999","general elemantary","659","0.231885966085328","0.215150552857828","0.248621379312827","3"
"Single","1999","middle vocational","1528","0.205487395086753","0.195981098822242","0.214993691351263","3"
"Single","1999","in school","316","0.985317906687703","0.972160274175954","0.998475539199452","3"
"Single","1999","vocational + Abi","181","0.358517535656861","0.316896718874584","0.400138352439139","3"
"Single","1999","higher vocational","139","0.176304399427992","0.150221485223086","0.202387313632899","3"
"Single","1999","higher education","375","0.212767446026557","0.194658102707298","0.230876789345815","3"
"Widowed","1999","in school","","","","","5"
"Widowed","1999","higher vocational","28","","","","5"
"Widowed","1999","inadequately","27","","","","5"
"Widowed","1999","general elemantary","331","0.228871374886285","0.212212506032181","0.245530243740388","5"
"Widowed","1999","middle vocational","396","0.0887189590174847","0.0820293190955576","0.0954085989394119","5"
"Widowed","1999","vocational + Abi","9","","","","5"
"Widowed","1999","higher education","54","0.0362321084550276","0.0279635153671164","0.0445007015429388","5"
"Divorced","2000","in school","","","","","4"
"Divorced","2000","inadequately","19","","","","4"
"Divorced","2000","general elemantary","168","0.0576258787371266","0.0499719826743403","0.065279774799913","4"
"Divorced","2000","middle vocational","830","0.0728620033771859","0.0683634175155567","0.0773605892388151","4"
"Divorced","2000","vocational + Abi","46","0.0552502876431563","0.041917554182407","0.0685830211039057","4"
"Divorced","2000","higher vocational","128","0.0837107428339139","0.0712247211667381","0.0961967645010896","4"
"Divorced","2000","higher education","276","0.0870943825908574","0.0781642744897216","0.0960244906919933","4"
"Married","2000","in school","7","","","","1"
"Married","2000","inadequately","271","0.631374782466868","0.584447953185939","0.678301611747797","1"
"Married","2000","general elemantary","1797","0.467822457914041","0.451434270983798","0.484210644844285","1"
"Married","2000","higher education","2657","0.637688563111671","0.622465780701779","0.652911345521563","1"
"Married","2000","middle vocational","8234","0.603952202928697","0.595487175771774","0.61241723008562","1"
"Married","2000","vocational + Abi","633","0.499231716967138","0.470053212210701","0.528410221723576","1"
"Married","2000","higher vocational","1377","0.672917879698776","0.651767088151796","0.694068671245756","1"
"Married, but separated","2000","higher education","86","0.025099356770707","0.0201453091329671","0.0300534044084469","2"
"Married, but separated","2000","higher vocational","38","0.0203124393332227","0.0139526603027521","0.0266722183636934","2"
"Married, but separated","2000","in school","2","","","","2"
"Married, but separated","2000","inadequately","6","","","","2"
"Married, but separated","2000","general elemantary","69","0.0205538238358891","0.0158936865967425","0.0252139610750356","2"
"Married, but separated","2000","middle vocational","278","0.0215358018554889","0.0190233007413098","0.0240483029696681","2"
"Married, but separated","2000","vocational + Abi","17","","","","2"
"Single","2000","in school","487","0.985161660437133","0.974532075652584","0.995791245221682","3"
"Single","2000","inadequately","78","0.192734574369497","0.154366229502257","0.231102919236737","3"
"Single","2000","general elemantary","1023","0.250609050994088","0.236375452797277","0.264842649190898","3"
"Single","2000","middle vocational","2654","0.210265315771485","0.203212253864227","0.217318377678743","3"
"Single","2000","higher education","704","0.213723326507001","0.200740706001709","0.226705947012293","3"
"Single","2000","vocational + Abi","391","0.373836731556154","0.345602347324657","0.402071115787651","3"
"Single","2000","higher vocational","270","0.159334473606624","0.142834483526422","0.175834463686826","3"
"Widowed","2000","in school","1","","","","5"
"Widowed","2000","inadequately","32","0.101033294693514","0.0717183461893009","0.130348243197726","5"
"Widowed","2000","vocational + Abi","41","0.0563170405794593","0.0428638123459175","0.0697702688130012","5"
"Widowed","2000","higher vocational","77","0.0637244645274637","0.0527123143828396","0.0747366146720879","5"
"Widowed","2000","higher education","107","0.0363943710197639","0.0304635409983088","0.042325201041219","5"
"Widowed","2000","general elemantary","504","0.203388788518855","0.190168260038106","0.216609316999605","5"
"Widowed","2000","middle vocational","827","0.091384676067143","0.086397209623183","0.0963721425111029","5"
"Divorced","2001","inadequately","15","","","","4"
"Divorced","2001","general elemantary","156","0.0617999796068289","0.0533290880959941","0.0702708711176637","4"
"Divorced","2001","in school","","","","","4"
"Divorced","2001","middle vocational","797","0.0781806964418994","0.073296232616498","0.0830651602673009","4"
"Divorced","2001","vocational + Abi","42","0.0550645751856622","0.0414477481043914","0.068681402266933","4"
"Divorced","2001","higher vocational","122","0.0950404913589737","0.0810084446051084","0.109072538112839","4"
"Divorced","2001","higher education","248","0.0860715682762412","0.0768545147287363","0.0952886218237461","4"
"Married","2001","in school","1","","","","1"
"Married","2001","inadequately","203","0.602711081955161","0.548413735239302","0.657008428671019","1"
"Married","2001","general elemantary","1536","0.457390246950666","0.439864582899936","0.474915911001397","1"
"Married","2001","middle vocational","7424","0.595062270811941","0.586130870398893","0.60399367122499","1"
"Married","2001","vocational + Abi","631","0.513763618519622","0.483927377311717","0.543599859727528","1"
"Married","2001","higher vocational","1225","0.663701180131306","0.641096358766668","0.686306001495945","1"
"Married","2001","higher education","2469","0.6300990845401","0.614233601987317","0.645964567092883","1"
"Married, but separated","2001","higher education","88","0.028532844198549","0.0230615161862584","0.0340041722108395","2"
"Married, but separated","2001","higher vocational","40","0.0217887423528239","0.0148034510359867","0.028774033669661","2"
"Married, but separated","2001","in school","1","","","","2"
"Married, but separated","2001","inadequately","8","","","","2"
"Married, but separated","2001","general elemantary","59","0.0226527054226727","0.0174182472838474","0.0278871635614981","2"
"Married, but separated","2001","middle vocational","253","0.0217828819968192","0.0191269342312073","0.024438829762431","2"
"Married, but separated","2001","vocational + Abi","12","","","","2"
"Single","2001","in school","548","0.997281260939852","0.992929557022939","1.00163296485676","3"
"Single","2001","inadequately","60","0.195843179236015","0.151808443505764","0.239877914966266","3"
"Single","2001","general elemantary","923","0.256918120072602","0.24154709120957","0.272289148935633","3"
"Single","2001","middle vocational","2360","0.212761585472585","0.205315226325468","0.220207944619702","3"
"Single","2001","vocational + Abi","354","0.357002706886282","0.328401850488288","0.385603563284277","3"
"Single","2001","higher vocational","222","0.155966050817346","0.138606155248509","0.173325946386183","3"
"Single","2001","higher education","653","0.221412047990154","0.207767453836604","0.235056642143705","3"
"Widowed","2001","in school","","","","","5"
"Widowed","2001","inadequately","26","","","","5"
"Widowed","2001","general elemantary","430","0.20123894794723","0.187134642844625","0.215343253049836","5"
"Widowed","2001","middle vocational","770","0.0922125652767549","0.0869483775724262","0.0974767529810836","5"
"Widowed","2001","vocational + Abi","39","0.0641303974371808","0.0495059876774474","0.0787548071969141","5"
"Widowed","2001","higher vocational","69","0.0635035353395502","0.0518353280530715","0.0751717426260289","5"
"Widowed","2001","higher education","99","0.0338844549949554","0.0279385091986209","0.0398304007912899","5"
"Divorced","2002","general elemantary","154","0.0677226379598163","0.0585854086275682","0.0768598672920645","4"
"Divorced","2002","middle vocational","794","0.0805194757740737","0.0755681430163869","0.0854708085317605","4"
"Divorced","2002","vocational + Abi","51","0.0533391856591015","0.0405016917569391","0.0661766795612639","4"
"Divorced","2002","higher vocational","133","0.0995973001490384","0.0855427474612163","0.11365185283686","4"
"Divorced","2002","higher education","302","0.0893056092457536","0.0810282582932596","0.0975829601982477","4"
"Divorced","2002","inadequately","15","","","","4"
"Divorced","2002","in school","","","","","4"
"Married","2002","in school","1","","","","1"
"Married","2002","inadequately","186","0.621767195561038","0.565465800009431","0.678068591112646","1"
"Married","2002","general elemantary","1403","0.451274492137109","0.433178892028777","0.469370092245442","1"
"Married","2002","middle vocational","7381","0.594684149587461","0.58575026468418","0.603618034490742","1"
"Married","2002","vocational + Abi","695","0.515490907384862","0.486939906986205","0.544041907783519","1"
"Married","2002","higher vocational","1283","0.666834093875333","0.644712621734161","0.688955566016506","1"
"Married","2002","higher education","3336","0.629042526634397","0.615021889948793","0.64306316332","1"
"Married, but separated","2002","in school","1","","","","2"
"Married, but separated","2002","inadequately","8","","","","2"
"Married, but separated","2002","general elemantary","54","0.0214347308089846","0.0161681477418843","0.0267013138760848","2"
"Married, but separated","2002","middle vocational","261","0.0225672753349764","0.0198646653371325","0.0252698853328202","2"
"Married, but separated","2002","higher education","83","0.0233342936525111","0.0189526609583232","0.027715926346699","2"
"Married, but separated","2002","vocational + Abi","19","","","","2"
"Married, but separated","2002","higher vocational","38","0.0206578558243799","0.013982342090501","0.0273333695582589","2"
"Single","2002","in school","614","0.994676640250148","0.988930296495055","1.00042298400524","3"
"Single","2002","inadequately","55","0.185357085632655","0.140242819261476","0.230471352003834","3"
"Single","2002","general elemantary","881","0.264005029728625","0.24797558248999","0.28003447696726","3"
"Single","2002","middle vocational","2426","0.212362788621138","0.204920565257501","0.219805011984775","3"
"Single","2002","vocational + Abi","373","0.355782573688213","0.328431874688427","0.383133272688","3"
"Single","2002","higher vocational","215","0.148005403810872","0.131339377737475","0.164671429884268","3"
"Single","2002","higher education","721","0.22217222754827","0.210106534373721","0.234237920722819","3"
"Widowed","2002","in school","","","","","5"
"Widowed","2002","inadequately","21","","","","5"
"Widowed","2002","general elemantary","413","0.195563109365465","0.181139814610561","0.209986404120369","5"
"Widowed","2002","middle vocational","739","0.089866310682351","0.0846621412288361","0.0950704801358659","5"
"Widowed","2002","vocational + Abi","39","0.0631818504849179","0.0492828465355499","0.0770808544342859","5"
"Widowed","2002","higher vocational","75","0.0649053463403769","0.053343082548274","0.0764676101324797","5"
"Widowed","2002","higher education","118","0.0361453429190688","0.0307278591427847","0.041562826695353","5"
"Divorced","2003","general elemantary","150","0.0696718388312225","0.0601564078346049","0.0791872698278401","4"
"Divorced","2003","middle vocational","790","0.083094321615317","0.0779623949905164","0.0882262482401175","4"
"Divorced","2003","vocational + Abi","55","0.0658169865237926","0.0515599255483648","0.0800740474992205","4"
"Divorced","2003","higher vocational","132","0.0999262096034412","0.0856152315893802","0.114237187617502","4"
"Divorced","2003","higher education","283","0.0876204241611698","0.0792239953830261","0.0960168529393134","4"
"Divorced","2003","inadequately","18","","","","4"
"Divorced","2003","in school","2","","","","4"
"Married","2003","middle vocational","6965","0.589600911427083","0.580455258823238","0.598746564030929","1"
"Married","2003","vocational + Abi","677","0.522068171801189","0.493347697198244","0.550788646404134","1"
"Married","2003","in school","1","","","","1"
"Married","2003","inadequately","168","0.597276869243538","0.538884703837837","0.655669034649238","1"
"Married","2003","general elemantary","1309","0.443767912538906","0.425198946940872","0.46233687813694","1"
"Married","2003","higher vocational","1216","0.650015439508605","0.627255199947623","0.672775679069587","1"
"Married","2003","higher education","3158","0.614706611911464","0.60025441481163","0.629158809011297","1"
"Married, but separated","2003","in school","","","","","2"
"Married, but separated","2003","inadequately","5","","","","2"
"Married, but separated","2003","general elemantary","53","0.0167164483638413","0.0119247095591007","0.021508187168582","2"
"Married, but separated","2003","middle vocational","265","0.0243708087032646","0.021503926839256","0.0272376905672733","2"
"Married, but separated","2003","vocational + Abi","19","","","","2"
"Married, but separated","2003","higher vocational","41","0.0256366436186708","0.0180947291265809","0.0331785581107608","2"
"Married, but separated","2003","higher education","96","0.0259942533026314","0.0212690163846526","0.0307194902206103","2"
"Single","2003","inadequately","59","0.213038107221244","0.16428874430306","0.261787470139428","3"
"Single","2003","general elemantary","844","0.276478627260876","0.259762402238717","0.293194852283035","3"
"Single","2003","in school","614","0.990121087229795","0.982317321211917","0.997924853247673","3"
"Single","2003","middle vocational","2359","0.211878711840653","0.204281178317122","0.219476245364184","3"
"Single","2003","vocational + Abi","374","0.332649227754211","0.305558830695029","0.359739624813393","3"
"Single","2003","higher vocational","220","0.153673463107705","0.136464331011485","0.170882595203925","3"
"Single","2003","higher education","696","0.234815062309956","0.222227247718042","0.24740287690187","3"
"Widowed","2003","inadequately","21","","","","5"
"Widowed","2003","general elemantary","394","0.193365173005154","0.178604391331911","0.208125954678398","5"
"Widowed","2003","middle vocational","734","0.0910552464136826","0.0857064796026865","0.0964040132246787","5"
"Widowed","2003","in school","","","","","5"
"Widowed","2003","vocational + Abi","37","0.0630737048074344","0.0490964490669397","0.0770509605479291","5"
"Widowed","2003","higher vocational","78","0.0707482441615774","0.0585129313285008","0.082983556994654","5"
"Widowed","2003","higher education","123","0.036863648314779","0.0312680413772082","0.0424592552523498","5"
"Divorced","2004","higher education","285","0.0934521810919715","0.0847484385851124","0.102155923598831","4"
"Divorced","2004","general elemantary","156","0.0734836673672261","0.0634269607249317","0.0835403740095204","4"
"Divorced","2004","middle vocational","794","0.0851771358701906","0.0799105745622166","0.0904436971781646","4"
"Divorced","2004","vocational + Abi","62","0.0730598308892277","0.0581164002867879","0.0880032614916674","4"
"Divorced","2004","higher vocational","127","0.0982816175528447","0.0838825912812761","0.112680643824413","4"
"Divorced","2004","inadequately","16","","","","4"
"Divorced","2004","in school","1","","","","4"
"Married","2004","in school","","","","","1"
"Married","2004","general elemantary","1219","0.429289260331257","0.410211962265707","0.448366558396808","1"
"Married","2004","middle vocational","6700","0.581580514544612","0.572273551340353","0.590887477748871","1"
"Married","2004","vocational + Abi","665","0.505291704569519","0.476581862137691","0.534001547001348","1"
"Married","2004","higher vocational","1190","0.659484616169841","0.636563687065438","0.682405545274244","1"
"Married","2004","inadequately","156","0.578129885593343","0.517633392646266","0.63862637854042","1"
"Married","2004","higher education","3077","0.601946675458896","0.587309219798569","0.616584131119222","1"
"Married, but separated","2004","in school","","","","","2"
"Married, but separated","2004","inadequately","6","","","","2"
"Married, but separated","2004","general elemantary","49","0.0170897021877007","0.0120944430766135","0.0220849612987878","2"
"Married, but separated","2004","middle vocational","248","0.0264625949481848","0.0234343593629452","0.0294908305334244","2"
"Married, but separated","2004","vocational + Abi","18","","","","2"
"Married, but separated","2004","higher vocational","38","0.023284479441745","0.0159902599828805","0.0305786989006095","2"
"Married, but separated","2004","higher education","105","0.0298238392956343","0.0247372926750227","0.0349103859162458","2"
"Single","2004","in school","634","0.997835550371158","0.994220915313663","1.00145018542865","3"
"Single","2004","inadequately","57","0.227663957679983","0.17629764392444","0.279030271435526","3"
"Single","2004","general elemantary","781","0.28380816984673","0.266431723705439","0.301184615988021","3"
"Single","2004","higher education","701","0.236175215220577","0.223474447081911","0.248875983359243","3"
"Single","2004","middle vocational","2343","0.217314118853724","0.209533129086963","0.225095108620485","3"
"Single","2004","vocational + Abi","386","0.339314228674112","0.312125829278819","0.366502628069405","3"
"Single","2004","higher vocational","214","0.157087493323413","0.139487051570322","0.174687935076504","3"
"Widowed","2004","inadequately","21","","","","5"
"Widowed","2004","general elemantary","381","0.196329200267086","0.181019546324603","0.211638854209569","5"
"Widowed","2004","middle vocational","707","0.0894656357832883","0.0840807881470458","0.0948504834195307","5"
"Widowed","2004","higher education","128","0.0386020889329214","0.032841419624755","0.0443627582410877","5"
"Widowed","2004","in school","","","","","5"
"Widowed","2004","vocational + Abi","34","0.0608624435348841","0.0471339012754934","0.0745909857942748","5"
"Widowed","2004","higher vocational","73","0.0618617935121564","0.0502096404783545","0.0735139465459583","5"
"Divorced","2005","higher vocational","128","0.100170932062123","0.0852869386673131","0.115054925456932","4"
"Divorced","2005","higher education","278","0.0920926396175064","0.0833141971957053","0.100871082039307","4"
"Divorced","2005","in school","1","","","","4"
"Divorced","2005","inadequately","16","","","","4"
"Divorced","2005","general elemantary","145","0.0761607636520679","0.0655595790457019","0.086761948258434","4"
"Divorced","2005","middle vocational","787","0.0909114104453981","0.0853481544469798","0.0964746664438164","4"
"Divorced","2005","vocational + Abi","64","0.0737422151098017","0.0585376436062572","0.0889467866133461","4"
"Married","2005","in school","1","","","","1"
"Married","2005","inadequately","149","0.560467649954183","0.498444868985349","0.622490430923016","1"
"Married","2005","general elemantary","1112","0.416495747581715","0.396793405774508","0.436198089388922","1"
"Married","2005","middle vocational","6311","0.570281878817104","0.560702146726704","0.579861610907505","1"
"Married","2005","vocational + Abi","643","0.506319240888786","0.477233141979993","0.53540533979758","1"
"Married","2005","higher vocational","1135","0.670528850214514","0.647227234695251","0.693830465733777","1"
"Married","2005","higher education","2936","0.593544377100064","0.578633012086139","0.608455742113988","1"
"Married, but separated","2005","higher vocational","28","","","","2"
"Married, but separated","2005","middle vocational","238","0.0251685603928779","0.0221373875946887","0.0281997331910671","2"
"Married, but separated","2005","vocational + Abi","24","","","","2"
"Married, but separated","2005","in school","","","","","2"
"Married, but separated","2005","inadequately","8","","","","2"
"Married, but separated","2005","general elemantary","54","0.0229569932881553","0.0169714318273095","0.028942554749001","2"
"Married, but separated","2005","higher education","114","0.0337227926613577","0.0282425868387408","0.0392029984839745","2"
"Single","2005","in school","647","0.996260059140076","0.991563882004961","1.00095623627519","3"
