"pgfamstd","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Widowed","1986","general elemantary","299","0.186872566877756","0.172576351849398","0.201168781906115","5"
"Widowed","1986","middle vocational","260","0.0943839922450117","0.0862476638398762","0.102520320650147","5"
"Widowed","1986","vocational + Abi","6","","","","5"
"Widowed","1986","higher vocational","31","0.0798945334531153","0.0578101058656476","0.101978961040583","5"
"Widowed","1986","higher education","17","","","","5"
"Divorced","1987","in school","1","","","","4"
"Divorced","1987","inadequately","22","","","","4"
"Divorced","1987","general elemantary","79","0.0350228758198238","0.028246154944938","0.0417995966947095","4"
"Divorced","1987","middle vocational","210","0.0518762893330424","0.0457055575934531","0.0580470210726318","4"
"Divorced","1987","vocational + Abi","9","","","","4"
"Divorced","1987","higher vocational","21","","","","4"
"Divorced","1987","higher education","34","0.0530477404042494","0.0369211102676821","0.0691743705408166","4"
"Married","1987","in school","","","","","1"
"Married","1987","inadequately","567","0.581421442385179","0.545973124313144","0.616869760457213","1"
"Married","1987","general elemantary","1597","0.518428228641759","0.500009484370746","0.536846972912773","1"
"Married","1987","middle vocational","3268","0.615012202059896","0.601473249711127","0.628551154408665","1"
"Married","1987","vocational + Abi","169","0.534586197207983","0.475417055761057","0.593755338654908","1"
"Married","1987","higher vocational","420","0.692083581005788","0.654119785976864","0.730047376034712","1"
"Married","1987","higher education","525","0.653840347546961","0.619609297626744","0.688071397467178","1"
"Married, but separated","1987","vocational + Abi","4","","","","2"
"Married, but separated","1987","higher education","20","","","","2"
"Married, but separated","1987","in school","","","","","2"
"Married, but separated","1987","inadequately","42","0.0702814702252008","0.0519136429993884","0.0886492974510133","2"
"Married, but separated","1987","general elemantary","65","0.0176038176566621","0.0127561599070376","0.0224514754062865","2"
"Married, but separated","1987","middle vocational","93","0.0156506167942643","0.0121971118927406","0.019104121695788","2"
"Married, but separated","1987","higher vocational","7","","","","2"
"Single","1987","higher education","145","0.219117946054869","0.189354868666508","0.248881023443229","3"
"Single","1987","middle vocational","1117","0.220645625783859","0.209107510849735","0.232183740717984","3"
"Single","1987","vocational + Abi","86","0.390506264888772","0.332634677728572","0.448377852048973","3"
"Single","1987","higher vocational","86","0.162444624797688","0.132110367866485","0.192778881728891","3"
"Single","1987","in school","189","0.998818487914365","0.993933835549024","1.00370314027971","3"
"Single","1987","inadequately","91","0.244178563230402","0.213309390357623","0.275047736103182","3"
"Single","1987","general elemantary","780","0.232394856864339","0.216825618025001","0.247964095703676","3"
"Widowed","1987","in school","","","","","5"
"Widowed","1987","inadequately","22","","","","5"
"Widowed","1987","general elemantary","306","0.196550221017416","0.181901445531815","0.211198996503018","5"
"Widowed","1987","middle vocational","274","0.096815266028938","0.0885875380127564","0.10504299404512","5"
"Widowed","1987","vocational + Abi","5","","","","5"
"Widowed","1987","higher vocational","34","0.0887030021329381","0.0653214653537808","0.112084538912095","5"
"Widowed","1987","higher education","18","","","","5"
"Divorced","1988","in school","","","","","4"
"Divorced","1988","inadequately","22","","","","4"
"Divorced","1988","general elemantary","75","0.0341334580404784","0.0272998202805844","0.0409670958003725","4"
"Divorced","1988","middle vocational","193","0.0521517987341412","0.0458190516957899","0.0584845457724926","4"
"Divorced","1988","vocational + Abi","8","","","","4"
"Divorced","1988","higher vocational","18","","","","4"
"Divorced","1988","higher education","34","0.0554307830086954","0.0384920281534417","0.0723695378639491","4"
"Married","1988","in school","","","","","1"
"Married","1988","inadequately","541","0.596705798956436","0.560313331893979","0.633098266018893","1"
"Married","1988","general elemantary","1530","0.51660237042709","0.497794756382939","0.53540998447124","1"
"Married","1988","middle vocational","3123","0.609175859057343","0.595277928654025","0.623073789460661","1"
"Married","1988","vocational + Abi","158","0.491764515232456","0.432022064118659","0.551506966346252","1"
"Married","1988","higher vocational","399","0.695018280971612","0.65618659659439","0.733849965348834","1"
"Married","1988","higher education","484","0.630155454538729","0.594418088456198","0.665892820621261","1"
"Married, but separated","1988","in school","","","","","2"
"Married, but separated","1988","inadequately","33","0.0554537071882306","0.0384752862726158","0.0724321281038455","2"
"Married, but separated","1988","middle vocational","114","0.0219907970943335","0.017813647239914","0.0261679469487529","2"
"Married, but separated","1988","vocational + Abi","6","","","","2"
"Married, but separated","1988","higher education","24","","","","2"
"Married, but separated","1988","general elemantary","65","0.0217614140746218","0.0162701895756607","0.027252638573583","2"
"Married, but separated","1988","higher vocational","10","","","","2"
"Single","1988","in school","162","1","1","1","3"
"Single","1988","inadequately","79","0.244459531226339","0.212577004482241","0.276342057970436","3"
"Single","1988","higher education","141","0.229746041692153","0.198605219824891","0.260886863559416","3"
"Single","1988","general elemantary","762","0.233051154869666","0.217139619921484","0.248962689817848","3"
"Single","1988","middle vocational","1037","0.219280042298918","0.207494887449901","0.231065197147935","3"
"Single","1988","vocational + Abi","90","0.41693202749238","0.358011832812704","0.475852222172056","3"
"Single","1988","higher vocational","81","0.160527660927969","0.129565636769548","0.191489685086391","3"
"Widowed","1988","higher vocational","32","0.0886616055226687","0.0646865931197561","0.112636617925581","5"
"Widowed","1988","higher education","18","","","","5"
"Widowed","1988","middle vocational","268","0.097401502815264","0.0889561415651079","0.10584686406542","5"
"Widowed","1988","vocational + Abi","7","","","","5"
"Widowed","1988","in school","","","","","5"
"Widowed","1988","inadequately","23","","","","5"
"Widowed","1988","general elemantary","280","0.194451602588144","0.179556111335474","0.209347093840813","5"
"Divorced","1989","in school","","","","","4"
"Divorced","1989","inadequately","24","","","","4"
"Divorced","1989","general elemantary","79","0.0385525420889927","0.0311048031631998","0.0460002810147856","4"
"Divorced","1989","middle vocational","201","0.0564706768388327","0.049811747776395","0.0631296059012703","4"
"Divorced","1989","vocational + Abi","7","","","","4"
"Divorced","1989","higher vocational","21","","","","4"
"Divorced","1989","higher education","39","0.0665815464127518","0.0480607950524186","0.085102297773085","4"
"Married","1989","in school","1","","","","1"
"Married","1989","inadequately","503","0.598520607388466","0.560980230861714","0.636060983915219","1"
"Married","1989","middle vocational","3012","0.610733008932063","0.596667201198829","0.624798816665296","1"
"Married","1989","vocational + Abi","156","0.451765392445913","0.394288728883486","0.509242056008339","1"
"Married","1989","higher vocational","388","0.705194076279114","0.665814874638128","0.7445732779201","1"
"Married","1989","higher education","476","0.630912303470328","0.595062006816205","0.666762600124452","1"
"Married","1989","general elemantary","1449","0.508395556871083","0.489056115302164","0.527734998440002","1"
"Married, but separated","1989","in school","","","","","2"
"Married, but separated","1989","inadequately","29","","","","2"
"Married, but separated","1989","general elemantary","59","0.0207503308458231","0.0152359801023076","0.0262646815893386","2"
"Married, but separated","1989","middle vocational","99","0.0209866695905765","0.0168516149170537","0.0251217242640992","2"
"Married, but separated","1989","vocational + Abi","8","","","","2"
"Married, but separated","1989","higher vocational","6","","","","2"
"Married, but separated","1989","higher education","23","","","","2"
