"pgfamstd","year","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","351","0.0392938915768609","0.0356105893994362","0.0429771937542857","4"
"Married","1984","7109","0.613861030188484","0.60463135534737","0.623090705029598","1"
"Married, but separated","1984","206","0.0153635184473101","0.0130318711469586","0.0176951657476616","2"
"Single","1984","2346","0.225024087561303","0.21710749745545","0.232940677667157","3"
"Widowed","1984","677","0.106457472226041","0.100610577947912","0.112304366504171","5"
"Divorced","1985","341","0.0421241246222428","0.0382283709630543","0.0460198782814314","4"
"Married","1985","6542","0.579376564555573","0.569802449984313","0.588950679126833","1"
"Married, but separated","1985","210","0.0169803391436932","0.0144746585634291","0.0194860197239572","2"
"Single","1985","2461","0.248322399169556","0.239943341542316","0.256701456796796","3"
"Widowed","1985","659","0.113196572508935","0.107051857501497","0.119341287516373","5"
"Divorced","1986","353","0.0424491788074825","0.0385892169535631","0.0463091406614018","4"
"Married","1986","6689","0.583243486992195","0.573804321587341","0.592682652397049","1"
"Married, but separated","1986","260","0.0214469289257811","0.018673339339153","0.0242205185124092","2"
"Single","1986","2542","0.242360910572781","0.234156829863506","0.250564991282056","3"
"Widowed","1986","636","0.110499494701761","0.104497153277119","0.116501836126403","5"
"Divorced","1987","381","0.0456847953575102","0.0416776259751195","0.049691964739901","4"
"Married","1987","6609","0.585285042650059","0.575829978077386","0.594740107222732","1"
"Married, but separated","1987","236","0.0182534122837832","0.0156843320447362","0.0208224925228302","2"
"Single","1987","2544","0.237439564197401","0.229273371674115","0.245605756720687","3"
"Widowed","1987","660","0.113337185511247","0.107253434993951","0.119420936028543","5"
"Divorced","1988","356","0.0451950546662984","0.0411160348633726","0.0492740744692243","4"
"Married","1988","6309","0.579313151475201","0.569619460126465","0.589006842823936","1"
"Married, but separated","1988","256","0.0242026529426394","0.0211850344745027","0.0272202714107762","2"
"Single","1988","2413","0.239285555946755","0.230907908134808","0.247663203758701","3"
"Widowed","1988","629","0.112003584969107","0.105810962646943","0.118196207291271","5"
"Divorced","1989","377","0.0501465040823595","0.0457929585847466","0.0545000495799724","4"
"Married","1989","6057","0.575679795784687","0.565820820150534","0.58553877141884","1"
"Married, but separated","1989","225","0.0227782514803838","0.0198021262790778","0.0257543766816898","2"
"Single","1989","2377","0.240394248331929","0.231870107774994","0.248918388888864","3"
"Widowed","1989","618","0.11100120032064","0.104734933713362","0.117267466927919","5"
"Divorced","1990","654","0.0584638938740425","0.0545646705632519","0.0623631171848331","4"
"Married","1990","9028","0.584682101629928","0.576492439716442","0.592871763543414","1"
"Married, but separated","1990","246","0.0182334311293054","0.0160098444165296","0.0204570178420812","2"
"Single","1990","3088","0.231851261042014","0.224837626343037","0.238864895740992","3"
"Widowed","1990","892","0.10676931232471","0.101636908849292","0.111901715800128","5"
"Divorced","1991","650","0.0619941855421279","0.057943305213863","0.0660450658703927","4"
"Married","1991","8835","0.583196534540043","0.574914361563297","0.591478707516788","1"
"Married, but separated","1991","232","0.0180402393158071","0.0158044073464763","0.0202760712851379","2"
"Single","1991","3041","0.228141791506569","0.221092550545725","0.235191032467413","3"
"Widowed","1991","855","0.108627249095453","0.103400035624645","0.113854462566262","5"
"Divorced","1992","637","0.0614767543037838","0.0574004702780354","0.0655530383295323","4"
"Married","1992","8622","0.586714958103095","0.578358449232026","0.595071466974163","1"
"Married, but separated","1992","239","0.0187427028182647","0.0164412927219446","0.0210441129145849","2"
"Single","1992","3016","0.2263515691015","0.2192500700401","0.2334530681629","3"
"Widowed","1992","825","0.106714015673356","0.101474484288516","0.111953547058197","5"
