"pgfamstd","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Widowed","1984","35-65 y.","Single parent ","89","0.406199011877969","0.340703565749669","0.471694458006268","5"
"Widowed","1984","35-65 y.","(Married) couple without C. ","11","","","","5"
"Widowed","1984","35-65 y.","Couple + C. GT 16 ","","","","","5"
"Widowed","1984","35-65 y.","Couple + C. LE and GT 16","4","","","","5"
"Widowed","1984","66 and older","1-pers.-HH","310","0.835154099370663","0.797600217003398","0.872707981737928","5"
"Widowed","1984","66 and older","(Married) couple without C. ","11","","","","5"
"Widowed","1984","66 and older","Single parent ","23","","","","5"
"Widowed","1984","66 and older","Couple + C. LE 16 ","","","","","5"
"Widowed","1984","66 and older","Couple + C. GT 16 ","","","","","5"
"Widowed","1984","66 and older","Couple + C. LE and GT 16","","","","","5"
"Divorced","1985","16-34 y.","Single parent ","21","","","","4"
"Divorced","1985","16-34 y.","1-pers.-HH","20","","","","4"
"Divorced","1985","16-34 y.","(Married) couple without C. ","16","","","","4"
"Divorced","1985","35-65 y.","1-pers.-HH","98","0.275545965609498","0.231596329494777","0.319495601724218","4"
"Divorced","1985","16-34 y.","Couple + C. LE 16 ","10","","","","4"
"Divorced","1985","16-34 y.","Couple + C. GT 16 ","2","","","","4"
"Divorced","1985","16-34 y.","Couple + C. LE and GT 16","1","","","","4"
"Divorced","1985","35-65 y.","(Married) couple without C. ","21","","","","4"
"Divorced","1985","35-65 y.","Single parent ","65","0.313249848734338","0.249288557417881","0.377211140050795","4"
"Divorced","1985","35-65 y.","Couple + C. LE 16 ","11","","","","4"
"Divorced","1985","35-65 y.","Couple + C. GT 16 ","7","","","","4"
"Divorced","1985","35-65 y.","Couple + C. LE and GT 16","5","","","","4"
"Divorced","1985","66 and older","(Married) couple without C. ","","","","","4"
"Divorced","1985","66 and older","Single parent ","","","","","4"
"Divorced","1985","66 and older","Couple + C. LE 16 ","","","","","4"
"Divorced","1985","66 and older","1-pers.-HH","24","","","","4"
"Divorced","1985","66 and older","Couple + C. GT 16 ","","","","","4"
"Divorced","1985","66 and older","Couple + C. LE and GT 16","","","","","4"
"Married","1985","16-34 y.","1-pers.-HH","3","","","","1"
"Married","1985","16-34 y.","(Married) couple without C. ","351","0.650032754288819","0.609541073297821","0.690524435279817","1"
"Married","1985","16-34 y.","Single parent ","4","","","","1"
"Married","1985","16-34 y.","Couple + C. LE 16 ","1113","0.952546955704091","0.940333267267836","0.964760644140347","1"
"Married","1985","16-34 y.","Couple + C. GT 16 ","15","","","","1"
"Married","1985","16-34 y.","Couple + C. LE and GT 16","26","","","","1"
"Married","1985","35-65 y.","1-pers.-HH","6","","","","1"
"Married","1985","35-65 y.","(Married) couple without C. ","1159","0.951338383624519","0.939299489786301","0.963377277462736","1"
"Married","1985","35-65 y.","Single parent ","7","","","","1"
"Married","1985","35-65 y.","Couple + C. LE 16 ","1292","0.975150801203519","0.966772259894955","0.983529342512082","1"
"Married","1985","35-65 y.","Couple + C. GT 16 ","1021","0.961942523279638","0.950385966368939","0.973499080190337","1"
"Married","1985","35-65 y.","Couple + C. LE and GT 16","807","0.984435656728371","0.975953027056506","0.992918286400236","1"
"Married","1985","66 and older","1-pers.-HH","2","","","","1"
"Married","1985","66 and older","(Married) couple without C. ","412","0.960482937719034","0.942025842216176","0.978940033221891","1"
"Married","1985","66 and older","Single parent ","","","","","1"
"Married","1985","66 and older","Couple + C. LE 16 ","2","","","","1"
"Married","1985","66 and older","Couple + C. GT 16 ","43","0.987802625681084","0.955369409500956","1.02023584186121","1"
"Married","1985","66 and older","Couple + C. LE and GT 16","","","","","1"
"Married, but separated","1985","16-34 y.","1-pers.-HH","11","","","","2"
"Married, but separated","1985","16-34 y.","Couple + C. LE and GT 16","4","","","","2"
"Married, but separated","1985","35-65 y.","Single parent ","22","","","","2"
"Married, but separated","1985","16-34 y.","(Married) couple without C. ","11","","","","2"
"Married, but separated","1985","16-34 y.","Couple + C. GT 16 ","7","","","","2"
"Married, but separated","1985","16-34 y.","Single parent ","18","","","","2"
"Married, but separated","1985","16-34 y.","Couple + C. LE 16 ","10","","","","2"
"Married, but separated","1985","35-65 y.","(Married) couple without C. ","15","","","","2"
"Married, but separated","1985","35-65 y.","Couple + C. LE 16 ","13","","","","2"
"Married, but separated","1985","66 and older","1-pers.-HH","3","","","","2"
"Married, but separated","1985","66 and older","(Married) couple without C. ","1","","","","2"
"Married, but separated","1985","35-65 y.","1-pers.-HH","74","0.109542719120972","0.078820601977936","0.140264836264009","2"
"Married, but separated","1985","35-65 y.","Couple + C. GT 16 ","5","","","","2"
"Married, but separated","1985","35-65 y.","Couple + C. LE and GT 16","1","","","","2"
