"pgfamstd","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","West Germany","351","0.0392938915768609","0.0356105893994362","0.0429771937542857","4"
"Divorced","1984","East Germany","","","","","4"
"Married","1984","West Germany","7109","0.613861030188484","0.60463135534737","0.623090705029598","1"
"Married","1984","East Germany","","","","","1"
"Married, but separated","1984","East Germany","","","","","2"
"Married, but separated","1984","West Germany","206","0.0153635184473101","0.0130318711469586","0.0176951657476616","2"
"Single","1984","West Germany","2346","0.225024087561303","0.21710749745545","0.232940677667157","3"
"Single","1984","East Germany","","","","","3"
"Widowed","1984","West Germany","677","0.106457472226041","0.100610577947912","0.112304366504171","5"
"Widowed","1984","East Germany","","","","","5"
"Divorced","1985","West Germany","341","0.0421241246222428","0.0382283709630543","0.0460198782814314","4"
"Divorced","1985","East Germany","","","","","4"
"Married","1985","West Germany","6542","0.579376564555573","0.569802449984313","0.588950679126833","1"
"Married","1985","East Germany","","","","","1"
"Married, but separated","1985","West Germany","210","0.0169803391436932","0.0144746585634291","0.0194860197239572","2"
"Married, but separated","1985","East Germany","","","","","2"
"Single","1985","West Germany","2461","0.248322399169556","0.239943341542316","0.256701456796796","3"
"Single","1985","East Germany","","","","","3"
"Widowed","1985","West Germany","659","0.113196572508935","0.107051857501497","0.119341287516373","5"
"Widowed","1985","East Germany","","","","","5"
"Divorced","1986","East Germany","","","","","4"
"Divorced","1986","West Germany","353","0.0424491788074825","0.0385892169535631","0.0463091406614018","4"
"Married","1986","West Germany","6689","0.583243486992195","0.573804321587341","0.592682652397049","1"
"Married","1986","East Germany","","","","","1"
"Married, but separated","1986","West Germany","260","0.0214469289257811","0.018673339339153","0.0242205185124092","2"
"Married, but separated","1986","East Germany","","","","","2"
"Single","1986","East Germany","","","","","3"
"Single","1986","West Germany","2542","0.242360910572781","0.234156829863506","0.250564991282056","3"
"Widowed","1986","West Germany","636","0.110499494701761","0.104497153277119","0.116501836126403","5"
"Widowed","1986","East Germany","","","","","5"
"Divorced","1987","East Germany","","","","","4"
"Divorced","1987","West Germany","381","0.0456847953575102","0.0416776259751195","0.049691964739901","4"
"Married","1987","West Germany","6609","0.585285042650059","0.575829978077386","0.594740107222732","1"
"Married","1987","East Germany","","","","","1"
"Married, but separated","1987","West Germany","236","0.0182534122837832","0.0156843320447362","0.0208224925228302","2"
"Married, but separated","1987","East Germany","","","","","2"
"Single","1987","West Germany","2544","0.237439564197401","0.229273371674115","0.245605756720687","3"
"Single","1987","East Germany","","","","","3"
"Widowed","1987","West Germany","660","0.113337185511247","0.107253434993951","0.119420936028543","5"
"Widowed","1987","East Germany","","","","","5"
