"pgfamstd","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1985","Rural Area","West Germany","57","0.0325245041322617","0.024950227680874","0.0400987805836494","4"
"Divorced","1985","Urban Area","East Germany","","","","","4"
"Divorced","1985","Rural Area","East Germany","","","","","4"
"Divorced","1985","Urban Area","West Germany","284","0.0450427293576706","0.0405278192234011","0.0495576394919402","4"
"Married","1985","Urban Area","West Germany","5180","0.573366170773506","0.562599325583226","0.584133015963786","1"
"Married","1985","Urban Area","East Germany","","","","","1"
"Married","1985","Rural Area","West Germany","1362","0.599145428287896","0.578219951188684","0.620070905387109","1"
"Married","1985","Rural Area","East Germany","","","","","1"
"Married, but separated","1985","Rural Area","West Germany","36","0.0126108091253908","0.00784615386147479","0.0173754643893069","2"
"Married, but separated","1985","Urban Area","West Germany","174","0.0183088219744802","0.0153903035700796","0.0212273403788807","2"
"Married, but separated","1985","Urban Area","East Germany","","","","","2"
"Married, but separated","1985","Rural Area","East Germany","","","","","2"
"Single","1985","Rural Area","East Germany","","","","","3"
"Single","1985","Urban Area","West Germany","1968","0.25021192382598","0.240782871253982","0.259640976397978","3"
"Single","1985","Urban Area","East Germany","","","","","3"
"Single","1985","Rural Area","West Germany","493","0.242107539244212","0.223817115233343","0.260397963255081","3"
"Widowed","1985","Urban Area","West Germany","500","0.113070354068363","0.106176473533662","0.119964234603064","5"
"Widowed","1985","Urban Area","East Germany","","","","","5"
"Widowed","1985","Rural Area","West Germany","159","0.113611719210239","0.100061716195192","0.127161722225286","5"
"Widowed","1985","Rural Area","East Germany","","","","","5"
"Divorced","1986","Rural Area","West Germany","62","0.0371259961718922","0.0291470266340439","0.0451049657097405","4"
"Divorced","1986","Urban Area","East Germany","","","","","4"
"Divorced","1986","Urban Area","West Germany","291","0.0440746536554961","0.0396648973859321","0.04848440992506","4"
"Divorced","1986","Rural Area","East Germany","","","","","4"
"Married","1986","Urban Area","West Germany","5293","0.5773143889124","0.566701757850292","0.587927019974509","1"
"Married","1986","Urban Area","East Germany","","","","","1"
"Married","1986","Rural Area","West Germany","1396","0.602660380450522","0.582009419047965","0.62331134185308","1"
"Married","1986","Rural Area","East Germany","","","","","1"
"Married, but separated","1986","Rural Area","West Germany","33","0.0131156472842195","0.00831443382976033","0.0179168607386786","2"
"Married, but separated","1986","Rural Area","East Germany","","","","","2"
"Married, but separated","1986","Urban Area","West Germany","227","0.0239909499912117","0.0207035027726219","0.0272783972098014","2"
"Married, but separated","1986","Urban Area","East Germany","","","","","2"
"Single","1986","Rural Area","East Germany","","","","","3"
"Single","1986","Urban Area","East Germany","","","","","3"
"Single","1986","Rural Area","West Germany","514","0.239908285203873","0.221887295395635","0.257929275012111","3"
"Single","1986","Urban Area","West Germany","2028","0.243109838633619","0.233894191416653","0.252325485850585","3"
"Widowed","1986","Urban Area","West Germany","484","0.111510168807273","0.104747912756654","0.118272424857892","5"
"Widowed","1986","Urban Area","East Germany","","","","","5"
"Widowed","1986","Rural Area","West Germany","152","0.107189690889493","0.0941346232616346","0.120244758517352","5"
"Widowed","1986","Rural Area","East Germany","","","","","5"
"Divorced","1987","Urban Area","West Germany","319","0.0480123056595285","0.0434084680719808","0.0526161432470762","4"
"Divorced","1987","Urban Area","East Germany","","","","","4"
"Divorced","1987","Rural Area","West Germany","62","0.0379201492569538","0.0298389872974797","0.0460013112164279","4"
"Divorced","1987","Rural Area","East Germany","","","","","4"
"Married","1987","Urban Area","West Germany","5222","0.577157899742092","0.566519789691905","0.58779600979228","1"
"Married","1987","Rural Area","East Germany","","","","","1"
"Married","1987","Urban Area","East Germany","","","","","1"
"Married","1987","Rural Area","West Germany","1387","0.612397441866633","0.5917843455055","0.633010538227766","1"
"Married, but separated","1987","Rural Area","East Germany","","","","","2"
"Married, but separated","1987","Urban Area","East Germany","","","","","2"
"Married, but separated","1987","Urban Area","West Germany","204","0.0201952839049678","0.0171661198821656","0.0232244479277701","2"
"Married, but separated","1987","Rural Area","West Germany","32","0.011775268707732","0.00721125957738621","0.0163392778380777","2"
"Single","1987","Rural Area","East Germany","","","","","3"
"Single","1987","Rural Area","West Germany","513","0.230850792395417","0.213022727122026","0.248678857668808","3"
"Single","1987","Urban Area","West Germany","2031","0.239414597450451","0.230225404893729","0.248603790007173","3"
"Single","1987","Urban Area","East Germany","","","","","3"
"Widowed","1987","Urban Area","West Germany","508","0.11521991324296","0.108344330898986","0.122095495586935","5"
"Widowed","1987","Urban Area","East Germany","","","","","5"
"Widowed","1987","Rural Area","West Germany","152","0.107056347773264","0.0939750307441735","0.120137664802355","5"
"Widowed","1987","Rural Area","East Germany","","","","","5"
"Divorced","1988","Rural Area","West Germany","55","0.0359449239153811","0.0278250433978564","0.0440648044329057","4"
"Divorced","1988","Urban Area","East Germany","","","","","4"
"Divorced","1988","Urban Area","West Germany","301","0.0479264351316478","0.0432291027706451","0.0526237674926505","4"
"Divorced","1988","Rural Area","East Germany","","","","","4"
"Married","1988","Urban Area","West Germany","5010","0.571883531902389","0.561002671573305","0.582764392231472","1"
"Married","1988","Rural Area","East Germany","","","","","1"
"Married","1988","Urban Area","East Germany","","","","","1"
"Married","1988","Rural Area","West Germany","1299","0.604474403578281","0.583146106255576","0.625802700900985","1"
"Married, but separated","1988","Urban Area","East Germany","","","","","2"
"Married, but separated","1988","Rural Area","West Germany","41","0.0183184034212714","0.0124690337924532","0.0241677730500895","2"
"Married, but separated","1988","Rural Area","East Germany","","","","","2"
"Married, but separated","1988","Urban Area","West Germany","215","0.0259401553227341","0.0224446692232937","0.0294356414221746","2"
"Single","1988","Rural Area","East Germany","","","","","3"
"Single","1988","Rural Area","West Germany","485","0.235870410388838","0.217352150637861","0.254388670139816","3"
"Single","1988","Urban Area","West Germany","1928","0.24029398081278","0.230898420104313","0.249689541521248","3"
"Single","1988","Urban Area","East Germany","","","","","3"
"Widowed","1988","Urban Area","West Germany","490","0.113955896830449","0.106968353005295","0.120943440655603","5"
"Widowed","1988","Urban Area","East Germany","","","","","5"
"Widowed","1988","Rural Area","West Germany","139","0.105391858696228","0.0919981796863198","0.118785537706137","5"
"Widowed","1988","Rural Area","East Germany","","","","","5"
"Divorced","1989","Rural Area","West Germany","58","0.0402526031287043","0.031458611238924","0.0490465950184847","4"
"Divorced","1989","Rural Area","East Germany","","","","","4"
"Divorced","1989","Urban Area","West Germany","319","0.0529923097623128","0.0480000047704487","0.0579846147541769","4"
"Divorced","1989","Urban Area","East Germany","","","","","4"
"Married","1989","Rural Area","East Germany","","","","","1"
"Married","1989","Urban Area","West Germany","4817","0.567664998497108","0.556624868453492","0.578705128540725","1"
"Married","1989","Rural Area","West Germany","1240","0.603544527057634","0.581658724825616","0.625430329289652","1"
"Married","1989","Urban Area","East Germany","","","","","1"
"Married, but separated","1989","Rural Area","East Germany","","","","","2"
"Married, but separated","1989","Rural Area","West Germany","34","0.0172961139309855","0.0114630570823676","0.0231291707796034","2"
"Married, but separated","1989","Urban Area","West Germany","191","0.0243550914193969","0.0209198385954147","0.0277903442433792","2"
"Married, but separated","1989","Urban Area","East Germany","","","","","2"
"Single","1989","Rural Area","East Germany","","","","","3"
"Single","1989","Urban Area","East Germany","","","","","3"
"Single","1989","Rural Area","West Germany","456","0.23438510096704","0.215431977461465","0.253338224472615","3"
"Single","1989","Urban Area","West Germany","1921","0.242122673326558","0.232576372421499","0.251668974231617","3"
"Widowed","1989","Urban Area","West Germany","487","0.112864926994624","0.105813251652626","0.119916602336622","5"
"Widowed","1989","Urban Area","East Germany","","","","","5"
"Widowed","1989","Rural Area","West Germany","131","0.104521654915636","0.0908336142637095","0.118209695567563","5"
"Widowed","1989","Rural Area","East Germany","","","","","5"
"Divorced","1990","Rural Area","East Germany","155","0.066358487296334","0.0571652158990573","0.0755517586936107","4"
"Divorced","1990","Urban Area","West Germany","320","0.0564661415307245","0.0512603124969113","0.0616719705645377","4"
"Divorced","1990","Urban Area","East Germany","108","0.0885751010841441","0.0743890001883559","0.102761201979932","4"
"Divorced","1990","Rural Area","West Germany","65","0.0474911393231334","0.0379627842930509","0.0570194943532159","4"
"Married","1990","Rural Area","East Germany","1979","0.650428229868972","0.632816596588998","0.668039863148946","1"
"Married","1990","Urban Area","West Germany","4728","0.568410900513941","0.557240119635072","0.579581681392809","1"
"Married","1990","Rural Area","West Germany","1228","0.59384775599102","0.571845910388935","0.615849601593105","1"
"Married","1990","Urban Area","East Germany","1031","0.586682950404449","0.562096820857614","0.611269079951285","1"
"Married, but separated","1990","Rural Area","East Germany","14","","","","2"
"Married, but separated","1990","Urban Area","West Germany","182","0.0222843590426876","0.0189552849933947","0.0256134330919804","2"
"Married, but separated","1990","Urban Area","East Germany","13","","","","2"
"Married, but separated","1990","Rural Area","West Germany","37","0.0177703429408204","0.0118515717626777","0.0236891141189631","2"
"Single","1990","Rural Area","West Germany","453","0.235334359052784","0.216329896945535","0.254338821160032","3"
"Single","1990","Rural Area","East Germany","499","0.18504153829918","0.170698732518569","0.19938434407979","3"
"Single","1990","Urban Area","East Germany","279","0.20683648305887","0.186613663404003","0.227059302713738","3"
"Single","1990","Urban Area","West Germany","1845","0.243353076950624","0.233675154083846","0.253030999817402","3"
"Widowed","1990","Urban Area","West Germany","477","0.109485521962023","0.102443198979277","0.11652784494477","5"
"Widowed","1990","Urban Area","East Germany","110","0.109380947767721","0.0937974980712258","0.124964397464217","5"
"Widowed","1990","Rural Area","West Germany","131","0.105556402692243","0.0917907789503507","0.119322026434135","5"
"Widowed","1990","Rural Area","East Germany","169","0.0936515519084307","0.0828909428660637","0.104412160950798","5"
"Divorced","1991","Urban Area","East Germany","96","0.0977797614430146","0.0821203715070383","0.113439151378991","4"
"Divorced","1991","Rural Area","East Germany","139","0.0668541588935823","0.0574119754030261","0.0762963423841386","4"
"Divorced","1991","Rural Area","West Germany","72","0.0513063980116416","0.0415317432540808","0.0610810527692024","4"
"Divorced","1991","Urban Area","West Germany","336","0.0598785650936928","0.0545078513508251","0.0652492788365605","4"
"Married","1991","Rural Area","East Germany","1883","0.640152619795804","0.622008563068653","0.658296676522955","1"
"Married","1991","Urban Area","East Germany","937","0.580677432558906","0.554661723829837","0.606693141287975","1"
"Married","1991","Rural Area","West Germany","1234","0.585855260886735","0.564031785168595","0.607678736604875","1"
"Married","1991","Urban Area","West Germany","4720","0.570364349247886","0.559158863762979","0.581569834732793","1"
"Married, but separated","1991","Rural Area","West Germany","38","0.0195991944270219","0.0134577062728925","0.0257406825811513","2"
"Married, but separated","1991","Rural Area","East Germany","10","","","","2"
"Married, but separated","1991","Urban Area","East Germany","10","","","","2"
"Married, but separated","1991","Urban Area","West Germany","173","0.0220789662747262","0.0187527874278359","0.0254051451216164","2"
"Single","1991","Rural Area","West Germany","483","0.241581824994926","0.222617422106635","0.260546227883217","3"
"Single","1991","Rural Area","East Germany","489","0.187366036449655","0.172614869493552","0.202117203405757","3"
"Single","1991","Urban Area","West Germany","1800","0.234790886973175","0.225196106986774","0.244385666959576","3"
"Single","1991","Urban Area","East Germany","254","0.212829320384993","0.191249677508909","0.234408963261077","3"
"Widowed","1991","Urban Area","West Germany","468","0.11288723241052","0.10572388253956","0.12005058228148","5"
