"pgfamstd","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1985","direct migration background","Rural Area","6","","","","4"
"Divorced","1985","no migration background","Rural Area","51","0.032974624045036","0.0246201638856795","0.0413290842043925","4"
"Divorced","1985","direct migration background","Urban Area","49","0.0312189961453087","0.0242085343128892","0.0382294579777283","4"
"Divorced","1985","no migration background","Urban Area","232","0.0466338231471427","0.0411226452496297","0.0521450010446557","4"
"Divorced","1985","indirect migration background","Urban Area","3","","","","4"
"Divorced","1985","indirect migration background","Rural Area","","","","","4"
"Married","1985","no migration background","Urban Area","3409","0.562783179113691","0.54981786525301","0.575748492974372","1"
"Married","1985","no migration background","Rural Area","1106","0.593337580574072","0.570356127815626","0.616319033332518","1"
"Married","1985","direct migration background","Urban Area","1747","0.67677863188042","0.657924883528644","0.695632380232197","1"
"Married","1985","direct migration background","Rural Area","252","0.71853123150522","0.67044548266446","0.76661698034598","1"
"Married","1985","indirect migration background","Urban Area","24","","","","1"
"Married","1985","indirect migration background","Rural Area","4","","","","1"
"Married, but separated","1985","no migration background","Rural Area","17","","","","2"
"Married, but separated","1985","no migration background","Urban Area","83","0.0140580835359211","0.0109809044334751","0.017135262638367","2"
"Married, but separated","1985","direct migration background","Urban Area","90","0.0535405118850327","0.0444661388385816","0.0626148849314838","2"
"Married, but separated","1985","indirect migration background","Urban Area","1","","","","2"
"Married, but separated","1985","direct migration background","Rural Area","18","","","","2"
"Married, but separated","1985","indirect migration background","Rural Area","1","","","","2"
"Single","1985","no migration background","Urban Area","1450","0.257391294424611","0.245964063749842","0.26881852509938","3"
"Single","1985","direct migration background","Urban Area","428","0.173332778254607","0.158073638070945","0.188591918438269","3"
"Single","1985","no migration background","Rural Area","432","0.246158919111852","0.226005106363734","0.26631273185997","3"
"Single","1985","direct migration background","Rural Area","50","0.154176164161615","0.11556374337434","0.192788584948889","3"
"Single","1985","indirect migration background","Urban Area","90","0.553016681923541","0.463688317156268","0.642345046690815","3"
"Single","1985","indirect migration background","Rural Area","11","","","","3"
"Widowed","1985","no migration background","Urban Area","449","0.119133619778634","0.110666489628603","0.127600749928665","5"
"Widowed","1985","no migration background","Rural Area","149","0.118054696132623","0.102958344938277","0.133151047326969","5"
"Widowed","1985","direct migration background","Urban Area","50","0.0651290818346313","0.0551821839889805","0.075075979680282","5"
"Widowed","1985","direct migration background","Rural Area","10","","","","5"
"Widowed","1985","indirect migration background","Urban Area","1","","","","5"
"Widowed","1985","indirect migration background","Rural Area","","","","","5"
"Divorced","1986","direct migration background","Rural Area","8","","","","4"
"Divorced","1986","no migration background","Rural Area","54","0.0371816099482915","0.0284335784886703","0.0459296414079128","4"
"Divorced","1986","no migration background","Urban Area","234","0.0448632240149466","0.0395118200638142","0.0502146279660789","4"
"Divorced","1986","direct migration background","Urban Area","54","0.037398188798616","0.0298682609820507","0.0449281166151813","4"
"Divorced","1986","indirect migration background","Urban Area","3","","","","4"
"Divorced","1986","indirect migration background","Rural Area","","","","","4"
"Married","1986","no migration background","Urban Area","3526","0.569411008005704","0.556610296727145","0.582211719284263","1"
"Married","1986","no migration background","Rural Area","1140","0.597593029003654","0.574919999059928","0.62026605894738","1"
"Married","1986","direct migration background","Urban Area","1741","0.657621529965629","0.638790094516369","0.676452965414889","1"
"Married","1986","direct migration background","Rural Area","251","0.70247220768607","0.653949028822762","0.750995386549378","1"
"Married","1986","indirect migration background","Urban Area","26","","","","1"
"Married","1986","indirect migration background","Rural Area","5","","","","1"
"Married, but separated","1986","no migration background","Urban Area","103","0.0190303903853879","0.0154982225082622","0.0225625582625137","2"
"Married, but separated","1986","no migration background","Rural Area","17","","","","2"
"Married, but separated","1986","direct migration background","Urban Area","123","0.0643913348510421","0.0546503465295098","0.0741323231725744","2"
"Married, but separated","1986","direct migration background","Rural Area","15","","","","2"
"Married, but separated","1986","indirect migration background","Urban Area","1","","","","2"
"Married, but separated","1986","indirect migration background","Rural Area","1","","","","2"
"Single","1986","no migration background","Urban Area","1454","0.249583155465094","0.238395253970815","0.260771056959372","3"
"Single","1986","direct migration background","Urban Area","469","0.171483682134267","0.156524628332647","0.186442735935886","3"
"Single","1986","no migration background","Rural Area","443","0.243760314787307","0.223909182406295","0.263611447168319","3"
"Single","1986","indirect migration background","Urban Area","105","0.57036715863698","0.487170740637843","0.653563576636117","3"
"Single","1986","direct migration background","Rural Area","58","0.1641744307137","0.124857329778845","0.203491531648555","3"
"Single","1986","indirect migration background","Rural Area","13","","","","3"
"Widowed","1986","no migration background","Urban Area","431","0.117112222128868","0.108799494048393","0.125424950209343","5"
"Widowed","1986","no migration background","Rural Area","143","0.111428428917277","0.0968799274144489","0.125976930420104","5"
"Widowed","1986","direct migration background","Urban Area","52","0.069105264250446","0.0590394701141736","0.0791710583867185","5"
"Widowed","1986","direct migration background","Rural Area","9","","","","5"
