"pgfamstd","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1","1984","Not Employed","1-pers.-HH","","","",""
"1","1984","Not Employed","(Married) couple without C. ","969","0.953221502569331","0.940275291232786","0.966167713905876"
"1","1984","Not Employed","Single parent ","1","","",""
"1","1984","Not Employed","Couple + C. LE 16 ","791","0.984787893292359","0.976327586758881","0.993248199825837"
"1","1984","Not Employed","Couple + C. GT 16 ","339","0.590244490076224","0.550828188604969","0.62966079154748"
"1","1984","Not Employed","Couple + C. LE and GT 16","265","0.484264687331748","0.441837980643901","0.526691394019595"
"1","1984","Employed","1-pers.-HH","1","","",""
"1","1984","Employed","(Married) couple without C. ","1138","0.856653962306052","0.837856335698942","0.875451588913161"
"1","1984","Employed","Single parent ","6","","",""
"1","1984","Employed","Couple + C. LE 16 ","1935","0.962860612698249","0.954562568968226","0.971158656428273"
"1","1984","Employed","Couple + C. GT 16 ","701","0.611479879054353","0.583136164314812","0.639823593793893"
"1","1984","Employed","Couple + C. LE and GT 16","662","0.627862872087294","0.597888558341361","0.657837185833227"
"2","1984","Not Employed","1-pers.-HH","11","","",""
"2","1984","Not Employed","(Married) couple without C. ","2","","",""
"2","1984","Not Employed","Single parent ","14","","",""
"2","1984","Not Employed","Couple + C. LE 16 ","","","",""
"2","1984","Not Employed","Couple + C. GT 16 ","","","",""
"2","1984","Not Employed","Couple + C. LE and GT 16","1","","",""
"2","1984","Employed","1-pers.-HH","42","0.0676314272187848","0.0471598048739451","0.0881030495636246"
"2","1984","Employed","(Married) couple without C. ","3","","",""
"2","1984","Employed","Single parent ","25","","",""
"2","1984","Employed","Couple + C. LE 16 ","4","","",""
"2","1984","Employed","Couple + C. GT 16 ","4","","",""
"2","1984","Employed","Couple + C. LE and GT 16","3","","",""
"3","1984","Not Employed","1-pers.-HH","109","0.170867612680988","0.138732146898715","0.203003078463262"
"3","1984","Not Employed","(Married) couple without C. ","24","","",""
