"pgfamstd","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","1-pers.-HH","141","0.119294044042316","0.100182674977559","0.138405413107072","4"
"Divorced","1984","(Married) couple without C. ","38","0.0134822462383083","0.00882636515011483","0.0181381273265017","4"
"Divorced","1984","Single parent ","91","0.187296095788666","0.152609594860124","0.221982596717209","4"
"Divorced","1984","Couple + C. LE 16 ","25","","","","4"
"Divorced","1984","Couple + C. GT 16 ","11","","","","4"
"Divorced","1984","Couple + C. LE and GT 16","8","","","","4"
"Married","1984","1-pers.-HH","1","","","","1"
"Married","1984","(Married) couple without C. ","2107","0.905056248506113","0.893222038298354","0.916890458713872","1"
"Married","1984","Single parent ","7","","","","1"
"Married","1984","Couple + C. LE 16 ","2726","0.969113216332998","0.96270377402024","0.975522658645755","1"
"Married","1984","Couple + C. GT 16 ","1040","0.603711791715286","0.580689744052693","0.626733839377879","1"
"Married","1984","Couple + C. LE and GT 16","927","0.579080144728585","0.554357908512526","0.603802380944644","1"
"Married, but separated","1984","(Married) couple without C. ","8","","","","2"
"Married, but separated","1984","1-pers.-HH","109","0.0531587586296421","0.0399307962708121","0.0663867209884721","2"
"Married, but separated","1984","Single parent ","52","0.0910616354589881","0.0654837347803633","0.116639536137613","2"
"Married, but separated","1984","Couple + C. LE 16 ","5","","","","2"
"Married, but separated","1984","Couple + C. GT 16 ","7","","","","2"
"Married, but separated","1984","Couple + C. LE and GT 16","11","","","","2"
"Single","1984","(Married) couple without C. ","180","0.0676613718346993","0.0575216617401708","0.0778010819292278","3"
"Single","1984","1-pers.-HH","436","0.343500077085336","0.3155007424446","0.371499411726073","3"
"Single","1984","Couple + C. LE 16 ","35","0.0138043997978742","0.00948188054388389","0.0181269190518645","3"
"Single","1984","Single parent ","222","0.452314514702923","0.408064253937787","0.49656477546806","3"
"Single","1984","Couple + C. GT 16 ","676","0.388183472309449","0.365245624487696","0.411121320131203","3"
"Single","1984","Couple + C. LE and GT 16","580","0.403703649055504","0.379135008773629","0.428272289337379","3"
"Widowed","1984","1-pers.-HH","418","0.483883672739261","0.454418347769506","0.513348997709016","5"
"Widowed","1984","(Married) couple without C. ","24","","","","5"
"Widowed","1984","Single parent ","114","0.254209271561145","0.215498293924908","0.292920249197381","5"
"Widowed","1984","Couple + C. GT 16 ","","","","","5"
"Widowed","1984","Couple + C. LE 16 ","8","","","","5"
"Widowed","1984","Couple + C. LE and GT 16","6","","","","5"
"Divorced","1985","1-pers.-HH","142","0.124818356375137","0.104949640996724","0.14468707175355","4"
"Divorced","1985","(Married) couple without C. ","37","0.0149204182497045","0.00984057174536776","0.0200002647540413","4"
"Divorced","1985","Single parent ","86","0.17525739206085","0.141351754604443","0.209163029517258","4"
"Divorced","1985","Couple + C. LE 16 ","21","","","","4"
"Divorced","1985","Couple + C. GT 16 ","9","","","","4"
"Divorced","1985","Couple + C. LE and GT 16","6","","","","4"
"Married","1985","1-pers.-HH","11","","","","1"
"Married","1985","(Married) couple without C. ","1922","0.891604503037848","0.878578349909133","0.904630656166563","1"
"Married","1985","Single parent ","11","","","","1"
"Married","1985","Couple + C. LE 16 ","2407","0.964765421444422","0.957526573114004","0.97200426977484","1"
"Married","1985","Couple + C. GT 16 ","1079","0.559700167386904","0.537402132142718","0.581998202631089","1"
"Married","1985","Couple + C. LE and GT 16","833","0.557542460703526","0.53167276990495","0.583412151502102","1"
"Married, but separated","1985","1-pers.-HH","88","0.0427674110363787","0.0306042438315046","0.0549305782412528","2"
"Married, but separated","1985","Single parent ","40","0.0682642957330677","0.0457728329487066","0.0907557585174287","2"
"Married, but separated","1985","(Married) couple without C. ","27","","","","2"
"Married, but separated","1985","Couple + C. LE 16 ","23","","","","2"
"Married, but separated","1985","Couple + C. GT 16 ","12","","","","2"
"Married, but separated","1985","Couple + C. LE and GT 16","5","","","","2"
"Single","1985","1-pers.-HH","421","0.349517968921907","0.320854162328275","0.37818177551554","3"
"Single","1985","(Married) couple without C. ","175","0.0695911182718031","0.058929128449779","0.0802531080938272","3"
"Single","1985","Single parent ","241","0.503011832073925","0.458421916429144","0.547601747718706","3"
