"pgfamstd","year","migback","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","direct migration background","61","0.0333507949993788","0.0268091590393006","0.039892430959457","4"
"Divorced","1984","indirect migration background","3","","","","4"
"Divorced","1984","no migration background","287","0.0398434130364372","0.0354698844046396","0.0442169416682348","4"
"Married","1984","direct migration background","2156","0.698372930783956","0.681651336437587","0.715094525130326","1"
"Married","1984","indirect migration background","33","0.379543190388706","0.289670972526717","0.469415408250695","1"
"Married","1984","no migration background","4920","0.606188182536723","0.595262947736836","0.617113417336611","1"
"Married, but separated","1984","direct migration background","121","0.0506686579468185","0.0426780938799575","0.0586592220136795","2"
"Married, but separated","1984","no migration background","84","0.0115591946595471","0.00916906315680108","0.013949326162293","2"
"Married, but separated","1984","indirect migration background","1","","","","2"
"Single","1984","direct migration background","492","0.161907693917402","0.148486891025254","0.17532849680955","3"
"Single","1984","indirect migration background","74","0.475683269608982","0.38319324902758","0.568173290190384","3"
"Single","1984","no migration background","1780","0.230381160910778","0.220965647622488","0.239796674199067","3"
"Widowed","1984","direct migration background","64","0.0556999223524442","0.0473442551298046","0.0640555895750837","5"
"Widowed","1984","indirect migration background","1","","","","5"
"Widowed","1984","no migration background","612","0.112028048856515","0.104975506805416","0.119080590907614","5"
"Divorced","1985","direct migration background","55","0.0306862605221474","0.024180914869087","0.0371916061752078","4"
"Divorced","1985","indirect migration background","3","","","","4"
"Divorced","1985","no migration background","283","0.0433130904295702","0.0386682235965834","0.0479579572625569","4"
"Married","1985","indirect migration background","28","","","","1"
"Married","1985","direct migration background","1999","0.682783177364333","0.665228788263437","0.700337566465229","1"
"Married","1985","no migration background","4515","0.570211359919672","0.558915373428885","0.581507346410458","1"
"Married, but separated","1985","direct migration background","108","0.0529178879720624","0.0444736341868149","0.06136214175731","2"
"Married, but separated","1985","indirect migration background","2","","","","2"
"Married, but separated","1985","no migration background","100","0.0129436757379866","0.0103645141888705","0.0155228372871027","2"
"Single","1985","indirect migration background","101","0.5610912147076","0.477379723552515","0.644802705862685","3"
"Single","1985","direct migration background","478","0.170577817804891","0.156390009595556","0.184765626014227","3"
"Single","1985","no migration background","1882","0.254660554802302","0.244719404067996","0.264601705536607","3"
"Widowed","1985","direct migration background","60","0.0630348563365658","0.0538680446435344","0.0722016680295972","5"
"Widowed","1985","indirect migration background","1","","","","5"
"Widowed","1985","no migration background","598","0.11887131911047","0.11148654907895","0.12625608914199","5"
"Divorced","1986","direct migration background","62","0.0375554574836542","0.0304882136019606","0.0446227013653478","4"
"Divorced","1986","indirect migration background","3","","","","4"
"Divorced","1986","no migration background","288","0.0429880759011254","0.0384113895865264","0.0475647622157243","4"
"Married","1986","direct migration background","1992","0.664206759541974","0.646651255088418","0.68176226399553","1"
"Married","1986","no migration background","4666","0.576290481910462","0.565140522091032","0.587440441729893","1"
"Married","1986","indirect migration background","31","0.283957514553165","0.212970596609422","0.354944432496908","1"
"Married, but separated","1986","direct migration background","138","0.0615969958190573","0.0526598230513508","0.0705341685867638","2"
"Married, but separated","1986","indirect migration background","2","","","","2"
"Married, but separated","1986","no migration background","120","0.0168349329711846","0.0139319974849573","0.0197378684574119","2"
"Single","1986","indirect migration background","118","0.565876343907335","0.487848476494116","0.643904211320553","3"
"Single","1986","direct migration background","527","0.170410496597681","0.156433769408785","0.184387223786577","3"
"Single","1986","no migration background","1897","0.248161749935046","0.238415263137029","0.257908236733064","3"
"Widowed","1986","direct migration background","61","0.0662302905576335","0.0569859930447959","0.0754745880704711","5"
"Widowed","1986","indirect migration background","1","","","","5"
"Widowed","1986","no migration background","574","0.115724759282182","0.10850661856114","0.122942900003223","5"
"Divorced","1987","direct migration background","73","0.0436069251106617","0.0360426900056878","0.0511711602156356","4"
"Divorced","1987","indirect migration background","4","","","","4"
"Divorced","1987","no migration background","304","0.0459332052481716","0.0411808799213301","0.0506855305750131","4"
"Married","1987","direct migration background","2016","0.682688349527598","0.665448902547937","0.699927796507258","1"
"Married","1987","indirect migration background","39","0.293246099428968","0.225988403385373","0.360503795472564","1"
"Married","1987","no migration background","4554","0.576096457619687","0.564877964598772","0.587314950640602","1"
"Married, but separated","1987","direct migration background","127","0.0465626978690206","0.0387583932454918","0.0543670024925494","2"
"Married, but separated","1987","indirect migration background","3","","","","2"
"Married, but separated","1987","no migration background","106","0.0147043850811046","0.0119718854903589","0.0174368846718503","2"
"Single","1987","direct migration background","518","0.160534337191397","0.146936979779568","0.174131694603226","3"
"Single","1987","indirect migration background","129","0.552935651142147","0.479481884222324","0.626389418061971","3"
"Single","1987","no migration background","1897","0.24408356347246","0.23433232991264","0.25383479703228","3"
"Widowed","1987","direct migration background","66","0.066607690301323","0.057372127376083","0.0758432532265631","5"
"Widowed","1987","indirect migration background","1","","","","5"
"Widowed","1987","no migration background","593","0.119182388578577","0.111827053975711","0.126537723181443","5"
"Divorced","1988","direct migration background","73","0.0506325291155646","0.0423163383250128","0.0589487199061163","4"
"Divorced","1988","indirect migration background","6","","","","4"
"Divorced","1988","no migration background","277","0.0445474939301069","0.0397384961707062","0.0493564916895076","4"
"Married","1988","direct migration background","1951","0.682774058483093","0.665121188852874","0.700426928113312","1"
"Married","1988","indirect migration background","45","0.261705282071441","0.204013124068236","0.319397440074647","1"
"Married","1988","no migration background","4313","0.570276582866464","0.558737383849484","0.581815781883443","1"
"Married, but separated","1988","direct migration background","111","0.0415030008913002","0.0339376759043283","0.049068325878272","2"
"Married, but separated","1988","indirect migration background","3","","","","2"
"Married, but separated","1988","no migration background","142","0.0221730399550747","0.0187407655044176","0.0256053144057318","2"
"Single","1988","direct migration background","468","0.15818618948443","0.144344638212091","0.172027740756768","3"
"Single","1988","indirect migration background","168","0.612044582397311","0.548089052880844","0.676000111913779","3"
"Single","1988","no migration background","1777","0.24531571292812","0.235286110424224","0.255345315432017","3"
"Widowed","1988","direct migration background","67","0.0669042220256128","0.0574269720690432","0.0763814719821823","5"
"Widowed","1988","indirect migration background","1","","","","5"
"Widowed","1988","no migration background","561","0.117687170320234","0.11017588530326","0.125198455337208","5"
"Divorced","1989","direct migration background","81","0.0522660121044673","0.0436913134718161","0.0608407107371185","4"
"Divorced","1989","indirect migration background","6","","","","4"
"Divorced","1989","no migration background","290","0.0499667527170458","0.0447913007468652","0.0551422046872264","4"
"Married","1989","direct migration background","1915","0.694194132969163","0.676442867000579","0.711945398937748","1"
"Married","1989","indirect migration background","49","0.238618880139124","0.186608300807393","0.290629459470854","1"
"Married","1989","no migration background","4093","0.564717325596369","0.552940193014659","0.576494458178079","1"
"Married, but separated","1989","direct migration background","92","0.0338141644073504","0.02685037517534","0.0407779536393607","2"
