"pgfamstd","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","Full Time","Single parent ","46","0.225750235648621","0.16920538116829","0.282295090128952","4"
"Divorced","1984","Full Time","(Married) couple without C. ","25","","","","4"
"Divorced","1984","Full Time","1-pers.-HH","85","0.203715382913682","0.167108083629104","0.24032268219826","4"
"Divorced","1984","Part Time","1-pers.-HH","12","","","","4"
"Divorced","1984","Full Time","Couple + C. LE 16 ","19","","","","4"
"Divorced","1984","Full Time","Couple + C. GT 16 ","6","","","","4"
"Divorced","1984","Part Time","(Married) couple without C. ","4","","","","4"
"Divorced","1984","Part Time","Single parent ","15","","","","4"
"Divorced","1984","Part Time","Couple + C. LE 16 ","2","","","","4"
"Divorced","1984","Part Time","Couple + C. GT 16 ","1","","","","4"
"Divorced","1984","Part Time","Couple + C. LE and GT 16","3","","","","4"
"Divorced","1984","Not Working","(Married) couple without C. ","9","","","","4"
"Divorced","1984","Not Working","Single parent ","30","0.150665699249972","0.100327954570127","0.201003443929818","4"
"Divorced","1984","Not Working","Couple + C. LE 16 ","4","","","","4"
"Divorced","1984","Full Time","Couple + C. LE and GT 16","5","","","","4"
"Divorced","1984","Not Working","1-pers.-HH","44","0.0713779651064472","0.0493971214604292","0.0933588087524653","4"
"Divorced","1984","Not Working","Couple + C. GT 16 ","4","","","","4"
"Divorced","1984","Not Working","Couple + C. LE and GT 16","","","","","4"
"Married","1984","Full Time","1-pers.-HH","1","","","","1"
"Married","1984","Full Time","(Married) couple without C. ","882","0.852341353229787","0.83072839879008","0.873954307669494","1"
"Married","1984","Full Time","Single parent ","3","","","","1"
"Married","1984","Full Time","Couple + C. LE 16 ","1460","0.961046453152626","0.951280983960819","0.970811922344434","1"
"Married","1984","Full Time","Couple + C. GT 16 ","535","0.623258554841811","0.59048947309003","0.656027636593591","1"
"Married","1984","Full Time","Couple + C. LE and GT 16","495","0.652628318014143","0.617873851891154","0.687382784137132","1"
"Married","1984","Part Time","1-pers.-HH","","","","","1"
"Married","1984","Part Time","(Married) couple without C. ","256","0.869687223044796","0.831592702815067","0.907781743274525","1"
"Married","1984","Part Time","Single parent ","3","","","","1"
"Married","1984","Part Time","Couple + C. LE 16 ","475","0.967872510675342","0.952211092636169","0.983533928714516","1"
"Married","1984","Part Time","Couple + C. GT 16 ","166","0.58170643380044","0.525511810864487","0.637901056736393","1"
"Married","1984","Part Time","Couple + C. LE and GT 16","167","0.566712410765007","0.50846251136271","0.624962310167303","1"
"Married","1984","Not Working","1-pers.-HH","","","","","1"
"Married","1984","Not Working","(Married) couple without C. ","969","0.953221502569331","0.940275291232786","0.966167713905876","1"
"Married","1984","Not Working","Single parent ","1","","","","1"
"Married","1984","Not Working","Couple + C. LE 16 ","791","0.984787893292359","0.976327586758881","0.993248199825837","1"
"Married","1984","Not Working","Couple + C. GT 16 ","339","0.590244490076224","0.550828188604969","0.62966079154748","1"
"Married","1984","Not Working","Couple + C. LE and GT 16","265","0.484264687331748","0.441837980643901","0.526691394019595","1"
"Married, but separated","1984","Full Time","(Married) couple without C. ","6","","","","2"
"Married, but separated","1984","Full Time","Couple + C. LE and GT 16","6","","","","2"
"Married, but separated","1984","Not Working","(Married) couple without C. ","2","","","","2"
"Married, but separated","1984","Full Time","1-pers.-HH","77","0.0958022599422079","0.0690511873287591","0.122553332555657","2"
"Married, but separated","1984","Full Time","Couple + C. GT 16 ","6","","","","2"
"Married, but separated","1984","Part Time","Couple + C. LE 16 ","","","","","2"
"Married, but separated","1984","Not Working","1-pers.-HH","14","","","","2"
"Married, but separated","1984","Part Time","Single parent ","11","","","","2"
"Married, but separated","1984","Full Time","Couple + C. LE 16 ","5","","","","2"
"Married, but separated","1984","Part Time","1-pers.-HH","18","","","","2"
"Married, but separated","1984","Part Time","(Married) couple without C. ","","","","","2"
"Married, but separated","1984","Full Time","Single parent ","26","","","","2"
"Married, but separated","1984","Part Time","Couple + C. GT 16 ","1","","","","2"
"Married, but separated","1984","Part Time","Couple + C. LE and GT 16","2","","","","2"
"Married, but separated","1984","Not Working","Couple + C. GT 16 ","","","","","2"
"Married, but separated","1984","Not Working","Couple + C. LE and GT 16","3","","","","2"
"Married, but separated","1984","Not Working","Single parent ","15","","","","2"
"Married, but separated","1984","Not Working","Couple + C. LE 16 ","","","","","2"
"Single","1984","Not Working","Couple + C. LE 16 ","7","","","","3"
"Single","1984","Part Time","Couple + C. GT 16 ","128","0.417514544095642","0.361334693125069","0.473694395066215","3"
"Single","1984","Not Working","(Married) couple without C. ","24","","","","3"
"Single","1984","Not Working","Single parent ","82","0.406807014414408","0.337681329750297","0.475932699078519","3"
"Single","1984","Not Working","Couple + C. GT 16 ","255","0.401869813001065","0.36257474432765","0.441164881674479","3"
"Single","1984","Not Working","Couple + C. LE and GT 16","262","0.504057501267079","0.461611166933584","0.546503835600575","3"
"Single","1984","Full Time","1-pers.-HH","262","0.591630127177329","0.546954197096214","0.636306057258444","3"
"Single","1984","Full Time","Couple + C. GT 16 ","293","0.365562255610344","0.332994815109723","0.398129696110965","3"
"Single","1984","Full Time","Couple + C. LE and GT 16","214","0.33095540031938","0.296608090347817","0.365302710290943","3"
"Single","1984","Part Time","(Married) couple without C. ","38","0.111921579941404","0.0762460824281863","0.147597077454622","3"
"Single","1984","Part Time","Single parent ","34","0.413005877104908","0.306435584742495","0.519576169467322","3"
"Single","1984","Part Time","Couple + C. LE 16 ","8","","","","3"
"Single","1984","Part Time","Couple + C. LE and GT 16","104","0.40421072988596","0.346523996000592","0.461897463771328","3"
"Single","1984","Not Working","1-pers.-HH","109","0.170867612680988","0.138732146898715","0.203003078463262","3"
"Single","1984","Full Time","(Married) couple without C. ","118","0.115680954119664","0.0961953741609555","0.135166534078373","3"
"Single","1984","Full Time","Single parent ","106","0.523507016566118","0.455956612368683","0.591057420763553","3"
"Single","1984","Full Time","Couple + C. LE 16 ","20","","","","3"
"Single","1984","Part Time","1-pers.-HH","65","0.545797185854074","0.453995760214081","0.637598611494066","3"
"Widowed","1984","Full Time","Single parent ","29","","","","5"
"Widowed","1984","Full Time","Couple + C. LE and GT 16","1","","","","5"
"Widowed","1984","Part Time","Couple + C. LE 16 ","2","","","","5"
"Widowed","1984","Full Time","1-pers.-HH","40","0.108360478880215","0.0801083143098043","0.136612643450626","5"
"Widowed","1984","Full Time","(Married) couple without C. ","4","","","","5"
"Widowed","1984","Full Time","Couple + C. LE 16 ","4","","","","5"
