"pgfamstd","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","Not Employed","higher education","5","","","","4"
"Divorced","1984","Employed","in school","","","","","4"
"Divorced","1984","Employed","inadequately","16","","","","4"
"Divorced","1984","Employed","general elemantary","51","0.0413456903706591","0.0312605179078343","0.051430862833484","4"
"Divorced","1984","Employed","middle vocational","142","0.0504721087287477","0.0431244244048548","0.0578197930526406","4"
"Divorced","1984","Employed","vocational + Abi","7","","","","4"
"Divorced","1984","Employed","higher vocational","14","","","","4"
"Divorced","1984","Employed","higher education","21","","","","4"
"Divorced","1984","Not Employed","in school","","","","","4"
"Divorced","1984","Not Employed","inadequately","7","","","","4"
"Divorced","1984","Not Employed","general elemantary","30","0.0228483718486665","0.015220419729223","0.03047632396811","4"
"Divorced","1984","Not Employed","middle vocational","54","0.0365280313196639","0.0274925644056538","0.0455634982336739","4"
"Divorced","1984","Not Employed","vocational + Abi","1","","","","4"
"Divorced","1984","Not Employed","higher vocational","3","","","","4"
"Married","1984","Not Employed","in school","","","","","1"
"Married","1984","Not Employed","inadequately","242","0.573509085230377","0.518454653116648","0.628563517344106","1"
"Married","1984","Not Employed","general elemantary","846","0.516901449206876","0.491390824635118","0.542412073778635","1"
"Married","1984","Not Employed","middle vocational","1144","0.641863039500303","0.618770926145764","0.664955152854843","1"
"Married","1984","Not Employed","vocational + Abi","33","0.407657472153425","0.292542123878182","0.522772820428668","1"
"Married","1984","Not Employed","higher vocational","112","0.648208255088435","0.573512079674541","0.72290443050233","1"
"Married","1984","Not Employed","higher education","88","0.604003236153569","0.52180848442625","0.686197987880889","1"
"Married","1984","Employed","in school","","","","","1"
"Married","1984","Employed","inadequately","415","0.598522396929509","0.55690687449406","0.640137919364958","1"
"Married","1984","Employed","general elemantary","939","0.564697648496001","0.539582214505883","0.589813082486118","1"
"Married","1984","Employed","middle vocational","2336","0.66140456788545","0.645521110434895","0.677288025336005","1"
"Married","1984","Employed","vocational + Abi","133","0.568789789776751","0.499456713663165","0.638122865890337","1"
"Married","1984","Employed","higher vocational","330","0.739562200707154","0.69817695108058","0.780947450333728","1"
"Married","1984","Employed","higher education","446","0.72656953345393","0.690755630584947","0.762383436322913","1"
"Married, but separated","1984","Not Employed","higher education","5","","","","2"
"Married, but separated","1984","Employed","in school","","","","","2"
