"pgfamstd","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","1-pers.-HH","Female","81","0.105151186439132","0.0816955442367942","0.128606828641471","4"
"Divorced","1984","(Married) couple without C. ","Male","22","","","","4"
"Divorced","1984","1-pers.-HH","Male","60","0.14902253588759","0.116046830961919","0.181998240813261","4"
"Divorced","1984","(Married) couple without C. ","Female","16","","","","4"
"Divorced","1984","Single parent ","Male","14","","","","4"
"Divorced","1984","Couple + C. LE and GT 16","Female","4","","","","4"
"Divorced","1984","Single parent ","Female","77","0.236229053274748","0.189689595009868","0.282768511539629","4"
"Divorced","1984","Couple + C. LE 16 ","Male","16","","","","4"
"Divorced","1984","Couple + C. LE 16 ","Female","9","","","","4"
"Divorced","1984","Couple + C. GT 16 ","Male","7","","","","4"
"Divorced","1984","Couple + C. GT 16 ","Female","4","","","","4"
"Divorced","1984","Couple + C. LE and GT 16","Male","4","","","","4"
"Married","1984","1-pers.-HH","Male","1","","","","1"
"Married","1984","1-pers.-HH","Female","","","","","1"
"Married","1984","(Married) couple without C. ","Male","1056","0.905494255582936","0.888817509888958","0.922171001276913","1"
"Married","1984","(Married) couple without C. ","Female","1051","0.904611144267904","0.887815025222623","0.921407263313185","1"
"Married","1984","Single parent ","Male","3","","","","1"
"Married","1984","Single parent ","Female","4","","","","1"
"Married","1984","Couple + C. LE 16 ","Male","1365","0.969229021476112","0.960189239782369","0.978268803169854","1"
"Married","1984","Couple + C. LE 16 ","Female","1361","0.968992584761782","0.959903023995636","0.978082145527927","1"
"Married","1984","Couple + C. GT 16 ","Male","522","0.558123970674818","0.526427726510044","0.589820214839593","1"
"Married","1984","Couple + C. GT 16 ","Female","518","0.658317903269386","0.625266584404587","0.691369222134184","1"
"Married","1984","Couple + C. LE and GT 16","Male","461","0.541040240259877","0.507077914397188","0.575002566122566","1"
"Married","1984","Couple + C. LE and GT 16","Female","466","0.623182110409714","0.587411464867942","0.658952755951487","1"
