"pgfamstd","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1985","middle vocational","Rural Area","33","0.0391752883781642","0.0272980809428183","0.0510524958135101","4"
"Divorced","1985","middle vocational","Urban Area","151","0.0501299918637989","0.043166242149719","0.0570937415778788","4"
"Divorced","1985","higher education","Rural Area","2","","","","4"
"Divorced","1985","higher vocational","Urban Area","16","","","","4"
"Divorced","1985","vocational + Abi","Urban Area","10","","","","4"
"Divorced","1985","higher vocational","Rural Area","6","","","","4"
"Divorced","1985","higher education","Urban Area","23","","","","4"
"Divorced","1985","vocational + Abi","Rural Area","","","","","4"
"Divorced","1985","in school","Urban Area","","","","","4"
"Divorced","1985","in school","Rural Area","","","","","4"
"Divorced","1985","inadequately","Urban Area","16","","","","4"
"Divorced","1985","inadequately","Rural Area","3","","","","4"
"Divorced","1985","general elemantary","Urban Area","65","0.0374585771444313","0.0294767250907216","0.0454404291981409","4"
"Divorced","1985","general elemantary","Rural Area","12","","","","4"
"Married","1985","in school","Urban Area","","","","","1"
"Married","1985","in school","Rural Area","","","","","1"
"Married","1985","inadequately","Urban Area","532","0.599380251225442","0.562164364748231","0.636596137702653","1"
"Married","1985","inadequately","Rural Area","66","0.348002736125971","0.256012084648173","0.439993387603768","1"
"Married","1985","general elemantary","Urban Area","1245","0.492812834290803","0.471797153969875","0.513828514611732","1"
"Married","1985","general elemantary","Rural Area","383","0.52435147999426","0.486222103140662","0.562480856847858","1"
"Married","1985","middle vocational","Urban Area","2489","0.61621891514171","0.600699636005322","0.631738194278098","1"
"Married","1985","middle vocational","Rural Area","705","0.655926812563592","0.626843808383345","0.685009816743838","1"
"Married","1985","vocational + Abi","Urban Area","134","0.495680818501128","0.429911187735375","0.56145044926688","1"
"Married","1985","vocational + Abi","Rural Area","26","","","","1"
"Married","1985","higher vocational","Urban Area","321","0.668605533515893","0.62482165647767","0.712389410554116","1"
"Married","1985","higher vocational","Rural Area","90","0.702732296614073","0.620613338415662","0.784851254812484","1"
"Married","1985","higher education","Urban Area","418","0.655059103124564","0.617023960153458","0.693094246095671","1"
"Married","1985","higher education","Rural Area","85","0.734770846178822","0.65189624908072","0.817645443276925","1"
"Married, but separated","1985","in school","Rural Area","","","","","2"
"Married, but separated","1985","inadequately","Urban Area","28","","","","2"
"Married, but separated","1985","inadequately","Rural Area","6","","","","2"
"Married, but separated","1985","general elemantary","Urban Area","34","0.0130857330398622","0.00830871300414183","0.0178627530755825","2"
"Married, but separated","1985","general elemantary","Rural Area","10","","","","2"
"Married, but separated","1985","middle vocational","Urban Area","77","0.0180827777216367","0.0138303958346135","0.02233515960866","2"
"Married, but separated","1985","middle vocational","Rural Area","18","","","","2"
"Married, but separated","1985","vocational + Abi","Urban Area","4","","","","2"
"Married, but separated","1985","vocational + Abi","Rural Area","","","","","2"
"Married, but separated","1985","in school","Urban Area","","","","","2"
"Married, but separated","1985","higher vocational","Urban Area","5","","","","2"
"Married, but separated","1985","higher vocational","Rural Area","1","","","","2"
"Married, but separated","1985","higher education","Urban Area","23","","","","2"
"Married, but separated","1985","higher education","Rural Area","1","","","","2"
"Single","1985","middle vocational","Rural Area","216","0.207078289115444","0.182271611816942","0.231884966413946","3"
"Single","1985","middle vocational","Urban Area","846","0.218802203086514","0.205608442498452","0.231995963674576","3"
"Single","1985","vocational + Abi","Rural Area","16","","","","3"
"Single","1985","in school","Urban Area","142","1","1","1","3"
"Single","1985","in school","Rural Area","35","1","1","1","3"
"Single","1985","inadequately","Urban Area","71","0.244457150673902","0.211817770791247","0.277096530556557","3"
"Single","1985","inadequately","Rural Area","25","","","","3"
"Single","1985","general elemantary","Urban Area","600","0.257483600774795","0.2391035742815","0.27586362726809","3"
"Single","1985","general elemantary","Rural Area","166","0.260900165351768","0.227373210203468","0.294427120500069","3"
"Single","1985","vocational + Abi","Urban Area","68","0.369255672822868","0.305772025773552","0.432739319872185","3"
"Single","1985","higher vocational","Urban Area","76","0.20130517837857","0.164008125720487","0.238602231036653","3"
"Single","1985","higher vocational","Rural Area","14","","","","3"
"Single","1985","higher education","Urban Area","127","0.230304948354433","0.196616310778116","0.26399358593075","3"
"Single","1985","higher education","Rural Area","15","","","","3"
"Widowed","1985","vocational + Abi","Urban Area","6","","","","5"
"Widowed","1985","general elemantary","Rural Area","88","0.182072790414283","0.15260922936352","0.211536351465046","5"
"Widowed","1985","middle vocational","Urban Area","209","0.0967661121863406","0.0873315010021878","0.106200723370493","5"
"Widowed","1985","middle vocational","Rural Area","53","0.0848194263280729","0.0677630323057166","0.101875820350429","5"
"Widowed","1985","vocational + Abi","Rural Area","","","","","5"
"Widowed","1985","higher vocational","Urban Area","26","","","","5"
"Widowed","1985","higher vocational","Rural Area","8","","","","5"
"Widowed","1985","higher education","Urban Area","9","","","","5"
"Widowed","1985","higher education","Rural Area","6","","","","5"
"Widowed","1985","in school","Urban Area","","","","","5"
"Widowed","1985","in school","Rural Area","","","","","5"
"Widowed","1985","inadequately","Urban Area","19","","","","5"
"Widowed","1985","inadequately","Rural Area","3","","","","5"
"Widowed","1985","general elemantary","Urban Area","230","0.199159254750109","0.182371537422028","0.215946972078189","5"
"Divorced","1986","higher education","Urban Area","25","","","","4"
"Divorced","1986","higher vocational","Rural Area","5","","","","4"
"Divorced","1986","higher education","Rural Area","2","","","","4"
"Divorced","1986","middle vocational","Urban Area","158","0.0490975563499886","0.0423136349338519","0.0558814777661252","4"
"Divorced","1986","vocational + Abi","Rural Area","","","","","4"
"Divorced","1986","higher vocational","Urban Area","18","","","","4"
"Divorced","1986","middle vocational","Rural Area","37","0.0448659869325759","0.0324216366535812","0.0573103372115705","4"
"Divorced","1986","vocational + Abi","Urban Area","9","","","","4"
"Divorced","1986","in school","Urban Area","","","","","4"
