"pgfamstd","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1987","Employed","285","0.0543249044471796","0.048883406424466","0.0597664024698932","4"
"Divorced","1987","Not Employed","96","0.0335067212374896","0.0277585329411547","0.0392549095338246","4"
"Married","1987","Employed","4301","0.605858105666648","0.594126437367907","0.617589773965389","1"
"Married","1987","Not Employed","2308","0.556287690453263","0.540418087383819","0.572157293522707","1"
"Married, but separated","1987","Employed","200","0.0256272731901128","0.0218335837727197","0.029420962607506","2"
"Married, but separated","1987","Not Employed","36","0.0078600915819214","0.0050393333545713","0.0106808498092715","2"
"Single","1987","Not Employed","768","0.158689308167095","0.147018051007323","0.170360565326867","3"
"Single","1987","Employed","1776","0.293311354452203","0.282381194723373","0.304241514181034","3"
"Widowed","1987","Employed","103","0.0208783622438563","0.0174458305774549","0.0243108939102577","5"
"Widowed","1987","Not Employed","557","0.243656188560231","0.229943773423683","0.257368603696779","5"
"Divorced","1988","Employed","272","0.0547568882825566","0.049193537225285","0.0603202393398282","4"
"Divorced","1988","Not Employed","84","0.0314868878597017","0.025733476443124","0.0372402992762794","4"
"Married","1988","Not Employed","2188","0.548478512263004","0.532082930542969","0.564874093983039","1"
"Married","1988","Employed","4121","0.600821183433382","0.588845461975903","0.612796904890862","1"
"Married, but separated","1988","Not Employed","51","0.0157198971475548","0.0116217078692314","0.0198180864258782","2"
"Married, but separated","1988","Employed","205","0.0301196147555725","0.0259400686596546","0.0342991608514904","2"
"Single","1988","Not Employed","701","0.165566173344409","0.153320305563617","0.177812041125202","3"
"Single","1988","Employed","1712","0.290706907954062","0.279602743991062","0.301811071917062","3"
"Widowed","1988","Employed","114","0.0235954055744262","0.0198836962716354","0.027307114877217","5"
"Widowed","1988","Not Employed","515","0.23874852938533","0.224702866693005","0.252794192077655","5"
"Divorced","1989","Employed","290","0.0610821135226152","0.0551435258532386","0.0670207011919918","4"
"Divorced","1989","Not Employed","87","0.03440402709911","0.0282838443882545","0.0405242098099655","4"
"Married","1989","Not Employed","2081","0.540570690043054","0.523836772659262","0.557304607426845","1"
"Married","1989","Employed","3976","0.600068554211691","0.587920532792217","0.612216575631165","1"
"Married, but separated","1989","Not Employed","45","0.013821868380419","0.00990153423964127","0.0177422025211967","2"
"Married, but separated","1989","Employed","180","0.0289998586444113","0.0248386458502253","0.0331610714385973","2"
"Single","1989","Not Employed","690","0.173893904758942","0.161167019833711","0.186620789684172","3"
"Single","1989","Employed","1687","0.286589125143933","0.275376377343659","0.297801872944206","3"
"Widowed","1989","Employed","114","0.0232603484773498","0.0195226018715232","0.0269980950831763","5"
"Widowed","1989","Not Employed","504","0.237309509718476","0.223024065129801","0.25159495430715","5"
"Divorced","1990","Employed","303","0.0689684880509013","0.0626358776422522","0.0753010984595504","4"
"Divorced","1990","Not Employed","82","0.0323231394399386","0.0263026989124315","0.0383435799674457","4"
"Married","1990","Not Employed","2046","0.549587835023331","0.532651090521129","0.566524579525532","1"
"Married","1990","Employed","3910","0.590174623863364","0.57788425502152","0.602464992705208","1"
"Married, but separated","1990","Employed","167","0.0254727765036068","0.0215353690605899","0.0294101839466238","2"
"Married, but separated","1990","Not Employed","52","0.0148697729658655","0.0107496961243071","0.0189898498074239","2"
"Single","1990","Employed","1664","0.294354914391262","0.282965430790105","0.305744397992419","3"
"Single","1990","Not Employed","634","0.161023731856922","0.148511749983077","0.173535713730766","3"
"Widowed","1990","Employed","107","0.0210291971908662","0.0174435178918337","0.0246148764898987","5"
"Widowed","1990","Not Employed","501","0.242195520713944","0.227611812649406","0.256779228778482","5"
"Divorced","1991","Employed","317","0.0717653232517215","0.0653304489109375","0.0782001975925056","4"
"Divorced","1991","Not Employed","89","0.0366724177502779","0.0301995104676451","0.0431453250329107","4"
"Married","1991","Not Employed","2003","0.541284855468789","0.524124467811571","0.558445243126007","1"
"Married","1991","Employed","3935","0.595817856575063","0.583582991841776","0.60805272130835","1"
"Married, but separated","1991","Employed","162","0.0256283458728448","0.0216885251306317","0.0295681666150579","2"
"Married, but separated","1991","Not Employed","49","0.0153198582765266","0.0110900802124555","0.0195496363405977","2"
"Single","1991","Not Employed","610","0.15979939416034","0.147180488997736","0.172418299322943","3"
"Single","1991","Employed","1656","0.28489089714375","0.273637612787612","0.296144181499889","3"
"Widowed","1991","Employed","110","0.0218975771566205","0.0182488276148609","0.02554632669838","5"
"Widowed","1991","Not Employed","488","0.246923474344067","0.232072896188925","0.26177405249921","5"
"Divorced","1992","Employed","486","0.0728632739993977","0.0675213605240024","0.0782051874747931","4"
"Divorced","1992","Not Employed","151","0.0428647196325806","0.0367715130883829","0.0489579261767784","4"
"Married","1992","Employed","6054","0.611638506108926","0.601621542245711","0.621655469972141","1"
"Married","1992","Not Employed","2568","0.545975737339035","0.530998371213113","0.560953103464957","1"
"Married, but separated","1992","Employed","186","0.0226983676420509","0.0196372343466138","0.0257595009374879","2"
"Married, but separated","1992","Not Employed","53","0.0122769017819458","0.00896428468165628","0.0155895188822353","2"
"Single","1992","Employed","2214","0.270489823539773","0.261360013138188","0.279619633941359","3"
"Single","1992","Not Employed","802","0.154204614290718","0.143340593597305","0.165068634984132","3"
"Widowed","1992","Employed","154","0.0223100287098517","0.0192745914493032","0.0253454659704003","5"
"Widowed","1992","Not Employed","671","0.24467802695572","0.231745815771331","0.257610238140109","5"
"Divorced","1993","Employed","460","0.0728032192684461","0.0673462673120782","0.0782601712248141","4"
"Divorced","1993","Not Employed","166","0.0454192242131251","0.0392737557517552","0.0515646926744951","4"
"Married","1993","Employed","5712","0.609108436076594","0.598859840940775","0.619357031212412","1"
"Married","1993","Not Employed","2678","0.548010937396139","0.533322101722534","0.562699773069744","1"
"Married, but separated","1993","Employed","210","0.0275722241977127","0.0241330556602712","0.0310113927351542","2"
"Married, but separated","1993","Not Employed","69","0.0139212143512139","0.0104632288792612","0.0173791998231666","2"
"Single","1993","Not Employed","815","0.153118933004665","0.142490861803288","0.163747004206041","3"
"Single","1993","Employed","2185","0.269549935050065","0.260230195781035","0.278869674319095","3"
"Widowed","1993","Employed","141","0.0209661854071827","0.0179570104571589","0.0239753603572066","5"
"Widowed","1993","Not Employed","682","0.239529691034857","0.226933199338411","0.252126182731303","5"
"Divorced","1994","Employed","444","0.0731094199900995","0.0675202373231135","0.0786986026570855","4"
"Divorced","1994","Not Employed","181","0.0472292612221379","0.0410655515481128","0.053392970896163","4"
"Married","1994","Employed","5446","0.61479123393158","0.604342604805985","0.625239863057176","1"
"Married","1994","Not Employed","2746","0.540941481063251","0.52646204787976","0.555420914246742","1"
"Married, but separated","1994","Not Employed","67","0.0168064967098125","0.0130714117046379","0.0205415817149871","2"
"Married, but separated","1994","Employed","218","0.0286489140557518","0.0250672108352494","0.0322306172762541","2"
"Single","1994","Not Employed","868","0.161050140554359","0.150369656164883","0.171730624943835","3"
"Single","1994","Employed","2098","0.26367981662786","0.254219205386445","0.273140427869275","3"
"Widowed","1994","Employed","127","0.0197706153947084","0.0167816467950445","0.0227595839943723","5"
"Widowed","1994","Not Employed","688","0.233972620450439","0.221671432376008","0.246273808524871","5"
"Divorced","1995","Employed","487","0.0770185632923084","0.0713521907832315","0.0826849358013852","4"
"Divorced","1995","Not Employed","203","0.0521528939115553","0.0458637636752243","0.0584420241478863","4"
"Married","1995","Employed","5567","0.615528491248734","0.605189763644113","0.625867218853354","1"
"Married","1995","Not Employed","2896","0.546522167356162","0.532440173186765","0.56060416152556","1"
"Married, but separated","1995","Not Employed","64","0.0127002288904968","0.00953275874455188","0.0158676990364418","2"
"Married, but separated","1995","Employed","189","0.0244343579989388","0.0211531055361977","0.0277156104616799","2"
"Single","1995","Employed","2120","0.26170298816464","0.252361182508259","0.271044793821021","3"
"Single","1995","Not Employed","958","0.161650990217312","0.151237798829174","0.17206418160545","3"
"Widowed","1995","Employed","142","0.0213155992953795","0.0182460045775197","0.0243851940132392","5"
"Widowed","1995","Not Employed","680","0.226973719624474","0.215125116443295","0.238822322805653","5"
"Divorced","1996","Employed","496","0.0817929428498644","0.075945973358176","0.0876399123415529","4"
"Divorced","1996","Not Employed","184","0.0476003426493179","0.0414726443614758","0.05372804093716","4"
"Married","1996","Not Employed","2821","0.549885985585158","0.535568053038854","0.564203918131461","1"
"Married","1996","Employed","5385","0.599859521783107","0.58940669822901","0.610312345337204","1"
"Married, but separated","1996","Not Employed","86","0.0224106095265652","0.0181508234171994","0.0266703956359311","2"
"Married, but separated","1996","Employed","204","0.0242517833408806","0.0209697474912492","0.027533819190512","2"
"Single","1996","Employed","2212","0.271882520945417","0.262389728835409","0.281375313055425","3"
"Single","1996","Not Employed","885","0.157021146567264","0.146550581231271","0.167491711903257","3"
"Widowed","1996","Employed","142","0.0222132310807311","0.0190688835333037","0.0253575786281586","5"
"Widowed","1996","Not Employed","662","0.223081915671695","0.211100655006379","0.235063176337011","5"
"Divorced","1997","Employed","496","0.0812519149990493","0.0753154083410912","0.0871884216570073","4"
"Divorced","1997","Not Employed","202","0.0552073179209252","0.0486898074484273","0.0617248283934232","4"
"Married","1997","Not Employed","2848","0.54655821299187","0.532351482711263","0.560764943272477","1"
"Married","1997","Employed","5132","0.591794153688324","0.58111490061383","0.602473406762818","1"
"Married, but separated","1997","Employed","210","0.028187063572072","0.0245909600245176","0.0317831671196263","2"
"Married, but separated","1997","Not Employed","88","0.0197008360194231","0.0157349813329375","0.0236666907059087","2"
"Single","1997","Employed","2159","0.277160791777309","0.267435499091064","0.286886084463555","3"
"Single","1997","Not Employed","925","0.158095500721361","0.147684168056962","0.168506833385761","3"
"Widowed","1997","Employed","140","0.0216060759632456","0.0184469950044264","0.0247651569220649","5"
"Widowed","1997","Not Employed","654","0.22043813234642","0.20860815785937","0.232268106833471","5"
"Divorced","1998","Employed","573","0.0848616762046563","0.0790606090177639","0.0906627433915488","4"
"Divorced","1998","Not Employed","242","0.0523972846246775","0.0464535560860621","0.0583410131632929","4"
"Married","1998","Employed","5541","0.596741147245365","0.586529550208798","0.606952744281932","1"
"Married","1998","Not Employed","3263","0.548299123098873","0.535024393917413","0.561573852280334","1"
"Married, but separated","1998","Employed","223","0.0300166096670179","0.0264646200407765","0.0335685992932593","2"
"Married, but separated","1998","Not Employed","102","0.0193009702008274","0.015631115495911","0.0229708249057437","2"
"Single","1998","Employed","2392","0.27104893015229","0.261795947272681","0.280301913031899","3"
"Single","1998","Not Employed","1031","0.168408131678135","0.158425890163392","0.178390373192879","3"
"Widowed","1998","Employed","136","0.0173316367306709","0.0146149973183248","0.020048276143017","5"
"Widowed","1998","Not Employed","761","0.211594490397487","0.200699711269143","0.22248926952583","5"
"Divorced","1999","Employed","596","0.0881397181945995","0.082209095689428","0.094070340699771","4"
"Divorced","1999","Not Employed","246","0.0591872156423739","0.0525988407801641","0.0657755905045837","4"
"Married","1999","Employed","5358","0.582476125408178","0.572159681424421","0.592792569391935","1"
"Married","1999","Not Employed","2981","0.544908882813426","0.531005391669234","0.558812373957618","1"
"Married, but separated","1999","Employed","217","0.0277608482984565","0.0243240565086852","0.0311976400882277","2"
"Married, but separated","1999","Not Employed","94","0.0193744831187015","0.0155260902706103","0.0232228759667927","2"
"Single","1999","Not Employed","894","0.158275244252772","0.148084537892998","0.168465950612546","3"
"Single","1999","Employed","2471","0.282763710580171","0.273342791654929","0.292184629505413","3"
"Widowed","1999","Employed","136","0.0188595975185951","0.0160139435231849","0.0217052515140053","5"
"Widowed","1999","Not Employed","713","0.218254174172727","0.206721585403563","0.229786762941891","5"
"Divorced","2000","Employed","1064","0.0842539885411196","0.0798322244643306","0.0886757526179085","4"
"Divorced","2000","Not Employed","405","0.0518238136727616","0.0472479357257157","0.0563996916198074","4"
"Married","2000","Employed","9370","0.583207007180282","0.575358548328391","0.591055466032172","1"
"Married","2000","Not Employed","5630","0.574083675553649","0.563876279470435","0.584291071636862","1"
"Married, but separated","2000","Employed","348","0.0240744264766428","0.0216343741563624","0.0265144787969231","2"
"Married, but separated","2000","Not Employed","149","0.0167265175299457","0.0140792053730601","0.0193738296868313","2"
"Single","2000","Not Employed","1492","0.151708231237892","0.144302935205965","0.159113527269818","3"
"Single","2000","Employed","4122","0.288266030679865","0.281055480631308","0.295476580728422","3"
"Widowed","2000","Employed","255","0.0201985471220911","0.0179590942881592","0.022437999956023","5"
"Widowed","2000","Not Employed","1339","0.205657762005752","0.19731439003093","0.214001133980575","5"
"Divorced","2001","Employed","1009","0.0888936900730799","0.0841612437343181","0.0936261364118417","4"
"Divorced","2001","Not Employed","374","0.0540129574230851","0.0490857635455253","0.0589401513006449","4"
"Married","2001","Not Employed","4991","0.56788853554249","0.557090679728106","0.578686391356875","1"
"Married","2001","Employed","8522","0.570162651073748","0.561930427421868","0.578394874725629","1"
"Married, but separated","2001","Not Employed","146","0.0181614807693763","0.0152507385877275","0.0210722229510251","2"
"Married, but separated","2001","Employed","315","0.0245477746130373","0.0219745673462004","0.0271209818798742","2"
"Single","2001","Not Employed","1361","0.152533711569817","0.144696668860335","0.160370754279298","3"
"Single","2001","Employed","3820","0.296660775058653","0.289064893460826","0.30425665665648","3"
"Widowed","2001","Employed","226","0.0197351091814812","0.0174222073793296","0.0220480109836328","5"
"Widowed","2001","Not Employed","1213","0.207403314695232","0.198565557795445","0.216241071595019","5"
"Divorced","2002","Employed","1064","0.0895602797105416","0.084960914755167","0.0941596446659162","4"
"Divorced","2002","Not Employed","392","0.0603305408329741","0.0551936736885994","0.0654674079773488","4"
"Married","2002","Not Employed","5046","0.565602066555346","0.554908033122147","0.576296099988545","1"
"Married","2002","Employed","9262","0.566005664555539","0.558022649061768","0.57398868004931","1"
"Married, but separated","2002","Not Employed","140","0.0178937067898858","0.0150336703024567","0.020753743277315","2"
"Married, but separated","2002","Employed","326","0.0241298906643083","0.0216582334612627","0.026601547867354","2"
"Single","2002","Not Employed","1501","0.158752761206373","0.150868434024467","0.166637088388278","3"
"Single","2002","Employed","3921","0.299742095839721","0.292362757339871","0.307121434339571","3"
"Widowed","2002","Employed","234","0.0205620692298899","0.0182762787434801","0.0228478597162997","5"
"Widowed","2002","Not Employed","1174","0.197420924615422","0.188833109706385","0.206008739524459","5"
"Divorced","2003","Employed","1026","0.0918255548558945","0.087047290228469","0.0966038194833199","4"
"Divorced","2003","Not Employed","407","0.062587554637547","0.057332396958762","0.067842712316332","4"
"Married","2003","Not Employed","4916","0.557800069680821","0.547024877640654","0.568575261720987","1"
"Married","2003","Employed","8604","0.557257913593636","0.549039134554185","0.565476692633086","1"
"Married, but separated","2003","Employed","356","0.0266089937081666","0.0239460519453828","0.0292719354709505","2"
"Married, but separated","2003","Not Employed","126","0.0167931419496034","0.0140053212963566","0.0195809626028502","2"
"Single","2003","Employed","3826","0.304060920566492","0.29644943034295","0.311672410790034","3"
"Single","2003","Not Employed","1541","0.169227319970291","0.161092410137807","0.177362229802776","3"
"Widowed","2003","Employed","219","0.0202466172758113","0.0179161747256257","0.0225770598259969","5"
"Widowed","2003","Not Employed","1171","0.193591913761737","0.185019612099004","0.202164215424471","5"
"Divorced","2004","Employed","1014","0.0929215343974036","0.0880183621313018","0.0978247066635054","4"
"Divorced","2004","Not Employed","429","0.0666547455797228","0.0612452905767801","0.0720642005826655","4"
"Married","2004","Not Employed","4844","0.545579018433502","0.534780235014882","0.556377801852122","1"
"Married","2004","Employed","8187","0.547571885508588","0.539165836835383","0.555977934181793","1"
"Married, but separated","2004","Employed","334","0.0293588216049112","0.026507834827553","0.0322098083822695","2"
"Married, but separated","2004","Not Employed","133","0.0173993313139349","0.0145635572908968","0.0202351053369729","2"
"Single","2004","Employed","3715","0.31016160407643","0.302349568079269","0.317973640073591","3"
"Single","2004","Not Employed","1631","0.181170827824928","0.172817537017728","0.189524118632128","3"
"Widowed","2004","Employed","218","0.019986154412667","0.0176225365572743","0.0223497722680598","5"
"Widowed","2004","Not Employed","1130","0.189196076847912","0.180701714220061","0.197690439475763","5"
"Divorced","2005","Employed","1004","0.0957770693486954","0.0906884629786141","0.100865675718777","4"
"Divorced","2005","Not Employed","417","0.0688233654566208","0.0632346259993371","0.0744121049139045","4"
"Married","2005","Employed","7715","0.53649635306848","0.527873712324568","0.545118993812391","1"
"Married","2005","Not Employed","4600","0.535172891338389","0.524161995530309","0.546183787146469","1"
"Married, but separated","2005","Employed","336","0.0298557148167461","0.0269129047787675","0.0327985248547247","2"
"Married, but separated","2005","Not Employed","132","0.0169769226291388","0.0141249771608733","0.0198288680974043","2"
"Single","2005","Employed","3595","0.320385183835306","0.312316588065805","0.328453779604808","3"
"Single","2005","Not Employed","1610","0.189506842020309","0.180854832283894","0.198158851756723","3"
"Widowed","2005","Employed","198","0.0174856789307724","0.0152192556555182","0.0197521022060267","5"
"Widowed","2005","Not Employed","1123","0.189519978555543","0.180867739066405","0.198172218044681","5"
"Divorced","2006","Employed","1102","0.0983419736119477","0.0933087998493677","0.103375147374528","4"
"Divorced","2006","Not Employed","494","0.072593429726355","0.0671854877856058","0.0780013716671042","4"
"Married","2006","Employed","8099","0.533797978477342","0.525366046853268","0.542229910101416","1"
"Married","2006","Not Employed","5144","0.526794422153086","0.516388183298566","0.537200661007605","1"
"Married, but separated","2006","Employed","343","0.0298012848115192","0.0269272013264509","0.0326753682965875","2"
"Married, but separated","2006","Not Employed","152","0.0200806085298698","0.0171569147127151","0.0230043023470244","2"
"Single","2006","Not Employed","1791","0.192765957076865","0.184544227609942","0.200987686543789","3"
"Single","2006","Employed","3683","0.321090145662758","0.313198436303989","0.328981855021528","3"
"Widowed","2006","Employed","219","0.0169686174364327","0.0147855936990924","0.019151641173773","5"
"Widowed","2006","Not Employed","1262","0.187765582513825","0.179626096765131","0.195905068262518","5"
"Divorced","2007","Employed","1036","0.0974158819631193","0.0922332207381557","0.102598543188083","4"
"Divorced","2007","Not Employed","495","0.076407387095507","0.070693066188337","0.082121708002677","4"
"Married","2007","Employed","7520","0.525865544104683","0.517138197773216","0.534592890436149","1"
"Married","2007","Not Employed","4768","0.5251705749923","0.51442880791414","0.535912342070459","1"
"Married, but separated","2007","Not Employed","135","0.0181151069888978","0.0152462594606034","0.0209839545171922","2"
"Married, but separated","2007","Employed","326","0.0310492111465003","0.0280176227240834","0.0340807995689173","2"
"Single","2007","Not Employed","1734","0.198910929710781","0.190324226478527","0.207497632943036","3"
"Single","2007","Employed","3493","0.327662371302523","0.319458835304582","0.335865907300465","3"
"Widowed","2007","Employed","200","0.0180069914831741","0.0156828162357685","0.0203311667305798","5"
"Widowed","2007","Not Employed","1170","0.181396001212514","0.173106898676087","0.189685103748942","5"
"Divorced","2008","Employed","1014","0.0977626004453752","0.0924267561409584","0.103098444749792","4"
"Divorced","2008","Not Employed","458","0.0790398304877049","0.0730186749033662","0.0850609860720436","4"
"Married","2008","Employed","7076","0.523868226122821","0.514895364406946","0.532841087838696","1"
"Married","2008","Not Employed","4439","0.512598076665603","0.501443103476187","0.523753049855019","1"
"Married, but separated","2008","Not Employed","133","0.0173049199425348","0.0143946678281415","0.020215172056928","2"
"Married, but separated","2008","Employed","294","0.028050721059882","0.0250841812612382","0.0310172608585258","2"
"Single","2008","Employed","3327","0.332142151358512","0.323680397703303","0.340603905013721","3"
"Single","2008","Not Employed","1548","0.203085417600603","0.194107374573138","0.212063460628068","3"
"Widowed","2008","Employed","190","0.0181763010134095","0.0157762201622125","0.0205763818646065","5"
"Widowed","2008","Not Employed","1135","0.187971755303554","0.17925272290232","0.196690787704788","5"
"Divorced","2009","Employed","1011","0.0991582160350967","0.0936299936856069","0.104686438384587","4"
"Divorced","2009","Not Employed","403","0.0730757169928071","0.0670116659063271","0.0791397680792872","4"
"Married","2009","Not Employed","4102","0.513912264185607","0.502266821513829","0.525557706857384","1"
"Married","2009","Employed","6535","0.513987138618765","0.504742351903931","0.523231925333599","1"
"Married, but separated","2009","Not Employed","111","0.0164642153647775","0.0134992489319297","0.0194291817976254","2"
"Married, but separated","2009","Employed","298","0.0293952582273584","0.0262709294197445","0.0325195870349723","2"
"Single","2009","Employed","3202","0.339488745956603","0.330729843479214","0.348247648433991","3"
"Single","2009","Not Employed","1373","0.204679787847271","0.19527903428762","0.214080541406923","3"
"Widowed","2009","Employed","182","0.0179706411621773","0.0155134388742554","0.0204278434500992","5"
"Widowed","2009","Not Employed","1087","0.191868015609537","0.182693215339484","0.201042815879591","5"
"Divorced","2010","Employed","1458","0.103711392569696","0.0989230504026497","0.108499734736742","4"
"Divorced","2010","Not Employed","578","0.0739038964288829","0.0684288824528434","0.0793789104049223","4"
"Married","2010","Not Employed","5064","0.514855625079223","0.504396345627849","0.525314904530598","1"
"Married","2010","Employed","9536","0.511426580708166","0.503575949584476","0.519277211831856","1"
"Married, but separated","2010","Employed","436","0.0301994182909378","0.027511670492775","0.0328871660891005","2"
"Married, but separated","2010","Not Employed","157","0.0176054659856324","0.0148532008641098","0.0203577311071549","2"
"Single","2010","Employed","3930","0.337183866109656","0.329759182794849","0.344608549424463","3"
"Single","2010","Not Employed","1937","0.203109322724139","0.194689792940703","0.211528852507575","3"
"Widowed","2010","Employed","214","0.0174787423215447","0.0154206063011431","0.0195368783419463","5"
"Widowed","2010","Not Employed","1035","0.190525689782122","0.182307014119605","0.198744365444639","5"
"Divorced","2011","Employed","1790","0.101597285503084","0.0972053938111441","0.105989177195024","4"
"Divorced","2011","Not Employed","715","0.0743949897088582","0.0693975933345709","0.0793923860831455","4"
"Married","2011","Employed","11085","0.513238698085975","0.50597274213275","0.520504654039199","1"
"Married","2011","Not Employed","6030","0.514697842791185","0.505179937261332","0.524215748321039","1"
"Married, but separated","2011","Employed","512","0.0261119618396362","0.0237937703428884","0.0284301533363841","2"
"Married, but separated","2011","Not Employed","209","0.0195602512295947","0.0169229679932205","0.0221975344659689","2"
"Single","2011","Employed","4500","0.340485395209058","0.33359670754436","0.347374082873756","3"
"Single","2011","Not Employed","2356","0.204129364128477","0.19645339733921","0.211805330917745","3"
"Widowed","2011","Employed","291","0.0185666593622472","0.0166043280670924","0.020528990657402","5"
"Widowed","2011","Not Employed","1282","0.187217552141884","0.179788737121013","0.194646367162756","5"
"Divorced","2012","Employed","1864","0.101540123866788","0.0971111551361732","0.105969092597403","4"
"Divorced","2012","Not Employed","721","0.0773762588850481","0.0722205599071421","0.0825319578629541","4"
"Married","2012","Not Employed","5856","0.526552801337166","0.516918324983341","0.53618727769099","1"
"Married","2012","Employed","10706","0.518182885069503","0.510856038958946","0.525509731180061","1"
"Married, but separated","2012","Employed","513","0.0254606834341355","0.0231509113020046","0.0277704555662663","2"
"Married, but separated","2012","Not Employed","200","0.0196614374997171","0.016982472421015","0.0223404025784193","2"
"Single","2012","Not Employed","2297","0.201247656831905","0.193511186497174","0.208984127166635","3"
"Single","2012","Employed","4488","0.336574593063886","0.329645583821342","0.34350360230643","3"
"Widowed","2012","Employed","295","0.0182417145656871","0.0162793958692678","0.0202040332621063","5"
"Widowed","2012","Not Employed","1243","0.175161845446164","0.167827261175469","0.182496429716859","5"
"Divorced","2013","Employed","1810","0.104730057498081","0.100109405909057","0.109350709087105","4"
"Divorced","2013","Not Employed","965","0.0783527918979581","0.0739514391567873","0.0827541446391288","4"
"Married","2013","Employed","9965","0.511492781302725","0.503949751962162","0.519035810643288","1"
"Married","2013","Not Employed","8228","0.519700511979853","0.511517574817101","0.527883449142606","1"
"Married, but separated","2013","Employed","515","0.0256849440778915","0.0232977948505297","0.0280720933052532","2"
"Married, but separated","2013","Not Employed","277","0.0208289395315055","0.0184898898501924","0.0231679892128186","2"
"Single","2013","Not Employed","3606","0.225786896113078","0.218939015068407","0.232634777157749","3"
"Single","2013","Employed","4290","0.337627860171419","0.330491763635484","0.344763956707355","3"
"Widowed","2013","Employed","290","0.0204643569498831","0.0183278725663733","0.0226008413333929","5"
"Widowed","2013","Not Employed","1244","0.155330860477605","0.149398209902951","0.161263511052258","5"
"Divorced","2014","Employed","1770","0.100692336957273","0.0962681619707396","0.105116511943806","4"
"Divorced","2014","Not Employed","695","0.0863102593094205","0.0807857775937172","0.0918347410251238","4"
"Married","2014","Not Employed","5438","0.50895946786765","0.499124765406936","0.518794170328364","1"
"Married","2014","Employed","10619","0.509431268180785","0.502081516446991","0.516781019914579","1"
"Married, but separated","2014","Not Employed","190","0.0199563874593094","0.0172051718902027","0.022707603028416","2"
"Married, but separated","2014","Employed","469","0.0273244454850595","0.0249276023165522","0.0297212886535668","2"
"Single","2014","Not Employed","2448","0.207903062518193","0.199919797143611","0.215886327892775","3"
"Single","2014","Employed","4609","0.341967047386204","0.334992823430399","0.34894127134201","3"
"Widowed","2014","Employed","305","0.0205849019906781","0.018497347897774","0.0226724560835821","5"
"Widowed","2014","Not Employed","1155","0.176870822845427","0.169364572377146","0.184377073313708","5"
"Divorced","2015","Employed","1677","0.107075847540734","0.102371216241009","0.111780478840459","4"
"Divorced","2015","Not Employed","676","0.0858588313892726","0.0805736973682529","0.0911439654102923","4"
"Married","2015","Not Employed","5869","0.495808014205795","0.48637584410086","0.505240184310729","1"
