"pgfamstd","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","Employed","251","0.0470036071350573","0.0419372907147413","0.0520699235553733","4"
"Divorced","1984","Not Employed","100","0.0289338573811683","0.0237295672181968","0.0341381475441397","4"
"Married","1984","Not Employed","2481","0.564129124330304","0.548733329515138","0.57952491914547","1"
"Married","1984","Employed","4628","0.650870449374859","0.639459502851975","0.662281395897743","1"
"Married, but separated","1984","Employed","171","0.0202095150515896","0.0168410996600427","0.0235779304431365","2"
"Married, but separated","1984","Not Employed","35","0.00885164519419471","0.00594350553449913","0.0117597848538903","2"
"Single","1984","Employed","1519","0.253487627003088","0.243074576462877","0.263900677543298","3"
"Single","1984","Not Employed","827","0.18677582279441","0.17467543195429","0.198876213634531","3"
"Widowed","1984","Employed","135","0.0284288014354066","0.0244505000658976","0.0324071028049155","5"
"Widowed","1984","Not Employed","542","0.211309550299923","0.198634584913148","0.223984515686698","5"
"Divorced","1985","Employed","260","0.0542771868274651","0.0487007111509156","0.0598536625040147","4"
"Divorced","1985","Not Employed","81","0.0262744337468258","0.0212363499607284","0.0313125175329233","4"
"Married","1985","Employed","4222","0.614899131480361","0.602921845941227","0.626876417019496","1"
"Married","1985","Not Employed","2320","0.533049005677674","0.51733453931243","0.548763472042917","1"
"Married, but separated","1985","Employed","169","0.0229586574226103","0.0192722873746269","0.0266450274705937","2"
"Married, but separated","1985","Not Employed","41","0.00918358018075666","0.00617900534679338","0.0121881550147199","2"
"Single","1985","Employed","1589","0.285934783638888","0.274813071541259","0.297056495736517","3"
"Single","1985","Not Employed","872","0.199269357486772","0.186687524928851","0.211851190044692","3"
"Widowed","1985","Employed","101","0.0219302406306751","0.0183254850023966","0.0255349962589537","5"
"Widowed","1985","Not Employed","558","0.232223622907972","0.218923642916624","0.245523602899321","5"
"Divorced","1986","Employed","267","0.0526429835479966","0.0472565100441701","0.0580294570518231","4"
"Divorced","1986","Not Employed","86","0.0288894612044732","0.0236171110530029","0.0341618113559435","4"
"Married","1986","Employed","4345","0.614823853233622","0.603086167196215","0.626561539271029","1"
"Married","1986","Not Employed","2344","0.541235536189346","0.525550402408902","0.556920669969789","1"
"Married, but separated","1986","Not Employed","64","0.016555178106529","0.0125387303877763","0.0205716258252817","2"
"Married, but separated","1986","Employed","196","0.0251244061528614","0.0213495540218553","0.0288992582838674","2"
"Single","1986","Not Employed","839","0.180852829961927","0.168737261038052","0.192968398885803","3"
"Single","1986","Employed","1703","0.288600912176627","0.277671848807859","0.299529975545394","3"
"Widowed","1986","Employed","92","0.0188078448888931","0.0155312406162837","0.0220844491615026","5"
"Widowed","1986","Not Employed","544","0.232466994537725","0.219170738453302","0.245763250622147","5"
