"pgfamstd","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","Not Employed","Full Time","","","","","4"
"Divorced","1984","Not Employed","Part Time","","","","","4"
"Divorced","1984","Not Employed","Not Working","100","0.0289338573811683","0.0237295672181968","0.0341381475441397","4"
"Divorced","1984","Employed","Full Time","200","0.0511911974466038","0.0451031436375091","0.0572792512556985","4"
"Divorced","1984","Employed","Part Time","51","0.0355583247151613","0.0266765759228507","0.0444400735074718","4"
"Divorced","1984","Employed","Not Working","","","","","4"
"Married","1984","Not Employed","Full Time","","","","","1"
"Married","1984","Not Employed","Part Time","","","","","1"
"Married","1984","Not Employed","Not Working","2481","0.564129124330304","0.548733329515138","0.57952491914547","1"
"Married","1984","Employed","Full Time","3521","0.65591363042342","0.642790164498122","0.669037096348718","1"
"Married","1984","Employed","Part Time","1107","0.637086715269759","0.614025055370812","0.660148375168706","1"
"Married","1984","Employed","Not Working","","","","","1"
"Married, but separated","1984","Not Employed","Part Time","","","","","2"
"Married, but separated","1984","Not Employed","Full Time","","","","","2"
"Married, but separated","1984","Not Employed","Not Working","35","0.00885164519419471","0.00594350553449913","0.0117597848538903","2"
"Married, but separated","1984","Employed","Full Time","136","0.0206475677681045","0.0167193510589715","0.0245757844772376","2"
"Married, but separated","1984","Employed","Part Time","35","0.0190122544118629","0.0124622973174529","0.0255622115062729","2"
"Married, but separated","1984","Employed","Not Working","","","","","2"
"Single","1984","Not Employed","Part Time","","","","","3"
"Single","1984","Not Employed","Full Time","","","","","3"
"Single","1984","Employed","Full Time","1090","0.249201037734484","0.237252129096455","0.261149946372512","3"
"Single","1984","Not Employed","Not Working","827","0.18677582279441","0.17467543195429","0.198876213634531","3"
"Single","1984","Employed","Part Time","429","0.265203487712286","0.244031432679781","0.286375542744792","3"
"Single","1984","Employed","Not Working","","","","","3"
"Widowed","1984","Not Employed","Full Time","","","","","5"
"Widowed","1984","Not Employed","Part Time","","","","","5"
"Widowed","1984","Not Employed","Not Working","542","0.211309550299923","0.198634584913148","0.223984515686698","5"
"Widowed","1984","Employed","Part Time","48","0.0431392178909308","0.0333949241672531","0.0528835116146085","5"
"Widowed","1984","Employed","Full Time","87","0.0230465666273881","0.018901499817883","0.0271916334368932","5"
"Widowed","1984","Employed","Not Working","","","","","5"
"Divorced","1985","Not Employed","Full Time","","","","","4"
"Divorced","1985","Not Employed","Part Time","","","","","4"
"Divorced","1985","Not Employed","Not Working","81","0.0262744337468258","0.0212363499607284","0.0313125175329233","4"
"Divorced","1985","Employed","Full Time","189","0.0548159937686916","0.048248175551219","0.0613838119861643","4"
"Divorced","1985","Employed","Part Time","71","0.0529434682799582","0.0423826865151887","0.0635042500447277","4"
"Divorced","1985","Employed","Not Working","","","","","4"
"Married","1985","Not Employed","Full Time","","","","","1"
"Married","1985","Not Employed","Part Time","","","","","1"
"Married","1985","Not Employed","Not Working","2320","0.533049005677674","0.51733453931243","0.548763472042917","1"
"Married","1985","Employed","Full Time","3153","0.629620817758072","0.615686936035764","0.643554699480379","1"
"Married","1985","Employed","Part Time","1069","0.578458275699131","0.555168879701475","0.601747671696788","1"
"Married","1985","Employed","Not Working","","","","","1"
"Married, but separated","1985","Not Employed","Full Time","","","","","2"
"Married, but separated","1985","Not Employed","Not Working","41","0.00918358018075666","0.00617900534679338","0.0121881550147199","2"
"Married, but separated","1985","Not Employed","Part Time","","","","","2"
"Married, but separated","1985","Employed","Full Time","134","0.0237421184127306","0.0193492185269504","0.0281350182985108","2"
"Married, but separated","1985","Employed","Part Time","35","0.0210193422916785","0.0142538634658143","0.0277848211175427","2"
"Married, but separated","1985","Employed","Not Working","","","","","2"
"Single","1985","Not Employed","Full Time","","","","","3"
"Single","1985","Not Employed","Part Time","","","","","3"
"Single","1985","Not Employed","Not Working","872","0.199269357486772","0.186687524928851","0.211851190044692","3"
"Single","1985","Employed","Full Time","1075","0.274256772042707","0.261383780853247","0.287129763232168","3"
"Single","1985","Employed","Part Time","514","0.314841576540207","0.292936566219223","0.33674658686119","3"
"Single","1985","Employed","Not Working","","","","","3"
"Widowed","1985","Not Employed","Full Time","","","","","5"
"Widowed","1985","Not Employed","Part Time","","","","","5"
"Widowed","1985","Not Employed","Not Working","558","0.232223622907972","0.218923642916624","0.245523602899321","5"
"Widowed","1985","Employed","Full Time","63","0.0175642980177987","0.0137739702876858","0.0213546257479117","5"
"Widowed","1985","Employed","Part Time","38","0.0327373371890255","0.0243447509999688","0.0411299233780822","5"
"Widowed","1985","Employed","Not Working","","","","","5"
"Divorced","1986","Not Employed","Full Time","","","","","4"
"Divorced","1986","Not Employed","Part Time","","","","","4"
"Divorced","1986","Not Employed","Not Working","86","0.0288894612044732","0.0236171110530029","0.0341618113559435","4"
"Divorced","1986","Employed","Full Time","196","0.0542202080923751","0.0478119670814318","0.0606284491033184","4"
"Divorced","1986","Employed","Part Time","71","0.0486854394337137","0.0387599750069569","0.0586109038604705","4"
"Divorced","1986","Employed","Not Working","","","","","4"
"Married","1986","Not Employed","Full Time","","","","","1"
"Married","1986","Not Employed","Part Time","","","","","1"
"Married","1986","Not Employed","Not Working","2344","0.541235536189346","0.525550402408902","0.556920669969789","1"
"Married","1986","Employed","Full Time","3225","0.622106768331056","0.608385942494784","0.635827594167328","1"
"Married","1986","Employed","Part Time","1120","0.596549690634897","0.573923702405878","0.619175678863916","1"
"Married","1986","Employed","Not Working","","","","","1"
"Married, but separated","1986","Not Employed","Part Time","","","","","2"
"Married, but separated","1986","Not Employed","Full Time","","","","","2"
"Married, but separated","1986","Employed","Full Time","154","0.025483867079038","0.0210243234823187","0.0299434106757572","2"
"Married, but separated","1986","Not Employed","Not Working","64","0.016555178106529","0.0125387303877763","0.0205716258252817","2"
"Married, but separated","1986","Employed","Part Time","42","0.0242224531127725","0.0171320048852452","0.0313129013402998","2"
"Married, but separated","1986","Employed","Not Working","","","","","2"
"Single","1986","Not Employed","Full Time","","","","","3"
"Single","1986","Not Employed","Part Time","","","","","3"
"Single","1986","Not Employed","Not Working","839","0.180852829961927","0.168737261038052","0.192968398885803","3"
"Single","1986","Employed","Full Time","1163","0.282204890148863","0.26946851780707","0.294941262490656","3"
"Single","1986","Employed","Part Time","540","0.304649698268004","0.283422561509418","0.32587683502659","3"
"Single","1986","Employed","Not Working","","","","","3"
"Widowed","1986","Not Employed","Full Time","","","","","5"
"Widowed","1986","Not Employed","Part Time","","","","","5"
"Widowed","1986","Not Employed","Not Working","544","0.232466994537725","0.219170738453302","0.245763250622147","5"
"Widowed","1986","Employed","Full Time","59","0.0159842663486676","0.0124352286962802","0.0195333040010549","5"
"Widowed","1986","Employed","Part Time","33","0.025892718550613","0.0185681602830136","0.0332172768182123","5"
"Widowed","1986","Employed","Not Working","","","","","5"
"Divorced","1987","Not Employed","Part Time","","","","","4"
"Divorced","1987","Not Employed","Full Time","","","","","4"
"Divorced","1987","Not Employed","Not Working","96","0.0335067212374896","0.0277585329411547","0.0392549095338246","4"
"Divorced","1987","Employed","Full Time","215","0.0579386435867601","0.0513716835978913","0.0645056035756288","4"
"Divorced","1987","Employed","Part Time","70","0.0451686115266654","0.0355827325507063","0.0547544905026246","4"
"Divorced","1987","Employed","Not Working","","","","","4"
"Married","1987","Not Employed","Full Time","","","","","1"
"Married","1987","Not Employed","Part Time","","","","","1"
"Married","1987","Not Employed","Not Working","2308","0.556287690453263","0.540418087383819","0.572157293522707","1"
"Married","1987","Employed","Full Time","3188","0.606527570457061","0.592795910484857","0.620259230429264","1"
"Married","1987","Employed","Part Time","1113","0.60416185270421","0.581589038843574","0.626734666564847","1"
"Married","1987","Employed","Not Working","","","","","1"
"Married, but separated","1987","Not Employed","Part Time","","","","","2"
"Married, but separated","1987","Not Employed","Full Time","","","","","2"
"Married, but separated","1987","Not Employed","Not Working","36","0.0078600915819214","0.0050393333545713","0.0106808498092715","2"
"Married, but separated","1987","Employed","Full Time","156","0.024729023702635","0.0203637975428428","0.0290942498624272","2"
"Married, but separated","1987","Employed","Part Time","44","0.0279032081996341","0.0203011349071239","0.0355052814921442","2"
"Married, but separated","1987","Employed","Not Working","","","","","2"
"Single","1987","Not Employed","Full Time","","","","","3"
"Single","1987","Not Employed","Part Time","","","","","3"
"Single","1987","Not Employed","Not Working","768","0.158689308167095","0.147018051007323","0.170360565326867","3"
"Single","1987","Employed","Full Time","1239","0.292943125171206","0.280150506817632","0.305735743524779","3"
"Single","1987","Employed","Part Time","537","0.29424435349516","0.273209888169861","0.315278818820459","3"
"Single","1987","Employed","Not Working","","","","","3"
"Widowed","1987","Not Employed","Full Time","","","","","5"
"Widowed","1987","Not Employed","Part Time","","","","","5"
"Widowed","1987","Not Employed","Not Working","557","0.243656188560231","0.229943773423683","0.257368603696779","5"
"Widowed","1987","Employed","Part Time","39","0.0285219740743301","0.020838519838482","0.0362054283101783","5"
"Widowed","1987","Employed","Full Time","64","0.0178616370823384","0.0141386838396784","0.0215845903249983","5"
"Widowed","1987","Employed","Not Working","","","","","5"
"Divorced","1988","Not Employed","Part Time","","","","","4"
"Divorced","1988","Not Employed","Full Time","","","","","4"
"Divorced","1988","Not Employed","Not Working","84","0.0314868878597017","0.025733476443124","0.0372402992762794","4"
"Divorced","1988","Employed","Full Time","191","0.0569944676478392","0.0502796188116723","0.0637093164840062","4"
"Divorced","1988","Employed","Part Time","81","0.0494198808005328","0.0395299075700812","0.0593098540309843","4"
"Divorced","1988","Employed","Not Working","","","","","4"
"Married","1988","Not Employed","Full Time","","","","","1"
"Married","1988","Not Employed","Part Time","","","","","1"
"Married","1988","Not Employed","Not Working","2188","0.548478512263004","0.532082930542969","0.564874093983039","1"
"Married","1988","Employed","Full Time","2952","0.599016677555737","0.584821351210668","0.613212003900807","1"
"Married","1988","Employed","Part Time","1169","0.605125236965416","0.582820236955158","0.627430236975673","1"
"Married","1988","Employed","Not Working","","","","","1"
"Married, but separated","1988","Not Employed","Full Time","","","","","2"
"Married, but separated","1988","Not Employed","Part Time","","","","","2"
"Married, but separated","1988","Not Employed","Not Working","51","0.0157198971475548","0.0116217078692314","0.0198180864258782","2"
"Married, but separated","1988","Employed","Full Time","147","0.0275834850615277","0.0228398256402515","0.032327144482804","2"
"Married, but separated","1988","Employed","Not Working","","","","","2"
"Married, but separated","1988","Employed","Part Time","58","0.0361687155662559","0.0276491596384851","0.0446882714940267","2"
"Single","1988","Not Employed","Part Time","","","","","3"
"Single","1988","Not Employed","Full Time","","","","","3"
"Single","1988","Not Employed","Not Working","701","0.165566173344409","0.153320305563617","0.177812041125202","3"
"Single","1988","Employed","Full Time","1231","0.301352813166049","0.288062679417395","0.314642946914702","3"
"Single","1988","Employed","Not Working","","","","","3"
"Single","1988","Employed","Part Time","481","0.265314612757368","0.245168967052661","0.285460258462075","3"
"Widowed","1988","Not Employed","Full Time","","","","","5"
"Widowed","1988","Not Employed","Part Time","","","","","5"
"Widowed","1988","Employed","Part Time","56","0.0439715539104281","0.034615963074437","0.0533271447464191","5"
"Widowed","1988","Not Employed","Not Working","515","0.23874852938533","0.224702866693005","0.252794192077655","5"
"Widowed","1988","Employed","Full Time","58","0.0150525565688471","0.0115258085432019","0.0185793045944922","5"
"Widowed","1988","Employed","Not Working","","","","","5"
"Divorced","1989","Not Employed","Full Time","","","","","4"
"Divorced","1989","Not Employed","Part Time","","","","","4"
"Divorced","1989","Not Employed","Not Working","87","0.03440402709911","0.0282838443882545","0.0405242098099655","4"
"Divorced","1989","Employed","Full Time","222","0.0650691526147654","0.0578921844217007","0.07224612080783","4"
"Divorced","1989","Employed","Part Time","68","0.0508545273204784","0.0404413985950878","0.061267656045869","4"
"Divorced","1989","Employed","Not Working","","","","","4"
"Married","1989","Not Employed","Full Time","","","","","1"
"Married","1989","Not Employed","Part Time","","","","","1"
"Married","1989","Not Employed","Not Working","2081","0.540570690043054","0.523836772659262","0.557304607426845","1"
"Married","1989","Employed","Full Time","2900","0.59589593146418","0.581617006118351","0.610174856810008","1"
"Married","1989","Employed","Part Time","1076","0.610772201166945","0.587662645671015","0.633881756662875","1"
"Married","1989","Employed","Not Working","","","","","1"
"Married, but separated","1989","Not Employed","Full Time","","","","","2"
"Married, but separated","1989","Not Employed","Part Time","","","","","2"
"Married, but separated","1989","Not Employed","Not Working","45","0.013821868380419","0.00990153423964127","0.0177422025211967","2"
"Married, but separated","1989","Employed","Part Time","38","0.0230786794490611","0.0159618705008423","0.0301954883972799","2"
"Married, but separated","1989","Employed","Full Time","142","0.0313081230243835","0.0262407246681537","0.0363755213806133","2"
"Married, but separated","1989","Employed","Not Working","","","","","2"
"Single","1989","Not Employed","Part Time","","","","","3"
"Single","1989","Not Employed","Full Time","","","","","3"
"Single","1989","Not Employed","Not Working","690","0.173893904758942","0.161167019833711","0.186620789684172","3"
"Single","1989","Employed","Full Time","1214","0.292672503484925","0.279433206232614","0.305911800737237","3"
"Single","1989","Employed","Part Time","473","0.270983991874683","0.249917588955125","0.292050394794241","3"
"Single","1989","Employed","Not Working","","","","","3"
"Widowed","1989","Not Employed","Full Time","","","","","5"
"Widowed","1989","Not Employed","Part Time","","","","","5"
"Widowed","1989","Not Employed","Not Working","504","0.237309509718476","0.223024065129801","0.25159495430715","5"
"Widowed","1989","Employed","Full Time","59","0.0150542894117463","0.0115110542389453","0.0185975245845472","5"
"Widowed","1989","Employed","Part Time","55","0.044310600188833","0.0345570609246521","0.0540641394530139","5"
"Widowed","1989","Employed","Not Working","","","","","5"
"Divorced","1990","Not Employed","Full Time","","","","","4"
"Divorced","1990","Not Employed","Part Time","","","","","4"
"Divorced","1990","Not Employed","Not Working","82","0.0323231394399386","0.0263026989124315","0.0383435799674457","4"
"Divorced","1990","Employed","Full Time","227","0.0691361754934513","0.061659898671544","0.0766124523153585","4"
"Divorced","1990","Employed","Part Time","76","0.0685564622120039","0.0566418835741057","0.0804710408499021","4"
"Divorced","1990","Employed","Not Working","","","","","4"
"Married","1990","Not Employed","Full Time","","","","","1"
"Married","1990","Not Employed","Part Time","","","","","1"
"Married","1990","Not Employed","Not Working","2046","0.549587835023331","0.532651090521129","0.566524579525532","1"
"Married","1990","Employed","Full Time","2812","0.587366338600929","0.572857706275836","0.601874970926022","1"
"Married","1990","Employed","Part Time","1098","0.597074878727544","0.573948757699375","0.620200999755713","1"
"Married","1990","Employed","Not Working","","","","","1"
"Married, but separated","1990","Not Employed","Full Time","","","","","2"
"Married, but separated","1990","Not Employed","Part Time","","","","","2"
"Married, but separated","1990","Not Employed","Not Working","52","0.0148697729658655","0.0107496961243071","0.0189898498074239","2"
"Married, but separated","1990","Employed","Full Time","123","0.0238055517341139","0.0193129604131885","0.0282981430550393","2"
"Married, but separated","1990","Employed","Part Time","44","0.0295693246638899","0.0215824074501406","0.0375562418776392","2"
"Married, but separated","1990","Employed","Not Working","","","","","2"
"Single","1990","Not Employed","Full Time","","","","","3"
"Single","1990","Not Employed","Part Time","","","","","3"
"Single","1990","Not Employed","Not Working","634","0.161023731856922","0.148511749983077","0.173535713730766","3"
"Single","1990","Employed","Full Time","1192","0.302318664980177","0.28878390202182","0.315853427938534","3"
"Single","1990","Employed","Part Time","472","0.274787134196937","0.253739311851135","0.295834956542738","3"
"Single","1990","Employed","Not Working","","","","","3"
"Widowed","1990","Not Employed","Full Time","","","","","5"
"Widowed","1990","Not Employed","Part Time","","","","","5"
"Widowed","1990","Not Employed","Not Working","501","0.242195520713944","0.227611812649406","0.256779228778482","5"
"Widowed","1990","Employed","Full Time","69","0.0173732691913284","0.0135227022056338","0.021223836177023","5"
"Widowed","1990","Employed","Part Time","38","0.0300122001996259","0.0219675294279497","0.0380568709713022","5"
"Widowed","1990","Employed","Not Working","","","","","5"
"Divorced","1991","Not Employed","Full Time","","","","","4"
"Divorced","1991","Not Employed","Part Time","","","","","4"
"Divorced","1991","Employed","Full Time","244","0.0790051012451485","0.0710527942823544","0.0869574082079427","4"
"Divorced","1991","Not Employed","Not Working","89","0.0366724177502779","0.0301995104676451","0.0431453250329107","4"
"Divorced","1991","Employed","Part Time","73","0.054544232732895","0.0439349314351736","0.0651535340306164","4"
"Divorced","1991","Employed","Not Working","","","","","4"
"Married","1991","Not Employed","Full Time","","","","","1"
"Married","1991","Not Employed","Part Time","","","","","1"
"Married","1991","Not Employed","Not Working","2003","0.541284855468789","0.524124467811571","0.558445243126007","1"
"Married","1991","Employed","Full Time","2809","0.582843892925076","0.568307308180804","0.597380477669347","1"
"Married","1991","Employed","Part Time","1126","0.626678720348406","0.604081469639414","0.649275971057398","1"
"Married","1991","Employed","Not Working","","","","","1"
"Married, but separated","1991","Not Employed","Full Time","","","","","2"
"Married, but separated","1991","Not Employed","Part Time","","","","","2"
"Married, but separated","1991","Not Employed","Not Working","49","0.0153198582765266","0.0110900802124555","0.0195496363405977","2"
"Married, but separated","1991","Employed","Full Time","127","0.0280761858649007","0.0232062625517099","0.0329461091780915","2"
"Married, but separated","1991","Employed","Not Working","","","","","2"
"Married, but separated","1991","Employed","Part Time","35","0.0198057261575621","0.0132962922373261","0.0263151600777981","2"
"Single","1991","Not Employed","Part Time","","","","","3"
"Single","1991","Not Employed","Full Time","","","","","3"
"Single","1991","Employed","Full Time","1180","0.293877828897697","0.280448315041783","0.30730734275361","3"
"Single","1991","Not Employed","Not Working","610","0.15979939416034","0.147180488997736","0.172418299322943","3"
"Single","1991","Employed","Part Time","476","0.263513892854152","0.242932451070633","0.284095334637671","3"
"Single","1991","Employed","Not Working","","","","","3"
"Widowed","1991","Not Employed","Full Time","","","","","5"
"Widowed","1991","Not Employed","Part Time","","","","","5"
"Widowed","1991","Not Employed","Not Working","488","0.246923474344067","0.232072896188925","0.26177405249921","5"
"Widowed","1991","Employed","Full Time","60","0.0161969910671786","0.0124755752350193","0.019918406899338","5"
"Widowed","1991","Employed","Part Time","50","0.0354574279069847","0.0268175805080162","0.0440972753059533","5"
"Widowed","1991","Employed","Not Working","","","","","5"
"Divorced","1992","Not Employed","Full Time","","","","","4"
"Divorced","1992","Not Employed","Part Time","","","","","4"
"Divorced","1992","Not Employed","Not Working","151","0.0428647196325806","0.0367715130883829","0.0489579261767784","4"
"Divorced","1992","Employed","Full Time","379","0.0794663542039533","0.0729358033609759","0.0859969050469307","4"
"Divorced","1992","Employed","Part Time","107","0.0563929170941582","0.0473594991873414","0.0654263350009751","4"
"Divorced","1992","Employed","Not Working","","","","","4"
"Married","1992","Not Employed","Full Time","","","","","1"
"Married","1992","Not Employed","Part Time","","","","","1"
"Married","1992","Not Employed","Not Working","2568","0.545975737339035","0.530998371213113","0.560953103464957","1"
"Married","1992","Employed","Full Time","4408","0.607292631510172","0.595501055138573","0.619084207881771","1"
"Married","1992","Employed","Not Working","","","","","1"
"Married","1992","Employed","Part Time","1646","0.622478614587013","0.603495073664427","0.6414621555096","1"
"Married, but separated","1992","Not Employed","Full Time","","","","","2"
"Married, but separated","1992","Not Employed","Part Time","","","","","2"
"Married, but separated","1992","Not Employed","Not Working","53","0.0122769017819458","0.00896428468165628","0.0155895188822353","2"
"Married, but separated","1992","Employed","Full Time","132","0.0221050784821645","0.0185550612334911","0.0256550957308379","2"
"Married, but separated","1992","Employed","Part Time","54","0.0241782352051613","0.018163150116966","0.0301933202933565","2"
"Married, but separated","1992","Employed","Not Working","","","","","2"
"Single","1992","Not Employed","Part Time","","","","","3"
"Single","1992","Not Employed","Full Time","","","","","3"
"Single","1992","Not Employed","Not Working","802","0.154204614290718","0.143340593597305","0.165068634984132","3"
"Single","1992","Employed","Full Time","1575","0.273436973749543","0.262674710684715","0.284199236814371","3"
"Single","1992","Employed","Part Time","639","0.263138615572503","0.245894956907211","0.280382274237795","3"
"Single","1992","Employed","Not Working","","","","","3"
