"pgfamstd","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"2","1985","66 and older","indirect migration background","","","",""
"3","1985","16-34 y.","no migration background","1640","0.624547649621896","0.606465606846706","0.642629692397086"
"3","1985","16-34 y.","direct migration background","436","0.420033339594807","0.390022115257609","0.450044563932005"
"3","1985","16-34 y.","indirect migration background","99","0.763483471522166","0.686153177018094","0.840813766026238"
"3","1985","35-65 y.","no migration background","184","0.0616495546112994","0.0538701876400319","0.0694289215825669"
"3","1985","35-65 y.","direct migration background","40","0.0378127063249421","0.0285414943674821","0.0470839182824021"
"3","1985","35-65 y.","indirect migration background","1","","",""
"3","1985","66 and older","no migration background","58","0.0681766209342719","0.0521573638952633","0.0841958779732805"
"3","1985","66 and older","direct migration background","2","","",""
"3","1985","66 and older","indirect migration background","1","","",""
"4","1985","16-34 y.","no migration background","64","0.0248761289010112","0.0190603406902626","0.0306919171117598"
"4","1985","16-34 y.","direct migration background","15","","",""
"4","1985","16-34 y.","indirect migration background","","","",""
"4","1985","35-65 y.","no migration background","195","0.0620266512266175","0.0542250962839838","0.0698282061692513"
"4","1985","35-65 y.","direct migration background","38","0.0378899421209178","0.028609638850902","0.0471702453909337"
"4","1985","35-65 y.","indirect migration background","3","","",""
"4","1985","66 and older","no migration background","24","","",""
"4","1985","66 and older","direct migration background","2","","",""
"4","1985","66 and older","indirect migration background","","","",""
"5","1985","16-34 y.","no migration background","4","","",""
"5","1985","16-34 y.","direct migration background","3","","",""
"5","1985","16-34 y.","indirect migration background","","","",""
"5","1985","35-65 y.","no migration background","194","0.0644924341790288","0.0565477837732832","0.0724370845847744"
"5","1985","35-65 y.","direct migration background","40","0.0545206243531493","0.0434850672954691","0.0655561814108294"
"5","1985","35-65 y.","indirect migration background","","","",""
"5","1985","66 and older","no migration background","400","0.48113235598163","0.449376895900413","0.512887816062846"
"5","1985","66 and older","direct migration background","17","","",""
"5","1985","66 and older","indirect migration background","1","","",""
"6","1985","16-34 y.","no migration background","","","",""
"6","1985","16-34 y.","direct migration background","16","","",""
"6","1985","16-34 y.","indirect migration background","","","",""
"6","1985","35-65 y.","no migration background","","","",""
"6","1985","35-65 y.","direct migration background","64","0.0447131363095082","0.0346676193762093","0.054758653242807"
"6","1985","35-65 y.","indirect migration background","","","",""
"6","1985","66 and older","no migration background","","","",""
"6","1985","66 and older","direct migration background","","","",""
"6","1985","66 and older","indirect migration background","","","",""
"7","1985","16-34 y.","no migration background","","","",""
"7","1985","16-34 y.","direct migration background","","","",""
"7","1985","16-34 y.","indirect migration background","","","",""
"7","1985","35-65 y.","no migration background","","","",""
"7","1985","35-65 y.","direct migration background","","","",""
