"pgfamstd","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","middle vocational","West Germany","196","0.0452799227902894","0.0395545157866804","0.0510053297938983","4"
"Divorced","1984","middle vocational","East Germany","","","","","4"
"Divorced","1984","vocational + Abi","West Germany","8","","","","4"
"Divorced","1984","vocational + Abi","East Germany","","","","","4"
"Divorced","1984","higher vocational","West Germany","17","","","","4"
"Divorced","1984","higher vocational","East Germany","","","","","4"
"Divorced","1984","higher education","West Germany","26","","","","4"
"Divorced","1984","higher education","East Germany","","","","","4"
"Divorced","1984","in school","West Germany","","","","","4"
"Divorced","1984","in school","East Germany","","","","","4"
"Divorced","1984","inadequately","West Germany","23","","","","4"
"Divorced","1984","inadequately","East Germany","","","","","4"
"Divorced","1984","general elemantary","West Germany","81","0.0303807098041803","0.0242091300338791","0.0365522895744816","4"
"Divorced","1984","general elemantary","East Germany","","","","","4"
"Married","1984","in school","West Germany","","","","","1"
"Married","1984","in school","East Germany","","","","","1"
"Married","1984","inadequately","West Germany","657","0.587311194153005","0.554077410571575","0.620544977734434","1"
"Married","1984","inadequately","East Germany","","","","","1"
"Married","1984","general elemantary","West Germany","1785","0.536364655487653","0.518433217892834","0.554296093082472","1"
"Married","1984","general elemantary","East Germany","","","","","1"
"Married","1984","middle vocational","West Germany","3480","0.654128127435453","0.641030141101429","0.667226113769477","1"
"Married","1984","middle vocational","East Germany","","","","","1"
"Married","1984","vocational + Abi","West Germany","166","0.5156953502537","0.455638410330349","0.575752290177052","1"
"Married","1984","vocational + Abi","East Germany","","","","","1"
"Married","1984","higher vocational","West Germany","442","0.712109823979703","0.675543832407428","0.748675815551979","1"
"Married","1984","higher vocational","East Germany","","","","","1"
"Married","1984","higher education","West Germany","534","0.700767330154531","0.667571706696939","0.733962953612123","1"
"Married","1984","higher education","East Germany","","","","","1"
"Married, but separated","1984","middle vocational","West Germany","85","0.0131346281257561","0.00999951407745247","0.0162697421740598","2"
"Married, but separated","1984","middle vocational","East Germany","","","","","2"
"Married, but separated","1984","in school","East Germany","","","","","2"
"Married, but separated","1984","inadequately","West Germany","39","0.05097504254744","0.0361275909209412","0.0658224941739388","2"
"Married, but separated","1984","inadequately","East Germany","","","","","2"
"Married, but separated","1984","general elemantary","West Germany","44","0.0126610849687817","0.00864072116647497","0.0166814487710885","2"
"Married, but separated","1984","general elemantary","East Germany","","","","","2"
"Married, but separated","1984","vocational + Abi","West Germany","5","","","","2"
"Married, but separated","1984","vocational + Abi","East Germany","","","","","2"
"Married, but separated","1984","in school","West Germany","","","","","2"
"Married, but separated","1984","higher vocational","West Germany","11","","","","2"
"Married, but separated","1984","higher vocational","East Germany","","","","","2"
"Married, but separated","1984","higher education","West Germany","20","","","","2"
"Married, but separated","1984","higher education","East Germany","","","","","2"
"Single","1984","middle vocational","West Germany","1036","0.201421996108213","0.190377965084227","0.212466027132198","3"
"Single","1984","middle vocational","East Germany","","","","","3"
"Single","1984","vocational + Abi","West Germany","80","0.378519216734712","0.32023310409106","0.436805329378364","3"
"Single","1984","vocational + Abi","East Germany","","","","","3"
"Single","1984","higher vocational","West Germany","86","0.159869127233769","0.130272227734756","0.189466026732782","3"
"Single","1984","in school","West Germany","166","1","1","1","3"
"Single","1984","in school","East Germany","","","","","3"
"Single","1984","inadequately","West Germany","100","0.262165712787315","0.23247629601467","0.291855129559961","3"
"Single","1984","inadequately","East Germany","","","","","3"
"Single","1984","general elemantary","West Germany","736","0.236088995181458","0.220818398032886","0.251359592330031","3"
"Single","1984","general elemantary","East Germany","","","","","3"
"Single","1984","higher vocational","East Germany","","","","","3"
"Single","1984","higher education","West Germany","134","0.186834999364169","0.15857918302955","0.215090815698789","3"
"Single","1984","higher education","East Germany","","","","","3"
"Widowed","1984","general elemantary","East Germany","","","","","5"
"Widowed","1984","middle vocational","West Germany","269","0.0860353255402888","0.0783135245152791","0.0937571265652985","5"
"Widowed","1984","vocational + Abi","East Germany","","","","","5"
"Widowed","1984","higher vocational","West Germany","33","0.0761082104766483","0.0546932758624989","0.0975231450907977","5"
"Widowed","1984","vocational + Abi","West Germany","7","","","","5"
"Widowed","1984","middle vocational","East Germany","","","","","5"
"Widowed","1984","higher vocational","East Germany","","","","","5"
"Widowed","1984","higher education","West Germany","17","","","","5"
"Widowed","1984","higher education","East Germany","","","","","5"
"Widowed","1984","in school","West Germany","","","","","5"
"Widowed","1984","in school","East Germany","","","","","5"
"Widowed","1984","inadequately","West Germany","24","","","","5"
"Widowed","1984","inadequately","East Germany","","","","","5"
"Widowed","1984","general elemantary","West Germany","325","0.184504554557927","0.170556582113761","0.198452527002092","5"
"Divorced","1985","higher education","West Germany","25","","","","4"
"Divorced","1985","higher education","East Germany","","","","","4"
"Divorced","1985","middle vocational","West Germany","184","0.0476229566155821","0.0415963080326287","0.0536496051985355","4"
"Divorced","1985","middle vocational","East Germany","","","","","4"
