"pgfamstd","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","Part Time","in school","","","","","4"
"Divorced","1984","Part Time","inadequately","1","","","","4"
"Divorced","1984","Not Working","in school","","","","","4"
"Divorced","1984","Full Time","in school","","","","","4"
"Divorced","1984","Full Time","inadequately","15","","","","4"
"Divorced","1984","Full Time","general elemantary","37","0.045756776817681","0.0329521322269447","0.0585614214084173","4"
"Divorced","1984","Full Time","middle vocational","115","0.0534860909401481","0.0448722170371523","0.0620999648431439","4"
"Divorced","1984","Full Time","vocational + Abi","5","","","","4"
"Divorced","1984","Full Time","higher vocational","12","","","","4"
"Divorced","1984","Part Time","general elemantary","14","","","","4"
"Divorced","1984","Part Time","middle vocational","27","","","","4"
"Divorced","1984","Part Time","vocational + Abi","2","","","","4"
"Divorced","1984","Part Time","higher vocational","2","","","","4"
"Divorced","1984","Not Working","inadequately","7","","","","4"
"Divorced","1984","Not Working","general elemantary","30","0.0228483718486665","0.015220419729223","0.03047632396811","4"
"Divorced","1984","Not Working","middle vocational","54","0.0365280313196639","0.0274925644056538","0.0455634982336739","4"
"Divorced","1984","Not Working","higher vocational","3","","","","4"
"Divorced","1984","Not Working","higher education","5","","","","4"
"Divorced","1984","Full Time","higher education","16","","","","4"
"Divorced","1984","Part Time","higher education","5","","","","4"
"Divorced","1984","Not Working","vocational + Abi","1","","","","4"
"Married","1984","Full Time","in school","","","","","1"
"Married","1984","Full Time","inadequately","345","0.625935840681384","0.580464116528137","0.671407564834631","1"
"Married","1984","Full Time","general elemantary","643","0.538506428971064","0.507958023380868","0.569054834561259","1"
"Married","1984","Full Time","middle vocational","1799","0.663345400720965","0.645253811523665","0.681436989918266","1"
"Married","1984","Full Time","vocational + Abi","111","0.595411520028355","0.517385102028523","0.673437938028187","1"
"Married","1984","Full Time","higher vocational","257","0.735726957035447","0.688648967532652","0.782804946538242","1"
"Married","1984","Full Time","higher education","342","0.758436546493671","0.718305303311921","0.798567789675422","1"
"Married","1984","Part Time","in school","","","","","1"
"Married","1984","Part Time","inadequately","70","0.506905677576666","0.407921989360859","0.605889365792473","1"
"Married","1984","Part Time","general elemantary","296","0.607854573467209","0.563902199053867","0.65180694788055","1"
"Married","1984","Part Time","middle vocational","537","0.655216920466152","0.622052293731527","0.688381547200777","1"
"Married","1984","Part Time","vocational + Abi","22","","","","1"
"Married","1984","Part Time","higher vocational","73","0.753362889430484","0.666683147057698","0.840042631803271","1"
"Married","1984","Part Time","higher education","104","0.637492328849389","0.562534736284598","0.71244992141418","1"
"Married","1984","Not Working","in school","","","","","1"
"Married","1984","Not Working","inadequately","242","0.573509085230377","0.518454653116648","0.628563517344106","1"
"Married","1984","Not Working","general elemantary","846","0.516901449206876","0.491390824635118","0.542412073778635","1"
"Married","1984","Not Working","middle vocational","1144","0.641863039500303","0.618770926145764","0.664955152854843","1"
"Married","1984","Not Working","vocational + Abi","33","0.407657472153425","0.292542123878182","0.522772820428668","1"
"Married","1984","Not Working","higher vocational","112","0.648208255088435","0.573512079674541","0.72290443050233","1"
"Married","1984","Not Working","higher education","88","0.604003236153569","0.52180848442625","0.686197987880889","1"
"Married, but separated","1984","Not Working","higher vocational","2","","","","2"
"Married, but separated","1984","Not Working","higher education","5","","","","2"
"Married, but separated","1984","Full Time","in school","","","","","2"
"Married, but separated","1984","Part Time","higher education","6","","","","2"
"Married, but separated","1984","Not Working","general elemantary","12","","","","2"
"Married, but separated","1984","Full Time","inadequately","27","","","","2"
"Married, but separated","1984","Full Time","general elemantary","24","","","","2"
"Married, but separated","1984","Full Time","middle vocational","61","0.0174276945058045","0.0124179357922499","0.0224374532193591","2"
"Married, but separated","1984","Full Time","vocational + Abi","4","","","","2"
"Married, but separated","1984","Part Time","in school","","","","","2"
"Married, but separated","1984","Part Time","inadequately","9","","","","2"
"Married, but separated","1984","Part Time","general elemantary","8","","","","2"
"Married, but separated","1984","Part Time","middle vocational","12","","","","2"
"Married, but separated","1984","Part Time","higher vocational","","","","","2"
"Married, but separated","1984","Not Working","in school","","","","","2"
"Married, but separated","1984","Not Working","inadequately","3","","","","2"
"Married, but separated","1984","Not Working","middle vocational","12","","","","2"
"Married, but separated","1984","Not Working","vocational + Abi","1","","","","2"
"Married, but separated","1984","Full Time","higher vocational","9","","","","2"
"Married, but separated","1984","Part Time","vocational + Abi","","","","","2"
"Married, but separated","1984","Full Time","higher education","9","","","","2"
"Single","1984","Not Working","higher vocational","18","","","","3"
"Single","1984","Part Time","higher education","40","0.252406530328715","0.18467317490308","0.32013988575435","3"
"Single","1984","Part Time","in school","7","","","","3"
"Single","1984","Part Time","inadequately","16","","","","3"
"Single","1984","Part Time","general elemantary","141","0.297480583595038","0.256326077069354","0.338635090120722","3"
"Single","1984","Part Time","middle vocational","190","0.245412228022883","0.215385184727545","0.27543927131822","3"
"Single","1984","Part Time","vocational + Abi","19","","","","3"
"Single","1984","Part Time","higher vocational","16","","","","3"
"Single","1984","Not Working","in school","158","1","1","1","3"
"Single","1984","Not Working","inadequately","45","0.303345591358633","0.252172131265751","0.354519051451516","3"
"Single","1984","Not Working","general elemantary","304","0.168915803679515","0.149788356859808","0.188043250499222","3"
"Single","1984","Not Working","middle vocational","237","0.126739064636369","0.110716014559733","0.142762114713005","3"
"Single","1984","Not Working","vocational + Abi","31","0.462128021081606","0.345334249749188","0.578921792414025","3"
"Single","1984","Not Working","higher education","28","","","","3"
"Single","1984","Full Time","in school","1","","","","3"
"Single","1984","Full Time","inadequately","39","0.207550931301885","0.169439831174421","0.245662031429349","3"
"Single","1984","Full Time","general elemantary","291","0.355961206439951","0.326620698834872","0.385301714045031","3"
"Single","1984","Full Time","middle vocational","609","0.245827995817915","0.229343887706968","0.262312103928862","3"
"Single","1984","Full Time","vocational + Abi","30","0.306039941578041","0.232777297293335","0.379302585862747","3"
"Single","1984","Full Time","higher vocational","52","0.169554526268962","0.129491532854071","0.209617519683853","3"
"Single","1984","Full Time","higher education","66","0.157767181473227","0.123590350852719","0.191944012093734","3"
"Widowed","1984","Not Working","higher vocational","22","","","","5"
"Widowed","1984","Not Working","higher education","10","","","","5"
"Widowed","1984","Part Time","higher education","3","","","","5"
"Widowed","1984","Not Working","in school","","","","","5"
"Widowed","1984","Not Working","inadequately","13","","","","5"
"Widowed","1984","Not Working","general elemantary","282","0.282276323598292","0.259298165562811","0.305254481633772","5"
"Widowed","1984","Not Working","middle vocational","209","0.188617384259342","0.169775617086194","0.207459151432489","5"
"Widowed","1984","Not Working","vocational + Abi","4","","","","5"
"Widowed","1984","Full Time","in school","","","","","5"
"Widowed","1984","Full Time","inadequately","9","","","","5"
"Widowed","1984","Full Time","general elemantary","28","","","","5"
