"pgfamstd","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","Hamburg","Employed","20","","","","4"
"Divorced","1984","Lower Saxony","Not Employed","10","","","","4"
"Divorced","1984","Hesse","Not Employed","8","","","","4"
"Divorced","1984","Hamburg","Not Employed","6","","","","4"
"Divorced","1984","Mecklenburg-Western Pomerania","Employed","","","","","4"
"Divorced","1984","Saxony","Not Employed","","","","","4"
"Divorced","1984","Saxony","Employed","","","","","4"
"Divorced","1984","Saxony-Anhalt","Not Employed","","","","","4"
"Divorced","1984","Bavaria","Not Employed","10","","","","4"
"Divorced","1984","Mecklenburg-Western Pomerania","Not Employed","","","","","4"
"Divorced","1984","Lower Saxony","Employed","21","","","","4"
"Divorced","1984","Hesse","Employed","18","","","","4"
"Divorced","1984","Saxony-Anhalt","Employed","","","","","4"
"Divorced","1984","Schleswig-Holstein","Employed","13","","","","4"
"Divorced","1984","Bremen","Not Employed","1","","","","4"
"Divorced","1984","Bremen","Employed","1","","","","4"
"Divorced","1984","North Rhine-Westphalia","Not Employed","34","0.0365310500702355","0.02564060560096","0.047421494539511","4"
"Divorced","1984","North Rhine-Westphalia","Employed","67","0.0485210889704539","0.0384166306957774","0.0586255472451304","4"
"Divorced","1984","Rhineland-Palatinate,Saarland","Not Employed","6","","","","4"
"Divorced","1984","Rhineland-Palatinate,Saarland","Employed","17","","","","4"
"Divorced","1984","Baden-Württemberg","Not Employed","15","","","","4"
"Divorced","1984","Baden-Württemberg","Employed","40","0.0382368510387111","0.0279190355918762","0.048554666485546","4"
"Divorced","1984","Brandenburg","Employed","","","","","4"
"Divorced","1984","Thuringia","Not Employed","","","","","4"
"Divorced","1984","Thuringia","Employed","","","","","4"
"Divorced","1984","Schleswig-Holstein","Not Employed","2","","","","4"
"Divorced","1984","Bavaria","Employed","36","0.0364768284079245","0.025965633121829","0.0469880236940199","4"
"Divorced","1984","Berlin","Not Employed","8","","","","4"
"Divorced","1984","Berlin","Employed","18","","","","4"
"Divorced","1984","Brandenburg","Not Employed","","","","","4"
"Married","1984","Schleswig-Holstein","Not Employed","82","0.583327616800639","0.498251655865177","0.6684035777361","1"
"Married","1984","Schleswig-Holstein","Employed","141","0.620013144849233","0.555432413441883","0.684593876256583","1"
"Married","1984","Hamburg","Not Employed","60","0.519748110567298","0.424186284017223","0.615309937117374","1"
"Married","1984","Hamburg","Employed","104","0.532900123947116","0.456542227858165","0.609258020036068","1"
"Married","1984","Lower Saxony","Not Employed","269","0.53845340196406","0.492747547682395","0.584159256245726","1"
"Married","1984","Lower Saxony","Employed","442","0.6999211913477","0.663991762194111","0.735850620501289","1"
"Married","1984","Bremen","Not Employed","35","0.526870631210015","0.398378644776338","0.655362617643692","1"
"Married","1984","Bremen","Employed","37","0.586094514741983","0.453494193688299","0.718694835795668","1"
"Married","1984","North Rhine-Westphalia","Not Employed","696","0.54482206538455","0.515914360665774","0.573729770103326","1"
"Married","1984","North Rhine-Westphalia","Employed","1207","0.659821172012317","0.637541184376182","0.682101159648453","1"
"Married","1984","Hesse","Not Employed","262","0.587614803120996","0.53996577353391","0.635263832708081","1"
"Married","1984","Hesse","Employed","486","0.663355186551201","0.628018261858939","0.698692111243463","1"
"Married","1984","Rhineland-Palatinate,Saarland","Not Employed","198","0.5995753458374","0.54529304968288","0.653857641991921","1"
"Married","1984","Rhineland-Palatinate,Saarland","Employed","289","0.639550254155704","0.594221982944222","0.684878525367186","1"
"Married","1984","Baden-Württemberg","Not Employed","406","0.558586281710465","0.519934322909278","0.597238240511652","1"
"Married","1984","Baden-Württemberg","Employed","918","0.64945735470186","0.623785433027061","0.67512927637666","1"
"Married","1984","Bavaria","Not Employed","418","0.63189723297514","0.594086434373903","0.669708031576376","1"
"Married","1984","Bavaria","Employed","848","0.647457041339266","0.620670046765525","0.674244035913007","1"
"Married","1984","Berlin","Not Employed","55","0.377064871752146","0.288098656883334","0.466031086620958","1"
"Married","1984","Berlin","Employed","156","0.587721383239865","0.525574304254996","0.649868462224733","1"
"Married","1984","Brandenburg","Not Employed","","","","","1"
"Married","1984","Brandenburg","Employed","","","","","1"
"Married","1984","Mecklenburg-Western Pomerania","Not Employed","","","","","1"
"Married","1984","Mecklenburg-Western Pomerania","Employed","","","","","1"
"Married","1984","Saxony","Not Employed","","","","","1"
"Married","1984","Saxony","Employed","","","","","1"
"Married","1984","Saxony-Anhalt","Not Employed","","","","","1"
"Married","1984","Saxony-Anhalt","Employed","","","","","1"
"Married","1984","Thuringia","Not Employed","","","","","1"
"Married","1984","Thuringia","Employed","","","","","1"
"Married, but separated","1984","Mecklenburg-Western Pomerania","Employed","","","","","2"
"Married, but separated","1984","Saxony","Not Employed","","","","","2"
"Married, but separated","1984","Saxony","Employed","","","","","2"
"Married, but separated","1984","Saxony-Anhalt","Not Employed","","","","","2"
"Married, but separated","1984","Saxony-Anhalt","Employed","","","","","2"
"Married, but separated","1984","North Rhine-Westphalia","Not Employed","8","","","","2"
"Married, but separated","1984","North Rhine-Westphalia","Employed","46","0.0209097570920973","0.0141810126058466","0.027638501578348","2"
"Married, but separated","1984","Hesse","Not Employed","9","","","","2"
"Married, but separated","1984","Hesse","Employed","20","","","","2"
"Married, but separated","1984","Rhineland-Palatinate,Saarland","Not Employed","1","","","","2"
"Married, but separated","1984","Brandenburg","Employed","","","","","2"
"Married, but separated","1984","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"Married, but separated","1984","Thuringia","Not Employed","","","","","2"
"Married, but separated","1984","Thuringia","Employed","","","","","2"
"Married, but separated","1984","Schleswig-Holstein","Not Employed","1","","","","2"
"Married, but separated","1984","Schleswig-Holstein","Employed","5","","","","2"
"Married, but separated","1984","Hamburg","Not Employed","3","","","","2"
"Married, but separated","1984","Hamburg","Employed","3","","","","2"
"Married, but separated","1984","Lower Saxony","Not Employed","5","","","","2"
"Married, but separated","1984","Lower Saxony","Employed","12","","","","2"
"Married, but separated","1984","Bremen","Not Employed","","","","","2"
"Married, but separated","1984","Bremen","Employed","1","","","","2"
"Married, but separated","1984","Rhineland-Palatinate,Saarland","Employed","8","","","","2"
"Married, but separated","1984","Baden-Württemberg","Not Employed","4","","","","2"
"Married, but separated","1984","Baden-Württemberg","Employed","49","0.0279968999833583","0.0191212242437056","0.0368725757230109","2"
"Married, but separated","1984","Bavaria","Not Employed","3","","","","2"
"Married, but separated","1984","Bavaria","Employed","21","","","","2"
"Married, but separated","1984","Berlin","Not Employed","1","","","","2"
"Married, but separated","1984","Berlin","Employed","6","","","","2"
"Married, but separated","1984","Brandenburg","Not Employed","","","","","2"
"Single","1984","Saxony","Not Employed","","","","","3"
"Single","1984","Saxony","Employed","","","","","3"
"Single","1984","Hamburg","Employed","33","0.271446663524199","0.20338554271188","0.339507784336518","3"
"Single","1984","Mecklenburg-Western Pomerania","Employed","","","","","3"
"Single","1984","Hamburg","Not Employed","20","","","","3"
"Single","1984","Mecklenburg-Western Pomerania","Not Employed","","","","","3"
"Single","1984","Bremen","Employed","13","","","","3"
"Single","1984","North Rhine-Westphalia","Not Employed","263","0.2082415021874","0.18467062874839","0.231812375626411","3"
"Single","1984","North Rhine-Westphalia","Employed","389","0.24627488223153","0.226013702177956","0.266536062285104","3"
"Single","1984","Hesse","Employed","152","0.249167911637919","0.216824398498838","0.281511424777001","3"
"Single","1984","Brandenburg","Employed","","","","","3"
"Single","1984","Thuringia","Employed","","","","","3"
"Single","1984","Schleswig-Holstein","Employed","51","0.242165226726733","0.185166995426597","0.299163458026869","3"
"Single","1984","Hesse","Not Employed","82","0.171991630429564","0.135463522046226","0.208519738812902","3"
"Single","1984","Saxony-Anhalt","Not Employed","","","","","3"
"Single","1984","Schleswig-Holstein","Not Employed","23","","","","3"
"Single","1984","Lower Saxony","Not Employed","113","0.232352789709991","0.193631949323311","0.271073630096672","3"
"Single","1984","Lower Saxony","Employed","139","0.23383882240722","0.200654996142179","0.267022648672261","3"
"Single","1984","Bremen","Not Employed","8","","","","3"
