"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","4.53","5","20684","2","4","6","7","7","4.51","4.55","1","7","5","5"
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","","","","","","","","","","","","","",""
"2009","4.43","4","17996","2","3","6","6","7","4.41","4.45","1","7","4","5"
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","4.58","5","7117","2","4","6","6","7","4.54","4.62","1","7","5","5"
"2013","4.59","5","18858","3","4","6","6","7","4.57","4.61","1","7","5","5"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","4.57","5","29263","2","4","6","6","7","4.55","4.59","1","7","5","5"
"2018","","","","","","","","","","","","","",""
"2019","4.59","5","25767","3","4","6","6","7","4.57","4.61","1","7","5","5"
