"year","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","(0) in school","","","","","","","","","","",""
"1984","(1a) inadequately completed","1108.37","1147.13","669","440","869","1421","1595","1074.23","1142.51","1125","1227"
"1984","(1b) general elementary school","870.87","869","1425","210","399","1237","1534","844.25","897.49","971","1023"
"1984","(1c) basic vocational qualification","1379","1329","2744","562","1015","1662","2045","1348.96","1409.04","1279","1330"
"1984","(2a) intermediate vocational","1450.06","1278","948","511","971","1800","2301","1390.71","1509.41","1278","1355"
"1984","(2b) intermediate general qualification","655.79","394.44","230","191","273","939","1432","584.29","727.29","354","501"
"1984","(2c_gen) general maturity certificate","752.88","450.77","161","199","282","1023","1664","652.35","853.41","537","920"
"1984","(2c_voc) vocational maturity certificate","1616.83","1523.8","305","705","1074","2045","2556","1526.24","1707.42","1329","1534"
"1984","(3a) lower tertiary education","2154.83","2045","201","780","1497","2710","3272","2004.24","2305.42","1899","2250"
"1984","(3b) higher tertiary education","2258.82","2162.65","422","869","1534","2776","3477","2130.71","2386.93","1943","2199"
"1985","(0) in school","","","","","","","","","","",""
"1985","(1a) inadequately completed","1117.32","1136.55","524","461","920","1375","1636","1081.73","1152.91","1176","1227"
"1985","(1b) general elementary school","886.97","869","1276","225","399","1278","1534","856.36","917.58","971","1061"
"1985","(1c) basic vocational qualification","1390.48","1329","2466","585","1023","1687","2096","1363.34","1417.62","1329","1355"
"1985","(2a) intermediate vocational","1522.43","1380","913","614","1007","1887","2507","1451.78","1593.08","1278","1432"
"1985","(2b) intermediate general qualification","683.63","390.06","230","198","271","1074","1535","612.26","755","333","491"
"1985","(2c_gen) general maturity certificate","707.89","426.03","158","180","281","1023","1636","607.18","808.6","449","869"
"1985","(2c_voc) vocational maturity certificate","1511.31","1432","282","307","1023","1963","2452","1417.29","1605.33","1329","1483"
"1985","(3a) lower tertiary education","2204.35","2045","187","818","1534","2812","3579","2033","2375.7","1921","2186"
"1985","(3b) higher tertiary education","2227.18","2147","407","920","1525","2812","3477","2117.22","2337.14","2045","2225"
"1986","(0) in school","","","","","","","","","","",""
"1986","(1a) inadequately completed","1155.88","1176","486","614","920","1432","1687","1114.6","1197.16","1176","1278"
"1986","(1b) general elementary school","924.74","920","1228","231","409","1317","1636","893.75","955.73","1023","1082"
"1986","(1c) basic vocational qualification","1423.68","1380","2350","614","1023","1738","2147","1393.6","1453.76","1355","1406"
"1986","(2a) intermediate vocational","1549.06","1432","880","614","1023","1892","2505","1486.92","1611.2","1329","1483"
"1986","(2b) intermediate general qualification","696.56","394.91","237","223","297","1023","1483","626.22","766.9","358","518"
"1986","(2c_gen) general maturity certificate","792.75","445","172","256","317","1176","1687","690.14","895.36","511","920"
"1986","(2c_voc) vocational maturity certificate","1634.18","1483","276","767","1176","2045","2556","1543.9","1724.46","1380","1534"
"1986","(3a) lower tertiary education","2364.54","2195.81","180","1278","1636","2863","3681","2206.03","2523.05","2045","2352"
"1986","(3b) higher tertiary education","2424.47","2327.28","407","1023","1636","2965","3642","2287.95","2560.99","2148","2402"
"1987","(0) in school","","","","","","","","","","",""
"1987","(1a) inadequately completed","1212.14","1275.26","471","511","920","1534","1790","1159.68","1264.6","1176","1278"
"1987","(1b) general elementary school","948.76","961.55","1216","220","435","1329","1636","917.36","980.16","1023","1125"
"1987","(1c) basic vocational qualification","1455.8","1432","2327","614","1023","1790","2178","1425.75","1485.85","1380","1432"
"1987","(2a) intermediate vocational","1554.04","1432","904","588","1023","1892","2556","1491.5","1616.58","1356","1457"
"1987","(2b) intermediate general qualification","725.34","386.59","238","220","301","1125","1561","649.76","800.92","363","460"
"1987","(2c_gen) general maturity certificate","805.19","506.83","173","220","355","1023","1738","704.68","905.7","516","870"
"1987","(2c_voc) vocational maturity certificate","1543.13","1432","273","307","1023","2113","2556","1450.06","1636.2","1329","1534"
"1987","(3a) lower tertiary education","2304.45","2199","175","767","1687","2965","3579","2131.07","2477.83","2045","2301"
"1987","(3b) higher tertiary education","2463.04","2382.59","408","997","1639","3068","3835","2321.11","2604.97","2195","2454"
"1988","(0) in school","","","","","","","","","","",""
"1988","(1a) inadequately completed","1285.66","1278","415","613","1023","1534","1841","1226.48","1344.84","1227","1329"
"1988","(1b) general elementary school","1005.7","998.32","1168","225","383","1432","1687","966.58","1044.82","1074","1176"
"1988","(1c) basic vocational qualification","1503.86","1483","2197","614","1092","1790","2301","1472.69","1535.03","1432","1508"
"1988","(2a) intermediate vocational","1599.41","1483","865","614","1074","1943","2556","1534.27","1664.55","1407","1534"
"1988","(2b) intermediate general qualification","806.84","533.8","249","220","332","1176","1726","730.45","883.23","396","614"
"1988","(2c_gen) general maturity certificate","897.26","590.32","150","220","365","1227","1841","781.96","1012.56","588","971"
"1988","(2c_voc) vocational maturity certificate","1636.43","1534","267","534","1023","2045","2679","1506.91","1765.95","1381","1636"
"1988","(3a) lower tertiary education","2485.57","2251.08","171","1023","1687","3068","3988","2276.79","2694.35","2096","2454"
"1988","(3b) higher tertiary education","2547.41","2408.76","384","1045","1790","3068","3835","2404.2","2690.62","2301","2531"
"1989","(0) in school","","","","","","","","","","",""
"1989","(1a) inadequately completed","1279.74","1278","394","511","1020","1636","1841","1228.42","1331.06","1278","1331"
"1989","(1b) general elementary school","1027","1033","1129","239","409","1483","1790","990.67","1063.33","1125","1227"
"1989","(1c) basic vocational qualification","1555.62","1534","2141","665","1125","1866","2352","1523.35","1587.89","1483","1534"
"1989","(2a) intermediate vocational","1662.59","1517.78","867","665","1125","2012","2659","1598.38","1726.8","1432","1534"
"1989","(2b) intermediate general qualification","867.17","721.21","239","230","351","1227","1841","788.08","946.26","414","736"
"1989","(2c_gen) general maturity certificate","1008.42","605.42","162","225","362","1534","2173","881.94","1134.9","657","1201"
"1989","(2c_voc) vocational maturity certificate","1757.61","1619.59","269","767","1227","2096","3017","1646.4","1868.82","1534","1687"
"1989","(3a) lower tertiary education","2529.96","2348.51","172","1125","1790","2965","4039","2318.93","2740.99","2064","2505"
"1989","(3b) higher tertiary education","2716.74","2536.22","383","1176","1841","3170","4090","2532.15","2901.33","2415","2595"
"1990","(0) in school","","","","","","","","","","",""
"1990","(1a) inadequately completed","1328.2","1423.03","385","475","1023","1644","1892","1273.07","1383.33","1329","1432"
"1990","(1b) general elementary school","1031.27","1000.71","1227","251","435","1451","1841","986.61","1075.93","1053","1176"
"1990","(1c) basic vocational qualification","1405.26","1432","3054","419","680","1866","2352","1376.33","1434.19","1158","1278"
"1990","(2a) intermediate vocational","1272.62","1035.4","2133","409","562","1738","2442","1237.85","1307.39","665","698"
"1990","(2b) intermediate general qualification","755.05","429","356","113","256","1227","1636","688.9","821.2","322","399"
"1990","(2c_gen) general maturity certificate","967.4","643.79","169","230","427","1522","1994","854.77","1080.03","614","896"
"1990","(2c_voc) vocational maturity certificate","1623.15","1484.05","338","532","859","2096","2761","1520.33","1725.97","1355","1534"
"1990","(3a) lower tertiary education","1558.55","895.33","733","468","639","2301","3221","1475.22","1641.88","739","792"
"1990","(3b) higher tertiary education","2258.91","2045","671","690","946","3011","3758","2124.73","2393.09","1181","1636"
"1991","(0) in school","","","","","","","","","","",""
"1991","(1a) inadequately completed","1315.82","1336.55","400","437","955","1693","1943","1255.67","1375.97","1278","1483"
