"year","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","1371.26","1278","6979","358","864","1718","2301","4550","1351.03","1391.49","0","16873","1253","1278"
"1984","Not Employed","779.79","709.8","183","150","291","1048","1432","3272","687.4","872.18","0","4582","618","792"
"1985","Employed","1387.05","1278","6346","348","855","1765","2352","4334","1366.14","1407.96","0","20452","1278","1278"
"1985","Not Employed","714.9","542.31","183","153","222","1023","1478","2761","629.63","800.17","0","2917","511","818"
"1986","Employed","1438.65","1329","6156","358","910","1790","2455","4397","1416.54","1460.76","0","16361","1288","1329"
"1986","Not Employed","792.03","767","153","112","283","1125","1483","2711","703.51","880.55","0","2711","614","916"
"1987","Employed","1451.86","1380","6190","358","869","1790","2505","4602","1428.96","1474.76","0","15339","1329","1343"
"1987","Not Employed","748.82","676.29","107","153","220","1023","1534","2531","639.02","858.62","26","3100","409","759"
"1988","Employed","1522.9","1432","5874","372","946","1892","2556","4857","1498.63","1547.17","0","13331","1380","1423"
"1988","Not Employed","794.74","669.92","114","102","261","1176","1687","2557","684.75","904.73","0","2557","511","818"
"1989","Employed","1591.21","1483","5754","409","1023","1943","2659","4985","1565.45","1616.97","0","23008","1432","1457"
"1989","Not Employed","903.81","767","126","194","332","1245","2045","2761","795.72","1011.9","0","2761","562","920"
"1990","Employed","1636.73","1534","5668","434","1023","2045","2761","4678","1609.47","1663.99","0","25565","1483","1534"
"1990","Not Employed","723.09","560.5","101","81","225","1022","1534","2454","607.92","838.26","0","2454","510","767"
"1991","Employed","1705.77","1585","5719","460","1023","2147","2873","5120","1678.45","1733.09","0","17043","1534","1568"
"1991","Not Employed","942.67","812.22","140","102","291","1534","1943","2757","822.32","1063.02","0","4090","614","971"
"1992","Employed","1687.81","1559","8012","511","965","2147","2902","5266","1666.01","1709.61","0","17384","1383","1432"
"1992","Not Employed","893.38","716","133","153","294","1227","1841","3389","776.56","1010.2","0","3389","511","920"
"1993","Employed","1842.13","1687","7727","559","1083","2301","3170","5624","1816.78","1867.48","0","28121","1534","1585"
"1993","Not Employed","875.56","712.6","191","169","358","1278","1816","2630","786.47","964.65","0","3068","570","920"
"1994","Employed","1907.72","1759","7421","594","1176","2358","3170","5624","1881.02","1934.42","0","25565","1636","1673"
"1994","Not Employed","977.28","785.69","161","144","376","1518","1902","3058","866.13","1088.43","0","4039","616","920"
"1995","Employed","1968.85","1790","7696","573","1227","2454","3323","6135","1937.72","1999.98","0","51128","1687","1730"
"1995","Not Employed","930.48","818","189","128","297","1432","1841","2940","836.5","1024.46","0","3068","665","997"
"1996","Employed","2078.17","1845.8","7502","614","1278","2556","3579","6647","2047.24","2109.1","26","44617","1738","1790"
"1996","Not Employed","1030.6","920","155","286","420","1534","1994","3068","915.03","1146.17","20","4090","716","1125"
"1997","Employed","2076.34","1892","7299","614","1278","2582","3579","6545","2047.91","2104.77","19","25565","1790","1790"
"1997","Not Employed","1123.58","1121.08","131","307","581","1534","1994","2710","1013.65","1233.51","82","2710","767","1176"
"1998","Employed","2106.34","1943","8021","603","1278","2642","3581","6647","2079.24","2133.44","0","15339","1790","1841"
"1998","Not Employed","1049.97","866.27","137","184","317","1636","2231","4341","881.53","1218.41","0","5759","803","1227"
