"year","migback","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1991","no migration background","Male","1828.43","1687","3794","638","1023","2301","3068","5417","1791.49","1865.37","0","17043","1432","1534"
"1992","direct migration background","Female","1162.53","1158.81","589","409","767","1483","1943","2994","1119.03","1206.03","0","4092","1125","1227"
"1992","direct migration background","Male","1984.81","1840.62","1034","1023","1534","2250","3068","5471","1938.4","2031.22","102","10226","1790","1841"
"1992","indirect migration background","Female","802.36","665","113","238","445","1176","1432","1738","693.88","910.84","0","4090","614","997"
"1992","indirect migration background","Male","1423.57","1415.48","123","383","512","2045","2556","3426","1238.07","1609.07","184","7669","1113","1534"
"1992","no migration background","Female","1205.14","1074","2740","312","716","1585","2096","3579","1178.84","1231.44","0","12782","971","1023"
"1992","no migration background","Male","2030.85","1860","3546","818","1309","2546","3300","5952","1993.03","2068.67","0","17384","1636","1728"
"1993","direct migration background","Female","1226.46","1227","578","383","818","1534","1997","3068","1179.19","1273.73","0","4602","1176","1278"
"1993","direct migration background","Male","2195.13","1943","953","1278","1636","2454","3579","6222","2140.75","2249.51","82","10226","1790","1892"
"1993","indirect migration background","Female","922.89","742.14","131","358","491","1329","1636","1943","816.6","1029.18","0","4602","614","1176"
"1993","indirect migration background","Male","1232.23","1023","158","369","504","1790","2556","3323","1083.61","1380.85","199","7669","1022","1432"
"1993","no migration background","Female","1316.91","1227","2678","312","741","1738","2352","3937","1287.1","1346.72","0","14073","1125","1227"
"1993","no migration background","Male","2216.1","1994","3420","926","1483","2659","3579","6238","2171.06","2261.14","0","28121","1790","1841"
"1994","direct migration background","Female","1270.06","1227","525","358","716","1636","2096","3835","1214.66","1325.46","0","5113","1176","1329"
"1994","direct migration background","Male","2237.73","1964.92","844","1278","1585","2475","3272","6911","2164.85","2310.61","0","20452","1841","1943"
"1994","indirect migration background","Female","975.03","814.06","135","358","501","1432","1790","2096","874.48","1075.58","51","3579","767","1186"
"1994","indirect migration background","Male","1380.62","1329","159","440","542","1891","2301","4857","1220.61","1540.63","227","7669","1329","1636"
"1994","no migration background","Female","1396.84","1329","2593","332","818","1841","2403","4090","1361.71","1431.97","0","20452","1227","1278"
"1994","no migration background","Male","2281.9","2045","3326","1023","1583","2761","3704","6391","2237.6","2326.2","0","25565","1892","1943"
"1995","direct migration background","Female","1295.29","1278","598","297","767","1715","2117","3988","1236.22","1354.36","0","8692","1227","1329"
"1995","direct migration background","Male","2232.43","1994.37","964","1232","1585","2556","3367","7037","2104.05","2360.81","0","51128","1892","1943"
"1995","indirect migration background","Female","1019.14","836.63","143","307","460","1432","1892","2812","913.14","1125.14","0","3579","844","1227"
"1995","indirect migration background","Male","1321.22","1176","169","419","534","1892","2505","4193","1158.46","1483.98","153","7669","1125","1636"
"1995","no migration background","Female","1421.83","1361.06","2646","308","818","1889","2505","3835","1386.83","1456.83","0","19429","1278","1329"
"1995","no migration background","Male","2370.78","2096","3365","1061","1611","2914","3935","6546","2322.03","2419.53","0","40903","1943","2020"
"1996","direct migration background","Female","1356.29","1278","566","297","716","1738","2166","5625","1288.7","1423.88","36","8948","1194","1329"
"1996","direct migration background","Male","2246.32","2045","872","1089","1636","2505","3477","7669","2187.33","2305.31","20","8181","1943","2045"
"1996","indirect migration background","Female","1065.35","1026.5","145","307","495","1534","1943","2147","961.96","1168.74","26","3227","920","1380"
"1996","indirect migration background","Male","1877.13","1227","175","460","614","2045","2812","20452","1611.24","2143.02","51","20452","1242","1687"
"1996","no migration background","Female","1506.27","1457","2604","383","869","2025","2597","4065","1471.9","1540.64","51","12782","1329","1432"
"1996","no migration background","Male","2521.13","2199","3295","1125","1662","3017","4090","7158","2464.81","2577.45","61","44617","2045","2096"
"1997","direct migration background","Female","1333.7","1329","507","304","767","1687","2250","3835","1263.92","1403.48","56","8692","1227","1380"
"1997","direct migration background","Male","2367.74","2045","820","1227","1703","2632","3835","8254","2301.62","2433.86","213","10226","1994","2045"
"1997","indirect migration background","Female","995.3","875.66","161","332","536","1380","1738","2556","895.83","1094.77","46","3784","665","1074"
"1997","indirect migration background","Male","1811.25","1534","193","378","532","2352","2690","18151","1595.06","2027.44","19","18151","1457","1749"
"1997","no migration background","Female","1541.19","1483","2552","341","884","2045","2659","4694","1505.25","1577.13","25","12782","1380","1469"
"1997","no migration background","Male","2498.42","2301","3197","1078","1687","3068","4090","6784","2450.32","2546.52","61","25565","2094","2166"
"1998","direct migration background","Female","1399.69","1294.77","494","317","767","1790","2349","4602","1322.52","1476.86","0","8692","1227","1406"
"1998","direct migration background","Male","2392.39","2045","790","1278","1696","2659","4090","7669","2315.86","2468.92","0","12215","2045","2096"
"1998","indirect migration background","Female","1124.79","1136.54","167","312","537","1611","1840","3404","1017.86","1231.72","51","3579","818","1329"
"1998","indirect migration background","Male","1812.39","1688.2","191","358","562","2403","3068","14316","1606.52","2018.26","0","14316","1534","1892"
"1998","no migration background","Female","1577.4","1534","2872","332","920","2096","2721","4090","1543.2","1611.6","0","15339","1432","1523"
"1998","no migration background","Male","2508.01","2301","3644","1023","1636","3068","4193","7465","2464.04","2551.98","0","15339","2121","2199"
"1999","direct migration background","Female","1383.36","1380","464","317","767","1789","2301","4007","1308.13","1458.59","75","7669","1227","1380"
