"year","pgisced97","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","general elemantary","Female","659.55","614","806","194","292","921","1221","1994","631.06","688.04","0","2914","639","726"
"1984","general elemantary","Male","1042.96","1125","838","257","460","1432","1687","2454","1005.86","1080.06","0","5113","1176","1227"
"1984","higher education","Female","1424.77","1432","166","435","1023","1892","2199","3272","1329.1","1520.44","97","3272","1278","1585"
"1984","higher education","Male","2502.65","2454","457","1176","1841","3068","3582","6647","2382.29","2623.01","0","11248","2301","2531"
"1984","higher vocational","Female","1123.98","1108.76","149","281","741","1432","1738","3221","1010.95","1237.01","0","6135","1023","1227"
"1984","higher vocational","Male","1949.57","1850.85","306","1227","1534","2199","2761","5113","1854","2045.14","179","9172","1790","1943"
"1984","in school","Female","","","","","","","","","","","","","",""
"1984","in school","Male","","","","","","","","","","","","","",""
"1984","inadequately","Female","849.61","920","251","255","665","1074","1278","1534","808.58","890.64","0","1790","869","966"
"1984","inadequately","Male","1189.13","1278","347","292","971","1483","1687","2045","1143.27","1234.99","56","6135","1278","1352"
"1984","middle vocational","Female","902.67","869","1212","230","536","1176","1534","2556","874.4","930.94","0","4466","818","920"
"1984","middle vocational","Male","1581.78","1465.56","2376","966","1227","1790","2247","4587","1547.47","1616.09","0","16873","1432","1483"
"1984","vocational + Abi","Female","1080.85","1173.28","74","349","707","1432","1610","2812","964.35","1197.35","51","2812","869","1176"
"1984","vocational + Abi","Male","1832.8","1636","139","926","1176","2147","3017","7561","1691.86","1973.74","153","7561","1380","1636"
"1985","general elemantary","Female","687.63","614","742","194","307","1023","1278","1841","657.37","717.89","0","2812","665","767"
"1985","general elemantary","Male","1059.39","1176","750","256","399","1432","1738","2659","1014.84","1103.94","0","9368","1176","1271"
"1985","higher education","Female","1508.39","1534.46","166","409","1125","1963","2301","3323","1403.08","1613.7","85","3863","1324","1651"
"1985","higher education","Male","2497.56","2454","428","1166","1848","3068","3656","6135","2387.28","2607.84","71","7950","2301","2556"
"1985","higher vocational","Female","1102.77","1118.12","141","205","718","1432","1738","2863","1001.34","1204.2","0","2914","961","1176"
"1985","higher vocational","Male","1947.92","1892","288","1176","1534","2301","2710","4168","1864.29","2031.55","102","5880","1790","2041"
"1985","in school","Female","","","","","","","","","","","","","",""
"1985","in school","Male","","","","","","","","","","","","","",""
"1985","inadequately","Female","863.7","920","204","199","716","1125","1227","1534","817.97","909.43","31","2045","920","1023"
"1985","inadequately","Male","1152.73","1177.79","270","281","920","1432","1738","2556","1103.77","1201.69","77","2990","1278","1380"
"1985","middle vocational","Female","923.42","920","1163","256","562","1227","1534","2379","894.97","951.87","0","4090","859","920"
"1985","middle vocational","Male","1631.09","1511.3","2118","997","1227","1841","2334","4346","1594.92","1667.26","0","20452","1432","1514"
"1985","vocational + Abi","Female","1188.93","1278.73","70","252","869","1483","1790","2556","1060.52","1317.34","102","2556","971","1294"
"1985","vocational + Abi","Male","1647.11","1457","120","869","1143","2033","2403","5701","1504.31","1789.91","266","5701","1329","1585"
"1986","general elemantary","Female","727.58","668.77","716","205","332","1023","1329","1939","694.75","760.41","0","3088","665","818"
"1986","general elemantary","Male","1070.58","1176","731","281","368","1509","1790","2547","1028.02","1113.14","0","5113","1227","1278"
"1986","higher education","Female","1665.38","1608.94","156","716","1278","2122","2454","3609","1551.31","1779.45","92","5113","1432","1687"
"1986","higher education","Male","2668.9","2556","431","1353","1994","3139","4030","6902","2540.37","2797.43","0","12782","2452","2556"
"1986","higher vocational","Female","1162","1125","134","355","741","1459","1687","4084","1044.87","1279.13","58","4421","971","1227"
"1986","higher vocational","Male","2009.14","1943","261","1158","1534","2437","3020","4090","1919.98","2098.3","199","5117","1820","1994"
"1986","in school","Female","","","","","","","","","","","","","",""
