"year","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Female","885.69","844","2673","206","460","1176","1534","2556","866.05","905.33","0","6135","839","870"
"1984","Male","1646.08","1508","4489","798","1176","1943","2556","5113","1619.21","1672.95","0","16873","1432","1467"
"1985","Female","914.46","869","2514","212","508","1241","1585","2556","893.96","934.96","0","4090","869","920"
"1985","Male","1672.26","1534","4015","767","1205","2017","2657","5113","1644.35","1700.17","0","20452","1432","1483"
"1986","Female","968.04","920","2434","230","511","1289","1687","2812","944.41","991.67","0","11248","895","920"
"1986","Male","1722.37","1535.55","3875","818","1227","2045","2761","5113","1693.3","1751.44","0","16361","1483","1534"
"1987","Female","977.36","920","2457","221","511","1308","1733","2863","952.81","1001.91","0","12782","919","959"
"1987","Male","1751.71","1611","3840","767","1265","2057","2825","5113","1721.15","1782.27","0","15339","1534","1572"
"1988","Female","1037.13","971","2359","220","511","1431","1790","3068","1008.41","1065.85","0","10159","920","971"
"1988","Male","1829.29","1636","3629","896","1329","2183","2965","5113","1797.79","1860.79","0","13331","1585","1636"
"1989","Female","1085.89","1051.49","2343","255","577","1432","1841","3170","1059.5","1112.28","0","9382","997","1040"
"1989","Male","1912.93","1738","3537","1005","1380","2275","3017","5624","1878.02","1947.84","0","23008","1636","1687"
"1990","Female","954.11","782","3961","256","454","1329","1829","2965","933.57","974.65","0","12782","639","665"
"1990","Male","1686.64","1585","5245","511","818","2147","2965","5113","1657.64","1715.64","0","25565","1380","1432"
"1991","Female","1043.57","895","3723","281","562","1432","1892","3119","1023.56","1063.58","0","12782","805","830"
"1991","Male","1825.6","1687","5004","639","1056","2301","3068","5394","1795.8","1855.4","0","17043","1534","1575"
"1992","Female","1194.85","1077.97","3442","321","706","1576","2075","3579","1172.31","1217.39","0","12782","1023","1061"
"1992","Male","2018.11","1841","4703","818","1329","2481","3242","5688","1987.37","2048.85","0","17384","1692","1760"
"1993","Female","1299.52","1227","3387","317","741","1687","2301","3705","1274.21","1324.83","0","14073","1125","1222"
"1993","Male","2196.35","1984.39","4531","920","1483","2630","3579","6222","2159.9","2232.8","0","28121","1790","1841"
"1994","Female","1373.64","1278","3253","346","767","1790","2352","4090","1343.88","1403.4","0","20452","1227","1278"
"1994","Male","2258.58","2045","4329","1023","1542","2659","3630","6420","2221.08","2296.08","0","25565","1875","1943"
"1995","Female","1397.74","1329","3387","299","767","1841","2454","3988","1368.06","1427.42","0","19429","1273","1317"
"1995","Male","2331.74","2045","4498","1023","1585","2812","3835","6546","2285.49","2377.99","0","51128","1943","1968"
"1996","Female","1478.26","1432","3315","358","824","1962","2556","4295","1448.46","1508.06","26","12782","1311","1380"
"1996","Male","2471.16","2147","4342","1074","1636","2914","4090","7669","2425.34","2516.98","20","44617","2014","2045"
"1997","Female","1499.95","1432","3220","323","869","1994","2556","4346","1468.81","1531.09","25","12782","1329","1432"
"1997","Male","2463.77","2239.36","4210","1074","1662","3017","4090","7158","2423.55","2503.99","19","25565","2045","2096"
"1998","Female","1540.82","1483","3533","322","880","2045","2665","4193","1510.43","1571.21","0","15339","1391","1457"
"1998","Male","2474.17","2250","4625","971","1636","3068","4141","7567","2436.02","2512.32","0","15339","2066","2147"
"1999","Female","1539.96","1483","3560","321","818","2045","2710","4545","1508.88","1571.04","0","15065","1375","1432"
"1999","Male","2533.17","2253.29","4529","920","1636","3068","4269","7516","2491.7","2574.64","0","33234","2096","2147"
"2000","Female","1513.17","1380","6140","322","728","2045","2684","4738","1486.79","1539.55","0","14827","1329","1380"
"2000","Male","2604.69","2301","7705","971","1687","3119","4346","8201","2568.42","2640.96","0","25565","2296","2301"
"2001","Female","1534.3","1427.41","5702","322","716","2147","2812","4719","1508.21","1560.39","0","9817","1329","1426"
"2001","Male","2626.85","2352","6930","920","1738","3221","4397","8487","2588.94","2664.76","0","20452","2301","2352"
"2002","Female","1591.33","1400","6165","322","699","2170","2987","5500","1536.37","1646.29","0","132569","1450","1500"
"2002","Male","2767.74","2454","7339","930","1750","3300","4700","10000","2703.99","2831.49","0","82962","2500","2600"
"2003","Female","1625.2","1428","5914","325","715","2222","3000","5540","1588.27","1662.13","0","40000","1500","1534"
"2003","Male","2871.13","2500","6878","850","1800","3470","4938","10000","2806.02","2936.24","0","98107","2600","2692"
"2004","Female","1621.36","1450","5766","345","700","2201","3000","5400","1581.82","1660.9","0","54000","1500","1541"
"2004","Male","2911.8","2515","6638","800","1800","3500","5000","10519","2849.55","2974.05","0","60000","2600","2700"
"2005","Female","1657.69","1420","5528","325","705","2300","3156","5819","1619.88","1695.5","0","28000","1463","1500"
"2005","Male","2846.32","2500","6221","745","1800","3470","4900","10000","2786.17","2906.47","0","40000","2600","2700"
"2006","Female","1671.59","1450","5866","345","729","2300","3200","5871","1635.12","1708.06","0","25000","1477","1515"
"2006","Male","2882.02","2500","6521","736","1700","3500","5000","11500","2808.81","2955.23","0","115926","2600","2700"
"2007","Female","1680.39","1450","5608","350","720","2300","3200","6000","1642.35","1718.43","0","27000","1483","1520"
"2007","Male","2928.2","2510","6202","749","1800","3500","5000","11000","2861.98","2994.42","0","50000","2600","2700"
"2008","Female","1688.15","1469.53","5368","340","700","2350","3200","5734","1649.51","1726.79","0","25000","1500","1570"
"2008","Male","2946.59","2598.21","5820","750","1800","3512","5000","12000","2881.23","3011.95","0","35288","2600","2700"
"2009","Female","1763.65","1549.97","5067","360","750","2440","3300","6317","1721.28","1806.02","0","30000","1531","1600"
"2009","Male","2984.02","2600","5361","700","1800","3600","5100","12000","2915.61","3052.43","0","46856","2700","2800"
"2010","Female","1797.19","1500","6720","350","768","2500","3340","6450","1760.21","1834.17","0","35000","1400","1481"
"2010","Male","2987.05","2600","7393","670","1800","3600","5200","12000","2927.18","3046.92","0","40000","2700","2800"
"2011","Female","1816.65","1600","8501","395","800","2500","3500","6100","1786.16","1847.14","0","20000","1400","1500"
"2011","Male","3032.16","2700","8529","793","1800","3769","5300","10000","2975.57","3088.75","0","70000","2750","2800"
"2012","Female","1860.46","1600","8471","383","800","2542","3600","6500","1827.37","1893.55","0","42000","1462","1500"
"2012","Male","3040.89","2691.5","8296","717","1800","3800","5500","10000","2981.65","3100.13","0","65000","2750","2800"
"2013","Female","1884.9","1600","9668","400","800","2600","3600","7035","1855.22","1914.58","0","27000","1400","1500"
"2013","Male","3095.26","2700","9454","700","1800","3900","5500","10250","3041.23","3149.29","0","65000","2600","2700"
"2014","Female","1917.48","1622.77","8552","399","800","2600","3700","7000","1884.52","1950.44","0","27000","1500","1520"
"2014","Male","3141.67","2800","8305","702","1800","4000","5500","10600","3082.99","3200.35","0","50000","2750","2800"
"2015","Female","2018.96","1750","8402","400","900","2743","3800","7100","1984.08","2053.84","0","40000","1500","1600"
"2015","Male","3217.28","2800","8231","670","1800","4000","5900","11000","3156.76","3277.8","0","56500","2800","2800"
"2016","Female","2071.33","1800","7957","420","900","2800","3822","7500","2034.13","2108.53","0","32000","1600","1650"
"2016","Male","3232.38","2850","7844","605","1800","4000","5800","11900","3169.64","3295.12","0","57000","2700","2800"
"2017","Female","2105.05","1800","8935","420","900","2892","4000","7223","2069.99","2140.11","0","35000","1650","1725"
"2017","Male","3278.39","2900","9125","650","1850","4195","6000","11000","3222.58","3334.2","0","61000","2700","2800"
"2018","Female","2185.64","1919.1","8646","443","1000","3000","4103","7000","2150.52","2220.76","0","32000","1708","1800"
"2018","Male","3377.28","3000","8989","660","1900","4300","6000","12000","3317.56","3437","0","70000","2700","2800"
"2019","Female","2281.5","2040","8720","450","1100","3100","4300","7500","2229.46","2333.54","0","120000","1901","2000"
"2019","Male","3695.66","3100","9708","761","2000","4500","6250","14000","3133.98","4257.34","0","2700000","3000","3100"
