"year","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","general elemantary","829.96","792","1644","205","343","1227","1534","2301","804.42","855.5","0","5113","920","971"
"1984","higher education","2222.28","2096","623","855","1515","2751","3410","6180","2123.01","2321.55","0","11248","1994","2186"
"1984","higher vocational","1686.97","1585","455","716","1227","2045","2556","5113","1604.78","1769.16","0","9172","1534","1636"
"1984","in school","","","","","","","","","","","","","",""
"1984","inadequately","1062.24","1074","598","281","852","1377","1585","2045","1026.33","1098.15","0","6135","1113","1176"
"1984","middle vocational","1344.54","1278","3588","500","920","1636","2045","3835","1317.86","1371.22","0","16873","1278","1285"
"1984","vocational + Abi","1529.51","1380","213","629","1023","1892","2301","4602","1421.96","1637.06","51","7561","1227","1440"
"1985","general elemantary","848.81","816.94","1492","212","332","1240","1534","2301","820","877.62","0","9368","920","1023"
"1985","higher education","2219.44","2096","594","868","1534","2812","3477","6001","2127.05","2311.83","71","7950","2045","2173"
"1985","higher vocational","1675.53","1635.08","429","718","1176","2117","2556","4090","1599.58","1751.48","0","5880","1534","1738"
"1985","in school","","","","","","","","","","","","","",""
"1985","inadequately","1041.27","1074","474","266","818","1284","1598","2260","1002.41","1080.13","31","2990","1125","1202"
"1985","middle vocational","1367.98","1280.09","3281","511","920","1672","2116","4090","1340.26","1395.7","0","20452","1278","1329"
"1985","vocational + Abi","1455.12","1380","190","327","1023","1765","2147","4090","1348.56","1561.68","102","5701","1278","1432"
"1986","general elemantary","875.88","837.26","1447","228","352","1278","1616","2301","846.96","904.8","0","5113","946","1023"
"1986","higher education","2404.18","2301","587","1125","1636","2931","3656","6135","2298.01","2510.35","0","12782","2134","2345"
"1986","higher vocational","1723.94","1636","395","766","1176","2199","2803","4090","1642.54","1805.34","58","5117","1534","1738"
"1986","in school","","","","","","","","","","","","","",""
"1986","inadequately","1073.81","1125","439","245","767","1380","1636","3323","1029.46","1118.16","36","3528","1125","1227"
"1986","middle vocational","1402.48","1349.22","3171","511","971","1697","2148","3988","1374.81","1430.15","0","16361","1329","1380"
"1986","vocational + Abi","1529.13","1432","192","665","1125","1846","2316","4039","1426.98","1631.28","15","6187","1319","1483"
"1987","general elemantary","904.81","869","1439","220","366","1294","1636","2546","874.95","934.67","0","5113","971","1048"
"1987","higher education","2411.7","2301","583","890","1651","3017","3689","7669","2299.72","2523.68","51","12782","2195","2352"
"1987","higher vocational","1751.55","1687","379","763","1227","2301","2723","3937","1668.22","1834.88","78","5113","1566","1790"
"1987","in school","","","","","","","","","","","","","",""
"1987","inadequately","1111.62","1176","421","210","767","1483","1738","2556","1053.96","1169.28","31","7936","1125","1227"
"1987","middle vocational","1425.23","1380","3194","511","978","1738","2168","4090","1397.6","1452.86","0","12782","1329","1388"
"1987","vocational + Abi","1440.79","1400.84","191","273","920","1943","2456","3835","1332.98","1548.6","36","5880","1278","1483"
"1988","general elemantary","965.43","920","1403","228","366","1380","1687","2812","929.79","1001.07","0","10159","971","1104"
"1988","higher education","2527.21","2394.73","555","1045","1764","3068","3835","7732","2409.41","2645.01","0","12782","2250","2454"
"1988","higher vocational","1831.17","1738","372","767","1249","2301","2863","4193","1720.09","1942.25","0","13294","1636","1825"
"1988","in school","","","","","","","","","","","","","",""
"1988","inadequately","1179.79","1227","374","247","920","1534","1790","2301","1120.79","1238.79","0","5113","1176","1278"
"1988","middle vocational","1477.12","1432","3001","511","1030","1790","2301","4205","1448.34","1505.9","0","13331","1414","1432"
"1988","vocational + Abi","1435.89","1432","183","383","869","1892","2556","3579","1325.99","1545.79","0","4653","1329","1585"
"1989","general elemantary","991.53","1021.63","1355","231","383","1432","1790","2761","957.72","1025.34","0","5113","1053","1150"
"1989","higher education","2655.77","2454","555","1176","1841","3161","4090","8590","2512.73","2798.81","0","23008","2352","2556"
"1989","higher vocational","1861.13","1738","357","793","1278","2352","3017","3947","1761.63","1960.63","0","10226","1651","1892"
"1989","in school","","","","","","","","","","","","","",""
"1989","inadequately","1209.1","1227","346","330","920","1549","1841","2454","1153.17","1265.03","0","4090","1227","1329"
"1989","middle vocational","1538.61","1483","2978","562","1096","1841","2352","4499","1509.13","1568.09","0","10226","1432","1483"
"1989","vocational + Abi","1577.85","1507.63","189","736","1125","1994","2556","3579","1478.59","1677.11","179","5113","1432","1636"
"1990","general elemantary","960.08","818","1567","210","362","1432","1826","3067","920.68","999.48","0","9715","869","1023"
"1990","higher education","1936.74","1636","1404","562","767","2737","3579","7311","1857.07","2016.41","0","25565","859","920"
"1990","higher vocational","1678.87","1534","572","540","818","2250","3013","4090","1595.74","1762","128","9718","1023","1380"
"1990","in school","","","","","","","","","","","","","",""
"1990","inadequately","1244.91","1329","349","383","920","1614","1841","2556","1188.63","1301.19","0","4295","1278","1421"
"1990","middle vocational","1319.46","1278","4952","404","614","1790","2301","4090","1296.92","1342","0","10226","818","920"
"1990","vocational + Abi","1407.94","1380","252","460","765","1841","2454","3579","1314.57","1501.31","102","3579","1278","1432"
"1991","general elemantary","1036.23","920","1472","251","414","1531","1943","3068","999.17","1073.29","0","6647","971","1125"
"1991","higher education","2126.96","1771.46","1323","690","931","2892","3886","8181","2047.23","2206.69","0","17043","1125","1278"
"1991","higher vocational","1776.62","1636","558","669","920","2301","3068","5113","1695.33","1857.91","0","5113","1329","1534"
"1991","in school","","","","","","","","","","","","","",""
"1991","inadequately","1299.65","1278","352","456","1017","1687","1943","2659","1236.82","1362.48","179","4602","1253","1432"
"1991","middle vocational","1427.04","1380","4611","475","764","1892","2454","4090","1402.6","1451.48","0","15339","1074","1176"
