"year","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","1276.19","1202","1293","302","716","1631","2147","3592","1224.09","1328.29","0","20452","1176","1227"
"1985","Urban Area","1396.92","1279","5236","332","868","1790","2390","4346","1374.69","1419.15","0","9715","1278","1278"
"1986","Rural Area","1263.15","1227","1270","281","716","1687","2250","3579","1221.9","1304.4","0","5113","1176","1278"
"1986","Urban Area","1469.81","1369.81","5039","375","920","1800","2556","4620","1444.65","1494.97","0","16361","1307","1329"
"1987","Rural Area","1286.5","1227","1302","281","665","1687","2301","3659","1239.06","1333.94","0","12782","1190","1278"
"1987","Urban Area","1486.97","1381","4995","366","920","1841","2556","5011","1461.22","1512.72","0","15339","1329","1380"
"1988","Rural Area","1340.16","1278","1201","286","742","1790","2403","4090","1293.82","1386.5","0","7732","1253","1329"
"1988","Urban Area","1557.47","1432","4787","389","972","1942","2590","5113","1529.83","1585.11","0","13331","1380","1432"
"1989","Rural Area","1430.67","1373.07","1159","351","869","1841","2505","4090","1383.99","1477.35","0","7158","1291","1380"
"1989","Urban Area","1617.26","1515.7","4721","409","1023","1994","2667","5113","1587.77","1646.75","0","23008","1432","1483"
"1990","Rural Area","1043.56","741","3333","307","486","1483","2079","3609","1020.55","1066.57","0","10226","614","654"
"1990","Urban Area","1536.2","1432","5804","409","767","1994","2689","4704","1509.03","1563.37","0","25565","1278","1329"
"1991","Rural Area","1193.92","925","3009","364","614","1636","2301","3835","1167.91","1219.93","0","10226","818","854"
"1991","Urban Area","1636.18","1534","5656","460","869","2061","2812","5120","1608.84","1663.52","0","17043","1380","1452"
"1992","Rural Area","1412.4","1228.35","2669","460","818","1841","2505","4090","1382.09","1442.71","0","15339","1107","1176"
"1992","Urban Area","1791.31","1658.66","5395","532","1050","2289","3068","5520","1763.07","1819.55","0","17384","1534","1585"
"1993","Rural Area","1538.58","1404.89","2609","463","920","1892","2608","4857","1501.66","1575.5","0","20452","1278","1342"
"1993","Urban Area","1937.39","1790","5309","562","1176","2454","3323","5880","1905.3","1969.48","0","28121","1636","1687"
"1994","Rural Area","1624.95","1534","2528","486","1023","2045","2659","5113","1585.96","1663.94","0","20452","1432","1483"
