"year","age_gr","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2016","35-65 y.","no migration background","3103.47","2730.12","8369","812","1678","3907","5500","3047.42","3159.52","2577","2670"
"2016","66 and older","direct migration background","1116.44","347.4","31","160","200","600","3645","254.94","1977.94","350","1200"
"2016","66 and older","indirect migration background","","","","","","","","","","",""
"2016","66 and older","no migration background","1753.71","450","311","150","350","2000","4000","1299.54","2207.88","450","600"
"2017","16-34 y.","direct migration background","2057.25","1896.57","1343","445","813","2700","4000","1985.95","2128.55","1200","1400"
"2017","16-34 y.","indirect migration background","1739.53","1486.31","606","247","600","2500","3400","1632.22","1846.84","1004","1350"
"2017","16-34 y.","no migration background","2006.22","1950","2895","400","820","2865","3900","1956.93","2055.51","1600","1800"
"2017","35-65 y.","direct migration background","2559.19","2250.04","2515","450","1200","3200","4800","2481.99","2636.39","1900","2000"
"2017","35-65 y.","indirect migration background","3383.95","2900","599","960","1900","4372","6000","3143.77","3624.13","2400","2750"
"2017","35-65 y.","no migration background","3187.9","2800","9689","850","1700","4035","5800","3136.58","3239.22","2635","2739"
"2017","66 and older","direct migration background","1011.7","450","44","80","200","800","3000","377.37","1646.03","440","800"
"2017","66 and older","indirect migration background","","","","","","","","","","",""
"2017","66 and older","no migration background","1546.59","450","368","200","380","1900","4000","1229.68","1863.5","450","569"
"2018","16-34 y.","direct migration background","2000.81","1799.23","1427","450","900","2800","3777","1936.58","2065.04","1300","1500"
"2018","16-34 y.","indirect migration background","1753.15","1533.43","622","290","650","2600","3600","1651.89","1854.41","1080","1400"
"2018","16-34 y.","no migration background","2177.14","2100","2844","400","900","3000","4099","2121.58","2232.7","1600","1800"
"2018","35-65 y.","direct migration background","2712.41","2358.49","2565","510","1400","3300","5000","2635.89","2788.93","1900","2000"
"2018","35-65 y.","indirect migration background","3491.43","3000","601","600","1800","4500","6200","3250.5","3732.36","2400","2800"
"2018","35-65 y.","no migration background","3269.37","2900","9138","900","1800","4199","5965","3213.89","3324.85","2700","2800"
"2018","66 and older","direct migration background","1565.66","440.6","50","100","200","1630","5910","998.6","2132.72","450","1500"
"2018","66 and older","indirect migration background","","","","","","","","","","",""
"2018","66 and older","no migration background","1537.06","450","387","150","300","1958","4000","1186.88","1887.24","450","560"
"2019","16-34 y.","direct migration background","2167.02","2000","1274","450","900","3000","4280","2099.67","2234.37","1492","1600"
"2019","16-34 y.","indirect migration background","1997.42","1800","569","450","850","2900","3900","1845.55","2149.29","1200","1602"
"2019","16-34 y.","no migration background","2243.14","2100","2733","449","1000","3000","4200","2172.62","2313.66","1750","1929"
"2019","35-65 y.","direct migration background","2776.29","2400","2512","450","1400","3500","5000","2661.49","2891.09","2000","2180"
"2019","35-65 y.","indirect migration background","3805.01","3200","683","1000","2140","4600","6500","3222.25","4387.77","3000","3375"
"2019","35-65 y.","no migration background","3529.39","3000","9994","980","1900","4300","6000","2985.07","4073.71","3000","3200"
"2019","66 and older","direct migration background","1418.05","450","56","420","450","1118","4200","431.46","2404.64","600","2000"
"2019","66 and older","indirect migration background","","","","","","","","","","",""
"2019","66 and older","no migration background","2200.19","700","603","240","435","3000","5900","1856.11","2544.27","1200","2000"
