"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1987","16-34 y.","higher education","1936.76","1777.12","177","802","1212","2301","3068","7669","1736.38","2137.14","153","12782","1611","1965"
"1987","16-34 y.","higher vocational","1401.49","1380","133","460","1023","1748","2301","3068","1293.57","1509.41","78","3068","1236","1432"
"1987","16-34 y.","in school","","","","","","","","","","","","","",""
"1987","16-34 y.","inadequately","920.69","973.66","104","72","313","1329","1738","2352","806.31","1035.07","31","4029","915","1166"
"1987","16-34 y.","middle vocational","1209.56","1221.08","1405","411","877","1534","1790","3068","1178.98","1240.14","0","7056","1176","1227"
"1987","16-34 y.","vocational + Abi","1304.2","1329","109","273","920","1687","2173","2659","1188.25","1420.15","36","2659","1176","1432"
"1987","35-65 y.","general elemantary","1041.47","1031.81","736","220","553","1432","1778","2863","1000.02","1082.92","0","5113","1144","1227"
"1987","35-65 y.","higher education","2603.58","2556","398","1176","1937","3119","3874","7669","2471.13","2736.03","51","11913","2403","2562"
"1987","35-65 y.","higher vocational","1937.55","1892","243","818","1394","2505","3068","4039","1830.62","2044.48","115","5113","1790","2045"
"1987","35-65 y.","in school","","","","","","","","","","","","","",""
"1987","35-65 y.","inadequately","1252.91","1255.76","316","665","988","1534","1764","2659","1187.21","1318.61","102","7936","1176","1278"
"1987","35-65 y.","middle vocational","1596.86","1534","1778","614","1125","1892","2454","5011","1555.38","1638.34","0","12782","1531","1538"
"1987","35-65 y.","vocational + Abi","1686.74","1513.49","81","210","1125","2352","2659","5880","1488.49","1884.99","69","5880","1329","1586"
"1987","66 and older","general elemantary","","","","","","","","","","","","","",""
"1987","66 and older","higher education","","","","","","","","","","","","","",""
"1987","66 and older","higher vocational","","","","","","","","","","","","","",""
"1987","66 and older","in school","","","","","","","","","","","","","",""
"1987","66 and older","inadequately","","","","","","","","","","","","","",""
"1987","66 and older","middle vocational","","","","","","","","","","","","","",""
"1987","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1988","16-34 y.","general elemantary","791.98","716","690","235","332","1176","1534","2556","747.71","836.25","0","5137","690","898"
"1988","16-34 y.","higher education","2048.84","1976.67","165","887","1432","2403","3119","7669","1867.25","2230.43","0","9203","1790","2055"
"1988","16-34 y.","higher vocational","1577","1404.07","124","665","1125","1790","2556","5113","1344.3","1809.7","0","13294","1315","1529"
"1988","16-34 y.","in school","","","","","","","","","","","","","",""
"1988","16-34 y.","inadequately","1036.56","1125","96","199","475","1483","1636","2301","930.29","1142.83","0","2301","971","1227"
"1988","16-34 y.","middle vocational","1262.18","1278","1302","460","938","1585","1892","2761","1231.25","1293.11","0","5113","1227","1278"
"1988","16-34 y.","vocational + Abi","1279.72","1278","113","383","767","1687","2099","3068","1160.22","1399.22","0","3068","1187","1483"
"1988","35-65 y.","general elemantary","1122.26","1151.26","704","245","554","1534","1800","2935","1069.46","1175.06","0","10159","1227","1278"
"1988","35-65 y.","higher education","2724.91","2556","379","1278","2045","3272","4090","7669","2583.23","2866.59","0","12782","2454","2710"
"1988","35-65 y.","higher vocational","1961.36","1942.31","245","877","1416","2556","3068","4193","1843.96","2078.76","0","7158","1825","2045"
"1988","35-65 y.","in school","","","","","","","","","","","","","",""
"1988","35-65 y.","inadequately","1283.46","1278","278","614","1023","1534","1857","2353","1214.34","1352.58","128","5113","1227","1329"
"1988","35-65 y.","middle vocational","1642.07","1585","1688","614","1176","1943","2556","4908","1598.69","1685.45","0","13331","1534","1607"
"1988","35-65 y.","vocational + Abi","1788.63","1738","69","539","1023","2296","2812","4653","1584.01","1993.25","82","4653","1460","1994"
"1988","66 and older","general elemantary","","","","","","","","","","","","","",""
"1988","66 and older","higher education","","","","","","","","","","","","","",""
"1988","66 and older","higher vocational","","","","","","","","","","","","","",""
"1988","66 and older","in school","","","","","","","","","","","","","",""
"1988","66 and older","inadequately","","","","","","","","","","","","","",""
"1988","66 and older","middle vocational","","","","","","","","","","","","","",""
"1988","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1989","16-34 y.","general elemantary","820.06","716","674","230","339","1227","1580","2199","774.3","865.82","0","4346","817","1005"
