"year","e11103","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Full Time","East Germany","","","","","","","","","","","","","",""
"1984","Full Time","West Germany","1541.79","1431","5465","764","1074","1841","2457","4602","1519.86","1563.72","0","14443","1329","1380"
"1984","Not Working","East Germany","","","","","","","","","","","","","",""
"1984","Not Working","West Germany","779.79","709.8","183","150","291","1048","1432","3272","687.4","872.18","0","4582","618","792"
"1984","Part Time","East Germany","","","","","","","","","","","","","",""
"1984","Part Time","West Germany","813.85","614","1514","199","296","1099","1534","3068","774.03","853.67","0","16873","631","707"
"1985","Full Time","East Germany","","","","","","","","","","","","","",""
"1985","Full Time","West Germany","1574.03","1432","4828","767","1125","1892","2556","4602","1550.7","1597.36","0","20452","1373","1398"
"1985","Not Working","East Germany","","","","","","","","","","","","","",""
"1985","Not Working","West Germany","714.9","542.31","183","153","222","1023","1478","2761","629.63","800.17","0","2917","511","818"
"1985","Part Time","East Germany","","","","","","","","","","","","","",""
"1985","Part Time","West Germany","836.73","675","1518","198","311","1125","1585","3068","800.63","872.83","0","9368","675","767"
"1986","Full Time","East Germany","","","","","","","","","","","","","",""
"1986","Full Time","West Germany","1632.02","1483","4726","787","1125","1943","2556","5113","1607.04","1657","0","16361","1432","1432"
"1986","Not Working","East Germany","","","","","","","","","","","","","",""
"1986","Not Working","West Germany","792.03","767","153","112","283","1125","1483","2711","703.51","880.55","0","2711","614","916"
"1986","Part Time","East Germany","","","","","","","","","","","","","",""
"1986","Part Time","West Germany","827.74","665","1430","205","317","1150","1687","3068","794.22","861.26","0","8692","665","734"
"1987","Full Time","East Germany","","","","","","","","","","","","","",""
"1987","Full Time","West Germany","1661.82","1534","4760","767","1176","1946","2659","5103","1635.81","1687.83","0","15339","1432","1483"
"1987","Not Working","East Germany","","","","","","","","","","","","","",""
"1987","Not Working","West Germany","748.82","676.29","107","153","220","1023","1534","2531","639.02","858.62","26","3100","409","759"
"1987","Part Time","East Germany","","","","","","","","","","","","","",""
"1987","Part Time","West Germany","787.17","665","1430","199","314","1073","1534","2761","755.42","818.92","0","7056","665","716"
"1988","Full Time","East Germany","","","","","","","","","","","","","",""
"1988","Full Time","West Germany","1732.66","1581.32","4471","818","1227","2045","2761","5113","1705.15","1760.17","0","13331","1508","1534"
"1988","Not Working","East Germany","","","","","","","","","","","","","",""
"1988","Not Working","West Germany","794.74","669.92","114","102","261","1176","1687","2557","684.75","904.73","0","2557","511","818"
"1988","Part Time","East Germany","","","","","","","","","","","","","",""
"1988","Part Time","West Germany","877.81","716","1403","205","317","1176","1738","3579","840.89","914.73","0","7158","672","767"
"1989","Full Time","East Germany","","","","","","","","","","","","","",""
"1989","Full Time","West Germany","1807.8","1636","4436","920","1278","2096","2863","5113","1778.81","1836.79","0","23008","1534","1585"
"1989","Not Working","East Germany","","","","","","","","","","","","","",""
"1989","Not Working","West Germany","903.81","767","126","194","332","1245","2045","2761","795.72","1011.9","0","2761","562","920"
"1989","Part Time","East Germany","","","","","","","","","","","","","",""
"1989","Part Time","West Germany","887.09","741.45","1318","215","339","1186","1789","3170","846.94","927.24","0","10226","716","792"
"1990","Full Time","East Germany","","","","","","","","","","","","","",""
"1990","Full Time","West Germany","1880.16","1687","4331","920","1329","2250","2995","5113","1848.79","1911.53","0","25565","1621","1636"
"1990","Not Working","East Germany","","","","","","","","","","","","","",""
"1990","Not Working","West Germany","723.09","560.5","101","81","225","1022","1534","2454","607.92","838.26","0","2454","510","767"
"1990","Part Time","East Germany","","","","","","","","","","","","","",""
"1990","Part Time","West Germany","884.41","764.15","1337","227","373","1240","1790","3068","849.07","919.75","0","5624","716","767"
"1991","Full Time","East Germany","","","","","","","","","","","","","",""
"1991","Full Time","West Germany","1952.78","1790","4338","971","1395","2318","3068","5369","1922.67","1982.89","0","15339","1687","1738"
"1991","Not Working","East Germany","","","","","","","","","","","","","",""
"1991","Not Working","West Germany","942.67","812.22","140","102","291","1534","1943","2757","822.32","1063.02","0","4090","614","971"
"1991","Part Time","East Germany","","","","","","","","","","","","","",""
"1991","Part Time","West Germany","971.32","767","1381","240","383","1228","1892","4090","925.79","1016.85","0","17043","721","818"
"1992","Full Time","East Germany","1117","1023","1948","665","844","1302","1636","2812","1095.16","1138.84","0","6887","1023","1055"
"1992","Full Time","West Germany","2092.64","1892","4297","1074","1534","2505","3226","5624","2061.69","2123.59","0","17384","1790","1841"
"1992","Not Working","East Germany","642.16","546.37","42","219","307","920","1074","1811","508.27","776.05","153","1943","348","818"
"1992","Not Working","West Germany","963.53","828.26","91","137","264","1380","1994","3389","806.48","1120.58","0","3389","511","1023"
"1992","Part Time","East Germany","825.33","767","448","302","512","1023","1329","1943","777.24","873.42","0","7669","752","818"
"1992","Part Time","West Germany","1048.9","869","1319","245","445","1383","2045","3733","1002.15","1095.65","36","10234","818","915"
"1993","Full Time","East Germany","1373.19","1278","1821","767","1023","1636","2045","3579","1339.28","1407.1","0","15339","1276","1291"
"1993","Full Time","West Germany","2241.32","1997","4193","1125","1585","2633","3579","6222","2203.96","2278.68","0","28121","1871","1943"
"1993","Not Working","East Germany","836.57","677.8","74","374","463","1121","1500","2301","714.97","958.17","0","2556","524","961"
"1993","Not Working","West Germany","891.65","712.85","117","109","256","1432","1841","3068","766.91","1016.39","0","3068","511","1023"
"1993","Part Time","East Germany","965.46","920","378","353","614","1227","1642","2552","915.7","1015.22","51","2608","818","920"
"1993","Part Time","West Germany","1131.51","920","1335","256","460","1534","2454","4090","1088.87","1174.15","0","5113","844","920"
"1994","Full Time","East Germany","1526.65","1432","1783","773","1125","1831","2279","3773","1491.48","1561.82","0","11760","1432","1483"
"1994","Full Time","West Germany","2323.44","2045","3946","1227","1636","2710","3681","6391","2283.22","2363.66","0","25565","1943","1994"
"1994","Not Working","East Germany","892.29","767","50","205","460","1125","1473","4039","702.89","1081.69","0","4039","680","971"
"1994","Not Working","West Germany","1001.92","804.95","111","82","376","1543","2060","2736","863.21","1140.63","0","3058","486","971"
"1994","Part Time","East Germany","1047.14","1023","385","358","665","1363","1639","2505","981.19","1113.09","0","7669","841","996"
"1994","Part Time","West Germany","1104.93","965.18","1307","256","460","1483","2085","4090","1061.6","1148.26","0","7669","920","1023"
"1995","Full Time","East Germany","1685.24","1534","1704","920","1227","1943","2531","4244","1626.59","1743.89","0","40903","1534","1557"
"1995","Full Time","West Germany","2391.7","2134.46","4006","1278","1687","2812","3835","6546","2345.19","2438.21","0","51128","1994","2045"
"1995","Not Working","East Germany","840.82","814.94","67","66","443","1253","1483","1923","710.86","970.78","0","1923","620","1023"
"1995","Not Working","West Germany","964.92","823.52","122","153","297","1662","1841","2940","837.14","1092.7","0","3068","537","1023"
"1995","Part Time","East Germany","1001.51","1023","442","307","614","1278","1687","2556","953.58","1049.44","0","2812","895","1023"
"1995","Part Time","West Germany","1245.59","1023","1544","266","511","1636","2505","4602","1196.5","1294.68","0","15339","1002","1074"
"1996","Full Time","East Germany","1719.02","1623.43","1693","920","1278","2036","2597","4448","1681.64","1756.4","179","10226","1534","1636"
"1996","Full Time","West Germany","2568.55","2250","3796","1329","1738","2965","4090","7669","2518.6","2618.5","52","44617","2077","2147"
"1996","Not Working","East Germany","800.16","569.01","48","235","409","1278","1534","2761","632.69","967.63","65","2761","508","1040"
"1996","Not Working","West Germany","1096.9","1023","107","296","461","1789","2045","3068","947.59","1246.21","20","4090","716","1278"
"1996","Part Time","East Germany","1042.11","971","397","273","614","1380","1876","2812","983.35","1100.87","36","3068","869","1029"
"1996","Part Time","West Germany","1259.87","1086.64","1616","297","562","1738","2372","3579","1212.94","1306.8","26","17504","1023","1125"
"1997","Full Time","East Germany","1766.3","1636","1619","895","1262","2087","2717","4346","1715.59","1817.01","61","25565","1585","1662"
"1997","Full Time","West Germany","2540.75","2301","3756","1299","1790","3066","4101","7158","2500.15","2581.35","205","25565","2096","2153"
"1997","Not Working","East Germany","964.16","856.8","47","365","614","1380","1636","2045","811.84","1116.48","162","2449","665","1090"
"1997","Not Working","West Germany","1162.96","1235.6","84","307","511","1614","2026","2710","1013.13","1312.79","82","2710","716","1375"
"1997","Part Time","East Germany","1148.18","1074","411","332","668","1511","1989","2863","1088.22","1208.14","51","3589","1023","1125"
"1997","Part Time","West Germany","1251.3","1063","1513","301","562","1687","2337","4039","1202.71","1299.89","19","18151","1023","1125"
"1998","Full Time","East Germany","1776.55","1636","1666","920","1260","2145","2863","4346","1735.28","1817.82","0","10226","1585","1667"
"1998","Full Time","West Germany","2590.25","2301","4110","1278","1790","3068","4193","7669","2550.38","2630.12","0","15339","2170","2250"
"1998","Not Working","East Germany","1027.44","859.83","32","266","665","1278","1636","2556","791.34","1263.54","82","2556","665","1278"
"1998","Not Working","West Germany","1054.6","847.45","105","179","317","1687","2231","5341","845.35","1263.85","0","5759","562","1324"
"1998","Part Time","East Germany","1125.02","1074.55","469","286","639","1483","1885","3068","1065.94","1184.1","0","3835","993","1125"
"1998","Part Time","West Germany","1322.38","1144","1776","312","567","1829","2505","4141","1277.19","1367.57","0","14316","1074","1207"
"1999","Full Time","East Germany","1817.83","1672","1622","920","1279","2147","2965","4397","1775.53","1860.13","107","11248","1636","1687"
"1999","Full Time","West Germany","2671.55","2352","4023","1329","1797","3094","4359","7669","2627.82","2715.28","0","33234","2203","2301"
"1999","Not Working","East Germany","1108.97","971","33","266","562","1738","1994","2710","879.04","1338.9","0","2710","562","1125"
"1999","Not Working","West Germany","1056.07","904.97","112","60","256","1553","2301","3578","895.18","1216.96","0","4090","562","1074"
"1999","Part Time","East Germany","1149.57","1099","520","291","695","1534","2045","2812","1092.72","1206.42","0","3302","986","1125"
"1999","Part Time","West Germany","1250.15","1054.89","1779","297","435","1790","2553","4090","1206.44","1293.86","0","8692","999","1102"
"2000","Full Time","East Germany","1882.51","1705.54","2442","920","1278","2291","3011","5929","1840.49","1924.53","0","15328","1687","1769"
"2000","Full Time","West Germany","2692.71","2403","7302","1278","1790","3170","4348","8436","2656.15","2729.27","0","25565","2301","2403"
"2000","Not Working","East Germany","937.62","802.16","73","161","358","1227","1790","4242","751.23","1124.01","0","4397","665","1055"
"2000","Not Working","West Germany","981.37","637.54","193","153","322","1380","2126","4039","845.5","1117.24","0","5367","461","818"
"2000","Part Time","East Germany","1068.44","1023","699","192","460","1432","2045","3068","1012.52","1124.36","0","7669","920","1023"
"2000","Part Time","West Germany","1218.92","1023","3134","297","409","1687","2454","4295","1183.76","1254.08","0","14316","992","1046"
"2001","Full Time","East Germany","1910.55","1762.39","2224","920","1279","2352","3068","5113","1868.63","1952.47","0","17895","1738","1790"
"2001","Full Time","West Germany","2739.2","2454","6553","1278","1841","3272","4474","8692","2701.43","2776.97","0","20452","2403","2454"
"2001","Not Working","East Germany","824.9","831.67","79","176","409","1125","1373","2128","716.26","933.54","0","2128","749","972"
"2001","Not Working","West Germany","978.59","606.71","150","153","322","1432","2045","4219","828.32","1128.86","0","4461","486","767"
"2001","Part Time","East Germany","1169.42","1033.99","671","278","562","1585","2199","3577","1106.44","1232.4","0","9203","969","1074"
