"year","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(Married) couple without C.","1394.03","1278","1379","571","956","1687","2250","4090","1351.64","1436.42","0","12782","1243","1278"
"1984","1-pers.-HH","1423.92","1279.61","629","562","1012","1687","2147","5116","1349.45","1498.39","34","16873","1278","1339"
"1984","Couple + C. GT 16 ","1249.17","1167.07","1249","291","665","1585","2199","4550","1204.84","1293.5","0","7669","1074","1176"
"1984","Couple + C. LE 16","1540.65","1432","2083","511","1023","1892","2556","5116","1499.77","1581.53","0","14443","1345","1410"
"1984","Couple + C. LE and GT 16","1208.88","1099","1080","235","473","1687","2301","3835","1159.7","1258.06","0","10226","1023","1138"
"1984","Single parent","1130.22","1096.16","326","266","665","1441","1943","3221","1062.09","1198.35","0","3988","997","1125"
"1985","(Married) couple without C.","1441.89","1355","1259","614","1023","1789","2301","4156","1399.13","1484.65","0","9395","1278","1355"
"1985","1-pers.-HH","1377.54","1278","578","435","1023","1687","2147","3784","1320.9","1434.18","0","5880","1278","1360"
"1985","Couple + C. GT 16 ","1273.04","1128.59","1277","281","639","1636","2301","4602","1219.85","1326.23","0","20452","1099","1176"
"1985","Couple + C. LE 16","1549.13","1432","1826","440","971","1943","2556","5113","1507.79","1590.47","0","9715","1329","1413"
"1985","Couple + C. LE and GT 16","1237.95","1125","914","243","481","1687","2403","4346","1185.08","1290.82","0","6711","1090","1227"
"1985","Single parent","1100.97","1023","316","231","665","1448","1943","3068","1029.49","1172.45","26","5113","982","1125"
"1986","(Married) couple without C.","1483.72","1380","1280","614","1023","1790","2422","4346","1437.84","1529.6","0","11248","1329","1380"
"1986","1-pers.-HH","1456.57","1330","560","742","1066","1738","2301","4090","1398.29","1514.85","69","5113","1329","1426"
"1986","Couple + C. GT 16 ","1295.54","1176","1326","287","614","1649","2453","4602","1248.09","1342.99","0","9715","1125","1227"
"1986","Couple + C. LE 16","1606.71","1483.15","1639","552","1074","2028","2602","4602","1562.62","1650.8","0","12782","1432","1483"
"1986","Couple + C. LE and GT 16","1308.85","1176","855","276","511","1756","2533","4090","1248.66","1369.04","0","10226","1125","1253"
"1986","Single parent","1145.53","1074","305","291","614","1503","1943","3528","1062.37","1228.69","0","6135","1023","1176"
"1987","(Married) couple without C.","1494.02","1424.95","1272","614","1023","1790","2404","4090","1445.07","1542.97","51","12782","1329","1432"
