"year","regtyp","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","East Germany","","","","","","","","","","","","","",""
"1985","Rural Area","West Germany","1276.19","1202","1293","302","716","1631","2147","3592","1224.09","1328.29","0","20452","1176","1227"
"1985","Urban Area","East Germany","","","","","","","","","","","","","",""
"1985","Urban Area","West Germany","1396.92","1279","5236","332","868","1790","2390","4346","1374.69","1419.15","0","9715","1278","1278"
"1986","Rural Area","East Germany","","","","","","","","","","","","","",""
"1986","Rural Area","West Germany","1263.15","1227","1270","281","716","1687","2250","3579","1221.9","1304.4","0","5113","1176","1278"
"1986","Urban Area","East Germany","","","","","","","","","","","","","",""
"1986","Urban Area","West Germany","1469.81","1369.81","5039","375","920","1800","2556","4620","1444.65","1494.97","0","16361","1307","1329"
"1987","Rural Area","East Germany","","","","","","","","","","","","","",""
"1987","Rural Area","West Germany","1286.5","1227","1302","281","665","1687","2301","3659","1239.06","1333.94","0","12782","1190","1278"
"1987","Urban Area","East Germany","","","","","","","","","","","","","",""
"1987","Urban Area","West Germany","1486.97","1381","4995","366","920","1841","2556","5011","1461.22","1512.72","0","15339","1329","1380"
"1988","Rural Area","East Germany","","","","","","","","","","","","","",""
"1988","Rural Area","West Germany","1340.16","1278","1201","286","742","1790","2403","4090","1293.82","1386.5","0","7732","1253","1329"
"1988","Urban Area","East Germany","","","","","","","","","","","","","",""
"1988","Urban Area","West Germany","1557.47","1432","4787","389","972","1942","2590","5113","1529.83","1585.11","0","13331","1380","1432"
"1989","Rural Area","East Germany","","","","","","","","","","","","","",""
"1989","Rural Area","West Germany","1430.67","1373.07","1159","351","869","1841","2505","4090","1383.99","1477.35","0","7158","1291","1380"
"1989","Urban Area","East Germany","","","","","","","","","","","","","",""
"1989","Urban Area","West Germany","1617.26","1515.7","4721","409","1023","1994","2667","5113","1587.77","1646.75","0","23008","1432","1483"
"1990","Rural Area","East Germany","567.97","559.05","2162","266","422","690","838","1534","556.84","579.1","16","2556","550","562"
"1990","Rural Area","West Germany","1457.43","1432","1171","383","818","1892","2556","3881","1409.06","1505.8","0","10226","1330","1432"
"1990","Urban Area","East Germany","623.94","593","1206","341","460","741","920","1636","608.32","639.56","61","2556","575","611"
"1990","Urban Area","West Germany","1669.24","1534","4598","460","1023","2071","2812","4883","1637.77","1700.71","0","25565","1483","1534"
"1991","Rural Area","East Germany","762.67","716","1798","358","552","908","1145","2045","745.47","779.87","0","3579","716","749"
"1991","Rural Area","West Germany","1515.83","1461.84","1211","373","824","1943","2618","4628","1465.21","1566.45","0","10226","1380","1483"
"1991","Urban Area","East Germany","834.25","767","978","460","614","971","1329","2331","809.11","859.39","92","3540","752","782"
"1991","Urban Area","West Germany","1741.34","1636","4678","460","1048","2181","2958","5369","1710.2","1772.48","0","17043","1534","1585"
"1992","Rural Area","East Germany","1018.75","971","1486","511","767","1227","1557","2556","995.43","1042.07","0","4244","947","976"
"1992","Rural Area","West Germany","1650.48","1611","1183","398","920","2096","2838","4602","1593.84","1707.12","0","15339","1534","1611"
"1992","Urban Area","East Germany","1097.2","1002.15","881","540","818","1304","1687","2812","1058.76","1135.64","28","7669","987","1046"
"1992","Urban Area","West Germany","1880.48","1764","4514","531","1176","2352","3068","5601","1848.56","1912.4","0","17384","1672","1723"
"1993","Rural Area","East Germany","1233.69","1176","1428","512","883","1534","1841","3323","1197.61","1269.77","0","15339","1125","1206"
"1993","Rural Area","West Germany","1726.64","1585","1181","460","997","2173","3068","5113","1660.25","1793.03","0","20452","1534","1636"
"1993","Urban Area","East Germany","1358.33","1277.63","845","681","959","1662","2091","3323","1307.38","1409.28","0","10666","1227","1309"
"1993","Urban Area","West Germany","2006.95","1841","4464","553","1266","2556","3426","6021","1970.51","2043.39","0","28121","1738","1790"
"1994","Rural Area","East Germany","1364.68","1329","1395","562","971","1687","2045","3579","1326.67","1402.69","0","11248","1278","1331"
"1994","Rural Area","West Germany","1786.53","1687","1133","441","1069","2250","3068","5266","1715.38","1857.68","0","20452","1636","1738"
"1994","Urban Area","East Germany","1524.43","1432","823","690","1053","1892","2301","3773","1467","1581.86","0","11760","1367","1483"
"1994","Urban Area","West Germany","2057","1892","4231","613","1318","2556","3477","6135","2018.18","2095.82","0","25565","1790","1841"
"1995","Rural Area","East Germany","1453.74","1431.75","1443","614","1023","1790","2280","3796","1416.86","1490.62","0","7669","1329","1432"
"1995","Rural Area","West Germany","1849.9","1738","1230","435","1074","2301","3221","5624","1769.58","1930.22","0","32603","1636","1738"
"1995","Urban Area","East Germany","1622.27","1432.34","770","716","1083","1841","2505","4602","1503.37","1741.17","0","40903","1419","1534"
