"year","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","East Germany","","","","","","","","","","","","","",""
"1984","West Germany","1356.24","1278","7162","343","818","1687","2301","4550","1336.29","1376.19","0","16873","1227","1278"
"1985","East Germany","","","","","","","","","","","","","",""
"1985","West Germany","1369.72","1278","6529","324","818","1738","2326","4168","1349.11","1390.33","0","20452","1255","1278"
"1986","East Germany","","","","","","","","","","","","","",""
"1986","West Germany","1422.39","1329","6309","350","869","1790","2454","4382","1400.6","1444.18","0","16361","1278","1329"
"1987","East Germany","","","","","","","","","","","","","",""
"1987","West Germany","1440.71","1355","6297","353","869","1790","2505","4602","1418.01","1463.41","0","15339","1278","1329"
"1988","East Germany","","","","","","","","","","","","","",""
"1988","West Germany","1509.12","1432","5988","358","920","1892","2556","4857","1485.1","1533.14","0","13331","1349","1400"
"1989","East Germany","","","","","","","","","","","","","",""
"1989","West Germany","1576.74","1483","5880","385","1012","1943","2633","4985","1551.3","1602.18","0","23008","1421","1432"
"1990","East Germany","589.66","562","3437","297","435","715","869","1534","580.54","598.78","16","2812","562","573"
"1990","West Germany","1622.65","1534","5769","419","971","2045","2761","4602","1595.65","1649.65","0","25565","1462","1522"
"1991","East Germany","791.79","741","2835","399","588","920","1227","2301","777.52","806.06","0","3579","733","767"
"1991","West Germany","1690.03","1585","5892","435","1023","2146","2863","5113","1663.15","1716.91","0","17043","1534","1534"
"1992","East Germany","1055.51","971","2438","522","767","1260","1605","2812","1035.18","1075.84","0","7669","971","1012"
"1992","West Germany","1827.98","1738","5707","511","1125","2301","3068","5517","1800.06","1855.9","0","17384","1636","1687"
"1993","East Germany","1283.98","1221","2273","573","920","1567","1994","3323","1254.36","1313.6","0","15339","1176","1227"
"1993","West Germany","1944.3","1790","5645","511","1176","2454","3323","5776","1912.26","1976.34","0","28121","1687","1738"
"1994","East Germany","1429.59","1353.87","2218","614","1023","1769","2199","3681","1397.44","1461.74","0","11760","1329","1380"
"1994","West Germany","1996.73","1841","5364","545","1253","2556","3368","5978","1962.59","2030.87","0","25565","1764","1790"
"1995","East Germany","1517.48","1432","2213","644","1033","1790","2301","4090","1469.55","1565.41","0","40903","1380","1432"
"1995","West Germany","2043.8","1892","5672","533","1278","2556","3554","6140","2006.05","2081.55","0","51128","1790","1841"
"1996","East Germany","1570.93","1530.91","2138","639","1104","1933","2505","3835","1537.01","1604.85","36","10226","1432","1534"
"1996","West Germany","2163.3","1966.3","5519","580","1313","2659","3732","7158","2123.61","2202.99","20","44617","1841","1892"
"1997","East Germany","1621.82","1534","2077","639","1090","1994","2556","4090","1578.82","1664.82","51","25565","1488","1534"
"1997","West Germany","2156.52","1994","5353","603","1300","2721","3758","6647","2121.76","2191.28","19","25565","1892","1943"
"1998","East Germany","1615.43","1534","2167","613","1075","1994","2668","4090","1579.24","1651.62","0","10226","1483","1534"
"1998","West Germany","2189.36","2029.8","5991","562","1278","2776","3835","6902","2155.76","2222.96","0","15339","1943","1994"
"1999","East Germany","1639.05","1534","2175","614","1125","2045","2710","4090","1602.38","1675.72","0","11248","1530","1554"
"1999","West Germany","2212.44","2045","5914","479","1278","2761","3835","7000","2176.32","2248.56","0","33234","1923","1994"
"2000","East Germany","1674.63","1534","3216","505","1073","2071","2812","5113","1638.07","1711.19","0","15328","1534","1585"
"2000","West Germany","2232.83","2045","10629","460","1227","2812","4039","7669","2202.62","2263.04","0","25565","1994","2045"
"2001","East Germany","1704.63","1580","2974","510","1074","2151","2863","4857","1667.94","1741.32","0","17895","1534","1636"
"2001","West Germany","2242.47","2045","9658","409","1227","2863","4039","7671","2211.24","2273.7","0","20452","2045","2045"
"2002","East Germany","1756.88","1600","2958","485","1075","2250","3000","5600","1706.08","1807.68","0","18000","1675","1777"
"2002","West Germany","2348.78","2100","10546","383","1200","3000","4100","9200","2294.07","2403.49","0","132569","2200","2266"
"2003","East Germany","1838.69","1690.84","2834","505","1072","2375","3100","6250","1783.32","1894.06","0","20000","1700","1800"
"2003","West Germany","2410.72","2180","9958","401","1200","3042","4200","9700","2360.99","2460.45","0","98107","2200","2300"
"2004","East Germany","1819.89","1683.24","2787","400","1000","2400","3200","5733","1766.72","1873.06","0","21000","1700","1800"
"2004","West Germany","2436.22","2170","9617","410","1200","3100","4375","10000","2387.31","2485.13","0","60000","2208","2300"
"2005","East Germany","1830.41","1661.38","2634","400","1002","2400","3200","5600","1771.3","1889.52","0","28000","1700","1800"
"2005","West Germany","2405.55","2200","9115","400","1194","3096","4300","9398","2359.28","2451.82","0","40000","2250","2300"
"2006","East Germany","1801.37","1649.1","2769","400","1043","2400","3200","5233","1746.04","1856.7","0","25000","1700","1800"
"2006","West Germany","2451.19","2200","9618","400","1169","3155","4499","10000","2397.16","2505.22","0","115926","2200","2300"
"2007","East Germany","1806.91","1600","2699","400","1050","2426","3200","5800","1748.34","1865.48","0","27000","1653","1795"
"2007","West Germany","2481.43","2200","9111","400","1200","3200","4500","10000","2431.3","2531.56","0","50000","2200","2300"
"2008","East Germany","1839.52","1700","2585","420","1080","2458","3200","5500","1784.22","1894.82","0","20000","1700","1800"
"2008","West Germany","2485.38","2200","8603","400","1150","3200","4500","10000","2435.37","2535.39","0","35288","2204","2300"
"2009","East Germany","1928.91","1782.2","2462","400","1023","2501","3400","6000","1866.79","1991.03","0","30000","1776","1850"
"2009","West Germany","2525.4","2293.68","7966","400","1200","3200","4600","10000","2473.16","2577.64","0","46856","2300","2350"
"2010","East Germany","1951.17","1750","3078","400","1016","2600","3500","6500","1886.47","2015.87","0","35000","1700","1800"
"2010","West Germany","2534.63","2300","11035","400","1180","3269","4600","10000","2489.8","2579.46","0","40000","2200","2300"
"2011","East Germany","1946.96","1800","3610","413","1100","2600","3500","6320","1896.16","1997.76","0","25000","1776","1800"
"2011","West Germany","2579.57","2300","13420","400","1200","3316","4900","10000","2538.61","2620.53","0","70000","2200","2300"
"2012","East Germany","2052.78","1800","3538","400","1144","2700","3700","7100","1998.26","2107.3","0","32000","1800","1849"
"2012","West Germany","2580.44","2300","13229","400","1200","3400","4863","9495","2537.98","2622.9","0","65000","2200","2300"
"2013","East Germany","2059.45","1800","3590","460","1135","2647","3800","7200","2005.91","2112.99","0","27000","1800","1859"
"2013","West Germany","2626.12","2300","15532","400","1200","3450","5000","10000","2588.52","2663.72","0","65000","2100","2200"
"2014","East Germany","2129.23","1900","3226","470","1150","2800","3900","6994","2072.14","2186.32","0","27000","1815","1955"
"2014","West Germany","2659.4","2395.32","13631","450","1200","3500","5000","10000","2618.26","2700.54","0","50000","2200","2250"
"2015","East Germany","2176.3","1900","3124","450","1200","2800","3900","7900","2119","2233.6","0","28000","1850","2000"
"2015","West Germany","2752","2400","13509","450","1200","3600","5200","10000","2709.35","2794.65","0","56500","2200","2300"
"2016","East Germany","2265.28","2000","3031","500","1280","2900","4000","8000","2201.62","2328.94","0","32000","1900","2000"
"2016","West Germany","2771.95","2500","12770","450","1239","3600","5100","10200","2728.01","2815.89","0","57000","2200","2269"
"2017","East Germany","2296.97","2050","3468","500","1361","3000","4080","7400","2239","2354.94","0","30000","2000","2100"
"2017","West Germany","2813.16","2500","14592","450","1200","3700","5300","10000","2773.17","2853.15","0","61000","2248","2300"
"2018","East Germany","2408.46","2197.6","3439","450","1400","3100","4200","8000","2348.07","2468.85","0","32000","2000","2150"
"2018","West Germany","2902.49","2541","14196","450","1375","3800","5497","10500","2860.33","2944.65","0","70000","2266","2300"
"2019","East Germany","2560.01","2400","3620","588","1500","3300","4500","8000","2477.63","2642.39","0","40000","2350","2500"
"2019","West Germany","3124.36","2696.5","14758","450","1436","4000","5600","12000","2753.77","3494.95","0","2700000","2500","2550"
