"year","e11103","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1989","Not Working","no migration background","881.92","774.73","79","184","332","1238","1662","2761","746.25","1017.59","0","2761","562","920"
"1989","Part Time","direct migration background","920.98","767","322","210","409","1278","1753","3170","855.05","986.91","0","4090","767","920"
"1989","Part Time","indirect migration background","883.18","651.52","38","225","458","1133","1943","1943","704.04","1062.32","128","1943","383","920"
"1989","Part Time","no migration background","883.28","741","958","215","332","1176","1790","3630","833.11","933.45","0","10226","665","767"
"1990","Full Time","direct migration background","1739.11","1585","1310","1023","1283","1943","2582","4090","1700.88","1777.34","148","10226","1534","1534"
"1990","Full Time","indirect migration background","1408.48","1432","97","383","920","1790","2060","2812","1231.91","1585.05","0","7158","1023","1355"
"1990","Full Time","no migration background","1903.9","1738","2924","895","1339","2301","3053","5113","1861.66","1946.14","0","25565","1687","1738"
"1990","Not Working","direct migration background","659.25","516.52","38","81","199","1023","1534","2147","460.14","858.36","0","2199","540","1227"
"1990","Not Working","indirect migration background","","","","","","","","","","","","","",""
"1990","Not Working","no migration background","736.1","556.08","60","102","268","1022","1636","2454","590.21","881.99","0","2454","373","741"
"1990","Part Time","direct migration background","887.64","767","311","256","434","1227","1636","2970","820.41","954.87","0","3835","767","920"
"1990","Part Time","indirect migration background","689.55","588","66","220","325","1125","1278","1943","560.43","818.67","0","2556","511","818"
"1990","Part Time","no migration background","888.22","764.15","960","225","371","1258","1790","3068","844.99","931.45","0","5624","665","767"
"1991","Full Time","direct migration background","1814.65","1679.86","1295","1023","1329","2045","2761","5113","1778.74","1850.56","184","10226","1585","1636"
"1991","Full Time","indirect migration background","1348","1408.03","126","409","767","1687","2199","3068","1204.05","1491.95","230","6647","1023","1314"
"1991","Full Time","no migration background","1980.73","1790","2917","971","1432","2388","3068","5417","1940.08","2021.38","0","15339","1760","1790"
"1991","Not Working","direct migration background","860.84","823","48","210","307","1329","1533","1819","664.86","1056.82","179","4090","537","1023"
"1991","Not Working","indirect migration background","","","","","","","","","","","","","",""
"1991","Not Working","no migration background","946.04","782.2","77","102","245","1534","2045","2757","779.4","1112.68","0","2863","460","1063"
"1991","Part Time","direct migration background","961.91","769.87","327","245","375","1380","2045","2825","895.21","1028.61","0","3272","739","920"
"1991","Part Time","indirect migration background","634.41","486.58","71","245","358","811","1227","1686","470.94","797.88","26","4090","409","716"
"1991","Part Time","no migration background","981.83","767","983","240","383","1227","1938","4287","923.01","1040.65","0","17043","716","818"
"1992","Full Time","direct migration background","1860.86","1738","1297","1023","1350","2114","2710","4908","1822.17","1899.55","102","10226","1687","1739"
"1992","Full Time","indirect migration background","1424.7","1316.19","158","435","665","1790","2454","4090","1275.05","1574.35","0","7669","1168","1432"
"1992","Full Time","no migration background","1900.4","1738","4790","818","1227","2324","3068","5520","1870.73","1930.07","0","17384","1534","1559"
"1992","Not Working","direct migration background","","","","","","","","","","","","","",""
