"year","sampreg","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","East Germany","Female","","","","","","","","","","","","","",""
"1984","East Germany","Male","","","","","","","","","","","","","",""
"1984","West Germany","Female","885.69","844","2673","206","460","1176","1534","2556","866.05","905.33","0","6135","839","870"
"1984","West Germany","Male","1646.08","1508","4489","798","1176","1943","2556","5113","1619.21","1672.95","0","16873","1432","1467"
"1985","East Germany","Female","","","","","","","","","","","","","",""
"1985","East Germany","Male","","","","","","","","","","","","","",""
"1985","West Germany","Female","914.46","869","2514","212","508","1241","1585","2556","893.96","934.96","0","4090","869","920"
"1985","West Germany","Male","1672.26","1534","4015","767","1205","2017","2657","5113","1644.35","1700.17","0","20452","1432","1483"
"1986","East Germany","Female","","","","","","","","","","","","","",""
"1986","East Germany","Male","","","","","","","","","","","","","",""
"1986","West Germany","Female","968.04","920","2434","230","511","1289","1687","2812","944.41","991.67","0","11248","895","920"
"1986","West Germany","Male","1722.37","1535.55","3875","818","1227","2045","2761","5113","1693.3","1751.44","0","16361","1483","1534"
"1987","East Germany","Female","","","","","","","","","","","","","",""
"1987","East Germany","Male","","","","","","","","","","","","","",""
"1987","West Germany","Female","977.36","920","2457","221","511","1308","1733","2863","952.81","1001.91","0","12782","919","959"
"1987","West Germany","Male","1751.71","1611","3840","767","1265","2057","2825","5113","1721.15","1782.27","0","15339","1534","1572"
"1988","East Germany","Female","","","","","","","","","","","","","",""
"1988","East Germany","Male","","","","","","","","","","","","","",""
"1988","West Germany","Female","1037.13","971","2359","220","511","1431","1790","3068","1008.41","1065.85","0","10159","920","971"
"1988","West Germany","Male","1829.29","1636","3629","896","1329","2183","2965","5113","1797.79","1860.79","0","13331","1585","1636"
"1989","East Germany","Female","","","","","","","","","","","","","",""
"1989","East Germany","Male","","","","","","","","","","","","","",""
"1989","West Germany","Female","1085.89","1051.49","2343","255","577","1432","1841","3170","1059.5","1112.28","0","9382","997","1040"
"1989","West Germany","Male","1912.93","1738","3537","1005","1380","2275","3017","5624","1878.02","1947.84","0","23008","1636","1687"
"1990","East Germany","Female","498.11","483.16","1630","245","358","614","741","1305","487.47","508.75","20","1790","470","493"
"1990","East Germany","Male","668.37","614","1807","414","511","767","941","1687","655","681.74","16","2812","614","639"
"1990","West Germany","Female","1114.26","1068.77","2331","269","614","1483","1943","3068","1083.79","1144.73","0","12782","1007","1074"
"1990","West Germany","Male","1974.6","1790","3438","920","1432","2352","3068","5113","1938.14","2011.06","0","25565","1697","1767"
"1991","East Germany","Female","658.31","639","1315","328","487","803","971","1534","642.97","673.65","26","2556","638","665"
"1991","East Germany","Male","899.29","818","1520","511","665","1023","1432","2480","877.76","920.82","0","3579","813","827"
"1991","West Germany","Female","1157.83","1074","2408","261","614","1534","2045","3323","1130.02","1185.64","0","12782","1023","1104"
"1991","West Germany","Male","2067.61","1841","3484","955","1508","2505","3267","5624","2030.69","2104.53","0","17043","1790","1802"
"1992","East Germany","Female","920.81","896.55","1104","460","690","1125","1380","2045","893.06","948.56","31","7669","869","920"
"1992","East Germany","Male","1158.17","1074","1334","665","869","1380","1769","3068","1130.19","1186.15","0","4857","1043","1104"
"1992","West Germany","Female","1265.28","1199","2338","302","716","1687","2199","3581","1235.48","1295.08","0","12782","1125","1221"
"1992","West Germany","Male","2220.3","2045","3369","1136","1636","2608","3477","6135","2182.61","2257.99","0","17384","1918","1943"
"1993","East Germany","Female","1146.6","1093.61","1038","511","791","1432","1790","2559","1107.93","1185.27","0","10666","1065","1125"
"1993","East Germany","Male","1391.14","1278","1235","752","1023","1637","2111","3784","1348.32","1433.96","0","15339","1278","1324"
"1993","West Germany","Female","1336.85","1278","2349","281","716","1790","2420","4090","1304.69","1369.01","0","14073","1186","1278"
"1993","West Germany","Male","2375.04","2096","3296","1176","1687","2812","3784","6391","2330","2420.08","0","28121","1994","2045"
"1994","East Germany","Female","1287.24","1227","1012","551","869","1636","1995","3221","1240.92","1333.56","0","11760","1166","1243"
"1994","East Germany","Male","1535.88","1432","1206","767","1125","1827","2301","4039","1492.4","1579.36","0","11248","1427","1483"
"1994","West Germany","Female","1394.41","1329","2241","291","766","1841","2454","4346","1356.61","1432.21","0","20452","1253","1329"
"1994","West Germany","Male","2423.23","2147","3123","1278","1738","2863","3835","6647","2376.15","2470.31","0","25565","2045","2085"
"1995","East Germany","Female","1336.69","1278","1018","541","895","1687","2152","3137","1290.35","1383.03","0","12015","1176","1278"
"1995","East Germany","Male","1652.93","1534","1195","818","1176","1919","2505","4602","1574.38","1731.48","0","40903","1496","1536"
