"year","education","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","college entrance qualification","Female","10.69","6","230","1","3","13","25","70","9.16","12.22","1","85","5","8"
"1985","college entrance qualification","Male","15.82","10","426","2","4","20","36","82","13.81","17.83","1","250","8","10"
"1985","lower secondary degree","Female","8.45","5","893","1","2","10","20","52","7.75","9.15","0","150","4","5"
"1985","lower secondary degree","Male","13.52","8","1535","2","4","16","28","92","12.51","14.53","0","360","8","8"
"1985","no degree/no degree yet","Female","7.53","5","184","1","2","10","18","40","6.53","8.53","0","40","4","5"
"1985","no degree/no degree yet","Male","7.64","5","250","1","2","10","20","40","6.48","8.8","0","60","4","5"
"1985","Other degree","Female","6.36","4","228","1","2","10","16","30","5.63","7.09","1","30","3","4"
"1985","Other degree","Male","11.22","6","516","1","3","12","24","89","9.49","12.95","1","260","5","6"
"1985","secondary school degree","Female","10.47","7","520","1","3","14","22","60","9.47","11.47","0","104","6","8"
"1985","secondary school degree","Male","13.75","10","486","2","4","19","30","75","12.38","15.12","1","130","8","10"
"1986","college entrance qualification","Female","","","","","","","","","","","","","",""
"1986","college entrance qualification","Male","","","","","","","","","","","","","",""
"1986","lower secondary degree","Female","","","","","","","","","","","","","",""
"1986","lower secondary degree","Male","","","","","","","","","","","","","",""
"1986","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"1986","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"1986","Other degree","Female","","","","","","","","","","","","","",""
"1986","Other degree","Male","","","","","","","","","","","","","",""
"1986","secondary school degree","Female","","","","","","","","","","","","","",""
"1986","secondary school degree","Male","","","","","","","","","","","","","",""
"1987","college entrance qualification","Female","","","","","","","","","","","","","",""
"1987","college entrance qualification","Male","","","","","","","","","","","","","",""
"1987","lower secondary degree","Female","","","","","","","","","","","","","",""
"1987","lower secondary degree","Male","","","","","","","","","","","","","",""
"1987","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"1987","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"1987","Other degree","Female","","","","","","","","","","","","","",""
"1987","Other degree","Male","","","","","","","","","","","","","",""
"1987","secondary school degree","Female","","","","","","","","","","","","","",""
"1987","secondary school degree","Male","","","","","","","","","","","","","",""
"1988","college entrance qualification","Female","","","","","","","","","","","","","",""
"1988","college entrance qualification","Male","","","","","","","","","","","","","",""
"1988","lower secondary degree","Female","","","","","","","","","","","","","",""
"1988","lower secondary degree","Male","","","","","","","","","","","","","",""
"1988","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"1988","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"1988","Other degree","Female","","","","","","","","","","","","","",""
"1988","Other degree","Male","","","","","","","","","","","","","",""
"1988","secondary school degree","Female","","","","","","","","","","","","","",""
"1988","secondary school degree","Male","","","","","","","","","","","","","",""
"1989","college entrance qualification","Female","","","","","","","","","","","","","",""
"1989","college entrance qualification","Male","","","","","","","","","","","","","",""
"1989","lower secondary degree","Female","","","","","","","","","","","","","",""
"1989","lower secondary degree","Male","","","","","","","","","","","","","",""
"1989","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"1989","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"1989","Other degree","Female","","","","","","","","","","","","","",""
"1989","Other degree","Male","","","","","","","","","","","","","",""
"1989","secondary school degree","Female","","","","","","","","","","","","","",""
"1989","secondary school degree","Male","","","","","","","","","","","","","",""
"1990","college entrance qualification","Female","13.76","8","244","2","5","16","30","80","10.54","16.98","1","240","7","10"
"1990","college entrance qualification","Male","18.43","11","434","3","5","24","42","110","16.35","20.51","0","207","10","12"
"1990","lower secondary degree","Female","8.81","5","782","1","2","11","20","60","8.08","9.54","0","120","5","5"
"1990","lower secondary degree","Male","14.41","9","1299","2","4","17","30","94","13.32","15.5","1","300","8","10"
"1990","no degree/no degree yet","Female","6.86","4","145","1","2","10","15","30","5.73","7.99","0","30","3","5"
"1990","no degree/no degree yet","Male","11.83","6","188","1","2","18","30","60","10.04","13.62","0","80","4","7"
"1990","Other degree","Female","8.33","5","189","1","2","10","21","60","7.11","9.55","1","60","3","5"
"1990","Other degree","Male","10.51","6","408","1","2","14","25","80","9.09","11.93","0","110","5","6"
"1990","secondary school degree","Female","11.48","8","525","2","4","16","25","50","9.94","13.02","0","330","7","9"
"1990","secondary school degree","Male","17.03","11","446","2","5","22","37","110","15.24","18.82","1","140","10","13"
"1991","college entrance qualification","Female","","","","","","","","","","","","","",""
"1991","college entrance qualification","Male","60.83","15","86","6","8","30","150","750","29.6","92.06","2","750","10","17"
"1991","lower secondary degree","Female","11.69","10","65","3","5","13","15","160","4.62","18.76","2","170","6","11"
"1991","lower secondary degree","Male","35.63","10","133","4","6","18","35","500","17.9","53.36","1","700","10","13"
"1991","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"1991","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"1991","Other degree","Female","","","","","","","","","","","","","",""
"1991","Other degree","Male","","","","","","","","","","","","","",""
"1991","secondary school degree","Female","17.24","10","212","4","6","16","30","240","13.03","21.45","0","300","8","10"
"1991","secondary school degree","Male","60.56","13","318","5","7","30","140","600","45.41","75.71","1","999","12","16"
"1992","college entrance qualification","Female","","","","","","","","","","","","","",""
"1992","college entrance qualification","Male","51.28","15","70","6","9","45","90","500","27.76","74.8","3","500","12","20"
"1992","lower secondary degree","Female","16.41","10","59","5","6","17","30","153","8.64","24.18","2","160","9","15"
"1992","lower secondary degree","Male","42.03","12","125","5","8","20","75","800","21.94","62.12","1","800","10","15"
"1992","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"1992","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"1992","Other degree","Female","","","","","","","","","","","","","",""
"1992","Other degree","Male","","","","","","","","","","","","","",""
"1992","secondary school degree","Female","20.48","10","200","5","6","17","30","450","10.88","30.08","1","635","8","12"
"1992","secondary school degree","Male","53.41","15","274","5","8","25","130","580","38.76","68.06","1","650","15","19"
"1993","college entrance qualification","Female","12.23","7","430","1","3","15","27","65","10.82","13.64","0","140","6","8"
"1993","college entrance qualification","Male","14.66","8","656","1","3","20","35","75","13.4","15.92","0","130","7","10"
"1993","lower secondary degree","Female","7.8","4","1056","1","1","10","20","50","7.18","8.42","0","125","3","5"
