"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","direct migration background","9.08","5.29","1615","1","2","12","20","43","8.44","9.72","0","260","5","5"
"1985","indirect migration background","14.5","8","57","1","3","15","50","62","11.26","17.74","1","62","3","10"
"1985","no migration background","12.25","8","3666","1","3","15","27","77","11.69","12.81","0","360","7","8"
"1986","direct migration background","","","","","","","","","","","","","",""
"1986","indirect migration background","","","","","","","","","","","","","",""
"1986","no migration background","","","","","","","","","","","","","",""
"1987","direct migration background","","","","","","","","","","","","","",""
"1987","indirect migration background","","","","","","","","","","","","","",""
"1987","no migration background","","","","","","","","","","","","","",""
"1988","direct migration background","","","","","","","","","","","","","",""
"1988","indirect migration background","","","","","","","","","","","","","",""
"1988","no migration background","","","","","","","","","","","","","",""
"1989","direct migration background","","","","","","","","","","","","","",""
"1989","indirect migration background","","","","","","","","","","","","","",""
"1989","no migration background","","","","","","","","","","","","","",""
"1990","direct migration background","10.56","6","1411","1","3","15","25","74","9.88","11.24","0","130","5","6"
"1990","indirect migration background","9.56","8","138","1","3","13","20","35","8.01","11.11","1","60","5","8"
"1990","no migration background","13.99","8","3222","2","4","17","30","90","13.27","14.71","0","330","8","9"
"1991","direct migration background","","","","","","","","","","","","","",""
"1991","indirect migration background","","","","","","","","","","","","","",""
"1991","no migration background","41.95","10","840","4","7","20","60","600","34.6","49.3","0","999","10","12"
"1992","direct migration background","","","","","","","","","","","","","",""
"1992","indirect migration background","","","","","","","","","","","","","",""
"1992","no migration background","39.77","12","761","5","7","22","50","550","32.43","47.11","1","800","12","15"
"1993","direct migration background","9.93","5.17","1365","1","2","14","22","60","9.29","10.57","0","165","5","5"
"1993","indirect migration background","8.86","7","257","1","2","12","21","35","7.75","9.97","0","50","5","8"
"1993","no migration background","11.74","7","5369","1","2","15","30","70","11.37","12.11","0","180","6","7"
"1994","direct migration background","","","","","","","","","","","","","",""
"1994","indirect migration background","","","","","","","","","","","","","",""
"1994","no migration background","","","","","","","","","","","","","",""
"1995","direct migration background","11.22","6","1450","1","2","13","25","80","10.25","12.19","0","500","5","6"
"1995","indirect migration background","11.28","7","293","1","3","15","25","50","9.92","12.64","0","120","6","8"
"1995","no migration background","14.01","8","5435","1","3","17","32","100","13.26","14.76","0","750","7","8"
"1996","direct migration background","","","","","","","","","","","","","",""
"1996","indirect migration background","","","","","","","","","","","","","",""
"1996","no migration background","","","","","","","","","","","","","",""
"1997","direct migration background","24.75","15","496","5","9","25","40","200","19.47","30.03","1","800","15","16"
"1997","indirect migration background","33.37","15","133","6","10","26","50","450","21.78","44.96","2","450","15","20"
"1997","no migration background","31.18","19","2585","7","11","31","55","330","28.86","33.5","1","800","17","19"
"1998","direct migration background","12.09","7","1097","1","3","15","30","60","11.22","12.96","0","186","6","7"
"1998","indirect migration background","11.57","8","363","1","3","15","25","50","10.14","13","0","100","6","10"
"1998","no migration background","15.6","10","5701","2","4","20","35","96","15.11","16.09","0","200","9","10"
"1999","direct migration background","20.73","14","493","5","8","20","40","135","17.22","24.24","2","600","14","16"
"1999","indirect migration background","67.85","16.05","160","8","10","28","53","800","57.92","77.78","2","800","15","17"
"1999","no migration background","29.87","19","3076","6","10","30","50","300","27.8","31.94","2","999","17","18"
"2000","direct migration background","23.36","15","740","6","8","25","40","103","20.23","26.49","2","600","15","15"
"2000","indirect migration background","27.65","19.78","222","5","10","28","50","400","20.26","35.04","1","700","15","20"
"2000","no migration background","28.39","18","5466","6","10","30","50","250","26.91","29.87","1","850","17","18"
"2001","direct migration background","12.81","7","1465","1","3","15","26","80","10.72","14.9","1","999","6","8"
"2001","indirect migration background","16.82","8","425","1","3","18","30","120","14.25","19.39","1","430","7","10"
"2001","no migration background","18.63","10","9054","1","4","20","35","148","17.6","19.66","1","850","10","10"
"2002","direct migration background","14.14","7","1380","1","3","15","30","80","11.8","16.48","0","999","6","8"
"2002","indirect migration background","19.34","8","432","1","3","20","30","420","15.27","23.41","0","600","7","10"
"2002","no migration background","19.27","10","9782","1","4","20","36","180","18.14","20.4","0","999","10","10"
"2003","direct migration background","12.76","7","1268","1","3","16","30","80","11.88","13.64","1","200","7","8"
"2003","indirect migration background","14.36","8","484","2","4","19","30","100","12.61","16.11","1","180","7","10"
"2003","no migration background","16.43","10","9605","2","4","20","35","100","15.92","16.94","0","600","10","10"
"2004","direct migration background","17.83","8","1173","1","3","18","30","150","15.81","19.85","0","640","8","10"
"2004","indirect migration background","14.77","8","431","2","3","20","30","130","12.61","16.93","1","240","8","10"
"2004","no migration background","20.37","10","8992","2","4","20","38","210","19.27","21.47","0","960","10","10"
"2005","direct migration background","15.43","7","1084","1","3","16","30","150","13.59","17.27","1","650","7","9"
"2005","indirect migration background","18.56","10","426","2","4","22","45","130","15.47","21.65","1","350","9","12"
"2005","no migration background","21.36","10","8431","2","4","21","40","240","20.09","22.63","1","999","10","11"
"2006","direct migration background","16.99","8","1121","1","3","18","32","200","14.88","19.1","1","700","7","8"
"2006","indirect migration background","16.34","10","448","2","4","22","35","85","13.12","19.56","1","500","8","10"
"2006","no migration background","21.59","10","9039","2","4","22","40","250","20.41","22.77","1","999","10","11"
"2007","direct migration background","15.72","8","1000","1","3","18","30","150","13.91","17.53","1","400","7","8"
"2007","indirect migration background","13.44","8","459","1","3","20","32","70","11.2","15.68","1","250","7","10"
"2007","no migration background","22.58","10","8591","2","4","22","42","300","21.32","23.84","1","999","10","11"
"2008","direct migration background","19.16","7","935","1","3","20","35","320","16.72","21.6","1","650","7","9"
"2008","indirect migration background","14.77","8","463","1","3","20","35","68","10.69","18.85","1","700","9","12"
"2008","no migration background","22.05","10","8265","2","4","22","40","267","20.7","23.4","1","999","10","11"
"2009","direct migration background","19.17","8","802","1","3","19","33","320","16.14","22.2","1","800","7","10"
"2009","indirect migration background","14.9","10","421","1","3","20","35","65","11.6","18.2","1","450","10","12"
"2009","no migration background","21.91","10","7787","2","4","24","40","250","20.53","23.29","1","999","10","11"
"2010","direct migration background","21.43","7","1320","1","3","18","35","350","18.78","24.08","1","999","7","9"
"2010","indirect migration background","18.65","10","609","2","4","26","40","100","15.28","22.02","1","800","10","12"
"2010","no migration background","21.79","10","10374","2","4","23","40","250","20.66","22.92","1","999","10","11"
"2011","direct migration background","19","8","1593","1","3","20","35","210","15.89","22.11","1","999","8","10"
"2011","indirect migration background","24.19","12","756","1","5","28","50","200","19.97","28.41","1","999","10","11"
"2011","no migration background","21.1","10","12553","1","4","22","40","230","20.12","22.08","1","999","10","10"
"2012","direct migration background","18.76","8","1614","1","3","18","35","345","16.27","21.25","0","999","7","9"
"2012","indirect migration background","23.04","11","780","2","3","25","47","205","19.5","26.58","0","850","8","10"
"2012","no migration background","20.56","10","12308","1","4","22","40","200","19.54","21.58","0","999","10","10"
"2013","direct migration background","16.24","7","3619","1","3","17","32","240","15.08","17.4","1","820","7","8"
"2013","indirect migration background","19.72","10","1299","1","3","25","36","183","16.96","22.48","1","999","8","10"
"2013","no migration background","21.34","10","11915","1","4","22","40","250","20.36","22.32","1","999","10","10"
"2014","direct migration background","","","","","","","","","","","","","",""
"2014","indirect migration background","","","","","","","","","","","","","",""
"2014","no migration background","","","","","","","","","","","","","",""
"2015","direct migration background","13.2","8","3340","1","3","17","30","63","12.55","13.85","0","480","7","8"
"2015","indirect migration background","16.73","10","1011","2","4","22","35","86","15.5","17.96","1","400","8","10"
"2015","no migration background","16.08","10","10170","2","4","20","38","90","15.67","16.49","1","800","10","10"
"2016","direct migration background","","","","","","","","","","","","","",""
"2016","indirect migration background","","","","","","","","","","","","","",""
"2016","no migration background","","","","","","","","","","","","","",""
"2017","direct migration background","12.38","8","2632","1","3","15","30","70","11.74","13.02","1","300","7","8"
"2017","indirect migration background","14.49","10","1057","2","4","20","31","85","13.5","15.48","1","140","8","10"
"2017","no migration background","16.33","10","11192","2","4","21","37","89","15.96","16.7","1","700","10","10"
"2018","direct migration background","","","","","","","","","","","","","",""
"2018","indirect migration background","","","","","","","","","","","","","",""
"2018","no migration background","","","","","","","","","","","","","",""
"2019","direct migration background","13.2","8","2259","1","3","16","30","83","12.58","13.82","1","130","8","9"
"2019","indirect migration background","13.85","10","1097","2","4","20","30","65","12.94","14.76","1","125","8","10"
"2019","no migration background","15.86","10","11283","2","4","20","35","87","15.47","16.25","1","675","10","10"
