"year","regtyp","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","Female","10.07","5","380","1","2","12","23","80","8.69","11.45","0","104","3","5"
"1985","Rural Area","Male","14.84","7","606","1","3","18","35","120","12.88","16.8","1","280","6","8"
"1985","Urban Area","Female","9.1","6","1702","1","3","12","20","50","8.65","9.55","0","150","5","6"
"1985","Urban Area","Male","13.37","8","2650","2","4","16","30","78","12.71","14.03","0","360","7","8"
"1986","Rural Area","Female","","","","","","","","","","","","","",""
"1986","Rural Area","Male","","","","","","","","","","","","","",""
"1986","Urban Area","Female","","","","","","","","","","","","","",""
"1986","Urban Area","Male","","","","","","","","","","","","","",""
"1987","Rural Area","Female","","","","","","","","","","","","","",""
"1987","Rural Area","Male","","","","","","","","","","","","","",""
"1987","Urban Area","Female","","","","","","","","","","","","","",""
"1987","Urban Area","Male","","","","","","","","","","","","","",""
"1988","Rural Area","Female","","","","","","","","","","","","","",""
"1988","Rural Area","Male","","","","","","","","","","","","","",""
"1988","Urban Area","Female","","","","","","","","","","","","","",""
"1988","Urban Area","Male","","","","","","","","","","","","","",""
"1989","Rural Area","Female","","","","","","","","","","","","","",""
"1989","Rural Area","Male","","","","","","","","","","","","","",""
"1989","Urban Area","Female","","","","","","","","","","","","","",""
"1989","Urban Area","Male","","","","","","","","","","","","","",""
"1990","Rural Area","Female","11.47","7","370","1","3","15","22","65","9.64","13.3","0","200","5","8"
"1990","Rural Area","Male","19.01","12","532","2","4","23","40","110","16.74","21.28","1","330","7","12"
"1990","Urban Area","Female","10.1","6","1564","1","3","14","22","50","9.38","10.82","0","330","5","6"
"1990","Urban Area","Male","14.87","10","2305","2","5","19","31","86","14.1","15.64","0","300","8","10"
"1991","Rural Area","Female","15.71","10","233","4","6","15","30","150","12.19","19.23","2","240","10","10"
"1991","Rural Area","Male","52.02","12","415","5","7","25","120","600","39.85","64.19","1","999","12","15"
"1991","Urban Area","Female","19.41","8","67","3","5","15","30","300","9.01","29.81","0","300","7","11"
"1991","Urban Area","Male","61.91","12","126","5","7","24","75","750","35.86","87.96","1","750","10","15"
"1992","Rural Area","Female","18.07","10","222","5","6","18","30","153","11.1","25.04","2","600","9","12"
"1992","Rural Area","Male","55.9","15","352","5","8","30","120","600","43.19","68.61","1","800","15","17"
"1992","Urban Area","Female","24.72","12","69","6","8","17","30","600","7.64","41.8","1","600","10","15"
"1992","Urban Area","Male","31.2","12","113","5","8","20","30","500","13.3","49.1","1","550","10","15"
"1993","Rural Area","Female","8.75","4","1045","1","1","12","21","65","7.97","9.53","0","140","3","4"
"1993","Rural Area","Male","13.65","7","1178","1","2","20","32","100","12.69","14.61","0","165","5","7"
"1993","Urban Area","Female","9.22","5","2084","1","2","12","22","50","8.78","9.66","0","115","5","6"
"1993","Urban Area","Male","13.22","9","2684","1","3","18","30","70","12.69","13.75","0","180","8","9"
"1994","Rural Area","Female","","","","","","","","","","","","","",""
"1994","Rural Area","Male","","","","","","","","","","","","","",""
"1994","Urban Area","Female","","","","","","","","","","","","","",""
"1994","Urban Area","Male","","","","","","","","","","","","","",""
"1995","Rural Area","Female","9.92","5","1104","1","1","14","25","70","8.79","11.05","0","450","4","5"
"1995","Rural Area","Male","18.07","8","1313","1","2","20","40","120","15.52","20.62","0","750","7","8"
"1995","Urban Area","Female","10.65","6","2105","1","2","15","25","70","10.01","11.29","0","270","5","6"
"1995","Urban Area","Male","15","10","2656","1","4","20","35","80","14.23","15.77","0","400","8","9"
"1996","Rural Area","Female","","","","","","","","","","","","","",""
"1996","Rural Area","Male","","","","","","","","","","","","","",""
"1996","Urban Area","Female","","","","","","","","","","","","","",""
"1996","Urban Area","Male","","","","","","","","","","","","","",""
"1997","Rural Area","Female","23.21","15","510","5","9","25","45","130","19.2","27.22","1","500","15","16"
"1997","Rural Area","Male","36.77","20","752","7","13","38","75","400","31.48","42.06","2","800","18","20"
"1997","Urban Area","Female","22.74","15","740","5","8","25","39","200","20.04","25.44","2","650","15","16"
"1997","Urban Area","Male","33.98","20","1212","7","12","35","55","400","30.21","37.75","1","800","18","20"
"1998","Rural Area","Female","12.27","7","1101","1","2","15","27","95","11.24","13.3","0","170","6","8"
"1998","Rural Area","Male","18.81","11.46","1296","2","4","25","45","110","17.51","20.11","0","200","10","12"
"1998","Urban Area","Female","12","8","2137","1","3","15","26","70","11.4","12.6","0","193","7","8"
"1998","Urban Area","Male","16.57","10","2627","2","5","22","38","85","15.9","17.24","0","186","10","10"
"1999","Rural Area","Female","24.74","15","643","6","10","25","40","150","20.76","28.72","2","999","14","15"
"1999","Rural Area","Male","35.69","20","826","7","11","35","65","400","30.7","40.68","2","750","18","20"
"1999","Urban Area","Female","23.74","15","866","5","8","25","40","150","21.2","26.28","2","800","15","16"
"1999","Urban Area","Male","32.25","20","1394","7","12","33","50","330","29.27","35.23","2","800","18","20"
"2000","Rural Area","Female","21.25","15","1081","5","8","25","38","125","19.29","23.21","1","500","15","15"
"2000","Rural Area","Male","35.62","20","1428","7","12","32","60","500","31.76","39.48","2","700","19","20"
"2000","Urban Area","Female","21.46","15","1558","5","10","25","40","110","19.63","23.29","1","800","15","15"
"2000","Urban Area","Male","30.02","20","2361","7","11","30","50","265","27.72","32.32","1","850","18","20"
"2001","Rural Area","Female","13.84","7","1699","1","2","17","30","110","12.52","15.16","1","450","7","8"
"2001","Rural Area","Male","26.55","12","1876","1","3","25","50","330","23.03","30.07","1","850","11","13"
"2001","Urban Area","Female","12.4","7","3398","1","3","15","26","75","11.41","13.39","1","999","7","8"
"2001","Urban Area","Male","20.05","10","3971","2","5","22","38","150","18.53","21.57","1","999","10","12"
"2002","Rural Area","Female","13.99","7","1739","1","2","17","30","130","12.17","15.81","0","960","7","8"
"2002","Rural Area","Male","29.01","12","1916","1","3","25","50","450","24.91","33.11","0","999","12","14"
"2002","Urban Area","Female","12.91","7","3713","1","3","15","26","75","11.84","13.98","0","999","7","8"
"2002","Urban Area","Male","20.51","11","4226","2","5","23","40","160","18.89","22.13","0","999","11","12"
"2003","Rural Area","Female","14.55","8","1740","1","3","18","31","90","13.34","15.76","1","450","8","10"
"2003","Rural Area","Male","19.16","12","1846","2","4","25","42","132","17.69","20.63","1","435","12","13"
"2003","Urban Area","Female","12.63","8","3671","1","3","15","28","76","12.09","13.17","1","296","8","8"
"2003","Urban Area","Male","17.61","12","4100","2","5","22","40","100","16.85","18.37","0","600","11","12"
"2004","Rural Area","Female","16.71","8","1634","1","3","20","35","140","14.73","18.69","0","960","8","10"
"2004","Rural Area","Male","33.07","14","1708","2","4","29","60","450","29.12","37.02","1","900","13","15"
"2004","Urban Area","Female","14.11","8","3470","1","3","15","28","105","13.13","15.09","0","630","8","8"
"2004","Urban Area","Male","20.46","12","3784","2","5","23","40","180","18.88","22.04","0","850","12","13"
"2005","Rural Area","Female","16.79","8","1568","1","3","20","35","125","14.79","18.79","1","960","8","10"
"2005","Rural Area","Male","32.49","15","1555","2","5","30","60","350","28.35","36.63","1","780","13","15"
"2005","Urban Area","Female","13.83","7.74","3252","1","3","15","30","96","12.73","14.93","1","650","7","8"
"2005","Urban Area","Male","22.61","12","3566","2","5","24","45","200","20.55","24.67","1","999","12","12"
"2006","Rural Area","Female","18.08","8","1701","1","2","20","40","200","16.16","20","1","999","8","10"
"2006","Rural Area","Male","34.14","14","1740","2","5","30","60","450","30.19","38.09","1","999","12","15"
"2006","Urban Area","Female","13.53","7","3468","1","3","16","27","90","12.6","14.46","1","630","8","8"
"2006","Urban Area","Male","22.07","12","3699","2","5","24","44","212","20.15","23.99","1","999","12","12"
"2007","Rural Area","Female","18.55","8","1640","1","2","21","37","200","16.44","20.66","1","960","8","10"
"2007","Rural Area","Male","38.94","15","1667","2","5","30","70","510","34.43","43.45","1","999","13","15"
"2007","Urban Area","Female","13.33","8","3287","1","3","15","30","80","12.34","14.32","1","680","8","8"
"2007","Urban Area","Male","21.33","12","3456","2","5","24","40","180","19.49","23.17","1","999","12","13"
"2008","Rural Area","Female","17.6","8","1597","1","2","20","32","200","15.2","20","1","960","8","10"
"2008","Rural Area","Male","34.62","15","1565","2","5","30","60","480","30.13","39.11","1","999","13","16"
"2008","Urban Area","Female","13.96","8","3201","1","3","17","30","90","12.7","15.22","1","700","7","8"
