"year","hgtyp1hh","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","(Married) couple without C.","Rural Area","12.58","8","173","1","3","20","28","60","10.35","14.81","1","104","5","10"
"1985","(Married) couple without C.","Urban Area","12","8","873","2","3","15","25","77","11.1","12.9","0","150","7","8"
"1985","1-pers.-HH","Rural Area","11.78","4","51","1","2","14","38","62","6.99","16.57","1","65","2","8"
"1985","1-pers.-HH","Urban Area","9.62","6","407","1","3","13","21","60","8.63","10.61","1","73","5","7"
"1985","Couple + C. GT 16 ","Rural Area","12.13","6","176","1","3","15","30","60","9.56","14.7","1","120","5","9"
"1985","Couple + C. GT 16 ","Urban Area","11.29","8","867","1","4","14","23","50","10.06","12.52","0","360","6","8"
"1985","Couple + C. LE 16","Rural Area","16.26","7.09","296","1","2","17","36","105","13.01","19.51","0","280","4","8"
"1985","Couple + C. LE 16","Urban Area","12.87","8","1207","2","3","15","30","78","11.93","13.81","0","260","6","7"
"1985","Couple + C. LE and GT 16","Rural Area","11.58","7","165","1","2","14","24","130","8.74","14.42","1","160","4","8"
"1985","Couple + C. LE and GT 16","Urban Area","11.35","8","578","1","3","14","27","60","10.35","12.35","0","130","5","8"
"1985","Single parent","Rural Area","8.98","5","59","1","2","10","18","60","5.65","12.31","1","60","2","5"
"1985","Single parent","Urban Area","11.56","8","210","1","4","15","25","60","10.09","13.03","1","70","5","9"
"1986","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"1986","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"1986","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"1986","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"1986","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"1986","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"1986","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"1986","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"1986","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"1986","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"1986","Single parent","Rural Area","","","","","","","","","","","","","",""
"1986","Single parent","Urban Area","","","","","","","","","","","","","",""
"1987","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"1987","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"1987","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"1987","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"1987","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"1987","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"1987","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"1987","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"1987","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"1987","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"1987","Single parent","Rural Area","","","","","","","","","","","","","",""
"1987","Single parent","Urban Area","","","","","","","","","","","","","",""
"1988","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"1988","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"1988","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"1988","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"1988","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"1988","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"1988","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"1988","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"1988","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"1988","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"1988","Single parent","Rural Area","","","","","","","","","","","","","",""
"1988","Single parent","Urban Area","","","","","","","","","","","","","",""
