"year","hgtyp1hh","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2004","Couple + C. LE and GT 16","(0) in school","","","","","","","","","","","","","",""
"2004","Couple + C. LE and GT 16","(1a) inadequately completed","","","","","","","","","","","","","",""
"2004","Couple + C. LE and GT 16","(1b) general elementary school","12.87","11.12","94","1","3","18","30","40","10.33","15.41","1","54","5","11"
"2004","Couple + C. LE and GT 16","(1c) basic vocational qualification","17.5","10","202","2","4","22","42","80","12.87","22.13","0","370","8","12"
"2004","Couple + C. LE and GT 16","(2a) intermediate vocational","14.44","9","233","1","4","19","37","100","12.39","16.49","1","100","7","11"
"2004","Couple + C. LE and GT 16","(2b) intermediate general qualification","43.63","10","62","1","5","20","54","850","15.33","71.93","1","850","6","14"
"2004","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","19.36","15","34","3","5","20","40","80","6.94","31.78","1","200","10","25"
"2004","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","9.11","7","49","1","2","13","23","35","6.05","12.17","1","44","6","8"
"2004","Couple + C. LE and GT 16","(3a) lower tertiary education","32.66","11.85","83","1","5","26","50","380","17.36","47.96","1","430","8","16"
"2004","Couple + C. LE and GT 16","(3b) higher tertiary education","31.25","12","138","1","5","25","60","500","14.14","48.36","1","600","10","15"
"2004","Single parent","(0) in school","","","","","","","","","","","","","",""
"2004","Single parent","(1a) inadequately completed","","","","","","","","","","","","","",""
"2004","Single parent","(1b) general elementary school","10.2","6.1","61","1","3","12","25","45","7.57","12.83","1","45","3","8"
"2004","Single parent","(1c) basic vocational qualification","10.92","9","123","1","3","15","25","39","9.3","12.54","1","50","6","10"
"2004","Single parent","(2a) intermediate vocational","19.82","8","174","1","3","17","28","380","9.89","29.75","1","700","5","10"
"2004","Single parent","(2b) intermediate general qualification","11.19","5","46","2","3","11","25","100","5.79","16.59","1","100","5","15"
"2004","Single parent","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2004","Single parent","(2c_voc) vocational maturity certificate","13.99","6","38","1","2","10","40","80","9.17","18.81","1","80","5","10"
"2004","Single parent","(3a) lower tertiary education","17.44","12","32","1","6","13","25","120","5.97","28.91","1","120","7","17"
"2004","Single parent","(3b) higher tertiary education","14.64","10","53","2","4","19","35","100","9.92","19.36","1","100","7","12"
"2005","(Married) couple without C.","(0) in school","","","","","","","","","","","","","",""
