"year","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Female","9.3","5","2082","1","2","12","20","56","8.85","9.75","0","150","5","5"
"1985","Male","13.69","8","3256","2","4","16","30","85","13.04","14.34","0","360","7","8"
"1986","Female","","","","","","","","","","","","","",""
"1986","Male","","","","","","","","","","","","","",""
"1987","Female","","","","","","","","","","","","","",""
"1987","Male","","","","","","","","","","","","","",""
"1988","Female","","","","","","","","","","","","","",""
"1988","Male","","","","","","","","","","","","","",""
"1989","Female","","","","","","","","","","","","","",""
"1989","Male","","","","","","","","","","","","","",""
"1990","Female","10.38","6","1934","1","3","14","22","58","9.7","11.06","0","330","5","6"
"1990","Male","15.72","10","2837","2","4","20","35","100","14.96","16.48","0","330","8","10"
"1991","Female","16.7","10","307","4","6","15","30","200","13.22","20.18","0","300","9","10"
"1991","Male","54.11","12","551","5","7","25","120","600","43.2","65.02","1","999","12","15"
"1992","Female","20.13","10","295","5","7","18","30","450","12.41","27.85","1","635","10","12"
"1992","Male","49.81","15","482","5","8","25","110","550","39.33","60.29","1","800","15","16"
"1993","Female","9.08","5","3129","1","2","12","22","57","8.69","9.47","0","140","4","5"
"1993","Male","13.34","8","3862","1","3","18","30","75","12.87","13.81","0","180","7","8"
"1994","Female","","","","","","","","","","","","","",""
"1994","Male","","","","","","","","","","","","","",""
"1995","Female","10.43","6","3209","1","2","14","25","70","9.86","11","0","450","5","6"
"1995","Male","15.93","9","3969","1","3","20","36","100","14.94","16.92","0","750","8","8"
"1996","Female","","","","","","","","","","","","","",""
"1996","Male","","","","","","","","","","","","","",""
"1997","Female","22.9","15","1250","5","8","25","40","150","20.61","25.19","1","650","15","15"
"1997","Male","34.92","20","1964","7","12","35","60","400","31.84","38","1","800","18","20"
"1998","Female","12.08","8","3238","1","3","15","26","79","11.55","12.61","0","193","7","8"
"1998","Male","17.21","11","3923","2","5","23","40","100","16.59","17.83","0","200","10","10"
"1999","Female","24.1","15","1509","5","9","25","40","150","21.86","26.34","2","999","15","15"
"1999","Male","33.4","20","2220","7","12","34","55","360","30.76","36.04","2","800","18","20"
"2000","Female","21.38","15","2639","5","9","25","40","120","20.03","22.73","1","800","15","15"
"2000","Male","31.95","20","3789","7","12","31","55","350","29.9","34","1","850","19","20"
"2001","Female","12.83","7","5097","1","3","15","28","80","12.04","13.62","1","999","7","8"
"2001","Male","21.92","11","5847","2","4","24","40","210","20.39","23.45","1","999","10","12"
"2002","Female","13.24","7","5452","1","3","15","27","90","12.31","14.17","0","999","7","8"
"2002","Male","23.04","11","6142","2","4","25","41","300","21.34","24.74","0","999","12","12"
"2003","Female","13.23","8","5411","1","3","16","30","85","12.69","13.77","1","450","8","8"
"2003","Male","18.07","12","5946","2","5","23","40","110","17.37","18.77","0","600","12","12"
"2004","Female","14.9","8","5104","1","3","16","30","120","13.98","15.82","0","960","8","8"
"2004","Male","24.09","12","5492","2","5","25","43","300","22.45","25.73","0","900","12","13"
"2005","Female","14.75","8","4820","1","3","17","30","100","13.76","15.74","1","960","8","8"
"2005","Male","25.44","12","5121","2","5","25","50","300","23.53","27.35","1","999","12","13"
"2006","Female","14.95","8","5169","1","3","18","30","110","14.06","15.84","1","999","8","9"
"2006","Male","25.73","12","5439","2","5","25","48","300","23.91","27.55","1","999","12","13"
"2007","Female","14.98","8","4927","1","3","17","30","101","14.01","15.95","1","960","8","9"
"2007","Male","26.78","12","5123","2","5","25","48","380","24.85","28.71","1","999","12","13"
"2008","Female","15.11","8","4798","1","3","17","30","106","13.95","16.27","1","960","8","8"
"2008","Male","26.72","12","4865","2","5","25","48","360","24.66","28.78","1","999","12","14"
"2009","Female","15.51","8","4525","1","3","18","32","110","14.33","16.69","1","960","8","9"
"2009","Male","26.23","13","4485","2","5","25","50","320","24.08","28.38","1","999","13","14"
"2010","Female","15.79","8","6023","1","3","18","30","107","14.81","16.77","1","960","8","8"
"2010","Male","26.91","12","6280","2","5","25","49","350","25.18","28.64","1","999","12","13"
"2011","Female","15.24","8","7616","1","3","18","32","95","14.44","16.04","1","960","8","8"
"2011","Male","26.24","12","7286","2","5","25","50","350","24.58","27.9","1","999","12","13"
"2012","Female","15.35","8","7624","1","3","17","31","100","14.52","16.18","0","960","8","8"
"2012","Male","25.14","12","7078","2","5","25","45","320","23.48","26.8","0","999","12","13"
"2013","Female","15.13","8","8698","1","3","18","32","100","14.39","15.87","1","960","7","8"
"2013","Male","25.45","12","8135","2","5","25","45","315","24.08","26.82","1","999","12","12"
"2014","Female","","","","","","","","","","","","","",""
"2014","Male","","","","","","","","","","","","","",""
"2015","Female","13.66","8","7532","1","3","18","30","80","13.28","14.04","0","380","7","8"
"2015","Male","17.54","11","6989","2","5","24","40","94","16.99","18.09","0","800","11","12"
"2016","Female","","","","","","","","","","","","","",""
"2016","Male","","","","","","","","","","","","","",""
"2017","Female","13.76","9","7887","1","3","18","30","77","13.4","14.12","1","300","8","8"
"2017","Male","17.34","12","6994","2","5","24","40","90","16.82","17.86","1","700","11","12"
"2018","Female","","","","","","","","","","","","","",""
"2018","Male","","","","","","","","","","","","","",""
"2019","Female","13.73","9","7502","1","3","18","31","80","13.33","14.13","1","536","8","8"
"2019","Male","16.72","11","7132","2","5","23","38","88","16.21","17.23","1","675","10","11"
